Node,SIR,Infected_sum
0,0.000553,0
1,0.004075,0
2,0.000336,0
3,0.007114,0
4,0.000142,0
5,0.002028,0
6,0.000936,0
7,0.003246,0
8,0.000336,0
9,0.001048,0
10,0.000476,0
11,0.002731,0
12,0.003037,0
13,0.023174,0
14,0.00159,0
15,0.00491,0
16,0.026624,0
17,0.015666,0
18,0.007539,0
19,0.000286,0
20,0.004139,0
21,0.000334,0
22,0.002456,0
23,0.001116,0
24,0.000146,0
25,0.003753,0
26,0.000138,0
27,0.0039,0
28,0.006515,0
29,0.001751,0
30,0.013498,0
31,0.001948,0
32,0.004549,0
33,0.017248,0
34,0.00082,0
35,0.000987,0
36,0.000395,0
37,0.000653,0
38,0.006265,0
39,0.004196,0
40,0.007297,0
41,0.00421,0
42,0.003498,0
43,0.000731,0
44,0.013206,0
45,0.004158,0
46,0.000456,0
47,0.019533,0
48,0.000487,0
49,0.016515,0
50,0.00014,0
51,0.000144,0
52,0.002358,0
53,0.000397,0
54,0.020563,0
55,0.000515,0
56,0.000896,0
57,0.000813,0
58,0.009359,0
59,0.001023,0
60,0.000155,0
61,0.000193,0
62,0.000935,0
63,0.000196,0
64,0.001046,0
65,0.000336,0
66,0.00014,0
67,0.001463,0
68,0.007628,0
69,0.002809,0
70,0.004675,0
71,0.001545,0
72,0.001132,0
73,0.016234,0
74,0.000141,0
75,0.006365,0
76,0.000434,0
77,0.003328,0
78,0.009368,0
79,0.002298,0
80,0.0026,0
81,0.013205,0
82,0.000639,0
83,0.003179,0
84,0.000336,0
85,0.006478,0
86,0.001085,0
87,0.000882,0
88,0.000254,0
89,0.000479,0
90,0.000684,0
91,0.000346,0
92,0.000756,0
93,0.000152,0
94,0.00019,0
95,0.010503,0
96,0.000939,0
97,0.008352,0
98,0.010639,0
99,0.000417,0
100,0.000167,0
101,0.008887,0
102,0.017569,0
103,0.011725,0
104,0.00522,0
105,0.000854,0
106,0.007193,0
107,0.003232,0
108,0.004587,0
109,0.001743,0
110,0.038555,0
111,0.000299,0
112,0.02441,0
113,0.046389,0
114,0.004696,0
115,0.00043,0
116,0.003928,0
117,0.000168,0
118,0.000819,0
119,0.006855,0
120,0.003291,0
121,0.00103,0
122,0.002042,0
123,0.00119,0
124,0.000622,0
125,0.000774,0
126,0.000685,0
127,0.002117,0
128,0.002481,0
129,0.00034,0
130,0.007523,0
131,0.022477,0
132,0.001227,0
133,0.000474,0
134,0.000713,0
135,0.012349,0
136,0.028973,0
137,0.00259,0
138,0.006519,0
139,0.007872,0
140,0.008248,0
141,0.001847,0
142,0.000565,0
143,0.002705,0
144,0.001893,0
145,0.004511,0
146,0.001474,0
147,0.000509,0
148,0.002908,0
149,0.017105,0
150,0.000155,0
151,0.008505,0
152,0.007183,0
153,0.000405,0
154,0.000567,0
155,0.000398,0
156,0.000142,0
157,0.001174,0
158,0.000302,0
159,0.007338,0
160,0.001668,0
161,0.003322,0
162,0.001429,0
163,0.000139,0
164,0.003868,0
165,0.001072,0
166,0.01746,0
167,0.002752,0
168,0.003615,0
169,0.000688,0
170,0.002374,0
171,0.002532,0
172,0.000144,0
173,0.000827,0
174,0.005218,0
175,0.002278,0
176,0.000841,0
177,0.000846,0
178,0.018177,0
179,0.000693,0
180,0.000317,0
181,0.00179,0
182,0.000361,0
183,0.000681,0
184,0.020116,0
185,0.004046,0
186,0.000382,0
187,0.019811,0
188,0.005041,0
189,0.000432,0
190,0.000202,0
191,0.006177,0
192,0.008891,0
193,0.000139,0
194,0.000166,0
195,0.00133,0
196,0.000312,0
197,0.000856,0
198,0.001262,0
199,0.001397,0
200,0.00096,0
201,0.000184,0
202,0.001664,0
203,0.004641,0
204,0.005249,0
205,0.000675,0
206,0.000229,0
207,0.000205,0
208,0.000488,0
209,0.022065,0
210,0.000207,0
211,0.008548,0
212,0.011297,0
213,0.029134,0
214,0.000208,0
215,0.000287,0
216,0.000855,0
217,0.000436,0
218,0.000542,0
219,0.011345,0
220,0.000496,0
221,0.021781,0
222,0.001915,0
223,0.005567,0
224,0.002341,0
225,0.000482,0
226,0.006515,0
227,0.000728,0
228,0.005592,0
229,0.002571,0
230,0.000273,0
231,0.00017,0
232,0.015676,0
233,0.002752,0
234,0.00218,0
235,0.000887,0
236,0.000506,0
237,0.001248,0
238,0.000506,0
239,0.000157,0
240,0.00418,0
241,0.000524,0
242,0.00015,0
243,0.001107,0
244,0.030497,0
245,0.000141,0
246,0.000641,0
247,0.000188,0
248,0.00014,0
249,0.000164,0
250,0.001419,0
251,0.00054,0
252,0.021689,0
253,0.003065,0
254,0.000229,0
255,0.009358,0
256,0.000243,0
257,0.01265,0
258,0.000161,0
259,0.003848,0
260,0.012254,0
261,0.002365,0
262,0.0002,0
263,0.000178,0
264,0.004105,0
265,0.00025,0
266,0.005703,0
267,0.000442,0
268,0.000582,0
269,0.000323,0
270,0.000147,0
271,0.018234,0
272,0.000794,0
273,0.001722,0
274,0.000172,0
275,0.000344,0
276,0.001029,0
277,0.000791,0
278,0.000755,0
279,0.004029,0
280,0.00165,0
281,0.006375,0
282,0.001879,0
283,0.010642,0
284,0.000528,0
285,0.000974,0
286,0.010576,0
287,0.002313,0
288,0.00126,0
289,0.004781,0
290,0.051093,0
291,0.008358,0
292,0.002328,0
293,0.000173,0
294,0.000165,0
295,0.000719,0
296,0.008485,0
297,0.001347,0
298,0.000143,0
299,0.008684,0
300,0.000412,0
301,0.00351,0
302,0.00091,0
303,0.000231,0
304,0.00014,0
305,0.000146,0
306,0.011483,0
307,0.010753,0
308,0.000576,0
309,0.00016,0
310,0.000139,0
311,0.003156,0
312,0.007951,0
313,0.001723,0
314,0.004841,0
315,0.000289,0
316,0.001068,0
317,0.000293,0
318,0.002813,0
319,0.002918,0
320,0.003139,0
321,0.004663,0
322,0.002381,0
323,0.002865,0
324,0.001095,0
325,0.000941,0
326,0.002666,0
327,0.001067,0
328,0.000153,0
329,0.004788,0
330,0.000153,0
331,0.001272,0
332,0.000486,0
333,0.000257,0
334,0.003017,0
335,0.02377,0
336,0.005005,0
337,0.001988,0
338,0.000707,0
339,0.000411,0
340,0.001202,0
341,0.006889,0
342,0.000467,0
343,0.001644,0
344,0.005623,0
345,0.004736,0
346,0.000589,0
347,0.002619,0
348,0.00024,0
349,0.017341,0
350,0.000338,0
351,0.000194,0
352,0.000152,0
353,0.000148,0
354,0.000203,0
355,0.00085,0
356,0.000919,0
357,0.000171,0
358,0.005208,0
359,0.001618,0
360,0.029347,0
361,0.001863,0
362,0.001742,0
363,0.003061,0
364,0.014763,0
365,0.000147,0
366,0.000379,0
367,0.020389,0
368,0.011899,0
369,0.000817,0
370,0.002158,0
371,0.000653,0
372,0.003389,0
373,0.000286,0
374,0.003759,0
375,0.004592,0
376,0.001341,0
377,0.000143,0
378,0.051626,0
379,0.004318,0
380,0.030328,0
381,0.003205,0
382,0.000988,0
383,0.004585,0
384,0.000793,0
385,0.00032,0
386,0.001143,0
387,0.001193,0
388,0.000638,0
389,0.000838,0
390,0.004515,0
391,0.003738,0
392,0.001797,0
393,0.001546,0
394,0.000213,0
395,0.000313,0
396,0.000401,0
397,0.008702,0
398,0.010141,0
399,0.004515,0
400,0.01196,0
401,0.000309,0
402,0.00182,0
403,0.000304,0
404,0.000898,0
405,0.000705,0
406,0.047281,0
407,0.00368,0
408,0.002352,0
409,0.002266,0
410,0.015962,0
411,0.000979,0
412,0.000193,0
413,0.000954,0
414,0.00043,0
415,0.002217,0
416,0.002238,0
417,0.005583,0
418,0.027398,0
419,0.000998,0
420,0.009139,0
421,0.009194,0
422,0.00056,0
423,0.000141,0
424,0.000176,0
425,0.000348,0
426,0.009509,0
427,0.043515,0
428,0.000318,0
429,0.009102,0
430,0.000331,0
431,0.000365,0
432,0.005153,0
433,0.000473,0
434,0.001499,0
435,0.001585,0
436,0.000904,0
437,0.000188,0
438,0.002455,0
439,0.003477,0
440,0.007045,0
441,0.002771,0
442,0.003491,0
443,0.000473,0
444,0.00233,0
445,0.000458,0
446,0.010705,0
447,0.000379,0
448,0.002838,0
449,0.002945,0
450,0.000244,0
451,0.007933,0
452,0.000862,0
453,0.000421,0
454,0.001283,0
455,0.000191,0
456,0.00015,0
457,0.00138,0
458,0.0004,0
459,0.000139,0
460,0.000247,0
461,0.007686,0
462,0.003688,0
463,0.001955,0
464,0.00695,0
465,0.00699,0
466,0.00086,0
