Node,WiD1,WiD2
0,88,1106
1,182,1600
2,55,727
3,180,1878
4,103,1329
5,191,1761
6,27,392
7,31,567
8,42,554
9,28,677
10,40,545
11,29,499
12,27,496
13,57,694
14,37,433
15,64,563
16,18,371
17,95,993
18,24,322
19,106,1063
20,48,653
21,41,560
22,104,860
23,34,348
24,39,577
25,81,841
26,19,219
27,16,231
28,13,314
29,38,603
30,62,585
31,37,488
32,59,450
33,34,385
34,12,196
35,43,445
36,28,433
37,6,307
38,41,577
39,23,358
40,15,228
41,16,314
42,12,132
43,20,204
44,14,195
45,15,238
46,12,254
47,16,190
48,5,138
49,20,167
50,16,199
51,57,706
52,23,327
53,23,234
54,24,308
55,7,117
56,37,489
57,19,379
58,49,423
59,20,325
60,13,210
61,16,366
62,13,247
63,20,370
64,30,286
65,54,417
66,15,191
67,13,143
68,4,135
69,16,232
70,33,331
71,20,174
72,26,363
73,14,227
74,6,142
75,7,228
76,17,255
77,12,204
78,7,174
79,31,244
80,31,238
81,22,129
82,15,207
83,30,261
84,11,329
85,24,274
86,14,134
87,6,259
88,33,308
89,21,297
90,15,221
91,23,138
92,8,297
93,4,54
94,2,154
95,9,303
96,35,371
97,5,170
98,36,312
99,26,342
100,38,356
101,10,230
102,11,194
103,25,299
104,21,393
105,24,236
106,20,176
107,8,71
108,48,344
109,12,104
110,25,190
111,24,334
112,19,194
113,8,248
114,8,86
115,12,111
116,8,104
117,2,75
118,11,107
119,26,379
120,31,220
121,18,162
122,23,274
123,5,113
124,14,144
125,40,284
126,6,310
127,4,232
128,4,219
129,8,127
130,14,257
131,22,145
132,23,157
133,2,165
134,11,234
135,22,154
136,8,103
137,15,191
138,28,218
139,7,192
140,13,202
141,20,202
142,7,156
143,25,262
144,10,111
145,45,420
146,8,119
147,9,151
148,6,98
149,22,173
150,2,139
151,13,336
152,2,205
153,22,350
154,8,194
155,18,380
156,34,273
157,29,155
158,18,204
159,35,274
160,8,137
161,23,345
162,23,305
163,35,212
164,5,134
165,35,410
166,6,70
167,13,92
168,9,151
169,43,306
170,10,88
171,22,165
172,27,187
173,11,86
