Node,WiD1,WiD2,WiD3
0,88,1106,18672
1,182,1600,46439
2,55,727,11193
3,180,1878,48654
4,103,1329,23216
5,191,1761,51716
6,27,392,4959
7,31,567,6430
8,42,554,7364
9,28,677,7593
10,40,545,6762
11,29,499,6098
12,27,496,5567
13,57,694,10351
14,37,433,6265
15,64,563,9608
16,18,371,4319
17,95,993,18092
18,24,322,3896
19,106,1063,20882
20,48,653,8485
21,41,560,7558
22,104,860,19779
23,34,348,4344
24,39,577,6966
25,81,841,14540
26,19,219,2382
27,16,231,2777
28,13,314,3400
29,38,603,6986
30,62,585,9228
31,37,488,5700
32,59,450,7145
33,34,385,4965
34,12,196,2234
35,43,445,5932
36,28,433,5226
37,6,307,2951
38,41,577,7118
39,23,358,4283
40,15,228,2873
41,16,314,3243
42,12,132,1716
43,20,204,2311
44,14,195,2415
45,15,238,2619
46,12,254,2721
47,16,190,2487
48,5,138,1850
49,20,167,2091
50,16,199,2206
51,57,706,9548
52,23,327,3623
53,23,234,2286
54,24,308,4195
55,7,117,1088
56,37,489,6234
57,19,379,4180
58,49,423,6312
59,20,325,3607
60,13,210,2450
61,16,366,3790
62,13,247,3037
63,20,370,4018
64,30,286,3738
65,54,417,7119
66,15,191,1871
67,13,143,1574
68,4,135,1492
69,16,232,2866
70,33,331,4575
71,20,174,2271
72,26,363,4483
73,14,227,2325
74,6,142,1580
75,7,228,2111
76,17,255,3147
77,12,204,2425
78,7,174,2164
79,31,244,3055
80,31,238,3111
81,22,129,1569
82,15,207,2820
83,30,261,3094
84,11,329,3243
85,24,274,3044
86,14,134,1445
87,6,259,2405
88,33,308,3575
89,21,297,3509
90,15,221,2622
91,23,138,1689
92,8,297,3066
93,4,54,596
94,2,154,1906
95,9,303,3120
96,35,371,4539
97,5,170,2101
98,36,312,4155
99,26,342,4018
100,38,356,4663
101,10,230,3100
102,11,194,2049
103,25,299,3307
104,21,393,4544
105,24,236,2940
106,20,176,2282
107,8,71,997
108,48,344,5117
109,12,104,1167
110,25,190,2452
111,24,334,3729
112,19,194,2210
113,8,248,3036
114,8,86,1166
115,12,111,1353
116,8,104,1147
117,2,75,1173
118,11,107,1086
119,26,379,4232
120,31,220,3256
121,18,162,1789
122,23,274,2789
123,5,113,1421
124,14,144,1463
125,40,284,4409
126,6,310,3321
127,4,232,2477
128,4,219,2542
129,8,127,1532
130,14,257,2889
131,22,145,1822
132,23,157,2126
133,2,165,1922
134,11,234,2573
135,22,154,1901
136,8,103,1219
137,15,191,2114
138,28,218,3006
139,7,192,2583
140,13,202,2340
141,20,202,2491
142,7,156,1993
143,25,262,2823
144,10,111,1547
145,45,420,5564
146,8,119,1501
147,9,151,1605
148,6,98,1128
149,22,173,2040
150,2,139,1422
151,13,336,3670
152,2,205,2077
153,22,350,4365
154,8,194,1940
155,18,380,4375
156,34,273,4001
157,29,155,2203
158,18,204,2162
159,35,274,3450
160,8,137,1658
161,23,345,3757
162,23,305,3987
163,35,212,3000
164,5,134,1571
165,35,410,5150
166,6,70,675
167,13,92,1059
168,9,151,1722
169,43,306,4438
170,10,88,1080
