Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
13,5,13,44,1,5,16
14,1,2,4,1,2,4
22,6,30,194,4,21,122
24,4,21,156,3,17,109
25,1,2,4,1,2,4
26,5,93,1197,5,46,614
27,4,24,139,4,20,117
28,1,4,12,1,3,10
29,1,5,22,1,3,13
45,49,2522,119028,44,1997,94547
46,42,2304,110952,42,1858,88501
62,7,93,925,5,46,510
65,7,48,451,4,34,291
70,2,11,61,2,6,35
71,1,3,27,1,2,12
74,2,6,18,2,6,18
75,1,7,59,1,5,34
78,4,41,332,3,21,194
80,2,18,173,2,10,95
81,2,17,166,2,10,84
82,1,2,4,1,2,4
85,1,3,7,1,2,5
88,42,1660,65449,33,1396,54191
93,5,34,228,3,20,135
95,2,8,37,1,4,20
97,2,8,26,2,6,20
98,1,2,4,1,2,4
106,4,51,409,3,23,231
113,4,36,333,3,20,191
114,1,13,116,1,7,66
115,2,7,22,2,6,19
122,8,59,491,4,35,292
123,1,5,18,1,3,11
124,2,38,431,2,19,224
128,4,30,219,3,18,148
135,11,122,1617,6,71,943
140,6,32,217,4,24,146
141,4,29,245,4,21,157
142,2,7,22,2,6,19
161,4,10,36,2,8,26
163,2,69,2847,2,47,2233
164,2,20,157,2,11,92
165,2,17,124,2,11,83
178,8,80,1160,4,49,729
179,3,49,515,3,21,275
183,1,6,45,1,4,27
185,17,327,6349,17,309,5970
187,2,6,18,2,6,18
188,2,6,18,2,6,18
192,4,40,702,2,30,585
193,4,66,855,4,36,502
194,1,2,4,1,2,4
195,3,39,541,3,21,308
197,2,15,127,2,9,74
199,2,14,94,2,9,62
200,14,224,3517,14,210,3252
205,6,71,722,5,39,408
214,7,105,2340,5,66,1817
215,17,327,6349,17,309,5970
231,30,748,25181,15,478,18240
232,1,16,138,1,6,66
238,4,20,114,2,13,75
244,7,48,333,4,29,205
245,2,26,245,2,14,142
252,1,6,43,1,4,23
253,3,14,75,3,12,54
254,1,2,4,1,2,4
260,5,65,609,3,28,314
267,3,17,102,2,11,62
269,3,37,309,3,17,178
272,6,65,644,5,40,389
281,8,53,548,4,34,323
283,2,20,159,2,12,93
284,1,7,24,1,3,16
293,2,15,112,2,10,73
294,1,2,4,1,2,4
299,5,22,117,2,14,70
302,2,26,257,2,13,144
309,5,33,196,3,21,138
312,2,17,156,2,11,97
315,1,3,12,1,2,7
320,6,43,402,3,22,197
321,2,18,162,2,12,101
339,30,532,11037,17,381,7722
345,13,494,16668,11,295,12250
348,2,6,18,2,6,18
350,2,6,18,2,6,18
351,17,327,6349,17,309,5970
352,3,32,299,3,17,168
357,4,27,216,4,20,144
358,2,18,152,2,11,94
360,3,12,48,3,12,48
364,4,25,178,3,16,113
365,5,75,1500,5,45,935
369,5,25,139,3,19,101
372,1,2,4,1,2,4
373,1,2,4,1,2,4
374,1,3,7,1,2,5
375,1,8,64,1,5,35
376,2,9,37,2,6,24
379,2,25,246,2,12,140
380,3,13,70,3,12,55
385,6,69,703,4,32,359
392,1,38,293,1,9,166
396,4,20,127,3,14,84
400,1,17,119,1,6,61
403,1,9,153,1,6,86
408,2,9,45,1,5,30
409,3,30,268,3,16,152
410,1,2,4,1,2,4
414,1,5,39,1,4,25
449,30,195,2171,7,128,1082
450,1,10,85,1,5,45
482,13,105,973,5,57,541
491,11,84,841,5,55,579
492,14,224,3517,14,210,3252
495,4,39,352,4,23,199
500,8,88,848,6,51,503
510,2,13,73,2,8,46
523,2,13,110,1,6,78
543,24,232,2601,9,131,1437
546,2,11,85,1,7,49
547,5,68,745,5,35,404
570,48,2491,119030,43,2000,94879
573,4,49,557,3,23,289
574,2,44,602,2,21,321
580,2,8,55,2,6,35
593,16,145,1556,8,114,1124
598,1,2,4,1,2,4
615,18,152,1686,7,97,997
624,17,294,5049,10,181,3319
628,1,5,20,1,3,13
639,7,79,733,5,40,397
676,26,492,13094,13,300,8999
677,2,8,56,2,6,42
715,4,17,100,2,12,57
717,1,4,10,1,2,6
727,6,62,601,5,34,335
731,1,23,690,1,14,459
733,2,21,212,2,11,108
734,1,2,4,1,2,4
735,1,2,4,1,2,4
743,9,96,1005,6,58,636
748,1,5,50,1,3,22
749,1,9,45,1,5,30
750,2,18,198,2,11,110
751,1,4,30,1,3,18
773,55,2617,123685,44,2082,97968
778,3,17,104,3,12,71
782,3,13,53,3,12,49
787,2,4,10,1,3,7
800,2,6,18,2,6,18
811,9,57,536,5,40,324
820,2,5,23,1,4,14
822,2,6,18,2,6,18
824,13,315,7939,11,199,5421
830,2,6,18,2,6,18
831,1,2,4,1,2,4
832,15,241,3872,15,240,3851
833,1,2,4,1,2,4
834,3,15,83,3,12,63
836,3,36,396,3,20,226
839,2,14,112,2,9,63
844,2,6,18,2,6,18
851,6,47,375,4,26,219
853,4,31,274,2,16,138
855,1,5,17,1,2,8
864,1,10,89,1,6,46
866,2,13,135,2,10,97
869,5,98,3454,5,70,2648
880,3,14,91,3,11,57
882,4,35,319,4,20,163
884,2,16,93,2,9,62
885,3,13,62,3,12,55
887,2,16,89,2,8,54
888,6,98,1197,6,53,655
890,2,6,18,2,6,18
894,5,64,706,4,33,392
896,5,86,1696,4,41,1066
899,3,62,818,3,32,452
914,7,67,607,7,56,500
915,2,12,59,2,8,44
920,2,11,89,2,8,61
921,2,17,216,2,9,109
925,1,2,4,1,2,4
930,5,31,230,4,22,151
934,7,137,4185,6,95,3086
937,5,49,451,4,28,263
938,2,7,25,2,6,21
939,1,14,119,1,6,63
941,9,82,987,7,65,729
950,7,250,9055,6,163,7014
951,2,6,18,2,6,18
953,3,40,490,3,22,260
1000,25,311,4244,10,180,2511
1006,2,25,361,2,19,204
1008,8,94,975,8,72,757
1010,1,2,4,1,2,4
1013,1,3,7,1,2,5
1014,4,39,354,4,24,205
1023,29,590,13738,21,522,12114
1024,2,9,36,2,6,25
1025,1,12,74,1,5,43
1026,2,15,92,2,8,54
1028,7,43,350,4,33,241
1029,2,17,139,2,11,82
1044,8,57,1120,3,39,683
1045,1,6,50,1,4,27
1048,3,17,104,3,12,71
1050,1,2,4,1,2,4
1051,2,6,18,2,6,18
1058,9,154,3249,7,93,2370
1059,3,30,250,3,16,142
1073,3,20,155,1,9,89
1074,17,327,6349,17,309,5970
1075,1,16,138,1,6,66
1078,5,37,334,4,25,199
1090,6,74,879,4,40,451
1092,2,4,10,1,3,7
1093,3,21,220,3,14,116
1098,3,51,473,3,20,251
1101,2,8,52,2,6,29
1104,2,13,150,2,9,84
1105,1,5,22,1,3,13
1107,1,2,4,1,2,4
1109,3,29,312,3,17,193
1116,9,65,582,5,48,410
1124,7,111,2256,5,75,1771
1125,1,19,141,1,6,74
1149,9,79,828,4,39,473
1150,3,39,331,3,18,193
1151,13,205,3056,13,182,2666
1153,1,14,67,1,5,40
1154,2,8,28,2,6,22
1157,3,25,237,3,16,164
1172,8,73,661,6,41,372
1174,2,7,24,2,6,21
1186,17,528,19283,12,345,14359
1187,1,2,4,1,2,4
1194,1,2,4,1,2,4
1217,24,183,2002,7,115,1051
1229,7,92,1062,6,54,679
1234,7,229,7638,7,138,5644
1248,3,29,329,3,17,196
1254,3,65,1022,3,34,672
1258,4,27,184,3,18,117
1265,10,183,4756,9,129,3565
1267,4,69,1831,4,52,1446
1278,8,53,500,3,35,289
1279,2,7,31,2,6,24
1280,3,44,499,3,26,289
1281,6,45,324,6,42,303
1289,3,7,22,1,5,13
1292,3,16,74,3,12,54
1293,34,1198,41984,34,1190,41685
1310,11,99,964,6,58,539
1311,3,31,279,3,17,149
1321,4,73,757,4,31,410
1322,2,10,49,2,7,36
1323,2,49,444,2,16,243
1327,1,8,77,1,4,36
1339,5,65,1071,4,41,608
1341,4,54,578,4,30,316
1343,4,21,156,2,11,87
1344,1,2,4,1,2,4
1346,1,2,4,1,2,4
1347,1,16,261,1,8,158
1350,1,14,179,1,8,88
1353,4,30,203,3,18,124
1356,4,25,197,2,14,110
1373,5,55,491,4,30,301
1375,2,37,484,1,14,265
1376,1,2,4,1,2,4
1378,1,5,15,1,3,11
1383,1,6,28,1,5,26
1386,3,45,396,3,18,209
1403,7,80,893,5,46,501
1404,4,31,328,4,21,208
1405,2,41,440,2,16,239
1407,6,101,1291,5,51,661
1408,3,60,708,3,29,377
1425,9,92,1130,5,50,645
1427,2,7,39,1,4,21
1430,2,28,287,2,13,148
1436,3,28,291,2,16,142
1488,31,348,6358,10,224,4160
1490,1,2,4,1,2,4
1493,11,92,824,7,76,661
1497,2,11,77,1,7,47
1498,3,27,259,3,15,125
1499,2,10,52,2,7,34
1508,3,64,1475,3,29,944
1511,3,34,367,2,16,219
1519,3,28,333,3,19,194
1520,6,98,1197,6,53,655
1545,14,151,1535,7,81,832
1549,4,17,85,3,13,62
1550,3,24,233,3,16,135
1551,1,3,7,1,2,5
1552,1,6,16,1,2,8
1556,3,6,18,1,4,10
1560,1,4,11,1,2,7
1561,1,11,126,1,6,59
1563,23,560,13314,21,500,11818
1588,19,258,3394,10,137,1832
1589,1,2,4,1,2,4
1594,5,57,483,4,28,272
1595,1,24,242,1,10,129
1599,1,7,41,1,4,24
1600,2,9,41,2,6,26
1606,5,66,644,4,30,342
1608,2,38,297,2,12,168
1611,3,38,357,3,19,208
1613,4,27,156,4,20,117
1620,7,101,1216,5,49,649
1621,2,6,18,2,6,18
1653,56,2569,121413,43,2053,96364
1656,4,10,36,2,8,26
1658,6,74,638,4,32,335
1660,4,21,106,4,20,101
1662,2,9,39,2,7,29
1667,9,155,3201,7,92,2343
1668,2,40,1282,2,38,1270
1669,1,3,7,1,2,5
1670,1,3,7,1,2,5
1672,4,26,184,3,17,113
1674,6,67,693,5,40,397
1675,1,13,137,1,8,93
1685,9,79,752,5,40,414
1694,10,189,4677,8,124,3410
1695,1,2,4,1,2,4
1696,2,15,92,2,8,54
1699,4,34,240,4,21,161
1711,8,60,563,4,35,331
1727,7,79,1205,4,46,894
1728,4,31,450,4,25,303
1736,6,37,280,4,28,198
1738,3,31,229,2,13,130
1765,8,43,444,3,28,239
1776,4,54,637,4,29,356
1782,2,15,141,2,10,81
