Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,3,25,184,3,16,120
5,2,26,319,2,13,152
16,9,67,552,4,41,336
20,2,14,95,1,7,53
27,1,2,4,1,2,4
30,4,18,93,3,14,71
38,2,18,173,2,10,107
39,2,17,155,2,11,92
40,2,6,18,2,6,18
44,1,11,100,1,6,54
45,1,2,4,1,2,4
49,2,6,18,2,6,18
97,30,267,3426,10,157,1782
116,14,149,1913,8,91,1035
129,1,8,34,1,3,18
132,2,13,60,2,8,45
136,7,96,1257,7,63,738
140,3,13,61,2,9,41
159,8,71,756,5,43,470
165,3,12,81,2,9,51
166,3,12,48,3,12,48
175,12,206,3306,7,102,1798
176,1,3,13,1,2,8
177,1,9,160,1,7,76
178,1,5,24,1,3,12
179,1,11,115,1,7,67
181,3,35,399,3,20,232
183,4,45,384,4,24,217
189,6,122,2196,6,67,1260
190,3,17,171,3,13,104
192,2,56,728,2,23,385
195,2,15,156,2,11,91
197,4,20,96,3,14,68
215,15,183,2200,9,107,1273
216,2,13,115,2,8,63
223,2,18,138,2,11,95
230,3,38,523,3,23,312
233,3,51,783,3,28,432
240,5,49,409,3,23,239
242,1,5,33,1,4,22
243,2,11,70,2,7,44
245,1,10,133,1,7,79
249,3,47,445,3,19,250
273,17,387,8180,13,221,4598
277,1,2,4,1,2,4
278,3,32,217,3,16,130
279,1,19,210,1,11,134
290,13,229,4311,9,144,2889
291,2,6,18,2,6,18
295,1,2,4,1,2,4
296,2,14,170,2,9,86
300,6,39,290,3,25,185
302,3,39,646,3,25,353
303,3,79,1015,3,32,541
305,2,26,353,2,17,182
334,6,34,326,4,25,188
338,3,66,1474,2,36,864
352,3,30,342,3,18,195
354,5,71,717,5,37,419
356,2,20,130,2,10,79
357,2,8,26,2,6,20
358,1,2,4,1,2,4
360,5,70,1042,4,41,641
361,31,1020,32964,31,992,31935
362,1,5,39,1,2,17
363,2,10,63,2,7,39
369,6,43,507,3,27,305
370,1,21,317,1,11,154
374,6,37,376,3,24,209
375,1,2,4,1,2,4
377,2,24,218,2,13,118
383,3,36,539,3,21,285
388,6,132,1859,4,53,955
414,9,106,1169,6,54,673
416,2,12,48,2,6,28
440,13,86,1012,4,51,527
442,4,78,869,3,31,476
443,3,37,404,3,20,243
457,15,372,8074,12,210,4594
458,1,17,241,1,10,136
464,3,28,408,3,20,219
477,8,71,613,5,38,336
478,2,29,211,2,12,119
480,5,88,1384,4,48,751
482,1,2,4,1,2,4
486,6,58,505,6,43,376
487,3,48,606,3,30,387
491,2,9,32,2,6,23
493,2,9,32,2,6,23
495,3,48,564,3,25,297
499,4,28,342,3,20,184
501,1,5,19,1,4,17
505,4,59,770,3,27,415
515,9,105,1195,7,72,799
554,33,800,17456,19,450,9915
555,1,7,37,1,3,19
575,8,24,136,2,16,69
577,3,12,48,3,12,48
582,4,14,58,2,10,39
643,35,564,10109,14,308,5421
644,2,16,112,2,9,70
645,3,26,374,3,20,226
646,4,30,249,4,21,157
647,1,5,18,1,3,11
652,5,89,1170,5,47,655
653,2,11,106,2,8,62
654,3,12,48,3,12,48
655,5,34,218,5,30,192
666,11,221,3170,7,96,1605
674,4,52,687,2,25,351
678,1,4,13,1,2,8
679,2,20,264,2,13,152
680,1,2,4,1,2,4
702,16,233,3002,9,123,1756
703,3,40,466,3,21,269
720,9,131,1847,6,70,1018
724,3,24,258,2,13,147
726,2,20,224,2,12,135
727,4,28,214,4,20,143
733,2,10,38,2,6,26
735,1,3,7,1,2,5
739,5,52,577,3,26,322
740,1,7,38,1,3,22
741,1,12,87,1,5,45
742,1,13,272,1,10,131
743,1,2,4,1,2,4
744,1,3,7,1,2,5
747,4,23,139,4,20,113
751,4,29,265,3,19,160
753,5,85,1092,5,43,571
754,1,7,50,1,5,37
760,3,18,93,2,11,61
764,8,120,1801,6,64,1005
768,4,38,363,4,24,220
769,1,2,4,1,2,4
773,4,32,307,2,17,171
777,5,98,1438,5,49,805
793,4,24,167,2,15,107
794,1,8,80,1,4,41
805,6,93,1218,4,42,649
806,1,17,117,1,6,61
818,9,105,1146,6,60,672
823,8,73,691,5,40,393
832,1,18,182,1,7,86
859,8,63,660,4,41,409
880,13,217,3766,7,115,2090
888,5,47,481,3,26,293
893,6,32,204,4,24,143
894,1,4,22,1,3,15
895,2,10,36,2,6,24
896,2,53,736,2,23,408
897,1,10,73,1,5,43
924,20,294,4162,11,147,2295
928,1,2,4,1,2,4
931,4,71,1368,3,33,734
932,1,2,4,1,2,4
934,2,26,355,2,16,185
942,7,97,1148,5,46,606
955,7,124,1709,6,62,882
962,4,37,288,3,20,184
965,3,30,332,3,17,181
969,3,43,635,3,25,333
976,8,126,1742,6,68,995
977,1,2,4,1,2,4
981,3,9,41,2,7,30
1003,10,96,1067,6,60,649
1008,2,19,138,2,9,82
1021,12,109,987,6,66,614
1025,8,176,3242,7,92,1812
1026,3,16,111,3,12,72
1027,3,26,286,3,17,162
1035,22,240,3330,8,151,1898
1036,3,35,363,3,17,215
1037,2,8,28,2,6,22
1048,2,55,636,2,20,367
1049,1,13,140,1,8,92
1052,2,25,249,2,14,145
1053,2,26,201,2,12,113
1078,11,78,690,5,44,371
1099,13,173,2901,7,105,1631
1101,1,20,210,1,9,116
1110,6,30,206,2,16,112
1116,6,66,702,4,36,395
1118,5,82,1214,4,41,675
1121,4,74,1191,3,39,655
1126,3,31,303,2,17,180
1127,1,6,74,1,5,40
1132,2,7,22,2,6,19
1141,6,25,159,3,18,100
1147,10,79,770,5,57,501
1149,2,37,633,2,19,298
1163,13,112,1210,5,58,657
1165,2,10,69,2,8,44
1166,1,16,307,1,12,169
1171,4,58,950,4,39,570
1174,11,115,1183,7,72,738
1176,4,23,126,4,20,109
1182,2,28,414,2,16,235
1185,5,67,1040,3,33,532
1186,1,2,4,1,2,4
1188,1,2,4,1,2,4
1189,1,6,48,1,4,29
1191,1,26,439,1,13,235
1195,5,44,467,5,32,286
1196,1,25,448,1,14,241
1197,1,14,151,1,8,90
1198,3,18,137,3,13,89
1202,2,17,121,1,7,68
1203,1,5,27,1,4,19
1227,23,307,5532,11,202,3121
1268,22,233,3243,10,138,1870
1270,2,15,163,2,10,94
1283,5,49,705,3,29,378
1292,5,63,731,5,40,457
1293,1,2,4,1,2,4
1299,2,45,425,2,16,234
1301,3,56,617,3,28,353
1306,6,127,1681,4,53,888
1337,6,70,926,3,34,525
1338,1,7,85,1,6,49
1344,5,47,510,4,31,293
1347,1,19,467,1,16,251
1441,65,771,13533,16,460,6590
1444,4,43,572,4,28,317
1481,29,445,7092,12,225,3734
1484,1,3,7,1,2,5
1488,4,14,54,2,10,38
1511,7,137,1841,5,58,994
1512,3,13,53,3,12,49
1514,4,45,625,4,32,336
1539,28,424,6461,13,232,3436
1552,6,41,406,4,31,262
1555,4,14,58,3,13,53
1559,3,48,421,3,21,240
1562,2,8,28,2,6,22
1563,1,24,413,1,14,252
1570,1,3,18,1,2,7
1579,3,35,309,3,18,184
1581,2,8,28,2,6,22
1590,14,158,2204,7,103,1274
1592,1,3,7,1,2,5
1593,1,22,353,1,12,179
1594,2,13,94,2,7,56
1597,2,15,163,2,12,100
1598,3,26,364,3,19,204
1613,7,117,2001,4,62,1135
1616,21,424,8318,18,371,7239
1620,2,7,23,2,6,20
1622,3,34,423,3,20,240
1627,9,67,707,5,44,416
1628,2,17,104,2,9,66
1629,1,32,676,1,18,383
1630,1,7,43,1,5,31
1631,2,25,218,2,12,119
1638,2,11,95,2,8,55
1653,11,171,2331,9,96,1326
1657,4,23,131,3,17,96
1660,2,21,115,2,8,62
1673,6,141,2800,6,79,1593
1691,5,51,605,4,31,360
1693,3,60,1261,3,29,696
1695,3,55,824,3,26,456
1696,1,9,103,1,7,57
1724,19,454,9897,12,247,5465
1737,10,78,686,6,52,434
1743,2,12,78,2,8,46
1747,6,58,505,6,43,376
1748,2,6,18,2,6,18
1765,11,184,3061,8,111,1781
1767,3,30,303,2,14,169
1768,2,9,34,2,6,23
1769,1,2,4,1,2,4
1770,1,2,4,1,2,4
1778,7,84,1224,5,46,675
1779,2,49,942,2,27,514
1783,5,44,423,4,27,254
1785,3,54,881,3,30,531
1789,1,16,160,1,9,100
1792,6,69,669,6,44,436
1827,11,290,5672,10,154,3210
1829,3,83,1191,3,34,617
1846,7,61,501,5,38,313
1847,2,6,18,2,6,18
1849,3,19,112,3,13,77
1851,2,11,50,2,7,34
1854,3,27,175,3,15,117
1856,2,10,43,2,7,31
1931,36,615,11420,15,352,6349
1932,1,3,16,1,2,8
1937,5,50,448,3,25,265
1973,3,23,180,3,15,114
1974,2,9,36,2,7,30
1985,1,2,4,1,2,4
2009,9,102,1272,7,68,788
2010,6,63,668,6,47,476
2013,3,22,214,2,13,112
2016,2,7,24,2,6,21
2022,7,129,1702,7,68,961
2038,10,96,1071,6,59,606
2044,6,24,140,2,14,75
2061,9,75,789,5,51,480
2070,3,32,501,3,22,278
2074,4,28,231,3,18,129
2075,2,26,285,2,14,166
2076,1,2,4,1,2,4
2079,3,61,948,3,27,550
2088,2,13,108,2,8,67
2101,16,160,2069,9,113,1306
2108,3,64,885,3,27,438
2110,7,96,1392,5,58,840
2111,2,8,48,2,6,30
2117,2,10,56,2,7,29
2121,3,18,132,2,12,85
2123,3,40,405,3,20,230
2124,3,33,371,3,20,218
2125,2,9,56,2,6,29
2127,1,17,162,1,6,86
2128,1,15,224,1,10,132
2168,11,155,1907,8,86,1126
2169,3,19,105,3,12,71
2170,1,2,4,1,2,4
2172,4,35,391,3,18,202
2177,13,260,5088,9,149,2893
2194,12,114,1267,6,67,716
2198,5,51,730,4,35,416
2254,16,151,1856,7,95,1064
2255,1,2,4,1,2,4
2270,10,89,911,5,48,506
2272,1,6,23,1,3,15
2285,5,68,1072,4,42,648
2287,3,14,60,3,12,52
2317,24,542,11575,15,299,6518
2318,2,17,90,2,7,51
2327,4,34,167,3,13,94
2328,2,26,137,2,8,73
2332,5,14,56,2,11,38
2336,4,23,208,3,17,125
2337,2,9,36,2,6,25
2339,1,5,43,1,4,22
2342,7,36,218,5,34,202
2343,5,32,196,5,30,184
2371,27,461,7836,13,274,4616
2372,2,11,58,2,9,52
2375,6,71,778,5,38,443
2377,3,57,896,3,31,482
2394,11,204,4064,9,124,2322
2410,18,236,3200,9,131,1788
2411,2,14,114,2,8,66
2416,7,149,2272,5,64,1258
2424,9,69,777,3,36,370
2432,5,39,519,3,23,278
2433,1,13,90,1,5,50
2442,5,62,725,4,33,396
2454,4,33,330,2,15,160
2457,4,39,458,4,26,259
2459,6,59,579,4,35,367
2461,2,10,48,2,7,35
2465,1,4,10,1,2,6
2469,3,35,430,2,20,240
2470,2,41,744,2,23,424
2472,2,18,368,2,13,166
2508,14,227,4078,9,136,2335
2511,8,60,487,5,44,331
2512,1,30,475,1,13,238
2514,1,3,24,1,2,11
2516,1,16,151,1,7,81
2517,1,2,4,1,2,4
2518,3,56,598,3,25,373
2525,5,39,337,4,25,217
2536,7,39,461,4,31,251
2537,4,39,467,4,29,303
2555,8,90,1023,6,55,632
2557,3,63,1140,3,35,610
2558,2,24,152,2,9,83
2560,2,17,88,2,7,51
2600,22,238,2943,10,137,1690
2602,3,59,627,3,27,342
2619,11,129,1562,6,68,790
2658,9,218,4653,8,126,2677
2659,1,2,4,1,2,4
2662,2,6,18,2,6,18
2665,2,4,10,1,3,7
2670,4,50,1008,3,34,543
2678,3,15,78,2,9,49
2679,1,38,811,1,18,425
2680,4,34,363,4,26,242
2689,6,45,363,5,33,252
2690,3,12,48,3,12,48
2693,1,13,147,1,8,79
2695,2,24,283,2,16,175
2698,4,159,3696,4,76,2008
2701,3,25,187,2,13,112
2702,2,11,72,2,7,42
2704,2,21,293,1,12,176
2705,5,72,989,5,37,528
2711,1,2,4,1,2,4
2714,1,13,192,1,8,116
2716,2,4,10,1,3,7
2717,2,11,77,2,8,48
2729,9,57,566,4,35,308
2735,1,3,16,1,2,9
2737,1,17,351,1,13,199
2754,8,54,455,4,36,280
2758,1,7,51,1,4,26
2762,1,9,154,1,6,70
2763,2,17,182,2,10,130
2765,3,81,1107,3,28,597
2784,9,109,1569,6,68,902
2790,4,21,125,3,14,88
2794,10,149,2731,8,111,2229
2795,2,11,91,2,7,55
2799,6,71,978,5,46,601
2829,4,36,409,3,21,218
2834,2,54,977,2,28,532
2842,3,14,116,2,10,65
2869,16,210,2884,11,137,1761
2872,1,7,74,1,6,47
2882,10,161,2222,7,82,1253
2883,2,15,94,2,9,60
2885,1,2,4,1,2,4
2891,5,47,527,3,30,291
2893,3,34,406,2,17,209
2895,2,9,35,2,6,24
2934,16,239,3505,9,136,2070
2939,3,30,321,2,14,185
2940,1,3,7,1,2,5
2943,3,38,452,3,22,266
2945,1,20,223,1,8,125
2948,3,47,553,3,23,317
2964,10,100,1095,5,46,582
2965,2,11,83,2,8,50
2995,11,98,962,5,55,552
3000,2,15,117,2,9,73
3011,3,55,393,3,20,238
3012,1,3,15,1,2,9
3015,3,21,142,2,12,88
3029,6,68,806,4,38,446
3033,2,18,253,2,11,157
3035,2,14,137,2,10,90
3037,2,12,57,2,7,38
3038,2,24,246,2,13,140
3046,4,39,344,3,22,204
3050,6,74,886,4,37,512
3051,2,8,48,2,6,32
3088,27,496,9755,13,291,5497
3091,3,32,219,3,15,129
3093,3,26,191,2,13,116
3094,3,55,891,3,31,482
