Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,1,5,20,1,4,18
2,1,6,27,1,4,22
3,1,5,20,1,4,18
4,1,6,27,1,4,20
5,1,6,26,1,4,20
6,1,6,26,1,4,20
7,1,6,28,1,4,20
8,1,5,19,1,4,15
9,1,5,22,1,4,17
10,1,4,15,1,3,11
11,1,4,16,1,3,12
12,1,7,28,1,3,18
13,1,4,13,1,3,10
14,1,5,23,1,4,16
15,1,6,25,1,3,16
16,1,6,27,1,4,18
17,1,4,17,1,3,12
18,1,5,22,1,4,19
19,1,6,26,1,4,19
20,1,5,22,1,4,19
21,1,6,27,1,4,21
22,1,6,27,1,4,20
23,1,6,27,1,4,19
24,1,6,29,1,4,21
25,1,5,22,1,3,14
26,1,6,26,1,4,22
27,1,6,23,1,3,17
28,1,6,27,1,4,21
29,1,5,22,1,4,16
30,1,5,21,1,4,15
31,1,6,25,1,4,20
32,1,5,21,1,4,17
33,1,6,27,1,4,20
34,1,6,26,1,4,20
35,1,5,19,1,4,17
36,1,6,29,1,5,25
37,1,5,20,1,4,17
38,1,6,27,1,4,22
39,1,6,29,1,4,21
40,1,6,26,1,4,20
41,1,6,28,1,5,25
42,1,6,29,1,4,23
43,1,6,29,1,5,26
44,1,6,30,1,5,23
45,1,6,32,1,5,26
46,1,6,27,1,4,21
47,1,6,26,1,4,21
48,1,8,42,1,5,33
49,1,8,40,1,5,33
50,1,6,30,1,5,23
51,1,6,29,1,4,22
52,1,6,27,1,4,20
53,1,4,17,1,3,12
54,1,6,33,1,5,24
55,1,5,24,1,4,19
56,1,6,28,1,5,26
57,1,6,28,1,5,24
58,1,5,23,1,4,18
59,1,6,26,1,4,21
60,1,4,16,1,3,12
61,1,8,40,1,5,30
62,1,5,22,1,4,19
63,1,6,28,1,5,25
64,1,6,28,1,5,26
65,1,5,22,1,4,20
66,1,6,28,1,4,21
67,1,6,26,1,4,20
68,1,5,21,1,4,18
69,1,5,21,1,4,19
70,1,5,21,1,4,18
71,1,6,28,1,5,23
72,1,5,21,1,4,17
73,1,6,27,1,4,21
74,1,6,28,1,5,26
75,1,6,28,1,5,26
76,1,6,28,1,5,25
77,1,6,25,1,4,19
78,1,6,26,1,4,20
79,1,6,27,1,4,21
80,1,6,29,1,5,26
81,1,6,29,1,5,26
82,1,6,28,1,5,23
83,1,6,26,1,4,19
84,1,6,26,1,4,20
85,1,6,28,1,5,25
86,1,6,28,1,5,25
87,1,6,29,1,5,24
88,1,6,26,1,4,20
89,1,6,27,1,4,22
90,1,5,22,1,4,19
91,1,5,22,1,4,18
92,1,5,23,1,4,19
93,1,5,22,1,4,19
94,1,6,28,1,4,21
95,1,6,25,1,4,19
96,1,6,27,1,4,22
97,1,5,22,1,4,18
98,1,6,28,1,5,22
99,1,5,21,1,4,18
100,1,5,21,1,4,18
101,1,6,28,1,4,22
102,1,6,30,1,5,23
103,1,6,26,1,4,20
104,1,5,21,1,4,19
105,1,5,20,1,4,17
106,1,6,28,1,5,26
107,1,5,23,1,4,18
108,1,6,29,1,4,21
109,1,6,28,1,5,25
110,1,5,21,1,4,16
111,1,6,29,1,5,24
112,1,6,28,1,4,22
113,1,6,30,1,4,23
114,1,6,29,1,5,23
115,1,6,25,1,4,21
116,1,5,22,1,4,19
117,1,5,22,1,4,18
118,1,5,23,1,4,20
119,1,6,28,1,5,24
120,1,6,29,1,5,25
121,1,5,23,1,4,17
122,1,5,22,1,4,17
123,1,5,19,1,3,14
124,1,5,19,1,4,15
125,1,7,33,1,5,25
126,1,5,22,1,4,18
127,1,6,26,1,4,20
128,1,6,26,1,4,20
129,1,5,21,1,4,17
130,1,6,28,1,5,26
131,1,6,28,1,5,24
132,1,6,27,1,4,22
133,1,6,27,1,4,21
134,1,6,26,1,4,20
135,1,5,21,1,4,17
136,1,6,26,1,4,20
137,1,6,27,1,4,20
138,1,6,28,1,5,25
139,1,6,27,1,4,21
140,1,6,28,1,5,25
141,1,6,27,1,4,21
142,1,6,29,1,5,26
143,1,6,27,1,4,23
144,1,5,21,1,4,18
145,1,6,28,1,5,26
146,1,5,21,1,4,19
147,1,6,29,1,5,24
148,1,6,28,1,5,24
149,1,6,27,1,4,22
150,1,7,33,1,5,27
151,1,5,22,1,4,19
152,1,6,28,1,5,25
153,1,6,28,1,5,23
154,1,6,27,1,4,21
155,1,5,21,1,4,17
156,1,6,28,1,5,25
157,1,5,20,1,4,17
158,1,6,28,1,5,25
159,1,6,28,1,5,24
160,1,6,27,1,4,20
161,1,5,23,1,4,19
162,1,6,27,1,4,22
163,1,6,29,1,4,22
164,1,5,21,1,4,19
165,1,6,28,1,5,26
166,1,6,29,1,5,24
167,1,6,29,1,5,24
168,1,7,32,1,4,25
169,1,6,28,1,5,26
170,1,6,27,1,4,22
171,1,6,28,1,5,23
172,1,5,20,1,4,17
173,1,6,29,1,5,26
174,1,6,28,1,4,21
175,1,8,41,1,5,31
176,1,6,28,1,4,23
177,1,6,27,1,4,22
178,1,4,16,1,3,12
179,1,6,26,1,4,22
180,1,6,28,1,4,21
181,1,6,28,1,4,20
182,1,6,27,1,4,23
183,1,5,22,1,4,19
184,1,5,21,1,4,18
185,1,6,27,1,4,23
186,1,5,20,1,4,17
187,1,6,28,1,4,20
188,1,6,29,1,5,25
189,1,6,29,1,4,23
190,1,6,28,1,5,26
191,1,6,28,1,5,24
192,1,5,23,1,4,19
193,1,4,14,1,3,11
194,1,6,28,1,5,24
195,1,5,22,1,4,19
196,1,6,27,1,4,23
197,1,5,21,1,4,17
198,1,3,9,1,2,6
199,1,4,13,1,3,10
200,1,5,22,1,4,19
201,1,6,27,1,4,19
202,1,5,19,1,4,17
203,1,5,20,1,3,14
204,1,4,14,1,3,10
205,1,5,22,1,4,15
206,1,5,19,1,4,17
207,1,6,27,1,4,20
208,1,6,26,1,4,20
209,1,5,20,1,4,16
210,1,3,10,1,2,6
211,1,4,15,1,3,11
212,1,5,21,1,4,17
213,1,4,15,1,3,12
214,1,3,10,1,2,7
215,1,6,27,1,4,20
216,1,6,25,1,4,19
217,1,6,26,1,4,20
218,1,6,27,1,4,20
219,1,6,26,1,4,20
220,1,4,16,1,3,12
221,1,6,26,1,4,20
222,1,6,26,1,4,20
223,1,6,26,1,4,22
224,1,5,21,1,4,18
225,1,5,20,1,3,15
226,1,5,21,1,4,17
227,1,6,25,1,4,20
228,1,6,27,1,4,20
229,1,4,14,1,3,12
230,1,6,28,1,5,23
231,1,5,23,1,4,18
232,1,6,25,1,4,20
233,1,5,21,1,4,17
234,1,5,20,1,4,17
235,1,5,23,1,4,18
236,1,6,25,1,4,21
237,1,6,25,1,4,20
238,1,5,20,1,4,17
239,1,5,21,1,4,17
240,1,4,16,1,3,12
241,1,5,22,1,4,17
242,1,6,25,1,4,20
243,1,5,22,1,4,17
244,1,6,26,1,4,20
245,1,6,25,1,4,18
246,1,4,15,1,3,12
247,1,5,21,1,4,17
248,1,5,21,1,4,18
249,1,6,27,1,4,20
250,1,5,20,1,4,18
251,1,6,28,1,5,23
252,1,5,23,1,4,18
253,1,6,28,1,5,23
254,1,5,23,1,4,18
255,1,6,28,1,4,21
256,1,6,28,1,4,21
257,1,6,29,1,5,24
258,1,6,29,1,4,22
259,1,6,29,1,5,23
260,1,5,21,1,4,17
261,1,5,20,1,4,18
262,1,6,26,1,4,22
263,1,6,28,1,5,23
264,1,6,26,1,4,21
265,1,6,28,1,4,21
266,1,5,20,1,4,17
267,1,6,25,1,4,20
268,1,5,20,1,4,17
269,1,5,20,1,4,17
270,1,5,20,1,4,17
271,1,5,20,1,4,18
272,1,5,20,1,4,17
273,1,5,20,1,4,17
274,1,8,38,1,5,29
275,1,6,27,1,4,21
276,1,6,25,1,4,21
277,1,6,24,1,4,20
278,1,6,24,1,4,19
279,1,5,22,1,4,18
280,1,6,26,1,4,21
281,1,4,15,1,3,12
282,1,5,21,1,4,17
283,1,5,20,1,4,17
284,1,6,26,1,4,19
285,1,5,24,1,4,17
286,1,5,22,1,4,18
287,1,6,27,1,4,20
288,1,5,19,1,4,17
289,1,5,21,1,4,18
290,1,5,22,1,4,17
291,1,6,27,1,4,20
292,1,6,28,1,5,24
293,1,6,27,1,4,21
294,1,6,28,1,5,23
295,1,5,21,1,4,19
296,1,6,26,1,4,19
297,1,5,21,1,4,17
298,1,5,22,1,4,17
299,1,5,21,1,4,18
300,1,6,28,1,5,23
301,1,6,27,1,4,22
302,1,5,21,1,4,17
303,1,5,21,1,4,17
304,1,6,26,1,4,21
305,1,6,26,1,4,20
306,1,6,27,1,4,23
307,1,5,22,1,4,18
308,1,5,21,1,4,18
309,1,5,22,1,4,18
310,1,5,22,1,4,20
311,1,5,22,1,4,19
312,1,6,27,1,4,23
313,1,6,28,1,4,21
314,1,6,26,1,4,21
315,1,6,28,1,5,23
316,1,6,28,1,4,22
317,1,6,29,1,5,22
318,1,6,28,1,5,24
319,1,4,15,1,3,12
320,1,5,20,1,4,17
321,1,6,27,1,4,20
322,1,6,26,1,4,20
323,1,6,28,1,5,23
324,1,6,27,1,4,23
325,1,5,22,1,4,19
326,1,6,27,1,4,23
327,1,5,22,1,4,20
328,1,5,20,1,4,17
329,1,6,27,1,4,23
330,1,6,27,1,4,23
331,1,6,28,1,5,26
332,1,6,28,1,5,26
333,1,6,28,1,5,26
334,1,6,27,1,4,22
335,1,6,28,1,5,25
336,1,5,22,1,4,19
337,1,6,27,1,4,22
338,1,6,28,1,5,26
339,1,6,28,1,5,26
340,1,6,27,1,4,23
341,1,6,29,1,4,22
342,1,6,28,1,5,25
343,1,6,28,1,4,20
344,1,6,28,1,5,24
345,1,6,27,1,4,23
346,1,6,28,1,5,25
347,1,6,28,1,5,25
348,1,6,28,1,5,26
349,1,6,28,1,4,22
350,1,6,27,1,4,22
351,1,6,28,1,5,26
352,1,6,28,1,5,25
353,1,6,27,1,4,23
354,1,6,28,1,5,24
355,1,6,27,1,4,21
356,1,6,28,1,5,24
357,1,6,28,1,5,25
358,1,5,21,1,4,19
359,1,6,27,1,4,22
360,1,6,27,1,4,21
361,1,6,28,1,5,23
362,1,6,27,1,4,21
363,1,6,28,1,5,24
364,1,6,27,1,4,22
365,1,6,28,1,5,24
366,1,6,27,1,4,20
367,1,6,27,1,4,21
368,1,6,28,1,5,25
369,1,6,29,1,5,24
370,1,6,28,1,5,25
371,1,6,28,1,5,26
