Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,1,9,217,1,7,106
1,10,152,2626,7,87,1382
2,7,77,953,5,51,597
3,18,310,7457,11,196,3727
4,1,6,47,1,5,33
5,1,73,1478,1,21,713
6,20,262,3671,10,163,2200
7,8,177,3347,5,57,1425
8,1,4,25,1,3,17
9,8,86,1049,3,36,488
10,1,7,241,1,5,73
11,5,60,1306,5,39,640
12,2,127,2633,2,37,1216
13,29,1045,34158,17,496,17372
14,4,53,786,4,37,526
15,5,320,6367,4,75,3047
16,34,1288,37161,21,576,18347
17,7,472,17469,6,195,9427
18,24,400,9719,12,229,4332
19,4,19,133,3,13,79
20,6,87,2454,3,49,1093
21,2,26,344,2,15,220
22,1,120,2849,1,30,1334
23,5,49,680,4,33,393
24,1,13,123,1,8,90
25,1,101,3542,1,38,1827
26,1,4,15,1,3,11
27,7,130,3232,5,78,1656
28,3,210,6514,3,82,3371
29,8,208,3548,7,100,2029
30,8,242,9864,7,134,4550
31,3,141,3089,3,44,1362
32,13,205,4151,9,127,2255
33,24,744,20772,16,359,10098
34,5,48,927,5,36,471
35,10,133,2282,8,90,1271
36,1,7,100,1,5,61
37,1,20,489,1,10,161
38,7,154,4147,5,84,2049
39,2,123,3558,2,50,1777
40,4,169,5586,4,82,2807
41,7,241,5047,5,73,2751
42,3,63,1471,3,28,746
43,2,14,438,2,9,170
44,7,330,11178,6,147,5766
45,10,123,2245,7,78,1131
46,2,35,301,2,15,196
47,21,736,19882,17,399,11149
48,3,34,424,3,21,252
49,12,667,17404,9,225,8671
50,1,4,22,1,3,13
51,1,8,25,1,3,15
52,2,149,2357,2,30,1252
53,3,39,591,2,22,328
54,28,995,27869,18,458,13930
55,3,23,262,2,12,124
56,6,49,614,5,35,339
57,1,7,495,1,6,159
58,10,329,8916,7,145,4286
59,5,70,1053,4,37,589
60,2,9,66,2,7,41
61,2,13,226,2,10,81
62,1,7,310,1,6,107
63,4,24,152,3,13,89
64,2,22,501,2,16,259
65,2,12,92,2,7,48
66,1,4,19,1,3,13
67,6,51,893,4,37,456
68,10,267,6717,7,120,3276
69,1,120,2832,1,32,1386
70,9,158,3025,7,81,1544
71,3,37,694,3,22,352
72,1,15,465,1,10,166
73,14,548,16863,12,272,8729
74,1,3,13,1,2,8
75,13,282,6406,9,156,3311
76,1,17,160,1,10,115
77,2,45,1944,2,33,843
78,14,334,8373,9,161,3874
79,2,69,1751,2,34,897
80,6,135,2852,6,68,1408
81,10,252,11148,7,155,5651
82,3,20,185,3,14,119
83,1,82,2322,1,29,1324
84,1,15,198,1,6,90
85,9,191,5081,6,96,2530
86,1,27,747,1,16,344
87,1,12,229,1,7,111
88,1,17,240,1,9,147
89,1,26,566,1,16,293
90,1,15,356,1,9,147
91,3,38,301,3,18,181
92,3,22,428,3,17,209
93,1,5,116,1,3,50
94,2,30,286,2,13,151
95,17,474,10635,13,240,5823
96,1,114,1026,1,14,435
97,10,305,8494,8,171,4699
98,12,574,13257,9,183,5963
99,1,51,545,1,12,266
100,1,3,56,1,2,15
101,10,269,7945,8,144,3630
102,10,422,15503,8,202,7895
103,13,432,10110,9,180,4896
104,29,409,7777,12,228,3779
105,2,46,1011,2,23,444
106,20,484,10480,13,246,5221
107,5,196,4445,4,56,2073
108,6,86,2491,5,61,1239
109,4,119,2330,4,47,1033
110,89,2334,86295,28,1325,40447
111,3,22,227,2,14,127
112,45,1358,42013,20,626,18122
113,44,2034,80081,28,1020,40907
114,4,127,3421,4,57,1683
115,1,15,317,1,11,164
116,6,123,2793,6,77,1600
117,3,8,139,1,6,30
118,1,45,545,1,14,307
119,5,149,4064,4,61,1968
120,8,106,2036,7,75,1148
121,8,160,2378,6,68,1175
122,17,165,2435,9,108,1308
123,5,54,1018,4,31,433
124,3,37,567,2,18,249
125,2,22,526,2,15,244
126,6,67,1025,5,41,509
127,1,73,1478,1,21,713
128,1,105,3261,1,34,1719
129,1,7,76,1,6,51
130,5,184,5828,5,83,2784
131,26,882,26809,17,434,13530
132,1,40,1172,1,21,554
133,12,96,1005,5,53,495
134,1,8,143,1,7,89
135,11,376,9110,9,165,4649
136,29,720,25423,16,408,12623
137,1,175,2310,1,25,1215
138,5,220,7741,4,97,4136
139,12,241,5836,8,127,2957
140,14,536,11983,8,169,5648
141,5,100,2074,5,53,1024
142,3,17,211,2,14,127
143,2,200,2583,2,35,1380
144,4,88,2528,2,32,1189
145,3,115,3484,3,42,1748
146,3,39,1321,3,27,509
147,3,26,718,3,17,257
148,3,149,3215,3,47,1641
149,26,720,17408,15,328,8753
150,1,11,160,1,8,90
151,8,374,9335,7,128,4939
152,3,225,6396,3,83,3542
153,3,24,494,3,17,187
154,1,25,484,1,14,269
155,4,20,260,3,15,128
156,1,4,34,1,3,17
157,1,11,314,1,9,151
158,4,57,563,4,28,310
159,10,284,6646,8,129,3432
160,2,70,1460,2,31,709
161,13,184,4134,8,117,1906
162,1,36,1157,1,17,515
163,1,3,15,1,2,9
164,5,119,3013,5,66,1369
165,1,19,697,1,14,301
166,19,602,17830,13,308,9203
167,20,364,5517,13,191,3076
168,4,112,3047,4,52,1507
169,6,36,655,3,25,238
170,1,175,2310,1,25,1215
171,6,162,2512,4,48,1161
172,1,7,55,1,4,32
173,1,14,334,1,9,165
174,7,213,4651,5,89,2451
175,10,106,2201,4,55,1100
176,1,19,431,1,12,226
177,7,46,666,4,29,293
178,15,518,16593,13,271,8003
179,10,117,1484,6,69,874
180,1,28,395,1,12,172
181,4,37,1011,3,26,506
182,1,9,169,1,6,72
183,10,189,2905,8,100,1583
184,23,985,26845,16,410,13305
185,3,61,2762,2,39,1397
186,3,27,237,3,15,139
187,37,861,23523,16,465,11861
188,4,236,5891,4,75,2735
189,1,114,1026,1,14,435
190,4,31,197,3,18,122
191,2,166,6300,2,68,3279
192,7,294,7499,6,118,3663
193,1,5,72,1,4,34
194,2,10,99,2,8,57
195,2,126,2082,2,27,928
196,1,11,97,1,6,60
197,5,37,839,4,26,299
198,2,32,659,2,20,371
199,2,144,2093,2,33,1020
200,1,19,513,1,9,171
201,3,26,193,2,13,128
202,2,21,820,2,15,347
203,4,114,3459,3,53,1794
204,9,222,4301,7,95,2308
205,1,15,267,1,10,156
206,2,10,131,2,9,72
207,1,7,78,1,4,32
208,4,43,362,3,23,216
209,16,761,24555,11,293,12666
210,1,4,69,1,3,27
211,8,243,6878,8,119,3306
212,51,965,20421,18,500,10129
213,47,1566,45218,23,734,21842
214,2,10,81,1,6,40
215,1,8,99,1,3,39
216,25,362,5706,13,244,3672
217,6,58,654,4,31,323
218,4,23,354,3,18,182
219,6,364,10389,6,139,5014
220,1,24,445,1,13,227
221,39,1215,31999,19,492,14551
222,5,116,2382,5,56,1100
223,9,194,5427,7,105,2369
224,1,125,4134,1,40,2252
225,4,24,305,2,14,142
226,22,437,8699,13,238,4668
227,2,16,261,2,11,143
228,22,448,9942,13,258,5116
229,3,54,1518,3,28,816
230,4,17,154,2,13,93
231,2,20,176,2,12,101
232,17,873,23497,13,313,10844
233,3,49,1453,3,32,690
234,4,65,1478,3,29,751
235,2,33,634,2,19,352
236,1,16,190,1,7,96
237,1,18,891,1,14,327
238,4,66,782,4,31,439
239,3,9,43,1,6,28
240,5,265,5428,4,66,2612
241,6,101,1438,5,55,871
242,1,3,12,1,2,8
243,10,161,2389,8,99,1435
244,33,951,33282,15,474,16463
245,1,8,25,1,3,15
246,3,30,382,3,17,176
247,1,7,95,1,6,46
248,1,4,18,1,3,11
249,2,11,195,2,7,61
