Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,2,7,22,2,6,19
2,3,8,26,2,7,22
3,2,7,22,2,6,19
4,1,4,12,1,3,10
5,4,20,100,4,20,100
6,4,20,100,4,20,100
7,4,20,100,4,20,100
8,4,20,100,4,20,100
9,4,20,100,4,20,100
10,4,17,75,3,13,58
11,1,5,22,1,4,17
12,6,21,97,3,17,72
13,3,16,70,3,12,54
14,3,16,70,3,12,54
15,2,10,41,2,7,31
16,2,10,41,2,7,31
17,1,7,28,1,4,21
18,7,32,172,4,29,148
19,3,16,80,3,13,68
20,3,16,80,3,13,68
21,3,16,80,3,13,68
22,4,23,124,4,20,109
23,4,23,124,4,20,109
24,4,23,124,4,20,109
25,4,23,124,4,20,109
26,2,6,18,2,6,18
27,2,6,18,2,6,18
28,2,6,18,2,6,18
29,2,6,18,2,6,18
30,2,6,18,2,6,18
31,2,6,18,2,6,18
32,2,12,56,2,8,40
33,5,22,108,3,16,76
34,5,22,108,3,16,76
35,4,20,94,3,14,68
36,4,20,94,3,14,68
37,2,12,56,2,8,40
38,2,6,18,2,6,18
39,2,6,18,2,6,18
40,2,6,18,2,6,18
41,10,136,1302,6,58,764
42,2,14,164,2,10,78
43,2,14,164,2,10,78
44,34,255,3451,8,168,1666
45,27,254,3163,8,155,1627
46,21,202,2727,8,124,1362
47,4,81,769,4,30,439
48,15,100,928,6,74,599
49,12,98,861,6,69,586
50,6,108,1151,5,45,628
51,3,40,374,3,21,222
52,9,108,1019,5,49,582
53,4,84,826,4,33,475
54,16,177,1988,8,101,1134
55,10,148,1742,8,80,980
56,8,140,1596,8,72,916
57,8,140,1596,8,72,916
58,4,50,455,4,24,264
59,6,64,555,4,30,316
60,6,64,555,4,30,316
61,8,68,579,4,34,332
62,3,41,310,2,14,194
63,1,35,290,1,9,177
64,3,61,579,3,22,336
65,3,61,579,3,22,336
66,4,50,455,4,24,264
67,4,50,455,4,24,264
68,4,50,455,4,24,264
69,8,140,1596,8,72,916
70,8,140,1596,8,72,916
71,3,85,796,3,27,474
72,2,45,408,2,15,232
73,5,98,1015,5,39,570
74,5,98,1015,5,39,570
75,4,73,751,4,32,436
76,4,73,751,4,32,436
77,4,58,509,4,24,286
78,2,57,514,2,18,310
79,4,89,868,3,30,499
80,3,68,666,3,22,375
81,7,72,686,5,40,405
82,14,105,991,6,64,574
83,7,72,686,5,40,405
84,6,71,681,5,37,396
85,14,129,1223,6,70,682
86,2,43,426,2,16,241
87,10,94,904,6,55,536
88,4,59,595,4,28,336
89,4,59,595,4,28,336
90,2,43,402,2,16,235
91,4,57,537,4,27,316
92,5,30,180,5,30,180
93,5,30,180,5,30,180
94,5,30,180,5,30,180
95,5,30,180,5,30,180
96,5,30,180,5,30,180
97,5,30,180,5,30,180
98,1,2,4,1,2,4
99,1,2,4,1,2,4
100,2,20,133,2,9,71
101,6,32,195,3,20,117
102,12,81,541,4,42,305
103,4,18,94,3,14,66
104,2,12,62,2,8,42
105,3,16,82,3,12,58
106,3,16,82,3,12,58
107,27,159,1535,7,91,741
108,4,32,211,3,17,121
109,3,22,157,3,13,85
110,3,22,157,3,13,85
111,10,54,361,4,36,224
112,4,23,153,3,14,86
113,3,39,295,3,19,190
114,3,22,148,3,13,82
115,3,22,148,3,13,82
116,1,13,94,1,5,47
117,3,15,93,3,12,63
118,6,48,359,3,27,216
119,3,15,93,3,12,63
120,3,15,93,3,12,63
121,19,134,1245,6,82,695
122,5,50,416,4,26,238
123,9,82,730,5,45,425
124,9,60,491,5,37,286
125,8,59,481,5,36,280
126,3,15,141,2,10,71
127,2,14,137,2,9,68
128,2,20,217,2,12,125
129,2,20,217,2,12,125
130,8,52,433,4,40,293
131,4,36,337,4,24,213
132,4,36,337,4,24,213
133,4,36,337,4,24,213
134,1,10,70,1,6,43
135,4,29,190,3,19,126
136,6,32,215,3,20,130
137,5,50,418,5,31,248
138,2,19,138,2,12,85
139,2,19,138,2,12,85
140,1,4,19,1,3,13
141,2,6,18,2,6,18
142,2,6,18,2,6,18
143,2,6,18,2,6,18
144,19,157,1535,7,124,1128
145,9,80,749,7,63,581
146,7,54,421,4,37,325
147,3,38,329,3,21,245
148,12,89,777,5,61,555
149,9,93,902,7,65,647
150,10,96,943,7,68,671
151,9,93,902,7,65,647
152,4,51,490,4,32,354
153,3,41,386,3,24,280
154,7,77,762,7,56,554
155,9,92,892,7,64,639
156,7,77,762,7,56,554
157,7,77,762,7,56,554
158,7,70,657,7,56,523
159,7,70,657,7,56,523
160,7,70,657,7,56,523
161,7,70,657,7,56,523
162,7,70,657,7,56,523
163,7,70,657,7,56,523
164,4,23,146,4,20,117
165,4,23,146,4,20,117
166,4,23,146,4,20,117
167,4,23,146,4,20,117
168,2,6,18,2,6,18
169,2,6,18,2,6,18
170,2,6,18,2,6,18
171,12,75,613,5,48,354
172,3,36,259,3,18,153
173,11,82,681,5,47,381
174,10,66,509,5,40,294
175,11,78,652,5,49,385
176,2,25,178,2,12,109
177,5,52,384,4,27,228
178,3,31,236,3,17,141
179,5,50,406,4,28,236
180,5,50,406,4,28,236
181,4,36,277,4,22,166
182,2,16,107,2,9,66
183,2,16,107,2,9,66
184,4,46,410,3,24,222
185,15,144,1215,8,73,697
186,14,120,1052,6,68,593
187,2,15,112,2,9,65
188,2,15,112,2,9,65
189,2,15,112,2,9,65
190,2,15,112,2,9,65
191,3,17,97,2,11,63
192,6,27,160,2,16,94
193,2,18,111,2,9,65
194,3,15,72,3,12,56
195,3,15,72,3,12,56
196,3,15,72,3,12,56
197,6,27,143,3,20,103
198,8,39,244,4,29,172
199,2,16,82,2,9,58
200,2,16,82,2,9,58
201,3,36,267,3,16,139
202,3,36,267,3,16,139
203,3,36,267,3,16,139
204,9,66,459,4,36,277
205,17,119,1007,6,76,616
206,5,60,495,4,30,264
207,4,53,433,4,25,235
208,9,96,794,6,54,523
209,8,65,528,4,35,285
210,7,62,467,5,29,246
211,2,35,243,2,12,127
212,6,49,375,3,24,189
213,5,44,299,2,19,160
214,1,28,187,1,8,99
215,2,31,221,2,11,113
216,3,50,387,3,19,204
217,2,31,221,2,11,113
218,1,28,187,1,8,99
219,2,31,221,2,11,113
220,2,31,221,2,11,113
221,2,43,331,2,15,176
222,1,28,187,1,8,99
223,3,36,267,3,16,139
224,3,36,267,3,16,139
225,3,36,267,3,16,139
226,2,8,29,2,6,22
227,4,13,51,2,10,39
228,2,8,29,2,6,22
229,4,17,69,3,14,60
230,1,5,18,1,3,13
231,2,6,18,2,6,18
232,2,6,18,2,6,18
233,2,6,18,2,6,18
234,2,8,29,2,6,21
235,4,13,47,2,9,33
236,2,8,29,2,6,21
237,4,13,47,2,9,33
238,1,5,18,1,3,12
239,2,6,18,2,6,18
240,2,6,18,2,6,18
241,2,6,18,2,6,18
242,9,77,698,5,49,395
243,4,43,333,4,23,208
244,15,92,840,5,64,470
245,4,43,333,4,23,208
246,5,48,383,4,27,235
247,4,44,339,4,23,212
248,6,85,719,6,41,410
249,4,44,339,4,23,212
250,3,24,164,3,14,106
251,3,24,164,3,14,106
252,3,24,164,3,14,106
253,2,32,268,2,15,152
254,2,19,130,2,9,82
255,2,19,130,2,9,82
256,2,6,18,2,6,18
257,2,6,18,2,6,18
258,2,6,18,2,6,18
259,2,7,22,2,6,19
260,3,8,26,2,7,22
261,2,7,22,2,6,19
262,1,4,12,1,3,10
263,1,2,4,1,2,4
264,1,2,4,1,2,4
265,1,2,4,1,2,4
266,1,2,4,1,2,4
267,1,4,16,1,3,12
268,3,12,56,2,9,44
269,6,29,154,4,24,126
270,2,11,52,2,8,41
271,1,6,28,1,5,26
272,5,22,112,4,21,106
273,4,21,106,4,20,101
274,4,21,106,4,20,101
275,4,21,106,4,20,101
276,4,21,106,4,20,101
277,3,9,30,2,7,23
278,1,4,13,1,3,10
279,3,9,30,2,7,23
280,2,8,26,2,6,20
281,1,10,76,1,5,41
282,3,19,125,3,13,77
283,3,19,125,3,13,77
284,4,21,140,3,15,86
285,7,62,548,5,39,327
286,7,62,548,5,39,327
287,2,15,102,2,9,60
288,3,26,216,3,17,131
289,2,6,18,2,6,18
290,2,6,18,2,6,18
291,2,6,18,2,6,18
292,6,43,314,5,34,240
