Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,10,495,26780,8,269,13451
1,81,4896,249251,44,2422,132203
2,123,6054,325151,47,3299,167871
3,29,1181,55668,18,626,29351
4,37,2390,116639,25,1088,61615
5,4,96,4455,4,67,2238
6,6,265,7617,6,105,4315
7,70,3854,194006,36,1896,102342
8,60,3789,188148,34,1771,100690
9,56,2905,145291,32,1482,76684
10,19,855,36698,15,426,19482
11,10,166,6171,7,109,3020
12,6,113,3889,6,69,1945
13,6,113,3889,6,69,1945
14,33,1321,54031,17,670,29255
15,29,1144,46454,15,555,24669
16,23,1096,44385,15,508,23702
17,5,239,6145,5,85,3480
18,9,421,12068,6,162,6702
19,8,286,10497,7,153,5871
20,17,661,25653,13,329,13140
21,32,1179,46725,25,843,30808
22,111,5234,245224,43,2876,133849
23,9,333,12516,9,248,8722
24,38,1939,85506,22,911,48442
25,66,3426,155467,34,1694,86035
26,50,1724,55856,28,1037,35194
27,13,456,17178,12,332,11992
28,18,630,23563,17,471,16481
29,41,1951,84465,31,1215,50659
30,28,1053,40571,24,766,27623
31,9,167,5519,9,128,2961
32,17,631,20197,13,308,11104
33,16,608,19106,13,290,10541
34,19,711,23239,15,355,12813
35,16,606,19032,13,288,10526
36,18,679,20405,14,324,11670
37,13,523,15727,11,235,8739
38,12,268,10277,10,199,5468
39,37,1116,44850,21,680,25101
40,1,14,408,1,8,220
41,13,394,17387,7,212,9352
42,8,733,28246,6,236,16072
43,173,6304,349077,43,3553,168761
44,146,5175,289256,39,2989,139868
45,141,5518,307279,44,3262,152153
46,123,4349,250225,38,2616,120956
47,105,4406,235228,36,2444,116957
48,4,243,10463,4,89,5468
49,4,243,10463,4,89,5468
50,8,393,18783,8,213,9794
51,46,1705,73380,21,859,39409
52,73,2570,133435,31,1547,68459
53,68,2145,111098,29,1330,56589
54,17,1074,46179,10,407,25881
55,17,1151,49925,12,454,27552
56,16,1067,47535,13,450,26182
57,91,4970,260659,49,2670,137082
58,57,3708,188716,40,1864,99795
59,2,52,3931,2,42,1580
60,19,1534,67472,17,586,36673
61,31,2345,109161,23,952,58500
62,83,2854,118103,33,1567,61987
63,87,2843,114620,32,1517,59840
64,104,2443,101810,28,1485,50585
65,91,2265,94883,27,1328,47060
66,38,1746,65407,21,748,35136
67,35,1733,65950,21,737,35283
68,19,879,42741,17,488,21804
69,40,2569,123142,26,1147,63730
70,18,1324,61161,17,567,32226
71,21,1637,71290,17,653,37674
72,5,235,6882,5,103,3928
73,5,235,6882,5,103,3928
74,20,611,19708,12,311,10735
75,37,1812,96634,25,1028,51235
76,30,1622,88167,22,906,46983
77,14,572,24626,11,290,12409
78,33,1212,44913,18,593,23600
