Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,2,25,128,2,8,71
2,12,40,369,3,28,151
3,2,32,441,2,12,155
4,9,37,677,3,26,195
5,11,74,1088,5,44,389
6,1,12,86,1,6,50
7,14,219,2767,7,84,1457
8,9,196,2191,7,65,1286
9,3,19,101,1,8,56
10,14,74,1159,5,44,422
11,53,513,17283,11,361,4841
12,16,640,7215,13,180,4905
13,72,597,16699,13,345,4687
14,4,146,1396,3,33,819
15,2,55,360,2,12,173
16,17,56,607,3,33,198
17,10,181,1662,7,67,1059
18,25,257,7933,9,186,2429
19,4,37,368,3,16,148
20,19,192,2431,6,82,1046
21,10,33,218,3,21,107
22,6,36,297,4,21,133
23,2,24,399,1,9,128
24,1,3,27,1,2,11
25,7,61,604,4,26,234
26,14,174,1645,4,52,794
27,1,73,670,1,14,359
28,7,28,269,3,19,107
29,4,18,101,2,11,55
30,11,440,5005,9,121,3351
31,72,682,24958,13,488,6731
32,9,282,3021,7,80,1716
33,22,294,4010,9,119,1706
34,2,15,292,2,11,98
35,11,233,2179,7,74,1327
36,14,190,2178,6,69,1112
37,1,15,205,1,7,76
38,2,22,113,2,9,64
39,4,29,277,3,16,126
40,4,58,715,4,29,405
41,9,145,2817,6,72,982
42,1,5,27,1,3,15
43,4,22,167,2,12,89
44,1,12,86,1,6,50
45,6,291,3107,6,71,2016
46,1,4,81,1,2,18
47,3,77,682,1,16,365
48,13,76,810,3,38,297
49,3,25,150,2,9,75
50,54,445,10352,9,241,2982
51,3,104,1012,3,21,454
52,12,44,311,3,23,128
53,5,36,310,3,17,128
54,65,578,20545,13,412,5524
55,3,171,1691,3,32,1051
56,30,324,9739,10,223,2920
57,5,141,1622,4,45,1021
58,1,4,74,1,3,22
59,3,70,659,2,19,379
60,7,101,1147,5,41,521
61,3,30,297,2,13,121
62,2,108,1046,2,20,558
63,62,579,16914,12,368,4712
64,7,18,100,2,13,46
65,1,8,26,1,3,16
