Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,1,3,11,1,2,8
2,2,8,36,1,6,29
3,4,82,2910,4,59,1923
4,49,2310,106721,36,1522,70425
5,5,90,2958,4,62,1950
6,15,284,8614,11,199,4991
7,9,144,4496,4,81,2709
8,2,7,41,2,6,22
9,2,15,66,2,7,38
10,3,19,80,2,9,48
11,2,17,269,2,8,95
12,11,229,5423,3,73,2886
13,4,23,311,3,14,119
14,4,26,170,4,19,118
15,4,23,139,3,17,98
16,7,43,425,4,29,275
17,5,40,412,4,27,266
18,6,38,387,4,26,252
19,1,3,29,1,2,20
20,2,26,559,1,18,340
21,1,3,8,1,2,6
22,2,5,54,1,4,15
23,16,669,23674,14,375,14760
24,17,673,23849,14,379,14861
25,32,1171,41901,22,692,26425
26,109,3980,170048,39,2532,104469
27,22,816,28749,17,476,18035
28,23,891,33673,17,549,21591
29,27,871,29153,17,519,18203
30,53,1989,78951,32,1331,53226
31,94,2954,108539,37,1807,68981
32,39,1112,37052,18,667,23181
33,13,564,19856,13,309,12340
34,31,1060,38548,19,647,24332
35,56,2131,83927,32,1425,56855
36,14,586,20672,13,326,12816
37,24,864,30561,17,517,19201
38,31,1058,39286,21,670,25035
39,68,2285,90347,33,1539,60470
40,1,62,441,1,7,154
41,61,379,6871,6,147,1928
42,11,64,554,5,47,358
43,12,149,2256,6,76,1221
44,1,12,76,1,6,53
45,2,25,238,2,13,136
46,7,47,339,5,36,254
47,6,46,331,5,35,248
48,5,41,290,5,30,218
49,6,46,331,5,35,248
50,6,46,331,5,35,248
51,1,12,76,1,6,53
52,2,25,123,2,9,75
53,5,41,290,5,30,218
54,1,3,16,1,2,6
55,2,13,44,1,4,23
56,7,277,5420,5,97,2904
57,84,1602,40516,23,898,19887
58,16,149,2312,8,99,1283
59,74,1476,36953,23,812,18251
60,3,13,304,2,10,116
61,20,580,13163,15,284,6798
62,2,10,290,1,7,106
63,71,1313,31285,20,697,15476
64,3,9,46,1,6,25
65,4,29,388,3,15,173
66,1,4,13,1,2,8
67,1,4,13,1,2,8
68,2,9,224,2,7,43
69,4,164,1092,3,23,422
70,3,51,426,2,13,143
71,2,9,74,2,6,28
72,2,9,74,2,6,28
73,5,56,297,2,16,141
74,3,17,70,1,6,37
75,12,45,353,3,27,156
76,1,4,21,1,2,8
77,1,4,21,1,2,8
78,6,48,487,4,33,306
79,17,281,5319,10,161,3265
80,6,27,178,3,18,119
81,7,53,513,4,36,324
82,4,26,178,4,19,126
83,4,25,179,4,20,127
84,4,27,180,4,19,126
85,3,9,36,2,7,25
86,1,4,13,1,3,10
87,2,8,32,2,6,22
88,3,15,151,2,9,61
89,1,27,370,1,12,215
90,26,343,6060,11,203,3369
91,6,51,536,6,42,326
92,9,99,792,6,54,462
93,12,182,1117,6,62,623
94,6,51,536,6,42,326
95,6,51,536,6,42,326
96,6,51,536,6,42,326
97,6,51,536,6,42,326
98,1,4,19,1,3,13
99,3,15,101,2,10,73
100,2,49,1143,1,19,555
101,46,1091,31814,17,534,16311
102,1,3,52,1,2,21
103,21,455,9276,18,372,7569
104,21,455,9276,18,372,7569
105,26,375,7125,13,287,5513
106,21,455,9276,18,372,7569
107,19,409,8542,18,346,7004
108,20,359,6902,13,278,5438
109,22,459,9361,18,376,7638
110,20,439,8924,18,356,7272
111,19,392,8209,17,334,6749
112,19,418,8484,18,338,6914
113,20,437,8901,18,356,7250
114,18,375,7837,16,319,6444
115,16,352,7332,16,297,6037
116,18,391,8189,17,333,6731
117,18,391,8189,17,333,6731
118,18,391,8189,17,333,6731
119,21,455,9276,18,372,7569
120,18,353,6768,13,273,5342
121,18,391,8189,17,333,6731
122,21,440,8943,18,358,7300
123,20,437,8923,18,359,7296
124,41,647,13185,18,472,9524
125,4,58,1199,4,38,644
126,26,622,14113,14,312,7492
127,20,403,8353,12,218,4420
128,4,58,1199,4,38,644
129,4,58,1199,4,38,644
130,8,69,601,5,40,357
131,14,129,1440,7,71,816
132,16,150,1796,8,90,1008
133,11,110,1088,7,66,644
134,4,21,156,2,14,94
135,3,23,206,2,15,124
136,2,14,104,2,9,63
137,6,47,411,4,28,248
138,5,38,313,3,24,192
139,5,21,100,3,16,72
140,2,10,50,2,7,34
141,4,17,76,3,13,58
142,4,17,76,3,13,58
143,3,19,95,2,11,59
144,3,16,71,3,12,54
145,12,96,910,5,39,439
146,1,13,109,1,6,45
147,1,13,109,1,6,45
148,1,13,109,1,6,45
149,7,33,211,2,17,92
150,8,54,403,4,33,215
151,10,154,2463,6,68,1070
152,13,66,514,4,41,264
153,1,13,109,1,6,45
154,1,13,109,1,6,45
155,38,413,6230,10,196,2661
156,1,13,109,1,6,45
157,2,16,119,2,9,54
158,1,6,65,1,4,20
159,5,59,315,3,16,149
160,1,5,23,1,3,13
161,4,18,79,2,10,47
162,1,3,67,1,2,10
163,2,64,446,1,8,157
164,8,105,1265,7,59,689
165,20,251,3630,8,137,1950
166,16,189,2556,8,102,1371
167,7,91,1142,5,48,617
168,13,107,1241,7,67,683
169,3,44,507,3,25,288
170,8,91,1077,5,51,589
171,19,231,3221,9,117,1735
172,11,156,2168,7,83,1154
173,1,15,459,1,11,203
174,14,444,9310,10,192,4977
175,1,8,45,1,5,30
176,7,37,258,4,25,157
177,4,15,65,2,10,40
178,2,11,43,2,6,28
179,5,17,75,2,12,46
180,3,17,74,3,9,42
181,1,5,20,1,3,13
182,1,62,441,1,7,154
183,1,5,95,1,4,20
184,4,90,482,3,16,214
185,1,3,15,1,2,6
186,2,12,39,1,4,20
187,2,5,14,1,4,11
188,2,6,17,2,5,15
189,1,3,8,1,2,6
190,1,3,8,1,2,6
191,2,5,20,1,4,15
192,2,76,359,1,7,147
193,1,3,79,1,2,9
194,73,280,6706,5,138,1045
195,2,9,39,2,6,28
196,3,11,48,2,8,34
197,4,19,158,2,14,84
198,1,24,225,1,9,136
199,23,201,3097,8,127,1637
200,2,10,62,2,6,42
201,1,4,17,1,3,13
202,15,276,4669,15,240,4075
203,17,296,5033,15,259,4383
204,16,287,4867,15,250,4244
205,20,307,5229,15,269,4536
206,15,276,4669,15,240,4075
207,18,299,5094,15,262,4431
208,17,296,5033,15,259,4383
209,16,283,4790,15,246,4175
210,16,283,4790,15,246,4175
211,18,299,5094,15,262,4431
212,22,313,5343,15,274,4617
213,20,292,4938,15,254,4269
214,16,287,4867,15,250,4244
215,17,296,5033,15,259,4383
216,16,283,4790,15,246,4175
217,17,296,5033,15,259,4383
218,2,19,91,2,7,43
219,10,41,229,2,16,83
220,7,31,170,3,20,101
221,10,293,8690,10,171,5372
222,29,916,29092,17,534,18270
223,15,471,14829,12,274,9278
224,11,306,9089,10,182,5604
225,58,2204,87009,33,1561,60504
226,14,335,9733,11,201,6006
227,21,495,15422,12,283,9453
228,17,438,13512,12,261,8283
229,52,1249,42245,19,719,26493
230,6,39,475,4,28,263
231,4,21,121,3,17,93
232,1,7,46,1,5,33
233,4,21,121,3,17,93
234,3,17,98,3,13,75
235,17,347,7090,10,165,3693
236,4,23,213,4,18,126
237,1,74,354,1,6,144
238,2,40,319,2,12,144
239,11,78,773,3,36,320
240,27,201,2805,7,96,1129
241,1,9,141,1,7,67
242,8,132,1585,6,60,795
243,3,15,86,2,10,57
244,1,4,19,1,3,13
245,7,39,254,4,27,161
246,4,28,176,3,17,109
247,1,6,39,1,4,25
248,5,33,246,3,21,171
249,10,180,2672,6,71,1214
250,70,1098,29820,17,500,14237
251,6,98,1463,6,49,671
252,3,30,431,3,20,201
253,34,629,12562,11,239,6041
254,2,23,566,2,17,250
255,20,195,2516,8,119,1298
256,1,11,191,1,7,78
257,10,91,1243,6,56,635
258,1,11,191,1,7,78
259,23,306,3291,10,129,1582
260,5,20,95,2,10,52
261,10,40,258,3,26,140
262,1,6,26,1,3,13
263,1,6,26,1,3,13
264,1,6,26,1,3,13
265,2,17,77,2,7,43
266,1,3,34,1,2,13
267,2,31,301,1,11,142
268,6,20,82,3,12,50
269,1,7,27,1,4,16
270,4,13,48,1,7,25
271,3,12,47,2,8,30
272,1,7,27,1,4,16
273,3,12,43,2,8,29
274,2,11,43,2,7,27
275,1,3,13,1,2,6
276,2,10,32,1,4,18
277,1,16,126,1,8,77
278,15,110,1327,7,69,754
279,1,3,12,1,2,6
280,2,9,43,1,4,23
281,10,28,160,2,17,65
282,1,11,39,1,3,20
283,2,13,44,1,4,23
284,1,11,39,1,3,20
285,2,14,48,2,6,29
286,2,15,59,2,6,30
287,2,14,48,2,6,29
288,2,14,48,2,6,29
289,1,11,39,1,3,20
290,3,16,63,2,7,33
291,1,6,44,1,5,30
292,5,38,342,4,25,197
293,1,3,24,1,2,18
294,2,21,790,1,16,334
295,1,16,251,1,12,173
296,15,235,3914,11,161,2749
297,1,4,14,1,3,10
298,3,10,95,2,7,29
299,1,28,229,1,8,104
300,3,11,81,2,7,32
301,2,10,77,2,6,29
302,1,4,15,1,3,10
303,3,9,29,2,6,20
304,2,8,28,2,6,20
305,1,4,13,1,3,9
306,3,8,25,1,5,15
307,2,16,56,2,6,31
308,12,34,229,2,19,81
309,2,6,38,2,6,18
310,15,265,4335,10,129,2293
311,11,190,3021,7,93,1645
312,10,75,889,6,53,539
313,2,35,414,2,18,206
314,11,123,1848,6,68,986
315,12,218,4333,9,135,2582
316,16,198,2629,9,109,1302
317,3,86,2040,3,38,1040
318,25,467,10331,12,238,5406
319,8,63,623,6,46,402
320,34,721,15709,16,350,7849
321,12,121,1675,6,75,884
322,20,332,6375,10,167,3368
323,12,103,1421,5,60,757
324,3,25,404,2,17,207
325,1,4,100,1,2,12
326,3,96,451,1,10,171
327,1,6,24,1,3,15
328,5,18,155,2,12,55
329,1,4,21,1,2,10
330,3,17,156,1,8,74
331,3,10,45,2,7,29
332,4,22,172,2,13,107
333,2,9,41,2,6,26
334,1,4,14,1,3,10
335,4,180,4812,3,51,2483
336,3,176,4631,3,47,2432
337,4,181,4814,4,51,2485
338,163,4090,160729,37,2279,83223
339,6,185,4997,4,55,2537
340,1,3,8,1,2,6
341,2,5,14,1,4,11
342,1,3,18,1,2,7
343,2,15,63,1,5,34
344,3,15,120,1,10,84
345,1,4,19,1,2,12
346,1,4,19,1,2,12
347,10,97,944,7,70,659
348,3,15,94,2,11,61
349,1,4,19,1,3,14
350,5,37,224,4,23,147
351,6,38,231,4,24,152
352,5,35,369,4,25,174
353,6,42,534,5,31,220
354,2,12,82,2,10,60
355,11,203,1631,5,52,669
356,5,35,369,4,25,174
357,6,42,534,5,31,220
358,1,20,446,1,14,257
359,19,426,8583,13,243,5117
360,2,10,42,1,4,23
361,7,29,343,2,17,139
362,1,3,13,1,2,6
363,1,3,9,1,2,6
364,2,6,23,1,4,14
365,1,11,67,1,6,47
366,10,56,421,5,41,299
367,2,22,160,2,11,106
368,2,22,160,2,11,106
369,18,116,1158,7,84,760
370,2,45,250,1,8,110
371,1,3,48,1,2,10
372,42,202,2985,6,100,748
373,1,74,354,1,6,144
374,1,5,15,1,2,8
375,4,10,35,1,6,18
376,2,16,143,2,8,72
377,12,122,1427,5,60,679
378,2,5,24,1,4,14
379,2,13,137,2,8,60
380,6,78,854,3,30,414
381,5,46,464,3,22,233
382,1,3,119,1,2,14
383,2,116,785,1,12,293
384,1,7,32,1,4,20
385,6,25,242,3,16,116
386,3,11,150,2,8,37
387,4,12,156,2,9,40
388,3,123,812,3,17,313
389,1,4,15,1,3,11
390,12,151,2604,6,83,1313
391,41,770,17280,15,396,8788
392,11,97,1576,5,56,807
393,6,59,597,4,33,341
394,4,74,1175,4,34,611
395,5,78,1025,5,39,543
396,1,13,164,1,7,90
397,8,160,2723,7,78,1421
398,5,65,897,4,36,476
399,26,526,10702,12,275,5716
400,6,83,1342,4,42,694
401,7,297,6163,7,117,3229
402,1,5,75,1,3,16
403,4,70,470,2,13,175
404,1,8,89,1,2,42
405,7,81,2414,1,40,1591
406,1,71,1169,1,18,518
407,2,68,1329,2,24,745
408,3,70,1397,2,26,769
409,63,1191,31059,20,695,15875
410,19,172,1863,8,81,895
411,7,103,1064,5,48,521
412,14,124,1281,6,71,685
413,8,110,1069,6,50,542
414,1,20,192,1,9,90
415,1,20,192,1,9,90
416,1,20,192,1,9,90
417,10,107,1169,6,63,617
418,28,267,3206,9,129,1416
419,8,77,880,5,43,427
420,2,34,412,2,15,179
421,1,20,192,1,9,90
422,3,24,204,1,11,96
423,5,58,524,2,23,248
424,4,33,322,2,16,142
425,1,20,192,1,9,90
426,18,249,2534,9,116,1282
427,2,22,197,1,10,93
428,31,276,3600,10,135,1639
429,8,107,878,4,39,432
430,1,5,38,1,4,22
431,4,33,438,3,18,189
432,2,26,150,2,10,97
433,16,100,1539,6,69,784
434,8,24,232,2,18,98
435,1,9,68,1,5,47
436,8,59,942,4,42,571
437,3,10,42,2,7,27
438,2,12,56,2,7,33
439,8,34,191,3,20,101
440,2,11,59,2,7,32
441,4,19,96,2,11,56
442,5,29,143,3,14,82
443,3,14,63,3,12,52
444,4,18,90,3,15,70
445,3,14,73,3,12,57
446,4,17,83,3,13,63
447,5,286,9746,4,140,6347
448,60,2078,80854,32,1427,55112
449,3,12,311,2,9,158
450,6,106,1548,4,46,766
451,2,27,616,2,19,300
452,33,566,10489,13,266,5391
453,29,262,4328,8,158,2015
454,13,216,3453,9,106,1715
455,4,41,419,2,16,226
456,19,330,6178,8,155,3116
457,1,8,89,1,2,42
458,1,7,131,1,5,45
459,6,124,1593,4,40,747
460,1,5,17,1,3,11
461,4,12,78,2,8,35
462,1,17,244,1,10,161
463,16,227,4987,9,151,3323
464,1,3,12,1,2,6
465,2,9,55,1,4,26
466,9,351,9192,9,166,5317
467,6,115,1996,6,55,1013
468,36,924,21809,19,479,11242
469,9,144,2772,7,87,1481
470,15,334,6681,9,169,3614
471,20,531,11498,13,261,6114
472,1,42,812,1,16,412
473,2,68,1433,2,32,742
474,3,48,871,2,20,440
475,12,430,9331,10,185,4942
476,12,211,4426,8,122,2352
477,47,1248,33577,20,653,18430
478,25,654,15427,15,344,7967
479,13,177,3128,6,93,1671
480,7,138,2404,7,76,1332
481,1,42,812,1,16,412
482,32,635,14457,16,335,7475
483,2,49,903,2,22,464
484,21,626,14675,16,315,7727
485,26,705,16019,15,354,8385
486,18,568,12453,14,268,6555
487,2,44,817,1,17,415
488,12,227,2989,6,92,1674
489,12,350,7552,10,168,3943
490,20,614,14106,15,297,7412
491,3,49,913,2,21,456
492,5,283,5519,5,91,2937
493,2,46,865,2,19,436
494,1,4,12,1,2,7
495,3,8,136,1,5,23
496,4,26,293,2,14,150
497,1,5,31,1,3,17
498,17,247,4341,8,123,2238
499,2,8,40,2,6,25
500,2,7,36,1,4,20
501,1,5,15,1,3,11
502,4,10,44,2,8,26
503,1,6,62,1,5,32
504,5,56,471,4,27,263
505,7,74,869,5,40,483
506,6,64,566,5,34,342
507,8,78,730,5,44,431
508,1,8,82,1,6,46
509,1,8,82,1,6,46
510,14,113,1427,6,71,764
511,14,323,6778,9,155,3532
512,6,57,505,3,26,272
513,2,11,87,2,7,45
514,28,258,4088,8,150,1918
515,1,7,64,1,4,30
516,6,38,271,4,19,138
