Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,83,1994,46519,24,801,19200
1,39,928,21039,15,389,8840
2,60,1697,37337,21,636,16072
3,30,855,17388,14,317,7817
4,69,1612,37165,21,658,15539
5,79,2129,49174,23,811,20462
6,185,3394,97068,29,1560,34142
7,91,2403,56190,26,929,23271
8,87,2055,49924,23,834,20225
9,88,1884,45965,22,820,18518
10,78,1660,38746,22,734,16110
11,80,1544,37070,20,694,15024
12,78,1667,38197,21,712,15941
13,87,1835,43495,20,795,17626
14,84,1529,36953,22,710,14993
15,21,718,16222,11,251,6810
16,88,1751,41160,20,780,16623
17,91,1633,39753,18,759,15650
18,66,1327,31048,18,588,12739
19,82,1584,38609,19,706,15403
20,41,1046,22805,18,417,9905
21,47,1004,21608,14,413,9253
22,58,1220,26614,16,515,11326
23,91,1527,38594,19,734,14962
24,47,999,22360,13,408,9315
25,58,1159,25944,16,496,10926
26,43,1051,21920,18,431,9715
27,37,790,16911,15,336,7445
28,25,705,15335,13,271,6579
29,58,1180,26377,17,526,11223
30,72,1262,29400,18,594,12109
31,47,984,22317,16,442,9454
32,25,636,13741,11,253,5925
33,51,956,21382,16,445,9147
34,31,837,18621,14,338,7968
35,40,771,16951,14,359,7298
36,11,477,10017,9,158,4354
37,29,774,16639,11,284,7138
38,29,742,15476,13,280,6788
39,37,865,18288,13,344,7956
40,24,521,12189,14,253,5181
41,23,620,12397,13,249,5658
42,59,1108,26191,15,488,10593
43,16,466,10342,10,187,4372
44,56,1013,22271,18,474,9579
45,46,900,19911,15,404,8517
46,43,701,15691,12,343,6575
47,19,680,14330,11,223,6193
48,14,437,9685,9,161,4115
49,57,1053,24110,16,487,10002
50,20,426,8726,10,186,3835
51,21,597,12263,10,223,5390
52,31,709,15030,12,301,6585
53,47,851,18114,16,410,7976
54,53,906,20048,16,447,8558
55,28,479,11248,10,250,4651
56,27,777,15856,13,279,7076
57,26,554,12628,12,246,5331
58,37,855,16904,13,337,7642
59,17,618,12142,11,198,5504
60,37,646,14464,12,307,6107
61,47,802,17416,14,395,7458
62,38,691,14950,12,324,6377
63,30,511,12183,13,265,5021
64,42,724,16169,14,356,6843
65,23,499,9644,9,214,4407
66,23,581,12484,10,215,5364
67,33,775,15258,14,310,6980
68,26,695,14426,10,258,6301
69,31,545,11691,11,260,5080
70,18,541,11281,10,197,4936
71,23,540,11148,12,228,4918
72,21,547,11738,12,221,5094
73,23,590,12036,11,238,5354
74,36,637,15424,13,318,6296
75,31,527,10961,11,253,4877
76,29,604,13455,10,253,5665
77,41,768,16473,16,368,7299
78,19,557,11849,11,207,5108
79,31,842,17551,12,308,7650
80,24,552,12675,11,231,5279
81,10,325,7086,7,119,3001
82,18,432,9702,10,182,4087
83,36,680,15048,12,312,6382
84,28,539,11067,11,252,4944
85,31,589,12396,12,280,5496
86,19,604,11995,11,211,5366
87,31,600,12254,13,272,5491
88,37,590,13339,12,309,5619
89,32,563,11799,12,275,5226
90,43,780,17165,12,347,7231
91,54,983,22912,14,446,9345
92,12,549,11584,7,152,4942
93,27,410,9058,13,229,3922
94,19,561,11353,10,194,5027
95,30,618,12897,12,266,5655
96,16,316,6341,9,151,2908
97,25,434,8407,11,211,3920
98,16,372,7886,9,155,3414
99,6,385,7866,6,108,3430
100,35,593,13323,13,292,5624
101,32,527,10871,12,266,4872
102,17,436,9329,10,177,4020
103,16,561,11573,11,196,5102
104,20,429,8881,10,187,3944
105,19,471,9115,11,194,4183
106,15,501,10096,8,165,4460
107,30,482,9885,10,244,4438
108,21,454,9614,10,202,4256
109,14,487,9063,8,159,4156
110,22,441,9798,10,195,4146
111,18,476,9462,9,182,4229
112,31,460,9710,10,238,4222
113,22,432,8852,10,199,4004
114,29,514,11468,11,245,4854
115,14,523,9897,9,166,4541
116,7,356,8200,7,114,3404
117,25,519,9560,11,219,4519
118,14,291,5487,9,132,2553
119,18,472,10246,9,188,4387
120,17,385,7331,10,168,3430
121,24,530,11107,12,225,4863
122,30,607,12934,11,250,5566
123,34,633,13873,12,293,5937
124,9,391,8770,6,114,3630
125,20,353,7368,9,171,3252
126,18,316,6149,10,156,2809
127,11,444,9401,8,142,4046
128,8,246,5297,6,91,2221
129,16,398,8422,10,168,3713
130,33,589,12571,11,280,5429
131,16,283,5719,9,140,2543
132,20,419,9823,9,186,4070
133,18,500,10203,8,174,4464
134,18,506,9777,9,177,4449
135,32,588,12423,11,265,5457
136,21,422,8422,11,196,3862
137,43,712,15520,12,331,6586
138,12,489,9961,8,142,4367
139,12,245,4724,9,113,2154
140,28,436,8426,11,225,3884
141,16,423,9237,10,168,3916
142,21,536,10360,9,198,4703
143,16,317,6913,9,145,2944
144,21,519,11214,11,204,4839
145,14,309,6042,7,129,2735
146,28,508,10184,11,237,4617
147,27,548,11260,9,232,4895
148,20,504,11733,10,204,4824
149,18,541,11361,10,196,4946
150,29,761,15619,11,276,6856
151,17,291,5817,10,151,2671
152,20,508,9714,12,201,4544
153,15,287,5343,8,132,2458
154,10,356,8262,9,129,3409
155,30,647,13381,10,258,5820
156,15,366,7565,9,150,3352
157,21,297,6048,9,162,2686
158,16,446,9089,9,166,4039
159,25,545,11373,12,224,4991
160,13,287,5914,6,120,2564
161,16,263,5940,8,136,2495
162,16,304,6436,10,148,2824
163,31,694,14505,12,276,6367
164,16,377,7558,8,149,3368
165,25,467,10244,9,214,4377
166,14,281,6442,7,135,2748
167,15,496,9227,9,160,4281
168,26,470,9211,10,218,4197
169,13,328,8255,8,138,3264
170,35,465,9871,11,257,4266
171,14,319,6297,9,140,2854
172,13,257,5395,8,120,2359
173,27,456,9351,11,223,4153
174,11,285,6385,8,117,2654
175,9,309,6868,7,112,2880
176,20,329,6864,10,168,3049
177,15,352,8383,9,151,3412
178,21,524,10735,12,204,4766
179,17,385,8210,10,165,3556
180,15,332,6872,8,136,2998
181,12,566,11595,7,157,5023
182,14,339,6836,9,140,3078
183,20,346,7275,8,170,3175
184,16,409,8669,8,161,3746
185,15,417,8819,8,151,3793
186,16,355,6945,9,152,3148
187,19,484,9561,10,190,4331
188,11,208,4684,7,104,2001
189,23,354,7121,11,198,3292
190,26,500,10871,9,228,4647
191,12,336,6732,9,128,2981
192,28,475,10095,10,235,4403
193,10,389,7853,8,128,3495
194,16,326,7033,9,153,2997
195,25,458,9808,11,223,4312
196,9,329,7858,6,118,3192
197,22,510,10399,9,191,4556
198,11,223,4478,8,110,2022
199,11,185,4260,7,99,1776
200,13,362,7035,9,143,3190
201,18,341,7101,9,156,3076
202,12,273,5165,8,122,2414
203,20,489,9086,9,184,4173
204,9,233,4979,7,96,2121
205,14,304,6231,8,133,2742
206,14,394,8037,9,144,3521
207,19,315,6702,9,164,2997
208,15,342,6831,9,147,3086
209,19,347,6781,10,163,3097
210,14,225,4175,8,118,1996
211,19,420,8550,9,175,3805
212,27,375,8272,8,201,3466
213,11,371,7779,9,137,3408
214,11,322,7316,7,124,3055
215,12,180,3839,7,102,1689
216,19,390,7908,9,177,3532
217,12,445,8745,8,133,3863
218,23,377,8148,9,182,3432
219,16,346,7556,10,152,3257
220,16,552,10580,8,172,4782
221,36,521,10700,12,275,4734
222,11,192,4039,6,95,1732
223,11,283,6102,8,120,2669
224,15,277,5524,10,132,2532
225,16,267,5184,8,137,2403
226,16,274,5537,10,139,2498
227,9,168,3739,7,84,1605
228,13,341,6759,9,135,3057
229,20,406,9484,9,190,3916
230,17,350,8101,10,164,3424
231,14,330,6742,9,136,3007
232,21,430,9485,9,196,4061
233,21,348,7465,11,185,3288
234,7,160,2857,6,69,1362
235,18,302,5823,9,154,2695
236,16,401,7996,8,150,3560
237,15,377,7304,9,152,3340
