Node,WiD1,WiD2,WiD3
0,234,1783,68727
1,8,399,4134
2,15,422,4276
3,122,1120,24990
4,22,424,4907
5,26,560,5862
6,11,403,3717
7,18,459,4693
8,44,627,7217
9,20,504,5203
10,60,516,9049
11,31,492,5768
12,10,244,2509
13,53,395,6428
14,20,478,4780
15,30,462,4976
16,30,435,5450
17,4,374,3348
18,33,302,4472
19,11,411,3924
20,41,552,6738
21,31,259,3461
22,29,258,3506
23,36,550,6524
24,26,159,2271
25,14,191,1873
26,12,162,1631
27,32,413,4893
28,58,477,8401
29,11,151,1731
30,30,451,4637
31,16,330,3493
32,7,145,1487
33,13,230,2441
34,21,402,3571
35,17,113,1536
36,22,151,2195
37,11,116,1309
38,21,375,3973
39,9,120,1099
40,28,145,2104
41,2,64,928
42,23,195,2144
43,33,295,3998
44,24,242,3526
45,13,325,3086
46,16,411,3694
47,36,267,3980
48,3,91,759
49,15,336,3934
50,12,248,2309
51,32,449,5347
52,11,326,2873
53,8,296,2814
54,10,290,3136
55,8,115,1132
56,4,275,2393
57,13,180,1489
58,12,125,1254
59,8,103,979
60,13,229,2524
61,13,232,2888
62,10,103,1566
63,8,267,2416
64,18,136,1431
65,7,175,2123
66,39,277,4217
67,20,150,1655
68,12,117,1321
69,6,169,1735
70,12,412,3776
71,5,66,929
72,44,366,4967
73,24,161,2568
74,8,58,1220
75,9,192,1787
76,11,102,1394
77,38,240,4258
78,8,204,1862
79,4,81,815
80,6,179,1862
81,12,113,1615
82,7,186,1962
83,18,148,1503
84,8,312,2941
85,9,276,2523
86,20,364,3655
87,4,179,1919
88,11,225,2366
89,17,171,1942
90,4,269,2696
91,6,75,1129
92,14,139,1261
93,16,214,2589
94,11,111,1167
95,5,87,889
96,5,68,899
97,10,98,1257
98,10,144,1158
99,9,135,1446
100,2,63,754
101,13,140,1770
102,3,76,816
103,7,320,2955
104,17,193,2053
105,16,92,1179
106,5,102,848
107,20,129,1532
108,13,201,2071
109,19,169,1897
110,8,72,635
111,10,112,1275
112,5,84,670
113,9,124,1093
114,10,134,1650
115,8,176,1690
116,10,353,3074
117,15,142,1649
118,46,285,4728
119,4,87,1094
120,7,315,2584
121,6,63,1349
122,9,291,2712
123,6,38,982
124,9,105,899
125,9,81,925
126,11,318,2733
127,11,184,2352
128,7,278,2412
129,11,73,634
130,5,189,1782
131,6,66,512
132,9,75,602
133,27,299,3447
134,6,143,1409
135,3,250,2142
136,10,60,577
137,4,35,464
138,2,44,569
139,3,68,956
140,23,225,2405
141,4,86,865
142,16,219,2421
143,27,396,4191
144,10,120,1647
145,21,126,2012
146,17,104,1208
147,14,321,3056
148,31,227,3021
149,4,60,860
150,4,136,1323
151,7,86,998
152,21,118,1963
153,3,52,1034
154,7,86,1364
155,5,97,740
156,10,79,949
157,9,222,2133
158,7,98,1488
159,10,292,2545
160,3,36,349
161,4,66,977
162,3,138,1479
163,7,71,1324
164,5,72,514
165,9,192,1982
166,2,44,765
167,7,70,847
168,11,223,2152
169,16,122,1298
170,13,79,957
171,10,84,794
172,5,280,2714
173,5,31,719
174,14,313,2841
175,13,95,1188
176,6,42,1094
177,4,286,2691
178,4,49,646
179,7,290,2649
180,9,73,1171
181,9,68,819
182,2,53,644
183,2,32,256
184,9,70,670
185,10,88,1139
186,3,258,2283
187,5,84,1155
188,4,40,483
189,5,65,751
190,10,177,1675
191,5,155,1517
192,7,110,1294
193,17,92,911
194,3,48,582
195,4,90,1008
196,7,55,866
197,2,34,269
198,12,78,995
199,3,51,576
200,8,294,2848
201,21,167,2031
202,2,265,2306
203,11,131,1222
204,10,98,880
205,7,295,2547
206,11,62,898
207,3,41,342
208,2,36,667
209,9,87,591
210,10,49,874
211,8,52,648
212,11,162,2136
213,4,76,546
214,2,254,2496
215,10,91,1213
216,3,135,1578
217,4,59,932
218,13,66,793
219,6,43,468
220,8,52,960
221,14,295,2700
222,3,82,1020
223,3,40,372
224,6,81,1155
225,7,45,670
226,3,65,519
227,4,106,823
228,15,90,1254
229,4,62,565
230,6,34,606
231,15,71,642
232,6,289,2455
233,12,85,871
234,3,42,644
235,4,262,2548
236,5,77,815
237,10,83,759
238,9,118,1391
239,6,86,1043
240,3,35,324
241,4,70,728
242,13,102,892
243,2,246,2319
244,7,270,2366
245,24,368,3900
246,2,42,373
247,2,86,611
248,33,157,2418
249,5,44,835
250,3,78,711
251,4,98,759
252,7,72,572
253,10,60,624
254,2,31,340
255,12,98,1321
256,8,175,1683
257,5,69,594
258,3,50,354
259,4,36,252
260,5,93,731
261,3,298,2570
262,8,56,680
263,2,78,813
264,14,55,972
265,10,64,817
266,14,129,1319
267,8,52,491
268,4,40,624
269,4,38,402
270,7,60,564
271,8,50,616
272,5,277,2596
273,14,57,603
274,7,154,1600
275,7,59,566
276,14,74,598
277,9,95,757
278,3,272,2361
279,6,99,1133
