Node,WiD1,WiD2,WiD3
0,180,7020,290636
1,96,3594,140872
2,149,5655,231204
3,121,4708,191585
4,62,2626,102529
5,90,4302,168890
6,80,3672,143122
7,84,2621,105205
8,93,4028,154957
9,83,3008,117396
10,117,4693,185611
11,181,6813,283228
12,227,8664,369305
13,177,7029,289400
14,166,6821,278802
15,158,5781,239063
16,162,5544,228690
17,142,5701,230919
18,132,5193,212045
19,183,6775,284321
20,173,5923,248567
21,155,6035,243874
22,130,5246,206358
23,129,4832,195676
24,88,3536,138104
25,104,4355,172885
26,94,3986,156076
27,76,3364,129583
28,82,3305,129226
29,69,2804,109599
30,126,4624,182564
31,82,3218,124534
32,80,3184,123320
33,87,3348,133237
34,115,4217,164146
35,75,3178,123650
36,89,3184,125284
37,70,2842,113257
38,101,3698,147999
39,48,2221,85332
40,108,3883,156422
41,141,4685,188281
42,99,3409,133383
43,74,3040,119026
44,62,2764,106644
45,49,2410,94588
46,107,3670,143480
47,87,3213,127396
48,56,2352,91458
49,78,3063,115851
50,97,3491,139466
51,68,2585,102698
52,93,3332,130591
53,57,2456,94572
54,82,2843,113948
55,65,2414,93790
56,60,2230,86681
57,30,1558,61529
58,66,2490,96715
59,55,2310,90967
60,75,2852,113400
61,96,3073,124018
62,60,2229,87430
63,63,2445,93031
64,38,1732,67405
65,79,2591,99778
66,71,2387,92202
67,95,3260,129097
68,71,2700,102205
69,46,2000,76837
70,52,2188,85883
71,49,1966,74246
72,91,2857,112897
73,55,2137,80880
74,41,1788,67914
75,76,2413,93838
76,47,1946,75579
77,58,2006,78831
78,58,1931,75260
79,45,2039,76688
80,57,2293,89562
81,45,1877,73752
82,20,1501,58046
83,63,2473,96623
84,73,2460,96812
85,53,1932,75738
86,32,1594,61541
87,47,1698,63967
88,48,2045,77460
89,58,1891,72887
90,62,1945,75406
91,80,2457,95152
92,44,1678,62122
93,43,1917,74106
94,40,1707,66292
95,46,1702,65051
96,52,2169,80476
97,45,1668,65477
98,48,2012,76372
99,64,1961,77062
100,33,1492,56909
101,48,2117,81919
102,58,1914,73189
103,48,1741,66293
104,28,1491,56882
105,59,2132,81845
106,55,1919,74561
107,31,1323,49118
108,50,1712,65886
109,32,1830,69627
110,42,1713,62552
111,43,1482,57116
112,23,1318,48216
113,49,1914,74169
114,45,2016,78681
115,39,1438,54518
116,29,1460,56837
117,51,1857,70710
118,47,1927,75538
119,54,1619,60617
120,38,1686,62633
121,35,1511,56876
122,39,1615,63758
123,41,1613,60778
124,36,1553,59152
125,48,1922,74417
126,41,1594,63578
127,36,1367,53772
128,38,1451,55167
129,32,1752,66235
130,43,1739,65247
131,38,1376,53155
132,33,1545,60171
133,48,1867,71388
134,51,1704,64055
135,33,1211,46884
136,31,1259,45744
137,41,1545,59422
138,34,1640,64055
139,46,1754,66151
140,28,1197,45848
141,41,1357,52311
142,50,1629,62153
143,27,1279,50167
144,35,1524,56386
145,48,1757,66887
146,32,1497,54973
147,32,1410,53415
148,34,1544,59053
149,46,1540,58998
150,28,1310,48588
151,28,1356,52698
152,43,1613,61742
153,55,1662,63768
154,32,1066,40630
155,34,1376,53577
156,27,1169,44098
157,67,2354,93830
158,45,1697,65590
159,49,1293,50108
160,37,1114,43028
161,34,1308,50059
162,33,1299,51580
163,23,1150,44531
164,39,1334,49695
165,29,1306,47975
166,48,1687,65062
167,40,1496,54828
168,27,1383,52461
169,35,1203,46324
170,45,1431,54578
171,23,1092,41860
172,39,1261,48373
173,34,1504,57012
174,43,1916,73623
175,32,1244,48093
176,40,1294,49498
177,30,1376,53309
178,46,1532,59487
179,42,1610,59467
180,57,1628,62056
181,43,1600,59858
182,35,1291,49468
183,33,1179,46462
184,36,1206,48126
185,24,1202,46115
186,25,1117,41305
187,42,1540,56670
188,24,1093,42366
189,25,883,33044
190,31,1097,44024
191,25,1187,45169
192,23,1072,40068
193,20,1355,51925
194,36,1114,40862
195,52,1508,59569
196,28,991,34945
197,29,1212,46615
198,21,885,33076
199,33,1507,59628
200,29,1029,38606
201,31,1245,46654
202,44,1513,57094
203,26,1150,41466
204,32,1149,44906
205,19,927,35210
206,23,860,33250
207,25,1248,48170
208,30,1121,43591
209,31,1119,40403
210,29,1017,37861
211,32,1460,56523
212,24,1032,41478
213,38,1191,44071
214,31,1228,46097
215,20,1040,42451
216,17,883,33725
217,28,1424,54775
