Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,177,4503,132105,31,1655,44773
1,177,3853,117225,29,1552,38795
2,52,1089,28172,15,463,10521
3,6,218,5484,5,65,2053
4,250,5104,173443,33,2126,52558
5,146,3056,89513,25,1231,30164
6,179,4402,127440,32,1663,43647
7,105,3332,82529,27,1060,31474
8,182,4156,125910,28,1609,41275
9,122,2971,78261,23,1082,28163
10,79,2149,55067,21,755,20564
11,140,3291,92843,27,1243,32336
12,123,2546,72933,24,1057,25197
13,161,3600,105450,27,1383,35425
14,59,1909,47658,21,619,18032
15,70,2059,51668,21,701,19523
16,146,3344,92712,29,1315,32999
17,78,1610,42491,15,638,15095
18,21,1378,31211,14,319,12325
19,140,2742,81840,24,1159,27324
20,123,2816,79040,28,1162,28205
21,66,1389,37737,18,586,13718
22,96,2354,60499,19,842,22099
23,58,1660,41694,18,570,15735
24,62,1788,44007,21,627,16993
25,128,2657,77149,24,1086,26253
26,58,1193,32147,16,507,11688
27,31,1162,28997,15,362,11006
28,33,1264,28773,13,370,11330
29,49,1235,31850,14,446,11752
30,79,1779,46439,21,710,17138
31,72,1640,41917,18,625,15601
32,25,849,19358,11,270,7664
33,67,1715,42527,17,627,16160
34,57,1386,34459,18,541,13253
35,27,940,21262,13,298,8463
36,51,1337,32218,17,476,12494
37,41,1216,29564,14,408,11247
38,41,1200,28821,14,398,11170
39,38,1102,25954,13,365,10120
40,59,1103,28292,15,484,10431
41,47,1435,34379,18,494,13534
42,85,1817,47102,20,748,17493
43,79,1667,42403,19,675,15762
44,56,1114,27671,18,498,10762
45,51,1383,34302,18,504,13122
46,52,1262,30364,17,472,11828
47,29,782,18045,13,280,7206
48,52,1446,36458,14,469,13415
49,97,1669,48447,18,776,16537
50,96,1980,52918,22,828,19186
51,46,1335,32178,14,446,12274
52,66,1580,38444,19,592,14751
53,30,986,22586,14,325,8899
54,74,1318,34132,17,600,12584
55,59,1294,30836,17,514,12068
56,29,926,22090,11,292,8436
57,37,983,24053,11,334,9108
58,32,926,22119,11,304,8415
59,41,1120,25953,16,394,10217
60,51,1007,26386,14,445,9681
61,42,808,20933,13,358,7705
62,25,961,23837,11,284,8902
63,57,1245,29661,15,478,11464
64,27,1061,23467,12,291,9374
65,65,1405,36886,16,560,13395
66,18,961,21635,11,238,8587
67,31,889,20357,13,305,8110
68,71,1402,36432,19,602,13568
69,51,1216,30380,16,467,11514
70,49,1200,30523,16,450,11461
71,23,711,17328,12,239,6620
72,29,916,22268,11,306,8505
73,29,779,17628,12,267,6953
74,13,675,15913,9,177,6132
75,70,1331,35280,15,561,12630
76,55,1131,28686,16,460,10790
77,53,1061,26996,17,459,10174
78,38,917,21793,14,352,8535
79,53,1206,30291,13,450,11278
80,35,754,18952,15,334,7385
81,21,589,13702,9,200,5275
82,11,529,11878,7,138,4641
83,18,685,16592,11,221,6403
84,31,651,15610,11,271,6050
85,36,852,19260,12,325,7724
86,34,714,17687,11,306,6797
87,37,1051,24319,11,342,9497
88,14,586,14639,8,165,5431
89,30,880,21029,12,298,8196
90,22,445,10988,9,194,4135
91,29,730,17287,12,271,6756
92,35,901,21554,12,335,8355
93,21,585,13370,10,212,5309
94,37,825,21357,12,333,7926
95,35,991,22579,14,343,9037
96,58,1448,34528,17,526,13406
97,43,851,22474,15,378,8290
98,45,931,22553,15,404,8817
99,29,715,18221,12,276,6872
100,48,1121,26825,15,415,10401
101,19,604,14521,9,206,5593
102,44,864,23204,14,384,8403
103,41,1071,25024,14,375,9764
104,17,770,18707,10,219,7104
105,65,1370,36092,15,547,13037
106,24,592,15308,11,238,5643
107,29,677,16483,11,277,6428
108,48,1000,24972,15,423,9465
109,51,1059,26052,17,447,10111
110,29,851,19830,13,295,7897
111,37,902,21755,12,334,8398
112,35,933,21614,13,326,8486
113,28,700,16585,13,273,6535
114,30,915,20504,11,296,8214
115,22,708,15281,11,239,6306
116,22,475,12217,10,201,4498
117,17,467,11244,9,173,4315
118,17,358,8745,7,152,3306
119,21,722,17573,9,228,6706
120,37,818,19682,15,337,7708
121,32,682,15719,12,281,6308
122,14,570,13778,7,173,5258
123,18,698,15733,10,198,6152
124,30,939,21255,12,306,8522
125,13,585,14679,9,166,5464
126,38,809,19003,13,341,7566
127,24,662,15351,11,238,5987
128,19,605,13245,11,207,5397
129,37,873,20494,13,333,8070
130,33,958,23464,10,317,8757
131,32,839,19331,11,293,7559
132,17,614,14133,11,207,5650
133,25,580,13733,10,237,5317
134,31,711,16904,12,281,6518
135,10,462,10477,9,137,4102
136,42,927,22029,14,371,8601
137,31,529,12806,11,259,4984
138,10,405,11048,9,139,3964
139,25,677,15730,12,243,6195
140,44,778,17052,12,355,6975
141,19,439,11330,9,184,4188
142,37,920,20945,12,340,8442
143,15,411,10727,9,155,3900
144,30,708,18276,12,282,6842
145,22,475,11687,11,214,4486
146,22,428,11594,10,197,4208
147,27,803,19095,10,270,7433
148,27,799,19147,11,270,7434
149,42,784,18291,13,344,7098
150,17,793,20002,12,228,7464
151,46,738,17649,14,368,6968
152,50,935,24031,14,413,8961
153,28,841,20078,9,262,7617
154,29,894,20292,12,293,8143
155,18,751,18881,9,207,7028
156,29,574,13865,11,265,5436
157,43,811,20967,11,351,7666
158,17,867,19437,11,218,7687
159,39,820,19024,13,326,7474
160,17,795,17397,10,213,7001
161,36,545,13072,11,272,5074
162,41,673,15715,13,325,6229
163,29,638,15027,13,253,5880
164,23,747,18676,11,245,7049
165,19,549,13420,9,194,5099
166,19,526,13509,9,192,4992
167,31,687,17735,11,282,6589
168,12,664,15482,8,167,5922
169,10,460,9996,7,137,4067
170,33,1067,26068,11,333,9871
171,18,605,13341,9,185,5391
172,24,444,10259,10,206,4119
173,59,959,25937,14,459,9331
174,12,599,14212,8,160,5488
175,31,550,13282,12,273,5226
176,37,738,17907,14,335,7002
177,10,553,11752,6,141,4818
178,23,498,11604,11,220,4610
179,37,575,15451,11,297,5587
180,33,689,17310,11,291,6530
181,24,640,14814,11,238,5896
182,26,613,14824,11,237,5719
183,27,751,17308,11,255,6810
184,13,542,13545,9,166,5114
185,21,513,12858,12,206,4888
186,15,525,11617,9,158,4635
187,14,397,9522,8,153,3736
188,18,426,10451,9,181,4073
189,13,317,7530,8,127,2908
190,19,600,13641,9,204,5428
191,17,543,12332,9,174,4898
192,20,747,16222,11,221,6582
