Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,30,730,15677,19,437,9643
2,23,491,11079,16,306,6729
3,38,997,23344,21,589,13887
4,22,495,10234,15,311,6344
5,10,215,4574,9,137,2764
6,21,450,10291,15,301,6221
7,26,517,10997,15,315,6612
8,8,163,3735,7,112,2316
9,17,557,12247,15,294,7311
10,32,593,12747,15,361,7481
11,20,480,10085,15,292,6209
12,18,357,7891,13,240,4913
13,25,572,12080,15,335,7344
14,36,521,11102,14,341,6380
15,19,431,8722,13,245,5175
16,51,1178,26986,23,706,16093
17,7,128,2503,6,76,1485
18,18,439,9925,15,272,6049
19,28,614,13072,17,375,7898
20,17,436,9790,13,270,5930
21,43,861,20755,18,537,11943
22,15,329,7578,13,225,4663
23,51,1062,24383,21,645,14118
24,42,740,15720,17,457,9165
25,20,394,8670,12,242,5213
26,3,71,1634,3,49,1000
27,21,367,8008,14,255,4886
28,12,286,6118,10,173,3725
29,9,162,3083,8,105,1903
30,26,551,12050,15,325,7223
31,22,490,11391,15,315,6663
32,3,74,1458,3,47,935
33,8,236,4684,7,122,2826
34,19,435,9129,13,249,5461
35,1,24,515,1,17,323
36,1,24,515,1,17,323
37,1,24,515,1,17,323
38,25,481,9697,14,302,5945
39,28,818,18276,18,440,10830
40,27,693,15786,15,389,9261
41,49,1009,22868,21,600,13219
42,51,1185,27050,22,695,15877
43,10,262,6209,9,155,3647
44,18,446,9688,13,258,5879
45,31,658,14948,16,404,8735
46,36,857,18565,19,503,11118
47,7,201,4626,7,111,2715
48,7,239,5356,6,125,3183
49,40,903,21222,20,548,12507
50,26,726,16363,17,412,9722
51,22,497,10852,12,282,6390
52,38,854,18417,19,506,10823
53,2,77,1689,2,39,1020
54,32,856,18432,20,458,10888
55,15,427,9857,11,229,5846
56,35,820,20073,19,494,11758
57,28,506,9859,15,333,6039
58,33,621,13154,17,379,7807
59,19,397,7856,13,237,4842
60,3,60,1167,3,40,747
61,10,152,2720,8,106,1754
62,26,594,12553,16,371,7656
63,10,162,3046,9,117,1954
64,17,390,7264,14,231,4590
65,18,287,5078,12,196,3242
66,14,346,7109,12,205,4345
67,14,203,3871,9,138,2433
68,16,282,5516,11,189,3444
69,30,484,9287,14,307,5695
70,23,461,9108,14,268,5458
71,13,295,5830,10,172,3594
72,37,615,12744,16,392,7651
73,21,330,6609,12,216,3918
74,21,469,9725,14,275,5942
75,12,186,3470,7,113,2114
76,43,911,19147,19,535,11313
77,8,203,4586,7,120,2757
78,12,231,4636,10,140,2818
79,12,277,6101,10,155,3680
80,26,589,12397,16,322,7488
81,24,610,12542,18,336,7616
82,23,448,9054,13,270,5469
83,6,138,2878,6,92,1829
84,15,433,9340,14,252,5819
85,22,436,9423,14,288,5833
86,11,280,5266,9,150,3200
87,6,188,3995,6,99,2356
88,12,244,4899,10,153,3095
89,8,147,2362,7,83,1429
90,22,330,6002,12,221,3705
91,12,223,4118,8,127,2496
92,13,184,4048,7,120,2401
93,19,211,3740,8,142,2164
94,24,468,9381,13,273,5512
95,5,102,1886,5,62,1145
96,7,114,1762,6,64,1026
97,2,79,1658,2,38,998
98,5,62,923,3,34,560
99,5,119,2250,5,65,1327
100,3,58,939,3,33,570
101,13,248,5128,8,146,3089
102,3,41,675,3,27,421
103,6,137,3000,5,78,1773
104,16,471,10600,13,248,6334
105,71,1584,37995,25,946,21868
106,31,547,10745,16,327,6396
107,16,383,8596,12,225,5062
108,7,212,4261,6,106,2542
109,2,76,1409,2,34,852
110,10,231,4334,9,128,2597
111,1,33,626,1,16,377
112,19,401,7553,10,216,4480
113,13,263,5213,10,164,3132
114,6,95,1793,6,60,1053
115,13,225,3880,8,123,2287
116,38,859,20065,21,510,11873
117,16,325,6528,10,188,3850
118,9,127,2187,6,75,1370
119,9,191,3773,7,108,2227
120,32,526,10728,13,332,6284
121,12,175,3284,7,114,1922
122,14,276,5086,10,160,3045
123,3,122,2414,3,55,1463
124,17,392,7773,12,218,4611
125,11,256,4980,9,149,2915
126,3,57,1058,2,31,644
127,15,334,7363,11,206,4424
128,36,869,19928,20,521,11844
129,7,212,4659,7,105,2739
130,11,237,4934,9,144,3042
131,21,346,6555,11,213,3935
132,12,173,3235,8,119,2012
133,14,323,6914,12,195,4160
134,39,754,15783,16,459,9258
135,40,735,15684,16,437,9134
136,14,174,2916,7,106,1778
137,32,733,14921,20,427,8986
138,4,87,1914,4,59,1144
139,3,68,1425,3,47,911
140,34,760,16027,19,464,9915
141,8,165,3458,6,108,2188
142,21,512,10496,16,307,6540
143,29,614,13267,18,394,8293
144,8,66,1241,4,53,761
145,18,411,8767,14,253,5398
146,26,540,11804,16,348,7276
147,21,460,9512,15,276,5896
148,12,297,6254,11,177,3806
149,13,258,5309,10,169,3324
150,20,508,10628,16,308,6589
151,2,49,1071,2,33,681
152,27,411,8650,13,286,5358
153,14,255,5127,10,172,3209
154,3,67,1662,3,46,948
155,18,382,7596,12,226,4532
156,6,117,2433,5,73,1436
157,13,364,8263,11,199,4923
158,12,142,2486,7,93,1482
159,3,83,1730,3,47,1076
160,4,48,788,2,27,478
161,9,220,4107,8,120,2483
162,12,265,5326,11,161,3292
163,10,190,3425,9,106,2083
164,7,126,2298,6,74,1383
165,13,201,3700,8,123,2174
166,9,172,3141,7,98,1882
167,8,195,3532,7,102,2127
168,15,313,5692,12,174,3463
169,6,126,2236,6,68,1353
170,5,119,2094,4,59,1256
171,3,72,1090,3,38,724
172,6,117,1879,6,62,1165
173,2,45,692,2,22,437
174,5,140,2303,5,64,1431
175,1,37,558,1,15,356
176,19,439,9081,13,258,5455
177,3,84,1457,3,44,909
178,6,129,2199,6,68,1360
179,6,115,1934,6,64,1187
180,2,61,1030,2,29,640
181,10,211,3973,10,128,2440
182,29,590,12121,16,341,7236
183,35,626,13134,16,377,7721
184,10,219,4736,8,133,2741
185,30,626,13234,16,378,7964
186,14,252,4859,10,154,2951
187,9,204,4369,6,116,2529
188,13,221,4070,9,141,2477
189,16,303,5702,10,169,3336
190,8,181,3720,6,102,2196
191,13,331,6755,11,182,3954
192,12,241,4974,9,148,3046
193,21,465,9734,14,285,6105
194,23,569,13592,14,345,7965
195,7,127,2529,6,76,1470
196,47,1061,24873,21,633,14728
197,14,321,7375,11,199,4456
198,29,674,14455,16,404,8923
199,16,293,6176,12,197,3897
200,24,478,10711,13,280,6271
201,28,703,16504,16,413,9729
202,15,376,8801,11,212,5222
203,15,409,9450,12,230,5644
204,39,879,21225,19,547,12442
205,31,724,16543,18,444,9928
206,28,738,17224,18,433,10267
207,16,445,10340,13,255,6200
208,12,273,6103,9,162,3660
209,6,168,3837,6,97,2337
210,25,732,16813,18,400,10085
211,14,357,7568,11,200,4657
212,27,556,12218,15,343,7443
213,23,492,11270,12,287,6692
214,22,625,14614,15,359,8678
215,26,563,12221,16,364,7590
216,20,484,10963,14,293,6708
217,13,367,8125,12,204,4952
218,23,552,12455,15,319,7500
219,30,542,11624,15,349,7152
220,6,167,3954,5,95,2335
221,12,230,4925,11,160,3117
222,14,320,6930,11,190,4304
223,6,100,1796,4,53,1100
224,8,116,1906,6,68,1123
225,3,29,457,3,22,269
226,2,27,579,2,23,362
227,16,480,10164,13,248,6056
228,12,262,5979,11,176,3566
229,3,88,1728,3,49,1058
230,14,300,5979,10,179,3716
231,12,271,5575,11,167,3407
232,2,51,1032,2,33,663
233,45,854,18349,20,534,10851
234,7,156,2962,6,90,1766
235,14,303,5799,11,178,3579
236,2,101,2299,2,44,1365
237,30,536,10947,15,335,6494
238,17,363,6861,12,207,4174
239,21,474,9651,14,281,5985
240,17,314,6558,10,187,3970
241,29,665,14292,18,408,8594
242,4,73,1315,3,41,808
243,27,580,12845,17,365,7845
244,8,125,2450,6,82,1487
245,11,327,7649,11,187,4513
246,12,311,7069,11,178,4160
247,2,94,1964,2,41,1178
248,15,273,5240,11,173,3283
249,2,58,1112,2,28,683
250,11,267,5653,9,154,3323
251,14,394,9033,11,212,5404
252,8,149,2911,8,91,1761
253,1,44,905,1,19,556
254,15,356,7386,12,206,4470
255,18,424,8115,12,216,4829
256,14,190,3287,8,117,1997
257,12,244,4855,9,140,2929
258,5,112,2546,5,67,1511
259,18,418,9333,13,241,5579
260,10,195,3661,6,110,2214
261,1,44,905,1,19,556
262,4,137,2862,4,66,1687
263,13,357,8378,12,207,4984
264,6,142,2432,6,73,1514
265,8,152,3438,6,90,1986
266,4,130,2311,4,57,1365
267,19,384,7684,12,222,4732
268,24,506,10136,14,293,6039
269,25,585,12253,15,328,7310
270,16,280,5595,9,153,3321
271,22,500,10410,13,276,6194
272,3,101,2194,3,49,1331
273,5,119,2210,4,58,1327
274,26,704,16629,18,407,9870
275,11,247,4778,10,144,2912
276,14,317,6622,10,185,4099
277,7,152,2981,6,84,1760
278,11,209,3650,9,116,2233
279,10,197,3619,9,118,2206
280,10,197,4049,9,120,2377
281,2,77,1521,2,36,912
282,21,467,9112,14,282,5667
283,3,113,2159,3,49,1264
284,18,447,9323,13,249,5691
285,8,166,2696,7,93,1739
286,6,154,2983,6,87,1838
287,22,322,6305,11,195,3667
288,3,70,1408,3,41,853
289,20,480,10366,14,293,6427
290,11,173,2931,7,95,1721
291,13,359,7769,12,197,4770
292,2,73,1403,2,35,833
293,13,354,8325,11,207,4958
294,1,43,783,1,18,475
295,4,92,1493,4,44,896
296,6,116,2229,5,63,1308
297,11,182,3053,8,106,1913
298,7,127,2326,6,76,1451
299,33,758,16143,19,474,10127
300,11,229,4705,10,143,2864
301,6,100,1804,6,66,1129
302,3,43,727,3,27,437
303,26,530,11305,14,331,6902
304,3,48,916,2,32,594
305,15,317,6563,12,198,4041
306,13,193,3482,8,118,2165
307,9,204,4432,7,115,2677
