Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,347,6926,372453,37,4206,176848
1,17,837,28051,14,347,14795
2,10,509,12836,9,157,6420
3,17,1033,39128,14,443,21472
4,10,436,11229,9,123,5367
5,13,671,22713,11,260,11948
6,6,387,9282,6,71,4654
7,20,938,42831,13,416,23836
8,8,395,10020,5,75,4734
9,57,2474,110249,30,1396,58584
10,10,801,28430,10,318,15889
11,1,348,7274,1,38,4244
12,1,348,7274,1,38,4244
13,31,1722,70780,27,899,39513
14,15,595,15879,13,219,7556
15,1,348,7274,1,38,4244
16,9,611,19323,9,218,10591
17,13,569,14696,12,192,7081
18,1,348,7274,1,38,4244
19,16,546,15092,9,173,6684
20,15,576,15582,11,208,7330
21,65,2821,132218,34,1617,72027
22,11,602,19714,10,216,10234
23,17,495,14783,7,146,6147
24,16,682,19686,15,298,10271
25,69,2618,118569,32,1507,61691
26,68,2943,134130,36,1739,71680
27,5,478,12879,5,117,7079
28,13,556,14608,11,192,7056
29,13,715,24824,9,283,13377
30,17,1024,37642,15,436,20682
31,23,1174,45474,16,533,24450
32,6,406,9705,6,81,4941
33,2,351,7628,2,41,4288
34,5,867,32532,5,202,18231
35,2,361,7748,2,47,4373
36,11,508,13863,10,165,6852
37,1,348,7274,1,38,4244
38,9,586,18436,8,193,9839
39,15,878,31951,12,370,17219
40,44,2035,86405,28,1085,46618
41,24,691,20310,14,291,8785
42,2,351,7628,2,41,4288
43,1,348,7274,1,38,4244
44,6,450,10508,6,106,5536
45,12,807,29096,11,316,16008
46,5,402,9280,5,75,4823
47,2,352,7656,2,41,4308
48,22,984,34656,16,451,18232
49,4,360,8373,2,46,4394
50,11,710,24496,10,275,13305
51,7,490,13392,7,123,7040
52,2,354,7661,2,42,4308
53,31,1038,37123,19,537,18591
54,8,559,16138,7,173,8692
55,17,1221,47077,17,549,26690
56,78,3250,156420,37,1940,84741
57,15,717,21830,14,299,11514
58,12,3016,169633,6,440,117946
59,19,1113,43343,17,535,24210
60,8,709,23417,8,251,13229
61,3,372,8172,3,51,4462
62,26,1381,56505,20,690,30878
63,6,613,19134,6,196,11018
64,7,473,14259,7,112,6634
65,12,774,26801,12,312,14731
66,15,1102,41935,15,477,23746
67,76,3245,155831,37,1928,84510
68,9,448,11170,7,108,5323
69,10,760,25763,10,271,14405
70,2,358,7713,2,43,4338
71,3,363,8125,3,47,4417
72,24,1382,54467,19,657,30171
73,10,565,17069,9,190,8861
74,1,348,7274,1,38,4244
75,14,977,35704,14,397,19941
76,3,423,10447,3,75,5897
77,6,470,13527,5,125,7244
78,9,431,10820,9,118,5283
79,12,1005,35772,12,393,20448
80,23,846,27577,17,406,13897
81,3,358,8105,2,46,4398
82,34,1475,61397,21,784,32991
83,7,490,13392,7,123,7040
84,13,709,24544,10,279,12977
85,14,827,30004,13,335,16185
86,6,416,9800,6,85,4979
87,13,830,36672,12,336,21204
88,20,930,33058,14,392,17379
89,8,407,10201,6,84,4885
90,2,352,7632,2,41,4290
91,8,395,10020,5,75,4734
92,21,767,23464,16,373,11929
93,8,444,10943,7,105,5411
94,22,875,27542,17,415,14359
95,6,385,9272,5,70,4644
96,9,537,16976,8,179,8911
97,3,362,8073,3,47,4388
98,49,2429,105447,33,1367,57901
99,13,488,12955,9,135,5759
100,9,502,14685,7,139,7447
101,19,729,21711,16,339,11147
102,6,412,9754,6,83,4941
103,16,1155,50905,16,516,29866
104,32,1771,74053,24,906,40929
105,14,923,32881,13,371,18019
106,8,543,16678,8,178,8891
107,1045,58505,6529291,120,41686,3875384
108,13,627,19126,12,232,9818
109,37,1940,81995,26,1018,45002
110,5,381,8873,5,62,4555
111,14,547,14656,10,179,6832
112,3,370,8215,3,52,4486
113,40,2089,88363,30,1113,48693
114,1,348,7274,1,38,4244
115,21,654,18830,14,266,8382
116,17,619,16927,13,240,7877
117,6,479,14015,6,132,7513
118,36,1745,73438,25,928,40293
119,62,2384,107115,30,1346,55311
120,4,552,23614,3,154,14612
121,12,712,25051,10,277,13410
122,63,2834,133554,35,1617,73066
123,18,1148,44879,17,534,25126
124,4,417,10412,3,79,5666
125,4,584,24887,4,173,15391
126,7,503,14159,7,135,7529
127,16,668,20776,12,264,10428
128,28,1633,66394,25,817,37049
129,7,478,13389,7,128,7023
130,16,824,27415,13,329,14533
131,7,425,10182,7,93,5055
132,16,875,32033,13,375,17188
133,18,1016,38686,16,452,20968
134,19,1221,47710,17,563,26722
135,10,495,13236,10,153,6620
136,133,13014,1348931,75,8639,927155
137,16,563,15508,10,194,7015
138,2,365,7837,2,48,4427
139,9,487,12943,9,145,6577
140,11,539,13659,11,176,6766
141,28,1525,61683,22,754,33910
142,43,2143,93158,28,1159,50550
143,12,461,12348,8,120,5530
144,15,591,15796,13,217,7482
145,2,352,7632,2,41,4290
146,10,732,31571,9,276,18639
147,6,387,9282,6,71,4654
148,20,1038,39773,15,476,21388
149,14,560,15050,11,202,7178
150,11,563,18895,8,181,8799
151,7,460,11013,7,117,5700
152,5,409,9748,5,84,5189
153,2,392,9403,2,67,5366
154,2,355,7664,2,44,4318
155,3,370,8148,3,50,4448
156,12,838,37045,10,331,21741
157,3,357,8070,3,46,4381
158,25,1247,49069,19,602,26433
159,14,718,23327,13,283,12287
160,2,357,7827,2,45,4402
161,25,1503,59697,21,711,33354
162,8,472,11569,8,130,5919
163,6,471,12567,6,111,6634
164,3,417,10627,3,86,5942
165,11,719,25582,11,288,13921
166,4,379,9176,4,58,4695
167,7,414,10157,6,88,5046
168,11,634,20561,9,224,10842
169,38,1979,90481,27,1027,50800
170,46,2217,95606,29,1189,51952
171,22,2439,122651,9,406,74436
172,41,1798,78016,27,1026,41987
173,12,815,29284,6,201,15293
174,4,373,8585,3,55,4538
175,17,576,17028,10,187,7618
176,14,982,35883,14,411,20035
177,11,462,12024,8,121,5510
178,13,698,23779,11,264,12436
179,3,354,7984,2,43,4331
180,20,754,22879,16,357,11695
181,10,436,11229,9,123,5367
182,3,356,8006,3,46,4346
183,2,367,8309,2,55,4713
184,18,713,22654,13,296,11294
185,26,1446,58352,19,688,31879
186,44,2171,93601,29,1172,51033
187,16,666,19298,15,292,10008
188,48,2240,97775,29,1223,52642
189,7,473,14259,7,112,6634
190,4,383,8845,4,61,4729
191,3,397,9185,3,72,5144
192,5,381,9029,3,60,4662
193,5,379,8862,4,59,4541
194,19,736,22061,16,344,11331
195,9,431,10820,9,118,5283
196,13,698,21272,13,284,11551
197,16,671,21047,12,265,10537
198,12,659,19857,7,161,10937
199,47,2209,95397,29,1226,51963
200,57,2572,115013,32,1463,61734
201,4,375,8486,4,56,4487
202,4,397,9678,4,69,5101
203,57,2585,114146,34,1468,61784
204,22,861,27685,17,415,14291
205,2,354,7661,2,42,4308
206,4,384,9264,4,68,4966
207,3,500,13546,3,109,7912
208,7,655,21044,7,225,11785
209,1,348,7274,1,38,4244
210,1,348,7274,1,38,4244
211,30,1474,61786,23,794,33757
212,18,1147,44243,15,512,24781
213,39,1733,78692,24,927,43208
214,17,610,16680,13,225,7664
215,1,348,7274,1,38,4244
216,2,357,7735,2,46,4357
217,8,499,15630,7,132,7304
218,9,431,10820,9,118,5283
219,6,383,9252,5,68,4628
220,4,402,9078,4,73,4921
221,8,698,22847,8,234,12821
222,11,729,25403,10,290,14070
223,27,1607,65978,26,826,37073
224,28,1506,60530,22,738,33129
225,10,457,11622,8,116,5435
226,14,576,15269,12,208,7339
227,15,510,13917,9,150,6017
228,3,372,8808,3,58,4822
229,6,504,14638,5,137,7973
230,9,429,11003,4,89,5216
231,21,1115,42116,16,506,22818
232,25,1454,58016,21,701,32041
233,2,351,7628,2,41,4288
234,2,408,9975,2,74,5790
235,5,505,14595,5,132,8163
236,37,1716,72386,23,900,38755
237,7,490,13392,7,123,7040
238,23,1228,49117,19,623,27187
239,59,2641,117708,35,1510,63548
240,3,378,8528,3,57,4699
241,2,353,7639,2,41,4293
242,24,909,29584,18,448,15251
243,8,452,11049,7,105,5500
244,2,351,7628,2,41,4288
245,5,393,8999,5,64,4641
246,14,949,41873,13,397,24319
247,3,367,8560,3,52,4695
248,21,1228,47580,19,578,26237
249,24,906,29906,17,450,15456
250,5,554,16520,5,156,9399
251,14,645,20005,11,243,10231
252,65,2840,128249,36,1656,68861
253,3,362,8073,3,47,4388
254,17,696,20382,16,313,10579
255,2,353,7639,2,41,4293
256,2,351,7628,2,41,4288
257,18,999,37522,15,436,20216
258,15,801,29818,13,350,15775
259,8,395,10020,5,75,4734
260,8,544,15944,6,151,8518
261,38,1691,72986,25,947,39417
262,4,402,9078,4,73,4921
263,7,421,10202,6,90,5049
264,5,381,8873,5,62,4555
265,27,1426,58519,22,746,32433
266,18,715,21172,16,329,10938
267,2,366,7787,2,46,4398
268,11,771,26924,11,316,15125
269,6,469,14816,5,105,6849
270,4,480,13032,3,109,7365
271,73,3082,140132,37,1830,74896
272,45,1997,83483,26,1073,44607
273,9,431,10820,9,118,5283
274,14,815,30100,12,341,16143
275,10,436,11229,9,123,5367
276,18,1185,45131,17,527,25273
277,65,2755,121849,36,1561,65008
278,10,453,11576,7,114,5402
279,2,363,7836,2,49,4434
280,43,2085,88175,28,1093,47606
281,16,704,22720,12,282,11587
282,2,351,7628,2,41,4288
283,5,477,13171,4,115,7257
284,16,689,21884,12,274,11081
285,47,2354,108541,32,1258,60633
286,2,352,7636,2,41,4293
287,1,348,7274,1,38,4244
288,4,523,14783,4,132,8467
289,4,400,9045,4,73,4871
290,14,1044,38486,14,433,21620
291,36,1649,68629,24,857,36660
292,1,348,7274,1,38,4244
293,3,370,8215,3,52,4486
294,3,421,10572,3,81,5973
295,10,673,23153,10,251,12655
296,7,421,10202,6,90,5049
297,25,1628,64400,24,764,36220
298,11,803,28455,11,319,15987
299,20,738,22505,16,345,11381
300,7,483,12304,7,138,6616
301,3,378,9027,2,61,4978
302,20,792,24574,16,375,12739
303,21,1153,45317,16,531,24586
304,55,2568,120015,31,1440,66203
305,2,375,7995,2,53,4562
306,9,431,10820,9,118,5283
307,4,407,10160,3,75,5502
308,24,1375,61858,19,656,35257
309,10,495,13236,10,153,6620
310,13,500,13575,8,155,6236
311,7,531,16443,7,172,8972
312,26,694,21205,14,303,9012
313,37,1771,74728,27,948,40859
314,13,754,26889,11,314,14601
315,56,2507,114778,30,1396,63047
316,2,362,7959,2,50,4516
317,7,499,14081,7,148,7568
318,11,744,25760,11,292,14191
319,8,407,10201,6,84,4885
320,21,722,23021,14,319,11087
321,3,379,8342,3,58,4571
322,72,2870,136037,32,1657,72909
323,39,1925,81602,25,1003,44187
324,26,1371,62117,20,670,35031
325,39,2047,86387,30,1102,47915
326,19,647,18118,14,264,8312
327,4,373,8498,4,58,4502
328,9,431,10820,9,118,5283
329,30,1161,45032,18,567,22939
330,16,686,20056,15,299,10443
331,20,1120,42785,17,523,23553
