Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,27,280,10994,10,185,2601
2,14,1634,15987,12,186,10307
3,14,162,11314,8,139,2038
4,1,15,177,1,9,148
5,41,280,17961,10,220,3093
6,12,1422,15537,11,173,10633
7,12,1237,12047,11,158,8396
8,110,1632,108232,16,913,18213
9,19,2159,22778,19,286,15614
10,172,977,58042,12,564,8238
11,12,1310,14513,12,164,8754
12,12,98,9744,6,83,1221
13,2,16,119,2,9,96
14,23,1435,17812,12,212,10748
15,1,24,1459,1,13,225
16,23,137,6736,7,106,1350
17,10,699,6427,10,135,4670
18,7,52,802,3,27,314
19,2,15,119,2,9,76
20,9,155,8682,8,101,1635
21,1,24,161,1,8,114
22,12,998,9360,11,149,5705
23,5,404,3092,5,55,1666
24,30,220,13677,9,163,2272
25,7,399,3289,7,79,1971
26,5,505,4360,5,56,2627
27,19,229,14253,8,163,2722
28,12,1408,18313,12,175,10481
29,76,473,26710,8,282,3694
30,2,5,24,1,4,15
31,33,1677,36767,13,353,13925
32,1,24,161,1,8,114
33,314,2683,317076,16,2121,35416
34,3,338,3799,3,30,2292
35,6,46,2542,3,34,433
36,3,63,531,3,20,407
37,3,260,1787,3,28,930
38,102,774,34628,12,370,5884
39,9,950,12921,9,130,7326
40,3,18,1377,2,15,187
41,4,524,5476,3,41,3688
42,3,303,2026,3,30,1081
43,14,1195,16553,14,198,9556
44,10,596,9189,6,75,4488
45,6,823,8845,6,83,6028
46,12,95,6588,6,70,959
47,4,91,1359,4,36,684
48,49,2135,50643,17,512,18252
49,14,987,9942,12,163,6070
50,93,879,63519,14,639,10550
51,165,1797,175763,16,1329,23198
52,15,934,17499,9,170,7282
53,14,144,5531,5,85,1232
54,1,15,159,1,6,91
55,3,303,2026,3,30,1081
56,19,241,14219,9,170,2798
57,44,402,19987,11,285,4189
58,10,353,4445,7,88,2703
59,1,24,161,1,8,114
60,4,22,487,2,15,166
61,1,5,27,1,3,18
62,13,1204,15369,13,184,9032
63,8,112,3051,6,59,924
