Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,6,43,279,3,19,150
2,24,143,1321,6,82,586
3,3,15,99,3,12,56
4,3,28,212,3,14,106
5,3,37,242,2,12,122
6,4,41,268,3,18,147
7,2,33,208,2,11,115
8,3,37,239,3,16,140
9,2,31,208,2,11,112
10,9,86,566,5,39,323
11,5,41,266,3,17,143
12,5,54,332,5,25,200
13,4,37,237,3,16,135
14,14,86,657,5,45,337
15,3,50,326,3,18,177
16,3,41,256,3,16,148
17,7,65,495,4,33,262
18,2,34,213,2,11,116
19,9,58,433,3,25,208
20,4,52,358,4,23,202
21,4,41,265,3,18,150
22,6,55,379,3,25,211
23,6,62,437,4,28,237
24,9,74,544,4,33,279
25,3,50,341,3,17,183
26,5,45,281,3,21,162
27,3,21,125,3,13,81
28,9,54,428,5,31,224
29,7,32,223,3,22,124
30,5,29,184,4,20,116
31,5,34,256,3,19,126
32,3,29,202,3,15,110
33,5,30,265,3,22,134
34,3,35,264,3,16,139
35,6,31,213,3,19,114
36,10,43,338,3,28,163
37,10,59,418,4,36,233
38,3,20,173,3,15,94
39,13,90,675,6,51,374
40,6,38,279,4,25,164
41,5,19,142,2,15,78
42,5,34,246,4,22,133
43,14,89,707,5,46,361
44,5,28,215,3,19,108
45,4,42,284,4,19,170
46,10,80,606,5,41,338
47,7,67,445,4,30,245
48,4,36,262,3,17,144
49,3,28,191,3,14,115
50,8,36,237,3,23,128
51,10,76,556,5,42,306
52,6,27,191,3,19,102
53,4,22,159,3,15,86
54,6,49,395,4,28,197
55,4,42,317,4,22,180
56,20,119,1063,5,69,481
57,7,49,330,5,28,189
58,5,33,232,3,20,125
59,5,70,523,4,29,276
60,8,40,279,4,27,158
61,6,37,270,4,25,149
62,12,74,539,5,43,290
63,6,24,157,3,17,89
64,3,24,180,3,15,100
65,5,36,200,3,19,125
66,2,22,124,2,9,73
67,9,44,376,4,31,190
68,4,27,164,3,17,105
69,3,21,126,2,11,75
70,4,26,174,3,15,97
71,4,31,195,4,19,127
72,7,48,316,4,28,189
73,5,47,341,4,27,191
74,8,54,423,4,33,225
75,5,36,223,4,22,140
76,2,21,152,2,10,77
77,7,47,334,4,26,176
78,11,55,370,5,31,215
79,11,60,505,4,41,251
80,6,42,293,3,24,152
81,5,48,341,4,26,189
82,8,50,350,4,30,200
83,4,23,174,3,16,95
84,2,12,76,2,8,45
85,4,23,165,3,15,99
86,6,31,180,3,18,110
87,11,45,332,3,29,164
88,11,68,534,5,42,287
89,4,30,230,3,18,127
90,5,43,317,4,24,175
91,4,34,275,3,19,145
92,3,21,155,3,14,90
93,3,20,111,3,12,73
94,6,53,365,4,24,205
95,14,112,840,6,52,448
96,3,34,236,3,15,136
97,10,54,388,4,32,206
98,4,49,286,3,18,157
99,3,27,177,2,11,99
100,3,35,203,2,11,116
101,5,53,326,4,23,191
102,3,31,209,3,14,115
103,2,26,167,2,9,91
104,7,55,362,4,30,216
105,2,27,192,2,10,98
106,5,49,289,4,20,170
107,5,42,274,4,21,165
108,10,67,446,5,37,262
109,3,31,199,3,14,117
110,19,159,1214,7,71,664
111,5,33,236,4,23,145
112,12,51,376,4,35,197
113,2,20,136,2,10,77
114,8,58,389,4,28,206
115,12,65,461,5,38,251
116,6,41,245,3,21,144
117,6,47,273,4,26,172
118,3,25,163,3,14,101
119,6,47,326,4,26,186
120,3,17,112,3,13,70
121,3,20,148,3,13,78
122,4,30,182,3,16,109
123,2,14,92,2,9,58
124,3,23,150,3,14,92
125,3,28,156,3,14,101
126,5,34,205,3,19,128
127,2,12,72,2,8,42
128,7,53,403,3,31,204
129,7,41,258,3,27,147
130,4,34,193,3,16,118
131,6,42,246,4,24,158
132,3,23,127,3,13,87
133,3,45,260,3,15,152
134,3,26,143,3,13,94
135,3,22,120,2,11,79
136,4,23,141,2,12,79
137,3,19,114,3,13,77
138,6,28,162,3,20,105
139,3,20,135,3,13,81
140,5,43,300,4,24,179
141,3,25,124,2,11,76
142,3,26,144,3,13,86
143,3,27,152,3,13,88
144,3,27,149,3,13,88
145,3,36,250,3,17,140
146,11,84,556,5,44,326
147,3,31,194,3,14,113
148,3,24,168,3,14,94
149,2,29,159,2,11,90
150,2,16,91,2,9,55
151,5,24,163,3,19,100
152,10,72,510,4,38,277
153,16,62,534,4,37,222
154,3,27,204,3,16,110
155,11,45,363,3,33,175
156,4,34,235,3,18,132
157,4,22,174,2,13,83
158,4,34,229,4,19,136
159,8,39,266,4,27,155
160,5,46,271,3,19,156
161,12,45,374,3,34,170
162,5,41,312,3,23,164
163,2,18,116,2,10,65
164,2,17,108,2,10,65
