Node,WiD1,WiD2,WiD3
1,23,985,40790
2,3,113,4555
3,4,137,3884
4,16,497,15408
5,46,1434,49989
6,2,9,46
7,57,2256,93755
8,21,1066,44307
9,20,670,24648
10,27,1078,43481
11,23,808,31074
12,21,873,35811
13,25,730,22912
14,25,1027,41625
15,8,226,8616
16,9,252,9667
17,2,132,5034
18,37,1567,59806
19,24,1042,41757
20,11,540,20895
21,1,47,1481
22,19,1001,42743
23,13,511,18871
24,29,1134,45299
25,6,149,4360
26,31,973,31850
27,13,470,15059
28,28,895,28812
29,31,1031,34995
30,1,5,186
31,20,828,34300
32,41,1662,68454
33,34,1467,61124
34,4,181,7383
35,43,1746,73972
36,26,1173,48581
37,5,110,3136
38,19,550,20676
39,6,165,5062
40,34,1467,61124
41,7,289,10280
42,12,429,16947
43,29,1306,54941
44,37,1561,65614
45,7,289,10280
46,23,1001,41510
47,3,73,1976
48,8,226,8616
49,42,1704,68509
50,27,1130,46989
51,19,671,22452
52,6,326,13130
53,42,1688,68840
54,46,1819,74902
55,25,1070,44460
56,32,1388,57730
57,37,1526,61486
58,32,1429,60306
59,12,540,21636
60,96,3641,153102
61,33,1320,54370
62,30,1384,58623
63,31,1425,59833
64,32,1475,62323
65,33,1575,65841
66,34,1600,67025
67,29,1272,51238
68,14,685,27973
69,53,2240,92061
70,62,2511,103316
71,30,1108,43588
72,9,384,15326
73,31,1215,43326
74,20,748,30116
75,17,640,21737
76,16,614,20831
77,29,962,32659
78,26,1051,41892
79,20,757,26737
80,19,612,22807
81,42,1774,73677
82,8,361,14381
83,59,2425,100101
84,14,606,23985
85,19,614,19660
86,40,1287,44078
87,24,973,39571
88,36,1525,58087
89,17,863,34833
90,33,1169,40784
91,24,792,30512
92,5,94,2667
93,27,1290,53150
94,26,1261,51867
95,40,1812,75748
96,52,1731,63878
97,18,679,22708
98,46,2092,88874
99,60,2492,105495
100,49,2159,91599
101,49,2138,91041
102,19,595,18818
103,23,875,35599
104,20,628,24886
105,48,2057,85920
106,39,1647,69441
107,38,1527,63564
108,60,2600,110110
109,33,1562,66092
110,43,1957,82171
111,41,1723,70741
112,28,1117,45077
113,13,531,21266
114,44,1757,72342
115,7,149,4010
116,20,632,23621
117,13,481,18157
118,41,1583,64925
119,9,251,9231
120,1,10,261
121,39,1563,63701
122,55,2287,95325
123,40,1666,70062
124,16,519,16999
125,31,1442,58877
126,17,659,22122
127,29,1283,52773
128,40,1269,43114
129,23,962,39023
130,35,1413,57998
131,56,2471,104214
132,75,3113,132343
133,6,136,3997
134,13,408,15651
135,51,1899,78181
136,100,3518,143062
137,16,655,24960
138,23,808,26764
139,18,586,23177
140,31,1068,35369
141,23,1114,45355
142,31,1424,57687
143,17,731,29862
144,17,628,21273
145,2,70,2169
146,27,1284,52849
147,39,1246,42410
148,5,89,2320
149,54,1708,61778
150,39,1596,64338
151,23,982,40047
152,3,16,195
153,41,1109,37786
154,43,1746,73972
155,20,569,18561
156,22,679,21607
157,4,21,238
158,59,2327,95637
159,10,300,11780
160,1,55,1763
161,31,1296,51660
162,19,621,23500
163,12,496,16037
164,53,2249,93019
165,1,16,650
166,14,685,27973
167,45,1291,43603
168,74,2891,120022
169,23,755,24241
170,48,2116,89164
171,45,1898,79702
172,40,1198,40430
173,24,774,25061
174,52,2148,89373
175,18,734,30798
176,24,801,26117
177,20,820,34009
178,39,1786,73672
179,46,1755,71899
180,5,43,952
181,6,165,5062
182,25,1184,50465
183,39,1551,64533
184,22,822,27942
185,15,634,25618
186,13,603,24503
187,18,797,32579
188,10,397,15635
189,31,942,31145
190,27,1284,52849
191,25,931,31148
192,55,2261,92924
193,28,1315,54273
194,56,2457,100728
195,46,1827,74563
196,45,1821,74500
197,36,1657,68978
198,14,442,14406
