Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,3,14,60,3,12,54
2,3,20,109,3,12,72
3,3,13,67,3,12,52
4,5,25,132,3,20,102
5,6,29,153,4,23,119
6,3,13,61,3,12,52
7,3,15,73,3,12,59
8,4,21,106,3,16,81
9,5,24,133,3,19,95
10,6,32,177,3,23,125
11,3,17,90,3,12,67
12,3,14,60,3,12,54
13,3,20,109,3,12,72
14,4,19,99,3,16,77
15,4,21,107,3,17,85
16,3,15,76,3,12,61
17,4,22,116,3,16,87
18,3,19,103,3,13,75
19,4,23,130,3,17,92
20,8,39,220,4,29,157
21,3,17,93,3,13,67
22,3,20,108,3,13,78
23,4,16,78,3,15,63
24,5,27,146,3,18,99
25,3,16,83,3,12,60
26,3,18,95,3,12,70
27,3,12,50,3,12,48
28,3,12,54,3,12,49
29,3,17,83,3,13,68
30,3,17,84,3,13,68
31,3,17,80,3,12,63
32,6,31,173,3,21,114
33,4,16,78,3,15,63
34,5,27,146,3,18,99
35,4,21,107,3,15,79
36,4,27,145,4,17,105
37,3,13,60,3,12,52
38,3,13,59,3,12,52
39,4,21,103,3,16,83
40,4,23,117,4,17,93
41,3,17,80,3,12,63
42,6,31,173,3,21,114
43,3,14,62,3,12,54
44,3,14,62,3,12,54
45,4,17,76,3,15,66
46,4,17,76,3,15,66
47,3,14,61,3,12,54
48,3,13,59,3,12,52
49,3,14,64,3,12,56
50,4,19,90,3,16,76
51,4,20,94,4,16,80
52,4,18,84,3,16,72
53,3,13,57,3,12,52
54,3,12,49,3,12,48
55,3,12,48,3,12,48
56,3,14,63,3,12,54
57,4,18,84,3,16,72
58,4,19,90,3,16,76
59,3,14,63,3,12,54
60,3,12,49,3,12,48
61,3,14,64,3,12,56
62,3,12,48,3,12,48
63,3,14,63,3,12,54
64,3,14,63,3,12,54
65,3,13,56,3,12,51
66,4,17,79,3,15,66
67,5,21,98,3,18,81
68,4,19,87,3,15,72
69,3,16,73,3,12,60
70,3,13,55,3,12,51
71,3,13,55,3,12,51
72,4,16,70,3,15,63
73,3,15,67,3,12,57
74,3,15,69,3,12,57
75,5,21,99,3,18,81
76,4,18,84,3,15,69
77,3,15,69,3,12,57
78,3,15,69,3,12,57
79,3,13,55,3,12,51
80,3,18,98,3,13,73
81,4,20,114,3,16,83
82,4,24,132,3,17,97
83,6,34,194,4,24,139
84,3,17,87,3,13,68
85,3,14,72,3,12,57
86,4,20,108,3,16,81
87,4,21,111,3,16,83
88,3,18,100,3,13,74
89,7,36,209,4,27,149
90,4,26,150,3,18,106
91,6,36,198,4,24,144
92,3,15,60,3,10,49
93,6,23,115,3,19,80
94,4,22,108,3,15,81
95,3,18,99,3,13,71
96,2,11,45,2,7,36
97,3,11,53,2,10,38
98,3,16,70,3,11,55
99,4,20,104,3,15,76
100,2,11,45,2,7,36
101,3,11,54,2,10,38
102,3,17,76,3,11,59
103,5,25,138,3,19,97
104,4,18,88,3,15,69
105,5,24,124,3,18,90
106,3,16,80,3,12,60
107,3,16,80,3,12,60
108,3,15,71,3,12,57
109,3,15,71,3,12,57
110,5,24,124,3,18,90
111,5,26,132,3,18,96
112,3,18,92,3,12,66
113,3,17,84,3,12,63
114,5,23,114,3,18,87
115,3,18,98,3,14,80
116,4,22,121,3,18,99
117,5,27,150,4,22,122
118,6,31,174,4,26,142
119,5,29,162,4,23,132
120,4,22,125,3,18,99
121,3,18,98,3,14,78
122,5,31,186,4,25,154
123,4,26,158,4,21,132
124,5,31,193,4,26,159
125,7,40,250,5,34,206
126,5,32,195,4,26,163
127,4,27,164,4,22,137
128,5,30,182,4,25,153
129,4,23,130,4,20,112
130,4,22,122,4,19,105
131,5,25,140,4,22,119
132,4,22,120,3,18,102
133,3,18,98,3,14,83
134,6,33,202,4,29,165
135,5,32,196,5,27,162
136,5,33,197,5,26,164
137,5,31,187,4,25,153
138,3,19,112,3,15,92
139,4,24,143,3,19,118
140,5,29,177,4,24,146
141,7,40,249,5,34,209
142,5,34,210,5,29,182
143,5,31,192,4,27,165
144,5,31,191,5,27,163
145,6,38,235,5,31,195
146,4,28,175,4,22,145
147,5,32,205,4,27,168
148,7,41,262,5,35,215
149,5,32,198,4,26,165
150,4,27,166,4,22,138
151,5,30,183,4,25,154
152,4,23,131,4,20,115
153,4,22,124,4,20,110
154,5,26,149,4,24,131
155,4,23,131,4,20,116
156,4,25,146,4,21,127
157,6,35,220,4,31,180
158,6,37,232,5,31,189
159,5,34,207,5,26,170
160,5,32,196,4,25,159
161,3,17,93,3,14,78
162,4,21,117,3,18,97
163,5,27,154,4,23,127
164,5,28,161,4,23,133
165,6,37,220,5,30,185
166,5,32,195,5,27,166
167,5,30,184,4,27,156
168,5,31,188,5,27,163
169,6,39,245,5,34,213
170,5,34,218,5,30,191
171,6,37,238,5,33,208
172,6,38,242,5,33,211
173,4,27,169,4,23,147
174,5,30,185,4,26,161
175,4,23,130,4,20,113
176,4,22,122,4,19,105
177,5,25,140,4,22,119
178,4,22,120,3,18,102
179,3,18,98,3,14,83
180,6,33,202,4,29,165
181,5,32,196,5,27,162
182,5,33,197,5,26,164
183,5,31,187,4,25,153
184,3,19,112,3,15,92
185,4,24,143,3,19,118
186,5,29,177,4,24,146
187,7,40,249,5,34,209
188,5,34,210,5,29,182
189,5,31,192,4,27,165
190,5,31,191,5,27,163
191,6,38,235,5,31,195
192,4,28,175,4,22,145
193,5,32,205,4,27,168
194,7,41,262,5,35,215
195,5,32,198,4,26,165
196,4,27,166,4,22,138
197,5,30,183,4,25,154
198,4,23,131,4,20,115
199,4,22,124,4,20,110
200,5,26,149,4,24,131
201,4,23,131,4,20,116
202,4,25,146,4,21,127
203,6,35,220,4,31,180
204,6,37,232,5,31,189
205,5,34,207,5,26,170
206,5,32,196,4,25,159
207,3,19,112,3,14,89
208,4,24,144,3,18,114
209,6,34,213,4,28,167
210,6,35,217,4,29,172
211,5,35,211,5,27,174
212,6,38,238,5,31,194
213,4,28,175,4,22,145
214,5,32,205,4,27,168
215,7,41,262,5,35,215
216,5,32,198,4,26,165
217,4,27,166,4,22,138
218,5,30,183,4,25,154
219,4,23,131,4,20,115
220,4,22,124,4,20,110
221,5,26,149,4,24,131
222,4,23,131,4,20,116
223,4,25,146,4,21,127
224,6,35,220,4,31,180
225,6,37,232,5,31,189
226,5,34,207,5,26,170
227,5,32,196,4,25,159
228,3,19,111,3,15,91
229,4,24,140,3,19,115
230,5,29,172,4,24,141
231,7,39,241,5,33,197
232,5,33,204,4,27,170
233,5,34,207,5,27,173
234,7,45,292,5,38,244
235,5,35,228,5,30,195
236,6,38,247,5,33,212
237,6,39,251,5,33,215
238,4,27,171,4,23,147
239,5,30,187,4,26,161
240,4,23,130,4,20,113
241,4,22,122,4,19,105
242,5,25,140,4,22,119
243,4,22,120,3,18,102
244,3,18,98,3,14,83
245,6,33,202,4,29,165
246,5,32,196,5,27,162
247,5,33,197,5,26,164
248,5,31,187,4,25,153
249,3,19,112,3,14,89
250,4,24,144,3,18,114
251,6,34,212,4,28,166
252,6,35,216,4,29,171
253,5,34,203,5,26,168
254,5,30,186,4,26,153
255,6,39,244,5,33,210
256,5,34,215,5,29,186
257,5,33,214,5,29,184
258,7,42,271,5,37,231
259,5,32,200,4,27,171
260,4,27,167,4,22,142
261,5,30,184,4,25,157
262,4,23,131,4,20,115
263,4,22,124,4,20,110
264,5,26,149,4,24,131
265,4,23,131,4,20,116
266,4,25,146,4,21,127
267,6,35,220,4,31,180
268,6,37,232,5,31,189
269,5,34,207,5,26,170
270,5,32,196,4,25,159
271,3,19,111,3,15,91
272,4,24,140,3,19,115
273,5,29,172,4,24,141
274,7,39,241,5,33,197
275,5,33,203,4,27,167
276,5,34,206,5,27,170
277,7,44,282,5,35,226
278,4,29,185,4,22,149
279,5,33,214,4,27,172
280,7,42,271,5,35,219
281,5,32,200,4,26,165
282,4,27,167,4,22,138
283,5,30,184,4,25,154
284,4,23,130,4,20,112
285,4,22,122,4,19,105
286,5,25,140,4,22,119
287,4,22,120,3,18,102
288,3,18,98,3,14,83
289,6,33,202,4,29,165
290,5,32,196,5,27,162
291,5,33,197,5,26,164
292,5,31,187,4,25,153
293,5,30,175,4,26,149
294,4,23,127,4,19,105
295,4,24,136,4,20,111
296,5,29,162,4,23,130
297,5,30,183,4,26,151
298,5,33,199,5,27,169
299,6,35,217,5,30,183
300,5,30,181,4,26,154
301,6,31,174,4,25,137
302,5,27,150,4,21,119
303,5,28,161,4,22,130
304,3,18,100,3,14,79
305,4,23,127,3,18,100
306,3,19,111,3,14,89
307,4,24,142,3,18,114
308,5,33,196,5,26,165
309,6,34,209,4,29,168
310,6,34,208,4,28,166
311,5,30,178,4,26,152
312,5,31,192,4,26,162
313,5,34,208,5,28,177
314,6,38,239,5,33,204
315,6,36,224,4,30,181
316,5,34,209,5,27,175
317,6,36,225,5,30,187
318,5,30,183,4,26,154
319,6,36,229,5,32,196
320,5,29,170,4,23,139
321,5,30,181,4,26,157
322,4,26,161,4,22,140
323,4,23,132,3,18,108
324,3,17,96,3,14,78
325,5,27,157,4,23,131
326,3,19,112,3,14,89
327,4,24,144,3,18,114
328,5,34,205,5,26,171
329,6,35,217,4,29,172
330,6,34,212,4,28,166
331,5,30,177,4,26,151
332,4,24,138,4,19,115
333,5,31,185,4,25,152
334,6,35,214,4,30,176
335,6,37,232,5,32,200
336,5,33,208,5,29,182
337,6,37,232,5,32,201
338,5,30,183,4,26,159
339,5,30,182,4,25,152
340,5,29,172,4,24,146
341,5,29,172,4,25,147
342,4,25,149,4,20,127
343,4,23,133,3,19,112
344,3,17,96,3,14,80
345,5,27,156,4,23,132
