Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,17,232,3888,11,178,2384
1,14,189,2762,11,141,1810
2,9,146,1788,9,89,1282
3,16,221,2939,11,133,2013
4,16,293,4171,12,167,2810
5,7,97,1249,7,64,855
6,8,149,2114,8,90,1375
7,5,97,1427,5,54,964
8,11,123,1775,7,96,1188
9,17,282,4115,13,183,2747
10,14,176,2479,9,122,1649
11,12,215,2883,11,131,2029
12,12,111,1701,6,86,1041
13,11,145,1954,10,108,1349
14,13,212,3104,10,136,2031
15,4,65,965,4,49,640
16,9,152,2071,9,90,1426
17,15,205,2870,11,141,1914
18,11,242,3172,11,118,2287
19,14,180,2461,9,129,1692
20,14,143,2446,7,108,1411
21,11,98,1413,6,75,875
22,6,85,1060,6,52,679
23,13,148,2015,9,106,1327
24,1,17,238,1,12,145
25,18,288,4500,11,177,2869
26,18,310,4688,12,188,2998
27,5,82,1189,5,50,707
28,1,17,238,1,12,145
29,3,42,471,3,26,302
30,16,236,3338,11,155,2224
31,11,164,2463,11,115,1575
32,1,12,135,1,8,104
33,13,192,2400,11,118,1689
34,6,109,1532,6,64,994
35,10,152,1880,10,100,1329
36,4,60,709,4,36,486
37,4,86,1217,4,43,849
38,14,221,3200,10,139,2031
39,16,188,2876,10,136,1817
40,5,86,1062,5,47,750
41,5,76,1038,5,49,684
42,4,50,562,4,31,400
43,1,13,124,1,7,93
44,17,281,3640,12,162,2474
45,7,103,1088,7,62,779
46,19,448,6521,12,223,4510
47,2,29,335,2,19,241
48,9,126,1611,9,87,1124
49,1,13,124,1,7,93
50,3,42,542,3,28,363
51,3,39,439,3,23,313
52,11,199,2642,11,121,1878
53,6,111,1485,6,62,1030
54,17,329,4789,12,174,3244
55,4,66,840,4,38,580
56,1,15,158,1,8,116
57,7,103,1366,7,66,944
58,25,484,8795,13,269,5261
59,2,32,335,2,18,233
60,2,26,282,2,16,205
61,6,79,1046,6,53,703
62,10,122,1751,8,93,1178
63,3,80,1044,3,33,768
64,1,12,110,1,7,82
65,19,258,3617,11,172,2347
66,13,227,3514,11,136,2136
67,9,150,2119,8,82,1370
68,2,55,888,2,23,574
69,8,108,1400,7,70,953
70,3,71,1002,3,38,714
71,16,234,3276,12,159,2184
72,3,41,524,3,28,361
73,15,205,3053,11,139,2001
74,9,144,2044,9,99,1385
75,21,293,4406,12,199,2812
76,15,156,2288,8,110,1427
77,13,147,2111,7,101,1385
78,6,78,1130,4,50,762
79,10,152,2012,9,97,1354
80,12,185,2489,9,119,1669
81,17,215,3285,11,140,2044
82,1,16,221,1,12,153
83,23,277,4917,11,210,2837
84,14,243,3664,11,146,2420
85,7,128,1625,7,70,1107
86,7,112,1476,7,70,993
87,18,233,3450,11,177,2334
88,13,176,2514,8,111,1688
89,20,409,7060,13,220,4243
90,25,542,9121,15,289,5732
91,17,230,3577,10,159,2200
92,27,408,7883,14,281,4356
93,23,323,5422,12,225,3253
94,24,341,6535,13,234,3629
95,2,34,690,2,25,377
96,11,101,1593,5,74,941
97,25,256,3991,10,178,2374
98,9,127,1575,9,84,1101
99,46,662,10540,15,427,6265
100,4,61,846,4,41,538
101,13,204,2650,10,127,1800
102,11,197,2852,9,108,1927
103,5,114,1640,5,58,1074
104,1,19,307,1,12,189
105,5,107,1526,5,56,990
106,26,570,11265,13,320,6449
107,18,218,4055,11,161,2246
108,5,90,1240,5,54,839
109,14,169,2582,9,129,1635
110,14,237,3257,12,153,2250
111,2,26,371,2,20,234
112,12,148,2172,8,96,1303
113,11,90,1342,6,70,804
114,9,162,2324,8,93,1604
115,16,195,2797,9,135,1733
116,2,35,464,2,22,301
117,10,149,2044,10,101,1345
118,24,316,4988,11,201,3121
119,11,120,1916,7,90,1143
120,23,377,5420,11,219,3555
121,22,307,4688,12,208,2964
122,8,80,1149,5,54,714
123,13,370,5511,11,148,3828
124,20,251,3667,12,178,2349
125,21,251,3943,12,183,2428
126,5,72,1063,4,47,663
127,52,755,18785,16,548,8924
128,29,420,7793,13,293,4393
129,35,491,11541,14,353,5609
130,31,472,10375,13,322,5357
131,44,614,14452,14,448,6996
132,33,430,10439,13,335,4908
133,35,500,12031,14,371,5804
134,12,179,2743,11,126,1754
135,1,20,468,1,13,236
136,16,269,3974,12,163,2675
137,24,357,5394,13,236,3481
138,6,116,1640,6,69,1139
139,2,29,409,2,21,270
140,10,178,2546,8,98,1649
141,17,212,3209,11,147,2038
142,4,64,779,4,39,531
143,5,88,1382,5,53,852
144,11,134,1954,7,86,1228
145,5,88,1523,5,58,839
146,15,226,3481,11,152,2234
147,47,702,17743,14,474,8052
148,28,436,8905,13,300,4830
149,25,364,4899,12,224,3226
150,16,210,3346,10,153,2148
151,2,22,383,2,16,211
152,4,59,843,4,37,512
153,11,99,1559,6,75,903
154,13,182,2678,9,123,1700
155,6,103,1381,5,60,976
156,1,17,205,1,11,147
157,16,238,3451,12,160,2332
158,10,306,4756,10,140,3323
159,9,142,1895,9,91,1269
160,3,44,599,3,33,411
161,22,432,6121,13,234,4009
162,18,273,3819,11,168,2510
163,1,17,205,1,11,147
164,7,127,1827,7,78,1190
165,58,867,21867,16,636,10141
166,12,178,2997,9,117,1802
167,32,598,9505,14,322,5682
168,37,500,13280,13,387,5919
169,5,94,1757,5,62,997
170,28,405,9023,14,293,4574
171,58,891,22128,16,647,10619
172,5,95,2256,5,65,1097
173,3,61,1355,3,39,696
174,18,349,6304,13,209,3539
175,12,205,3242,9,131,2054
176,18,284,4440,12,193,2876
177,8,99,1295,7,71,878
178,13,264,3485,11,139,2334
179,1,11,133,1,9,102
180,20,335,5843,13,218,3528
181,12,111,1439,7,81,958
182,10,153,2128,10,104,1435
183,8,129,1938,8,87,1213
184,13,158,2505,8,114,1490
185,23,400,6499,13,254,4050
186,10,169,2223,9,109,1471
187,21,551,9204,15,268,6031
188,1,16,221,1,12,151
189,18,233,4139,12,175,2407
190,27,428,7290,13,275,4235
191,4,54,807,4,38,508
192,21,280,4503,12,202,2761
193,6,85,1457,6,62,839
194,13,199,2755,9,122,1801
195,15,194,2687,11,135,1747
196,3,47,711,3,32,415
197,2,32,389,2,19,266
198,15,276,4090,11,159,2694
199,10,146,2216,10,106,1441
200,30,481,7153,13,278,4486
201,13,147,2020,8,106,1360
202,7,95,1390,6,63,850
203,5,74,1017,5,50,695
204,7,145,2028,7,75,1389
205,25,370,5393,13,242,3472
206,17,239,3468,11,157,2207
207,11,111,1449,7,83,959
208,4,75,999,4,45,658
209,6,90,1241,6,55,755
210,1,16,172,1,9,119
211,4,56,665,4,36,464
212,1,16,172,1,9,119
213,18,459,7017,13,205,4782
214,3,41,463,3,26,327
215,2,30,352,2,20,248
216,6,193,2854,6,73,1761
217,15,256,3360,11,140,2221
218,10,101,1620,6,76,978
219,3,69,953,3,35,670
220,36,524,13362,14,346,6002
221,9,180,2588,8,102,1688
222,6,145,1987,6,66,1425
223,24,402,6122,14,254,3892
224,8,173,2306,8,90,1545
