Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,44,2240,116699,31,1402,73424
1,19,604,21579,14,337,13024
2,15,1219,43843,15,449,25515
3,6,171,3574,6,73,1917
4,37,1180,38619,25,853,26613
5,4,129,3371,4,67,1700
6,1,5,35,1,4,23
7,5,31,224,3,19,129
8,1,119,1655,1,20,940
9,1,173,1248,1,13,689
10,1,36,278,1,9,171
11,27,1066,49607,19,541,21222
12,4,75,1205,4,40,680
13,1,324,7594,1,39,4234
14,4,53,593,3,25,370
15,5,205,5665,5,105,3564
16,6,101,1440,5,50,741
17,8,372,8994,8,145,4565
18,48,1258,50127,19,602,24894
19,2,41,534,2,19,293
20,14,1297,46905,14,437,26993
21,3,103,2975,3,55,1374
22,18,699,16867,14,267,8984
23,3,36,421,3,16,225
24,4,100,2573,4,52,1200
25,7,188,9761,6,137,5911
26,10,860,25507,10,222,12623
27,1,64,1057,1,18,587
28,5,48,872,4,34,428
29,6,112,2352,5,54,1142
30,2,67,1977,2,39,1240
31,5,45,557,4,24,291
32,2,331,7643,2,44,4267
33,9,451,12880,7,120,6140
34,2,32,1463,2,17,476
35,1,173,1248,1,13,689
36,3,27,1140,3,21,423
37,16,142,2512,7,92,1202
38,13,89,1204,5,57,585
39,25,1126,38613,24,687,26688
40,6,59,738,4,34,419
41,4,53,586,4,29,427
42,3,102,3098,3,42,1267
43,2,30,754,2,19,371
44,36,796,20532,19,554,13395
45,4,65,634,4,30,414
46,48,1724,62953,29,1188,42149
47,1,173,1248,1,13,689
48,4,120,5370,4,79,3096
49,11,690,35281,11,378,22053
50,3,42,425,3,20,244
51,1,51,1359,1,24,696
52,17,687,20140,15,366,12564
53,4,50,909,2,23,475
54,2,51,786,2,23,477
55,58,3253,182249,39,2030,113532
56,20,494,11444,15,290,6369
57,30,496,12100,15,310,6242
58,1,3,26,1,2,16
59,7,89,986,6,48,572
60,17,836,34780,14,480,22247
61,49,2179,96060,33,1400,60314
62,3,33,289,3,19,190
63,10,268,5878,7,106,2834
64,6,42,448,4,31,256
65,9,199,5012,6,102,2633
66,8,319,8879,8,161,5571
67,6,508,15269,6,122,7287
68,6,205,5659,6,96,3137
69,36,1910,96958,32,1237,63183
70,2,15,529,2,10,142
71,18,383,7086,12,181,3851
72,40,2713,158825,34,1665,98694
73,2,19,1061,2,16,331
74,34,906,24753,16,438,12729
75,1,5,248,1,3,52
76,1,15,397,1,9,169
77,32,962,28769,16,432,15128
78,4,320,7805,4,82,4063
79,29,1822,111772,18,842,59266
80,5,26,604,3,19,178
81,12,570,27423,11,259,14856
82,7,123,2799,4,61,1367
83,2,57,3219,2,34,1206
84,25,798,24580,18,496,15060
85,19,519,11770,13,246,6249
86,12,946,58566,12,476,30702
87,5,165,3011,4,59,1700
88,28,906,27426,24,652,19994
89,24,1060,37313,23,659,25560
90,7,333,14280,6,157,7465
91,15,562,12345,13,243,7217
92,50,1146,36185,19,727,18900
93,54,1886,70996,28,1227,45267
