Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,3,17,69,3,10,50
2,6,17,83,2,13,48
3,5,23,125,3,18,83
4,3,12,49,2,9,34
5,4,14,69,2,10,39
6,3,14,52,2,8,35
7,2,15,63,2,7,38
8,2,15,63,2,7,38
9,3,11,43,2,7,28
10,1,4,19,1,3,10
11,3,15,55,2,7,36
12,1,4,11,1,2,7
13,3,7,22,1,5,14
14,1,9,36,1,3,19
15,8,27,137,2,16,67
16,2,9,33,2,6,23
17,5,17,69,2,11,42
18,2,7,26,2,6,21
19,1,4,15,1,2,8
20,3,11,44,1,6,26
21,1,4,15,1,2,8
22,6,25,121,3,16,74
23,2,11,53,2,7,34
24,3,12,53,2,8,35
25,2,11,46,2,7,32
26,7,40,201,4,23,124
27,2,11,52,2,7,32
28,3,17,96,2,11,59
29,2,12,53,2,7,36
30,7,25,137,3,20,86
31,3,16,71,2,9,44
32,1,6,23,1,3,14
33,5,17,66,2,10,40
34,1,6,23,1,3,14
35,3,14,52,3,9,37
36,1,6,23,1,3,13
37,1,6,23,1,3,13
38,3,11,40,2,7,26
39,2,9,32,2,6,22
40,2,7,23,2,6,20
41,3,9,33,2,8,27
42,2,7,29,2,6,21
43,2,9,34,2,7,27
44,2,8,28,2,6,21
45,4,16,71,3,12,51
46,2,7,23,2,6,21
47,3,10,37,2,9,30
48,2,6,19,2,6,18
49,1,4,22,1,3,12
50,3,18,98,2,9,48
51,1,7,31,1,4,20
52,6,24,117,3,16,72
53,2,10,41,2,6,26
54,2,6,23,2,6,18
55,6,25,119,2,14,66
56,2,8,29,2,6,23
57,4,15,61,2,11,43
58,2,6,25,2,6,19
59,4,20,97,3,13,67
60,3,19,92,3,12,63
61,5,28,149,3,18,94
62,1,5,25,1,4,17
63,2,6,18,2,6,18
64,2,6,19,2,6,18
65,2,6,18,2,6,18
66,1,10,42,1,4,25
67,9,32,185,3,21,100
68,1,4,15,1,3,10
69,2,14,67,2,8,43
70,5,22,109,3,15,68
71,7,31,165,3,20,102
72,2,7,29,2,6,20
73,2,11,45,2,6,29
74,3,11,39,2,8,31
75,2,8,33,2,6,23
76,2,11,46,2,6,29
77,4,14,60,2,11,42
78,1,4,15,1,3,11
79,3,11,48,2,8,33
80,5,26,126,3,16,76
81,2,7,24,2,6,20
82,6,23,114,3,14,67
83,7,39,190,4,21,115
84,3,17,84,2,10,53
85,2,10,53,2,7,33
86,1,7,30,1,4,18
87,1,7,30,1,4,18
88,1,7,30,1,4,18
89,5,18,82,2,12,50
90,4,26,115,3,13,68
91,2,6,21,2,6,18
92,2,8,30,2,6,23
93,5,19,87,3,13,57
94,3,19,78,2,10,50
95,2,11,45,2,7,31
96,3,12,49,2,9,34
97,2,11,48,2,7,32
98,2,8,41,2,6,27
99,2,13,50,2,7,36
100,4,12,50,2,9,33
101,1,6,24,1,3,15
102,1,6,24,1,3,15
103,2,14,57,2,7,37
104,7,25,139,3,18,83
105,3,15,69,3,11,48
106,3,10,43,2,9,31
107,3,15,57,3,9,40
108,2,7,28,2,6,22
109,1,8,52,1,4,23
110,7,44,230,3,19,117
111,3,13,52,3,9,39
112,3,13,58,2,10,38
113,4,15,60,3,11,47
114,4,17,75,3,11,52
115,2,13,53,2,6,32
116,2,7,24,2,6,22
117,2,6,21,2,6,18
118,2,6,18,2,6,18
119,2,12,46,2,6,28
120,2,7,35,2,6,20
121,5,21,103,2,14,61
122,2,13,62,2,7,36
123,2,13,62,2,7,36
124,2,11,49,2,7,32
125,6,28,131,3,15,76
126,2,18,82,2,8,46
127,7,32,172,3,17,88
128,2,8,34,2,6,23
129,2,11,46,2,6,29
130,7,27,137,2,17,74
131,2,12,64,2,8,39
132,1,4,16,1,3,11
133,1,7,31,1,4,18
134,6,24,116,3,14,69
135,1,7,31,1,4,18
136,1,7,31,1,4,18
137,1,8,47,1,5,26
138,1,4,19,1,3,13
139,3,15,80,2,10,50
140,3,13,53,2,9,35
141,5,19,88,2,13,52
142,10,36,222,3,23,110
143,5,31,168,3,18,102
144,2,11,60,2,8,36
145,4,22,117,3,16,81
146,2,8,28,2,6,21
147,3,11,42,2,8,31
148,3,9,32,2,7,24
149,3,12,46,3,10,41
150,3,11,46,2,10,36
151,3,12,52,3,11,42
152,3,11,42,2,10,37
153,3,16,67,3,10,48
154,1,10,42,1,4,25
155,4,14,58,2,11,42
156,3,14,56,3,11,45
157,2,9,34,2,6,25
158,2,10,37,2,6,27
159,4,15,66,3,13,51
160,3,13,53,3,10,41
161,2,6,20,2,6,19
162,2,8,34,2,7,27
163,4,20,84,3,14,62
164,3,15,70,3,11,50
165,2,11,56,2,7,31
166,2,13,56,2,7,35
167,3,9,34,2,8,26
168,2,14,63,2,7,37
169,2,11,63,2,7,32
170,2,8,35,2,6,24
171,2,11,41,1,4,22
172,1,3,14,1,2,6
173,1,9,36,1,3,19
174,3,16,60,2,8,37
175,2,12,47,2,6,29
176,4,16,74,2,12,48
177,3,19,80,3,11,57
178,1,8,33,1,4,24
179,3,21,87,3,12,62
180,8,26,150,3,19,87
181,2,7,27,2,6,22
182,2,7,25,2,6,21
183,3,13,52,2,10,38
184,2,13,51,2,7,34
185,2,14,54,2,7,35
186,2,6,41,2,6,21
187,2,22,98,2,8,52
188,4,10,40,1,7,22
189,1,8,39,1,4,24
190,3,15,63,2,9,41
191,3,11,46,2,9,33
192,7,30,146,3,17,86
193,2,7,25,2,6,20
194,3,23,95,3,11,61
195,3,11,53,2,9,35
196,2,11,49,2,7,33
197,5,20,109,3,16,77
198,5,31,149,4,19,101
199,5,29,165,4,20,109
200,3,11,42,2,9,33
201,2,8,35,2,7,24
202,3,17,66,3,11,50
203,3,11,50,2,9,35
204,1,3,13,1,2,8
205,2,10,53,1,6,31
206,1,6,26,1,4,20
207,1,6,26,1,4,20
208,4,24,138,4,18,91
209,1,3,11,1,2,7
210,2,8,33,1,5,22
211,4,18,85,2,12,51
212,2,13,58,2,6,35
213,1,9,35,1,4,23
214,1,9,35,1,4,23
215,1,9,35,1,4,23
216,1,9,35,1,4,23
217,3,19,80,2,10,52
218,1,7,32,1,3,17
219,1,8,40,1,4,21
220,2,7,22,2,6,19
221,3,8,33,2,7,23
222,2,11,47,2,7,30
223,3,11,37,2,8,29
224,2,7,25,2,6,20
225,3,10,37,2,8,29
226,6,34,173,4,20,111
227,4,16,73,2,11,47
228,3,14,69,2,11,47
229,2,10,51,2,8,34
230,2,7,26,1,4,17
231,2,7,24,2,6,21
232,2,11,49,2,7,30
233,1,8,38,1,4,21
234,1,8,35,1,3,20
235,2,8,33,2,6,24
236,2,9,46,2,7,29
237,2,7,22,1,4,15
238,1,3,10,1,2,6
239,1,5,17,1,3,12
240,2,9,34,2,7,28
241,3,13,48,2,9,38
242,4,13,52,2,10,37
243,2,7,27,2,6,21
244,3,10,42,2,7,27
245,3,12,48,2,9,36
246,1,4,14,1,3,10
247,2,10,53,2,8,36
248,1,8,33,1,4,22
249,1,8,33,1,4,22
250,2,15,68,2,8,41
251,5,26,128,3,17,84
252,2,8,27,2,6,22
253,2,8,28,2,6,22
254,1,4,18,1,3,12
255,3,14,62,2,9,39
256,1,5,15,1,2,9
257,1,5,15,1,2,9
258,1,5,15,1,2,9
259,2,7,26,2,6,22
260,2,8,31,2,6,24
261,2,6,21,2,6,18
262,2,7,22,2,6,20
263,1,4,16,1,3,12
264,1,4,13,1,3,10
265,1,4,13,1,3,11
266,2,7,25,2,6,20
267,1,3,10,1,2,6
268,1,4,12,1,3,10
269,3,13,51,2,8,35
270,6,22,104,3,15,66
271,3,12,52,2,9,35
272,1,4,17,1,3,11
273,3,12,55,2,9,36
274,4,21,98,3,13,65
275,2,8,36,2,6,25
276,3,14,54,2,8,35
277,7,34,186,4,22,122
278,3,9,38,1,6,23
279,4,22,108,3,15,71
280,2,12,48,2,6,29
281,6,22,114,2,14,65
282,4,14,58,2,9,33
283,8,39,225,4,25,147
284,1,7,29,1,3,17
285,1,7,29,1,3,17
286,2,11,51,2,6,32
287,2,16,77,2,8,47
288,2,11,48,2,7,32
289,4,15,69,2,11,45
290,5,22,96,3,14,63
291,2,9,36,2,6,25
292,4,16,73,2,11,47
293,3,11,50,2,8,31
294,1,4,16,1,3,11
295,3,12,52,2,8,33
296,5,26,114,3,15,74
297,6,24,121,3,16,76
