Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,64,2313,66551,24,878,30533
2,36,1226,48748,21,576,18144
3,3,76,2568,3,35,1031
4,3,22,444,3,15,216
5,12,305,10484,6,138,4125
6,88,2383,112605,27,1264,38053
7,51,861,33957,16,489,12467
8,5,285,8440,5,104,4009
9,29,1691,38139,18,477,19800
10,8,563,12093,8,143,5999
11,306,4966,284692,36,2816,78943
12,86,2166,98188,25,1117,33799
13,3,355,7240,3,63,3484
14,21,364,10697,9,193,4623
15,9,434,10260,6,116,4560
16,16,738,24322,10,273,9778
17,72,1864,93475,25,1010,30683
18,34,2073,53741,19,615,25835
19,17,385,11058,12,202,4977
20,8,468,11208,8,161,5908
21,21,341,11446,10,208,4573
22,70,2695,83244,25,1003,35326
23,67,1485,73864,24,853,24006
24,35,579,22415,13,344,7955
25,14,250,8406,8,127,3223
26,3,101,1867,2,37,1021
27,6,506,11289,6,131,6040
28,5,218,4996,5,82,2486
29,160,3399,165027,33,1845,54118
30,19,408,20640,12,255,6436
31,76,1723,54601,20,846,22736
32,23,533,19419,13,284,7564
33,7,367,8538,7,121,4278
34,39,803,29288,16,418,11194
35,61,1165,33320,20,628,14287
36,8,75,2426,5,54,867
37,32,602,27678,15,398,9222
38,7,620,14421,7,153,6972
39,3,129,4994,3,57,1910
40,26,2172,49120,19,525,26883
41,243,4700,267892,36,2620,76813
42,12,353,16409,9,193,5527
43,6,237,4072,6,83,2440
44,28,684,28056,14,351,9863
45,19,352,14399,11,215,5101
46,16,282,7932,8,156,3347
47,6,349,6456,6,86,3729
48,10,128,3356,6,82,1606
49,20,794,19705,13,286,10202
50,4,180,5999,3,73,2370
51,4,70,1897,3,43,935
52,85,3958,136223,34,1466,56989
53,15,568,14917,10,190,7230
54,2,16,354,2,10,169
55,7,379,11571,7,138,4925
56,2,81,1825,2,24,885
57,7,241,8527,6,108,3151
58,18,550,18441,10,240,7414
59,33,1406,34339,16,455,17334
60,4,104,3552,4,58,1492
61,15,232,10176,8,154,3377
62,6,107,2281,5,61,1226
63,12,360,10278,8,161,4799
64,13,542,14618,11,208,7201
65,58,1674,64433,24,832,25498
66,27,524,21113,14,308,7568
67,19,412,19190,12,268,6655
68,4,64,1895,4,41,821
69,19,505,18790,12,262,7018
70,2,36,1211,2,23,489
71,31,730,36645,17,440,12049
72,43,1755,57951,21,665,24011
73,4,415,7618,4,83,4150
74,2,182,3923,2,43,2068
75,10,661,15233,7,168,7795
76,53,1196,51339,19,653,17894
77,4,316,7688,4,82,3710
78,2,33,977,2,21,403
79,3,21,507,2,15,235
80,3,320,5528,3,46,2974
81,3,226,4133,3,41,2366
82,14,199,4631,8,116,2162
83,12,520,12501,11,191,6317
84,25,594,29864,14,345,9391
85,10,785,18365,9,187,9143
86,16,398,9861,9,176,4828
87,16,410,19561,9,228,6480
88,11,290,12378,7,153,4359
89,14,286,12312,9,172,4304
90,5,439,10756,5,107,5634
91,38,1299,33573,19,518,16814
92,23,733,18878,13,316,9360
93,9,161,3493,6,77,1676
94,15,306,14003,10,191,4576
95,11,124,2229,5,65,1201
96,11,588,13396,7,160,7053
97,16,1297,28582,15,328,15713
98,23,1827,42895,17,471,22488
99,5,196,4150,4,66,2300
100,9,935,20807,7,203,11428
101,8,459,10071,7,139,5428
102,24,493,13098,10,255,5760
103,29,928,21711,17,372,11853
104,27,757,21326,17,373,10504
105,29,1526,33256,18,441,17242
106,18,410,14532,11,218,5730
107,8,757,19883,8,195,9600
108,5,101,4810,4,60,1540
109,22,869,22881,14,322,10867
110,14,381,14435,8,180,5410
111,16,496,11908,8,160,5216
112,9,296,7685,7,127,3808
113,11,672,17996,9,199,8023
114,2,86,2741,2,34,1092
115,12,703,21550,10,228,9570
116,68,1399,59162,21,771,21012
117,25,678,16352,14,309,7640
118,4,56,1238,4,37,682
119,16,552,23540,11,283,8252
120,31,660,20349,14,351,8834
121,18,583,10689,10,181,5795
122,8,410,16542,7,166,6089
123,29,1184,32455,16,426,14536
124,18,509,18957,11,248,7122
125,24,821,18839,13,296,9263
126,3,68,2330,3,39,942
127,40,744,30227,15,439,10924
128,20,342,8562,8,180,3789
129,8,184,4677,6,90,2197
130,18,704,17068,12,258,8128
131,6,99,3388,6,65,1298
132,4,108,5043,4,56,1689
133,36,907,25566,18,443,11342
134,52,2100,57796,26,807,28248
135,35,2548,61323,23,681,31793
136,56,3102,71668,30,913,38148
137,27,832,31176,16,422,12170
138,9,164,5084,5,88,1975
139,16,252,8602,7,136,3361
140,3,40,669,3,23,402
141,5,170,5399,4,74,2395
142,6,179,4127,4,64,2177
143,13,150,2126,7,76,1091
144,51,1292,55440,19,677,19286
145,21,320,6056,9,165,3168
146,9,256,9930,8,128,3473
147,2,186,4641,2,56,2449
148,3,305,6219,3,74,3394
149,37,756,30649,13,366,10335
150,24,478,12696,12,247,5836
151,9,136,3198,8,83,1445
152,5,326,8112,5,101,3949
153,11,240,5970,9,118,2716
154,5,415,8649,5,111,4716
155,2,165,3592,2,37,1905
156,29,714,28824,17,394,10528
157,7,126,2311,6,73,1287
158,14,217,6297,7,122,2695
159,22,428,16874,13,258,5991
160,8,165,4354,6,83,2027
161,11,254,10617,8,144,3803
162,19,852,19040,11,250,9646
163,5,357,9574,4,92,4228
164,17,313,6421,8,138,3076
165,20,429,23762,11,272,7400
166,9,426,11257,8,162,5772
167,67,2613,64261,26,923,32612
168,8,104,2157,5,63,1089
169,4,200,4705,3,61,2437
170,2,48,1448,2,27,619
171,8,235,4648,6,86,2214
172,11,363,7604,8,140,4192
173,15,376,6797,9,139,3744
174,6,156,4405,5,71,1946
175,4,96,2980,4,48,1135
176,2,88,2325,2,36,1205
177,24,1519,35777,19,453,19192
178,8,472,13661,8,168,6089
179,4,98,2507,4,43,1267
180,31,575,26733,13,343,9025
181,14,458,10428,9,164,5182
182,8,356,8865,6,130,4274
183,6,132,3748,6,74,1642
184,14,1357,32187,12,310,16765
185,6,209,11163,5,104,3416
186,5,256,7946,4,88,3390
187,21,2189,52935,18,519,27003
188,134,2873,160054,31,1664,48706
189,16,517,25007,14,279,8271
190,6,330,7483,5,96,3787
191,5,152,6241,5,79,2189
192,5,51,2047,4,37,682
193,79,1397,44018,19,749,17886
194,5,135,3926,3,60,1804
195,7,490,12091,7,134,6259
196,9,590,14893,9,177,7530
197,8,101,3853,6,74,1387
198,6,205,4664,4,76,2225
199,9,328,7137,8,137,3870
200,9,661,14081,7,169,7566
201,4,82,1775,3,39,1009
202,10,188,4920,7,96,2141
203,20,447,8851,9,193,4864
204,5,413,10337,5,97,5010
205,13,484,11291,9,181,5890
206,7,221,4828,7,99,2490
207,40,842,20325,16,406,9423
208,4,170,3573,3,57,1965
209,6,227,5884,6,79,2854
210,25,932,23309,14,343,12052
211,4,122,3593,3,55,1511
212,14,373,12425,10,189,4828
213,16,418,9858,11,186,4623
214,19,527,12745,12,245,6286
215,11,238,4469,7,105,2492
216,10,297,5204,7,117,3044
217,12,219,10326,8,143,3450
218,10,126,4106,5,77,1540
219,4,342,7843,4,92,4157
220,29,1386,33518,18,470,17001
221,9,249,6145,7,109,2887
222,8,416,11011,8,157,5433
223,12,637,15228,7,176,7882
224,10,117,3678,6,75,1363
225,18,1258,29147,13,331,15528
226,20,663,16699,16,298,7655
227,39,628,19429,12,349,7719
228,25,1320,37154,17,434,17236
229,32,2130,48348,20,585,26933
230,5,746,18472,5,144,8603
231,18,2011,43253,18,455,24258
232,9,385,7562,8,139,4234
233,16,382,11046,11,196,4480
234,9,497,11854,7,137,6226
235,24,1528,33309,17,429,18265
236,6,118,2799,5,63,1366
237,15,429,10510,12,208,5435
238,28,344,11817,11,237,4505
239,24,473,13250,12,250,6254
240,7,93,1691,6,60,877
241,14,304,10959,9,174,4224
242,4,64,1232,3,34,604
243,2,87,2227,2,36,1180
244,129,6891,170987,49,2159,89565
245,48,1357,48299,21,691,19785
246,2,77,1646,2,31,938
247,18,1289,29291,13,347,15374
248,3,135,3309,3,59,1831
249,11,484,12800,10,169,5929
250,10,135,2661,7,87,1450
251,5,229,4760,4,72,2575
252,3,42,575,3,24,361
253,2,73,1488,2,25,810
254,2,38,1482,2,20,500
255,7,129,3196,5,68,1732
256,7,381,7913,6,105,4174
257,25,712,15465,17,327,8046
258,11,210,6766,7,124,2707
259,7,650,14424,6,162,7929
260,4,98,1831,4,49,1010
261,24,1616,36840,16,423,19481
262,7,108,4381,4,68,1482
263,5,391,7551,5,82,3860
264,3,75,2049,3,43,913
265,10,124,2862,7,80,1309
266,30,825,29812,15,406,12024
267,5,80,1590,5,52,816
268,19,992,20958,13,306,11483
269,14,1421,30354,11,301,16158
270,2,80,2909,2,32,1108
271,5,363,7936,4,88,4272
272,61,1117,38808,18,605,15064
273,2,25,655,2,17,305
274,27,452,13607,12,275,5535
275,31,437,14568,13,296,5512
276,20,431,16917,9,222,6218
277,39,812,32694,17,474,12399
278,10,404,9863,8,147,5058
279,38,1342,27925,19,503,15058
280,23,602,11704,15,278,6500
281,3,20,285,2,13,164
282,16,263,5322,10,158,2938
283,118,2531,130368,29,1466,42377
284,7,233,9226,7,119,3358
285,14,378,7436,9,162,3947
286,8,557,14025,8,161,6870
287,8,307,7957,7,120,3895
288,3,30,676,3,19,274
289,5,317,8220,5,85,3782
290,12,240,5480,9,127,2571
291,29,520,9573,12,244,5157
292,126,2781,141118,30,1561,44285
293,74,1116,56606,17,704,17715
294,28,638,18820,13,306,7552
295,19,333,9384,10,201,4116
296,3,30,474,3,21,295
297,7,277,8315,7,118,3737
298,6,104,2186,6,59,1137
299,6,176,4945,4,73,2243
300,3,70,2329,3,38,889
301,3,125,4708,2,48,1801
302,12,373,11892,9,181,4746
303,8,257,5990,6,96,3030
304,18,221,9645,8,155,3269
305,34,2390,56651,19,621,29369
306,4,66,2225,4,41,898
307,3,28,1080,2,23,390
308,11,352,7167,9,140,3841
309,8,157,4371,7,90,1971
310,72,2155,116488,27,1177,37119
311,49,2309,57226,24,773,29359
312,13,465,10160,11,183,5181
313,15,273,13345,8,163,4202
314,7,599,13389,7,153,7425
315,42,1971,48518,21,664,25260
316,6,153,4706,5,79,2089
317,4,181,6494,4,85,2454
318,8,390,10900,8,150,5282
319,2,203,4233,2,45,2315
320,2,75,1582,2,27,842
321,23,290,7176,9,172,3109
322,26,713,16486,14,292,7577
323,13,319,9728,8,162,4223
324,14,532,13749,8,188,6111
