Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
0,4,22,234,3,17,154
1,15,239,3686,12,177,2652
2,4,52,896,4,44,597
3,65,4538,301016,57,3693,243553
4,2,17,120,2,11,81
5,37,850,21977,24,652,17183
6,4,92,1128,4,41,713
7,2,56,496,2,13,233
8,2,8,71,2,7,44
9,23,598,15043,18,412,9870
10,11,165,2682,8,96,1458
11,70,4626,306707,57,3777,247446
12,2,12,76,2,7,41
13,2,5,15,1,4,11
14,4,18,89,3,15,73
15,6,112,1684,6,60,983
16,5,35,438,5,30,286
17,1,4,30,1,3,23
18,5,72,832,4,45,579
19,4,32,221,4,23,163
20,11,102,1356,6,64,816
21,2,12,152,2,11,98
22,2,32,419,2,16,238
23,27,774,22569,22,632,17853
24,16,369,9919,11,232,6463
25,7,67,583,6,45,407
26,6,40,459,3,21,218
27,3,22,195,2,13,118
28,7,150,2848,7,90,1763
29,11,212,3759,10,152,2766
30,15,836,35193,13,449,23609
31,3,33,444,3,22,261
32,4,32,255,4,23,175
33,7,58,530,6,43,370
34,3,24,156,3,14,105
35,4,67,764,4,35,510
36,5,50,486,5,29,293
37,5,59,1214,4,42,701
38,1,6,27,1,3,14
39,16,191,2598,10,149,1875
40,2,29,313,2,12,182
41,3,12,51,2,9,38
42,5,269,6005,4,74,3583
43,13,250,4415,12,173,3064
44,4,24,157,3,17,104
45,1,18,191,1,9,122
46,63,4467,297186,57,3638,240608
47,7,141,2654,6,69,1517
48,79,3189,153843,38,2279,100462
49,5,35,310,4,26,205
50,4,91,1207,3,41,743
51,19,196,2312,10,137,1587
52,2,11,135,2,9,92
53,5,71,1059,3,39,592
54,9,74,760,6,59,531
55,9,215,4320,7,110,2680
56,2,34,210,2,12,127
57,2,21,254,2,14,167
58,5,39,362,3,21,212
59,2,25,486,2,16,282
60,3,8,30,2,7,22
61,3,29,290,3,19,192
62,12,137,1910,7,88,1209
63,13,256,4922,12,182,3427
64,3,307,7082,3,86,4297
65,18,515,9906,13,249,6415
66,18,388,7416,14,263,5181
67,8,103,1164,8,75,866
68,2,5,18,1,4,13
69,1,10,140,1,8,94
70,6,57,522,6,42,363
71,2,32,273,2,13,179
72,71,4704,308377,57,3805,248343
73,8,92,1000,5,52,639
74,1,8,116,1,5,65
75,8,172,2437,7,87,1492
76,32,2010,116557,28,1369,90024
77,24,578,13710,18,445,10554
78,24,622,14255,18,379,8887
79,6,44,298,5,35,236
80,29,830,23749,23,664,18704
81,9,63,478,6,46,353
82,26,266,3734,11,180,2348
83,7,151,2051,6,75,1273
84,1,6,98,1,4,36
85,2,45,623,2,19,287
86,6,41,397,4,31,252
87,1,7,75,1,3,23
88,7,57,526,4,33,308
89,1,10,219,1,5,144
90,5,21,144,3,19,89
91,9,94,2298,4,60,1591
92,23,1372,77648,23,931,58904
93,2,56,1467,2,34,882
94,3,42,540,3,24,298
95,1,20,200,1,7,120
96,12,122,1562,7,82,1007
97,16,288,5074,15,236,4035
98,3,119,2010,3,42,1124
99,10,134,1548,8,82,980
100,1,6,32,1,4,21
101,8,112,2922,8,91,2143
102,3,204,11831,3,126,9461
103,5,134,2317,3,54,1434
104,20,1308,70684,19,808,54546
105,5,106,1710,4,57,1138
106,9,116,1388,8,77,901
107,3,23,171,3,12,85
108,10,168,2612,9,116,1841
109,5,103,1781,5,67,1266
110,4,33,232,2,15,134
111,24,343,5828,12,214,3281
112,10,128,2354,7,87,1340
113,3,42,455,3,20,280
114,2,12,51,2,7,34
115,2,7,34,2,5,21
116,2,30,188,2,11,109
117,12,93,1321,5,60,714
118,1,6,26,1,2,10
119,1,4,13,1,3,10
120,5,30,237,4,25,157
121,2,11,51,2,7,33
122,3,58,1884,3,32,1150
123,13,221,4306,10,153,2559
124,4,17,84,3,14,63
125,9,67,630,6,46,446
126,61,2976,138150,38,1944,91263
127,6,61,748,5,41,495
128,2,36,242,2,11,134
129,8,110,1448,6,67,870
130,20,540,13458,18,370,8936
131,7,27,429,3,20,176
132,4,87,2039,3,44,1130
133,1,3,8,1,2,6
134,21,575,13605,17,357,8371
135,2,38,335,2,16,215
136,3,19,119,3,14,89
137,42,1968,107085,28,1324,79627
138,2,49,1773,2,25,1080
139,5,58,502,5,33,365
140,3,118,2005,3,40,1234
141,4,22,105,3,14,77
142,5,75,1104,5,43,736
143,8,75,882,5,53,564
144,1,4,15,1,3,12
145,2,10,44,2,6,32
146,12,89,853,6,67,571
147,9,352,6699,7,115,4173
148,2,23,396,2,14,250
149,3,51,1208,3,30,715
150,3,9,61,2,8,34
151,1,6,37,1,4,22
152,24,418,7618,15,310,5546
153,11,156,2097,10,115,1543
154,1,8,59,1,5,33
155,16,282,5118,14,239,4097
156,2,13,78,2,11,69
157,22,401,7376,13,237,4233
158,2,14,137,2,11,76
159,5,26,250,3,20,131
160,47,1507,42005,23,831,24975
161,9,96,2210,5,59,1083
162,1,16,376,1,11,234
163,1,4,13,1,3,10
164,2,17,476,2,13,185
165,1,18,304,1,11,205
166,7,67,637,6,52,474
167,3,23,131,3,15,95
168,4,31,212,3,18,137
169,12,201,4718,7,108,2592
170,4,23,167,3,19,117
171,1,8,49,1,5,29
172,8,89,1220,6,65,772
173,3,22,136,3,14,95
174,3,274,5762,3,69,3561
175,2,18,89,2,7,57
176,4,100,1418,4,50,876
177,4,70,1860,4,41,1037
178,2,10,44,2,6,32
179,1,8,45,1,5,32
180,3,14,67,3,12,56
181,5,50,435,4,30,280
182,10,320,11316,8,169,8273
183,25,1419,75722,21,890,57800
184,1,4,11,1,2,7
185,5,301,6959,5,97,4218
186,12,254,6108,11,175,3740
187,45,487,8603,13,322,4734
188,5,208,5585,4,95,3307
189,4,43,512,4,31,328
190,7,43,355,4,33,223
191,8,112,1242,6,65,799
192,20,401,7649,14,275,5333
193,1,4,35,1,3,23
194,3,82,770,3,24,378
195,8,86,1051,7,61,641
196,9,74,760,6,59,531
197,3,62,589,3,24,347
198,5,43,511,4,35,382
199,1,5,16,1,2,8
200,1,17,213,1,11,147
201,17,173,2085,8,113,1296
202,23,863,25884,21,507,15598
203,13,246,3905,10,140,2312
204,1,19,293,1,11,188
205,1,7,78,1,6,55
206,6,32,240,3,21,121
207,1,8,45,1,4,29
208,10,119,1366,9,90,1017
209,2,43,675,2,22,401
210,3,18,158,2,11,95
211,33,1202,41410,20,665,26770
212,6,42,311,4,27,204
213,8,82,1067,7,64,693
214,4,61,773,4,38,526
215,5,49,640,5,34,382
216,1,7,41,1,5,30
217,5,62,742,4,36,428
218,6,108,1403,5,51,811
219,1,5,27,1,4,19
220,8,92,992,7,70,761
221,4,31,233,4,23,164
222,15,162,1840,9,117,1307
223,5,77,1055,5,53,691
224,7,118,1522,6,60,885
225,7,219,5757,5,107,3734
226,1,10,101,1,5,86
227,18,149,1635,7,100,936
228,4,21,178,3,17,105
229,74,3110,150885,38,2207,98775
230,5,94,2677,4,56,1756
231,2,50,1066,2,26,646
