Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,47,472,7737,12,252,3313
2,20,264,3467,9,122,1690
3,10,58,528,5,38,297
4,1,11,69,1,6,44
5,2,41,385,2,16,225
6,10,87,1369,6,57,612
7,8,141,1932,6,60,907
8,2,24,265,2,13,137
9,29,257,4219,8,152,1752
10,8,161,1548,5,47,705
11,1,9,170,1,6,53
12,3,46,747,3,28,334
13,6,38,383,3,24,189
14,7,84,798,5,38,387
15,129,1105,37861,16,700,10138
16,7,368,3954,7,78,2096
17,3,12,87,2,9,57
18,4,36,346,3,17,160
19,1,5,41,1,4,21
20,6,69,837,3,29,368
21,3,22,216,3,13,106
22,5,35,387,4,22,189
23,5,71,1277,3,29,467
24,32,693,9100,11,227,4298
25,2,9,125,2,6,58
26,2,5,17,1,4,12
27,1,2,4,1,2,4
28,1,2,4,1,2,4
29,5,36,396,5,26,190
30,6,41,332,5,29,192
31,5,23,165,2,12,77
32,3,9,81,2,8,38
33,3,60,584,3,21,309
34,65,642,16425,11,318,4608
35,28,417,8784,10,200,2922
36,20,291,6554,11,161,2486
37,22,435,5595,12,183,2789
38,27,364,8064,11,189,2951
39,6,109,1465,5,53,742
40,26,418,6128,12,201,3023
41,7,41,699,4,28,251
42,43,654,10858,17,340,5145
43,4,94,1208,4,39,628
44,19,248,3674,10,135,1896
45,2,32,338,2,16,192
46,3,17,299,2,11,112
47,16,212,4650,7,118,1764
48,20,588,7047,14,193,3972
49,8,317,3957,6,78,1870
50,3,73,1096,3,27,489
51,23,198,2254,7,91,987
52,26,370,5848,11,195,2799
53,19,266,4743,8,123,1806
54,4,100,1078,3,28,522
55,9,144,1945,6,66,930
56,13,67,1194,4,45,393
57,42,548,8942,14,271,3858
58,6,165,1872,4,44,776
59,8,281,3368,7,76,1431
60,7,180,2190,6,59,888
61,11,135,1752,5,66,900
62,2,26,421,2,16,190
63,2,10,156,1,8,68
64,1,3,13,1,2,10
65,11,217,3073,8,102,1622
66,9,124,1733,7,69,931
67,8,43,463,3,28,229
68,2,49,598,2,16,237
69,9,89,1089,6,52,515
70,9,155,1458,5,48,716
71,2,17,160,2,10,80
72,8,60,612,4,32,311
73,2,38,529,2,19,260
74,3,13,75,3,12,55
75,4,36,329,3,19,143
76,9,144,1783,5,59,880
77,2,15,179,2,9,81
78,5,64,666,4,30,346
79,7,49,566,4,31,272
80,9,51,892,4,35,348
81,1,10,61,1,5,40
82,12,62,839,4,43,346
83,1,13,75,1,5,48
84,15,144,2023,7,83,935
85,2,4,8,1,2,4
86,6,143,2823,5,57,1099
87,29,478,6746,10,190,3224
88,12,158,1635,6,75,906
89,38,424,6881,12,234,3184
90,17,193,2442,7,94,1161
91,3,40,477,2,17,224
92,6,84,1119,4,41,556
93,1,7,91,1,5,46
94,7,125,1644,5,53,782
95,1,8,133,1,6,59
96,16,367,4697,10,135,2511
97,11,169,3662,7,84,1305
98,2,43,440,2,16,236
99,43,406,7710,11,216,2864
100,11,215,2816,8,90,1377
101,3,17,239,2,11,100
102,8,49,421,5,33,249
103,6,54,616,5,35,317
104,14,231,3335,9,112,1659
105,5,76,973,5,40,532
106,2,147,1714,2,27,866
107,16,462,5584,9,139,2844
108,3,21,148,3,15,97
109,9,91,886,7,56,530
110,25,241,3395,8,125,1432
111,2,8,163,1,6,40
112,1,3,11,1,2,8
113,5,64,896,4,31,388
114,25,320,4453,8,126,1781
115,14,238,2841,7,84,1240
116,4,43,551,4,26,244
117,10,94,1281,5,55,629
118,1,11,105,1,6,61
119,11,147,2152,6,77,1052
120,3,32,416,2,18,217
121,7,133,2508,5,51,958
122,43,958,12713,15,342,6278
123,1,76,781,1,13,410
124,75,705,21375,12,397,5798
125,11,119,1545,7,68,777
126,17,297,4914,9,140,2256
127,39,506,6654,11,193,2678
128,4,55,714,3,22,279
129,6,87,1376,5,48,667
130,52,568,10379,13,324,4553
131,3,96,1153,3,34,636
132,2,69,822,2,18,382
133,65,710,12313,14,349,4928
134,6,50,411,3,23,199
135,6,59,436,4,28,227
136,8,111,965,5,41,442
137,5,68,839,4,32,351
138,4,20,93,3,13,64
139,13,260,3266,9,108,1704
140,25,489,9784,11,209,3565
141,8,416,5016,8,105,2663
142,60,474,11184,9,234,3200
143,2,63,540,1,11,247
144,8,100,1164,6,55,606
145,9,107,1371,4,52,691
146,1,5,248,1,4,41
147,4,243,2321,3,37,1150
148,1,11,54,1,5,35
149,10,43,418,4,30,196
150,6,90,1822,4,42,713
151,23,417,5467,11,177,2818
152,5,191,2184,5,53,1198
153,13,211,4805,9,118,1795
154,21,179,3486,8,111,1339
155,18,650,7378,13,181,3989
156,52,978,16108,16,403,7068
157,2,77,1410,2,30,607
158,11,205,2648,7,78,1256
159,10,102,1844,7,68,746
160,7,79,850,5,40,455
161,38,606,11223,14,286,4572
162,5,199,2149,5,48,1183
163,26,315,5016,11,185,2450
164,14,221,3056,10,116,1611
165,10,356,4782,9,123,2612
166,16,207,6545,10,158,2169
167,1,34,412,1,12,226
168,33,378,9587,11,214,3089
169,8,67,680,5,39,381
170,13,123,2371,6,79,987
171,12,388,4578,11,123,2546
172,2,8,25,2,6,20
173,12,179,2005,6,72,905
174,6,96,1390,5,49,701
175,92,1025,27192,17,558,8791
176,11,360,5293,8,116,2480
177,25,236,3370,8,139,1538
178,8,205,2527,6,71,1297
179,13,121,1603,7,71,819
180,6,72,747,4,37,428
181,8,367,3931,6,79,1981
182,98,726,23639,10,394,5327
183,1,48,520,1,13,265
184,5,43,387,4,27,216
185,2,9,57,2,7,38
186,1,9,53,1,5,37
187,8,44,365,4,32,220
188,11,140,2677,7,75,1038
189,3,71,799,3,26,437
190,6,43,366,3,23,203
191,1,7,50,1,4,27
192,10,231,3376,8,94,1604
193,5,40,483,4,28,258
194,2,20,315,2,15,152
195,3,7,18,1,3,8
196,25,508,9641,13,218,3953
197,13,159,2308,7,87,1091
198,5,67,1099,5,43,503
199,25,233,2511,8,107,1138
200,3,44,627,3,20,234
201,8,87,1131,5,48,556
202,1,16,250,1,6,75
203,15,234,2255,5,69,1053
204,10,64,547,4,34,282
205,1,8,51,1,4,33
206,7,43,996,3,29,322
207,6,97,1365,5,43,624
208,4,24,228,3,16,127
209,7,114,1397,5,52,697
210,3,14,319,2,11,103
211,13,177,3588,8,104,1446
212,7,123,1668,5,55,819
213,15,174,2359,7,93,1213
214,15,214,3348,8,115,1668
215,13,116,2201,4,52,776
216,1,14,130,1,5,57
217,5,15,185,2,9,48
218,2,136,1256,2,20,729
219,2,4,10,1,3,7
220,1,3,7,1,2,5
221,2,5,20,1,4,12
222,2,12,56,2,6,40
223,31,500,7906,13,233,3549
224,6,88,1258,5,49,595
225,6,41,362,3,27,206
226,6,58,840,5,36,358
227,3,18,117,3,12,75
228,4,28,252,3,19,140
229,8,71,1237,4,42,484
230,14,163,2843,7,84,1125
231,31,428,7464,11,172,2742
232,11,222,2577,5,70,1139
233,6,80,743,5,35,411
234,8,96,956,6,48,480
235,5,120,1451,3,33,729
236,2,8,131,1,5,40
237,21,191,2447,7,112,1194
238,6,124,1306,4,31,495
239,2,4,10,1,3,7
240,1,3,7,1,2,5
241,14,201,2935,9,100,1424
242,4,46,596,4,31,310
243,7,120,1181,4,37,532
244,46,286,5052,7,144,1531
245,4,154,1626,4,38,727
246,1,10,61,1,5,40
247,19,713,9413,15,224,4845
248,19,327,6842,12,174,2835
249,2,75,901,2,23,408
250,42,326,6924,8,152,2148
251,4,122,1152,4,33,550
252,14,179,2025,7,84,991
253,12,191,2456,7,86,1180
254,9,115,1295,7,65,721
255,10,145,1709,7,63,808
256,15,158,2923,8,91,1163
257,22,208,2906,9,118,1384
258,11,136,1711,6,59,879
259,6,48,493,5,28,238
260,7,70,1056,5,43,510
261,8,112,1364,5,48,719
262,4,91,1258,4,37,632
263,1,2,4,1,2,4
264,1,2,4,1,2,4
265,23,533,7167,13,215,3881
266,5,82,1417,5,49,690
267,6,34,284,4,22,161
268,9,116,1518,5,55,728
269,3,18,153,2,12,88
270,11,114,1548,6,61,714
271,96,818,17246,12,334,4943
272,1,97,915,1,13,347
273,5,32,240,3,14,110
274,3,14,192,2,10,64
275,2,31,384,1,12,176
276,28,350,5924,10,162,2422
277,8,243,3178,6,66,1313
278,21,318,4133,9,125,1949
279,2,91,783,2,20,380
280,8,376,4140,7,77,2052
281,5,126,1784,4,53,962
282,4,212,2326,4,46,1296
283,5,60,544,3,26,253
284,5,36,301,3,17,158
285,2,11,62,2,7,33
286,6,58,679,4,31,312
287,4,74,632,3,21,307
288,5,50,787,4,28,310
289,2,8,61,1,6,36
290,23,254,3097,7,88,1174
291,13,131,2078,6,65,744
292,10,166,1700,5,54,815
293,3,9,27,2,6,18
294,6,119,1296,5,43,637
295,12,202,2309,9,89,1219
296,11,97,1497,7,63,661
297,5,80,1224,4,40,563
298,2,4,8,1,2,4
299,1,43,369,1,9,161
300,1,76,781,1,13,410
301,3,144,1489,3,34,668
302,11,132,2134,7,73,1042
303,10,317,3990,9,107,2127
304,50,578,14829,13,350,5094
305,7,175,2646,6,70,1291
306,33,372,6334,10,201,2614
307,7,86,1340,4,42,570
308,19,210,6117,9,156,2040
309,5,71,1059,4,35,438
310,11,160,1818,7,69,863
311,4,31,362,3,18,168
312,8,370,4648,7,96,2265
313,3,12,83,2,8,44
314,12,224,3103,6,83,1504
315,1,7,73,1,4,32
316,6,66,1169,3,28,449
317,9,228,2356,4,54,1099
318,3,23,400,2,14,134
319,34,424,7181,9,185,2778
320,4,151,2048,4,46,968
321,1,48,520,1,13,265
322,5,79,930,4,34,507
323,1,5,15,1,2,6
324,4,10,30,1,4,12
325,2,175,1606,2,24,815
326,6,63,836,5,39,450
327,2,141,1613,2,31,705
328,8,87,1309,6,46,549
329,27,422,8560,10,180,2968
330,1,21,283,1,11,143
331,20,262,3642,10,132,1771
332,1,15,158,1,7,96
333,14,143,2396,6,89,1110
334,10,137,2056,7,75,1033
335,17,311,4403,10,151,2257
336,3,305,2841,3,41,1532
337,5,30,260,4,23,161
338,10,126,1850,6,80,990
339,3,23,169,3,13,94
340,4,76,1187,4,39,556
341,1,6,78,1,4,36
342,5,72,912,3,32,515
343,5,88,1028,4,32,451
344,12,192,2868,6,83,1206
345,3,131,1805,3,38,874
346,7,64,736,4,36,329
347,2,54,709,2,20,307
348,16,153,1789,7,94,976
349,2,51,382,2,11,179
350,7,73,1182,5,43,523
351,2,30,540,2,18,245
352,1,7,53,1,4,24
353,6,46,500,3,20,200
354,11,565,6468,10,139,3441
355,2,21,221,2,11,120
356,2,16,112,2,10,78
