Node,WiD1,WiD2,WiD3,WiH1,WiH2,WiH3
1,38,373,8235,10,194,2728
2,1,2,4,1,2,4
3,17,295,4823,10,120,2074
4,11,77,1328,5,57,670
5,5,94,1922,2,29,553
6,20,117,1264,6,63,607
7,144,520,26454,7,274,3078
8,10,43,358,3,27,210
9,24,382,7495,11,175,2945
10,7,24,444,2,18,137
11,78,429,12061,9,227,3000
12,129,916,29710,13,455,6891
13,15,103,1556,5,64,698
14,9,207,4244,5,76,1476
15,34,353,7860,9,165,2626
16,5,31,256,3,19,143
17,6,112,2395,3,41,701
18,10,34,392,3,24,174
19,23,238,4831,6,108,1577
20,89,721,22254,12,440,5943
21,9,187,3260,5,65,1265
22,27,241,5902,8,137,1855
23,19,59,897,3,41,272
25,6,27,357,2,19,156
26,18,132,2640,3,53,731
27,25,83,1533,3,54,410
28,8,25,228,3,18,116
29,55,331,7507,5,146,1926
30,10,153,3192,3,45,983
31,6,124,2462,3,43,778
32,27,296,5839,8,130,2096
33,2,86,1899,2,24,539
34,49,424,10959,10,219,3342
35,52,423,10400,9,237,3012
36,123,621,24577,10,349,4570
37,3,90,1933,2,27,558
38,122,661,25225,11,346,4936
39,9,36,379,4,27,184
40,4,87,1104,4,31,582
41,16,279,6944,6,107,2027
42,3,130,3099,2,32,913
44,15,65,1118,4,50,404
45,18,58,725,3,40,296
46,21,134,1703,7,85,880
48,11,34,246,2,23,115
49,43,294,7415,6,147,2003
50,9,46,506,3,29,259
51,21,133,1765,6,76,882
52,31,399,7659,7,157,2761
53,175,916,50737,10,585,7379
54,25,217,4646,4,91,1486
55,7,164,3469,4,51,1134
56,1,14,260,1,10,133
57,9,64,1076,4,40,417
58,2,130,2983,2,31,892
59,5,147,3159,4,45,1001
61,164,756,38241,9,391,5119
62,6,98,2111,2,32,604
63,21,54,1065,3,33,201
64,48,114,2639,2,63,290
65,91,413,13921,7,231,2628
66,50,478,9617,10,216,3188
67,38,301,6632,7,130,1965
68,43,295,6622,7,157,1985
69,62,457,10241,10,255,3351
70,26,270,5162,8,136,1918
71,83,606,17590,11,366,4845
72,10,116,2262,5,60,869
73,7,98,1989,2,32,581
75,175,685,38380,9,370,4502
76,5,133,2993,1,32,887
77,94,816,26543,13,449,6806
78,10,108,2198,3,40,645
79,85,378,12069,5,181,2227
80,18,100,1846,4,72,643
81,2,5,17,1,4,13
82,79,430,11649,8,244,2790
83,41,113,2356,3,72,472
84,4,13,72,2,9,44
86,75,324,9628,6,171,2039
87,20,203,4158,5,81,1326
88,62,327,8285,7,161,2122
89,15,96,1936,5,67,708
90,1,2,4,1,2,4
91,3,16,253,2,11,108
92,62,140,4404,2,79,395
93,4,10,36,2,8,26
94,8,182,3877,4,60,1241
95,14,69,655,6,46,355
96,42,305,6104,8,159,2009
97,27,327,4388,9,135,2146
98,21,129,1790,5,82,720
99,9,115,2257,5,60,869
100,8,31,353,3,25,161
101,34,201,4235,7,125,1477
102,136,515,23212,7,291,2977
103,45,159,3981,5,102,905
104,20,54,632,3,35,204
106,17,71,1093,2,40,397
107,28,106,2046,5,77,660
108,7,243,5001,6,80,1696
109,124,282,16671,3,157,914
110,1,2,4,1,2,4
111,68,518,11672,11,263,3732
112,17,199,4247,6,80,1355
113,31,312,7235,8,151,2323
114,23,54,882,2,32,150
116,44,191,3973,7,128,1258
117,4,12,59,2,10,42
119,124,689,25081,10,344,4878
120,108,797,26085,12,425,6299
121,32,217,4717,5,109,1480
122,12,33,389,2,22,99
123,19,194,3776,4,68,1193
124,15,251,5743,9,126,2047
125,15,237,5400,7,106,1789
126,17,235,4949,7,104,1748
128,1,2,4,1,2,4
129,16,201,4205,5,84,1424
130,62,341,8926,6,169,2126
131,29,386,9165,10,179,3025
132,4,131,2321,4,40,781
133,8,191,3662,6,73,1185
134,6,36,891,4,28,228
135,22,256,5720,9,146,1914
136,1,82,1865,1,21,517
137,2,87,2082,2,25,551
138,9,233,5965,5,92,1802
139,3,103,2427,3,36,694
142,2,135,3397,2,35,953
146,6,68,1422,5,45,476
147,2,147,3466,2,40,1049
149,6,208,4751,5,75,1556
150,4,122,3323,4,52,998
151,1,125,2961,1,28,875
153,12,203,4712,7,103,1536
155,2,165,3716,2,42,1164
156,6,207,4597,5,69,1460
157,18,299,6193,10,145,2129
158,14,228,5633,8,124,1783
159,2,95,2097,2,28,598
160,10,230,6110,7,104,1883
161,15,286,5878,11,134,2034
162,4,188,4568,4,60,1366
164,12,149,3401,8,97,1150
165,2,14,484,2,12,121
166,9,249,5918,6,98,1959
167,1,125,2961,1,28,875
168,6,165,4159,4,59,1213
170,23,349,9176,10,190,2871
171,22,454,12085,10,216,3512
172,1,5,77,1,4,22
173,6,215,4076,4,63,1411
174,5,193,4467,4,60,1407
