Node,SIR,Infected_sum
13,0.0,0
14,0.0,0
22,0.001,0
24,0.0,0
25,0.0,0
26,0.012,0
27,0.0,0
28,0.0,0
29,0.0,0
45,0.072,0
46,0.074,0
62,0.012,0
65,0.003,0
70,0.0,0
71,0.0,0
74,0.0,0
75,0.0,0
78,0.002,0
80,0.005,0
81,0.002,0
82,0.0,0
85,0.0,0
88,0.041,0
93,0.001,0
95,0.0,0
97,0.0,0
98,0.0,0
106,0.005,0
113,0.002,0
114,0.002,0
115,0.0,0
122,0.005,0
123,0.0,0
124,0.001,0
128,0.002,0
135,0.015,0
140,0.001,0
141,0.003,0
142,0.0,0
161,0.0,0
163,0.013,0
164,0.001,0
165,0.0,0
178,0.017,0
179,0.003,0
183,0.0,0
185,0.029,0
187,0.0,0
188,0.0,0
192,0.006,0
193,0.013,0
194,0.0,0
195,0.005,0
197,0.002,0
199,0.002,0
200,0.012,0
205,0.002,0
214,0.01,0
215,0.022,0
231,0.062,0
232,0.003,0
238,0.0,0
244,0.001,0
245,0.004,0
252,0.0,0
253,0.0,0
254,0.0,0
260,0.004,0
267,0.0,0
269,0.001,0
272,0.002,0
281,0.004,0
283,0.002,0
284,0.002,0
293,0.003,0
294,0.0,0
299,0.0,0
302,0.005,0
309,0.0,0
312,0.002,0
315,0.0,0
320,0.003,0
321,0.0,0
339,0.062,0
345,0.053,0
348,0.0,0
350,0.0,0
351,0.03,0
352,0.003,0
357,0.003,0
358,0.004,0
360,0.0,0
364,0.002,0
365,0.019,0
369,0.0,0
372,0.0,0
373,0.0,0
374,0.0,0
375,0.001,0
376,0.0,0
379,0.004,0
380,0.0,0
385,0.004,0
392,0.006,0
396,0.0,0
400,0.0,0
403,0.001,0
408,0.0,0
409,0.002,0
410,0.0,0
414,0.0,0
449,0.006,0
450,0.001,0
482,0.004,0
491,0.004,0
492,0.011,0
495,0.002,0
500,0.002,0
510,0.0,0
523,0.002,0
543,0.01,0
546,0.002,0
547,0.003,0
570,0.071,0
573,0.007,0
574,0.012,0
580,0.002,0
593,0.004,0
598,0.0,0
615,0.017,0
624,0.042,0
628,0.0,0
639,0.008,0
676,0.055,0
677,0.0,0
715,0.0,0
717,0.0,0
727,0.006,0
731,0.008,0
733,0.002,0
734,0.0,0
735,0.0,0
743,0.009,0
748,0.002,0
749,0.0,0
750,0.001,0
751,0.0,0
773,0.073,0
778,0.002,0
782,0.0,0
787,0.0,0
