Node,SIR,Infected_sum
1,0.00119,0
2,0.0012,0
3,0.00116,0
4,0.00098,0
5,0.00174,0
6,0.00177,0
7,0.00196,0
8,0.00165,0
9,0.0018,0
10,0.00172,0
11,0.00105,0
12,0.00216,0
13,0.00153,0
14,0.00175,0
15,0.00148,0
16,0.00147,0
17,0.00125,0
18,0.0027,0
19,0.00164,0
20,0.00185,0
21,0.00198,0
22,0.00209,0
23,0.00205,0
24,0.00205,0
25,0.00213,0
26,0.00116,0
27,0.00105,0
28,0.00116,0
29,0.00114,0
30,0.00108,0
31,0.00113,0
32,0.00166,0
33,0.00215,0
34,0.00203,0
35,0.00183,0
36,0.0016,0
37,0.0017,0
38,0.00111,0
39,0.00109,0
40,0.00123,0
41,0.02949,0
42,0.01188,0
43,0.00661,0
44,0.03608,0
45,0.03632,0
46,0.03502,0
47,0.01617,0
48,0.01951,0
49,0.0186,0
50,0.03057,0
51,0.01302,0
52,0.02298,0
53,0.02437,0
54,0.03502,0
55,0.0307,0
56,0.03415,0
57,0.0339,0
58,0.01479,0
59,0.01618,0
60,0.01969,0
61,0.01812,0
62,0.013,0
63,0.00736,0
64,0.01639,0
65,0.02053,0
66,0.01589,0
67,0.01628,0
68,0.01504,0
69,0.03222,0
70,0.03154,0
71,0.02288,0
72,0.01413,0
73,0.02378,0
74,0.02398,0
75,0.0263,0
76,0.02163,0
77,0.01625,0
78,0.01797,0
79,0.02053,0
80,0.01984,0
81,0.02019,0
82,0.02444,0
83,0.02322,0
84,0.02188,0
85,0.02847,0
86,0.01504,0
87,0.02506,0
88,0.02044,0
89,0.0207,0
90,0.01253,0
91,0.02034,0
92,0.0024,0
93,0.00233,0
94,0.00236,0
95,0.00268,0
96,0.00241,0
97,0.00233,0
98,0.00086,0
99,0.00086,0
100,0.00505,0
101,0.00493,0
102,0.01305,0
103,0.00313,0
104,0.00272,0
105,0.00396,0
106,0.00359,0
107,0.02333,0
108,0.00626,0
109,0.0043,0
110,0.0048,0
111,0.00602,0
112,0.00772,0
113,0.00784,0
114,0.00257,0
115,0.00367,0
116,0.00414,0
117,0.00485,0
118,0.00823,0
119,0.00656,0
120,0.00431,0
121,0.01985,0
122,0.01179,0
123,0.01794,0
124,0.01876,0
125,0.02165,0
126,0.01099,0
127,0.00972,0
128,0.00869,0
129,0.00793,0
130,0.01626,0
131,0.01639,0
132,0.01745,0
133,0.016,0
134,0.00919,0
135,0.01055,0
136,0.01391,0
137,0.01706,0
138,0.00843,0
139,0.00784,0
140,0.00451,0
141,0.00117,0
142,0.00107,0
143,0.00105,0
144,0.0112,0
145,0.00958,0
146,0.0065,0
147,0.00526,0
148,0.00942,0
149,0.00931,0
150,0.01057,0
151,0.01053,0
152,0.00736,0
153,0.00583,0
154,0.00957,0
155,0.01026,0
156,0.01045,0
157,0.00974,0
158,0.00882,0
159,0.0094,0
160,0.00932,0
161,0.00858,0
162,0.00952,0
163,0.00914,0
164,0.00351,0
165,0.00388,0
166,0.00473,0
167,0.00387,0
168,0.00116,0
169,0.00103,0
170,0.00114,0
171,0.01812,0
172,0.00904,0
173,0.0199,0
174,0.01862,0
175,0.01635,0
176,0.01016,0
177,0.0112,0
178,0.01263,0
179,0.01567,0
180,0.01747,0
181,0.01251,0
182,0.00549,0
183,0.00549,0
184,0.01138,0
185,0.02182,0
186,0.02065,0
187,0.00687,0
188,0.00343,0
189,0.00617,0
190,0.00691,0
191,0.00709,0
192,0.007,0
193,0.00661,0
194,0.00226,0
195,0.00184,0
196,0.00204,0
197,0.00376,0
198,0.00533,0
199,0.0028,0
200,0.00255,0
201,0.00988,0
202,0.00918,0
203,0.00995,0
204,0.01328,0
205,0.01847,0
206,0.01385,0
207,0.01292,0
208,0.0142,0
209,0.01667,0
210,0.0116,0
211,0.00747,0
212,0.01177,0
213,0.00941,0
214,0.00779,0
215,0.00926,0
216,0.01537,0
217,0.00733,0
218,0.00463,0
219,0.00924,0
220,0.00738,0
221,0.01091,0
222,0.00901,0
223,0.00703,0
224,0.01164,0
225,0.00927,0
226,0.00114,0
227,0.00153,0
228,0.00109,0
229,0.00166,0
230,0.00103,0
231,0.00105,0
232,0.0011,0
233,0.0011,0
234,0.00116,0
235,0.00156,0
236,0.00123,0
237,0.00147,0
238,0.001,0
239,0.00104,0
240,0.00104,0
241,0.00103,0
242,0.01776,0
243,0.01246,0
244,0.01988,0
245,0.0132,0
246,0.01356,0
247,0.00976,0
248,0.0189,0
249,0.01355,0
250,0.00868,0
251,0.00883,0
252,0.0088,0
253,0.01158,0
254,0.00713,0
255,0.00572,0
256,0.00107,0
257,0.00101,0
258,0.00104,0
259,0.00108,0
260,0.00125,0
261,0.00115,0
262,0.00091,0
263,0.00085,0
264,0.00092,0
265,0.00089,0
266,0.00082,0
267,0.00147,0
268,0.00226,0
269,0.00338,0
270,0.00159,0
271,0.00112,0
272,0.00205,0
273,0.00174,0
274,0.00198,0
275,0.00187,0
276,0.00204,0
277,0.00125,0
278,0.00103,0
279,0.00129,0
280,0.00116,0
281,0.00444,0
282,0.0071,0
283,0.00657,0
284,0.00649,0
285,0.01949,0
286,0.02314,0
287,0.0042,0
288,0.01528,0
289,0.00105,0
290,0.00103,0
291,0.00109,0
292,0.01073,0
293,0.01155,0
294,0.0101,0
295,0.00777,0
296,0.01051,0
297,0.00875,0
298,0.01059,0
299,0.02048,0
300,0.01051,0
301,0.00898,0
302,0.00733,0
