Node,SIR,Infected_sum
0,0.058813,0
1,0.190853,0
2,0.202262,0
3,0.107011,0
4,0.146842,0
5,0.017805,0
6,0.023016,0
7,0.182541,0
8,0.180795,0
9,0.16781,0
10,0.081432,0
11,0.021543,0
12,0.017087,0
13,0.011647,0
14,0.096921,0
15,0.085517,0
16,0.080432,0
17,0.021083,0
18,0.032609,0
19,0.031028,0
20,0.069512,0
21,0.118013,0
22,0.20077,0
23,0.043807,0
24,0.129583,0
25,0.173623,0
26,0.128009,0
27,0.058977,0
28,0.075684,0
29,0.144136,0
30,0.108598,0
31,0.02162,0
32,0.062182,0
33,0.055422,0
34,0.07503,0
35,0.058208,0
36,0.064298,0
37,0.04965,0
38,0.042068,0
39,0.1137,0
40,0.002944,0
41,0.039868,0
42,0.051955,0
43,0.203491,0
44,0.199422,0
45,0.201687,0
46,0.197229,0
47,0.19225,0
48,0.022398,0
49,0.017588,0
50,0.047155,0
51,0.117435,0
52,0.171502,0
53,0.156972,0
54,0.067304,0
55,0.082363,0
56,0.079073,0
57,0.194307,0
58,0.181691,0
59,0.012423,0
60,0.099699,0
61,0.13806,0
62,0.168714,0
63,0.166629,0
64,0.158485,0
65,0.152042,0
66,0.118099,0
67,0.121338,0
68,0.08411,0
69,0.147422,0
70,0.094284,0
71,0.107359,0
72,0.023713,0
73,0.024115,0
74,0.059744,0
75,0.137686,0
76,0.128308,0
77,0.063029,0
78,0.101094,0
79,0.088724,0
80,0.056493,0
81,0.093066,0
82,0.051185,0
83,0.007554,0
84,0.154386,0
85,0.031426,0
86,0.16743,0
87,0.061342,0
88,0.144372,0
89,0.060965,0
90,0.099437,0
91,0.121453,0
92,0.099664,0
93,0.114021,0
94,0.093568,0
95,0.140444,0
96,0.127012,0
97,0.152552,0
98,0.11996,0
99,0.068771,0
100,0.073432,0
101,0.195587,0
102,0.166775,0
103,0.15216,0
104,0.025978,0
105,0.063371,0
106,0.12763,0
107,0.126366,0
108,0.137697,0
109,0.161907,0
110,0.181717,0
111,0.064121,0
112,0.074109,0
113,0.068472,0
114,0.080308,0
115,0.008866,0
116,0.186948,0
117,0.192898,0
118,0.1429,0
119,0.039217,0
120,0.127102,0
121,0.153875,0
122,0.18279,0
123,0.183889,0
124,0.106191,0
125,0.182527,0
126,0.173317,0
127,0.173146,0
128,0.162804,0
129,0.16564,0
130,0.15627,0
131,0.147337,0
132,0.149793,0
133,0.151429,0
134,0.05973,0
135,0.158887,0
136,0.201867,0
137,0.058178,0
138,0.065571,0
139,0.154657,0
140,0.03223,0
141,0.05564,0
142,0.134289,0
143,0.083201,0
144,0.168748,0
145,0.01172,0
146,0.037866,0
147,0.080514,0
148,0.166384,0
149,0.125411,0
150,0.05685,0
151,0.11057,0
152,0.137282,0
153,0.128695,0
154,0.033526,0
155,0.08569,0
156,0.184949,0
157,0.197628,0
158,0.068773,0
159,0.155819,0
160,0.153684,0
161,0.056913,0
162,0.128354,0
163,0.137243,0
164,0.125509,0
165,0.13001,0
166,0.136862,0
167,0.203315,0
168,0.187231,0
169,0.137297,0
170,0.092624,0
171,0.046535,0
172,0.052543,0
173,0.044227,0
174,0.056122,0
175,0.202394,0
176,0.201972,0
177,0.201285,0
178,0.182858,0
179,0.011221,0
180,0.07679,0
181,0.066645,0
182,0.013445,0
183,0.00998,0
184,0.057369,0
185,0.026716,0
186,0.11867,0
187,0.156044,0
188,0.02865,0
189,0.072193,0
190,0.076324,0
191,0.009777,0
192,0.190016,0
193,0.036007,0
194,0.179311,0
195,0.080901,0
196,0.112983,0
197,0.074972,0
198,0.064597,0
199,0.035463,0
200,0.105946,0
201,0.022333,0
202,0.190107,0
203,0.150545,0
204,0.061884,0
205,0.027745,0
206,0.032672,0
207,0.041027,0
208,0.047873,0
209,0.077557,0
210,0.191272,0
211,0.028406,0
212,0.027643,0
213,0.029345,0
214,0.042082,0
215,0.04558,0
216,0.106754,0
217,0.029702,0
218,0.049901,0
219,0.046814,0
220,0.128613,0
221,0.036075,0
222,0.070785,0
223,0.069355,0
224,0.071469,0
225,0.049224,0
226,0.072929,0
227,0.07914,0
228,0.064671,0
229,0.065833,0
230,0.0281,0
231,0.032462,0
232,0.097849,0
233,0.093517,0
234,0.028022,0
235,0.042324,0
236,0.205955,0
237,0.205421,0
238,0.128209,0
239,0.091472,0
240,0.085414,0
241,0.107777,0
242,0.073892,0
243,0.200631,0
244,0.197094,0
