Node,SIR,Infected_sum
1,0.002715,0
2,0.00763,0
3,0.010207,0
4,0.01471,0
5,0.019862,0
6,0.002506,0
7,0.057051,0
8,0.047689,0
9,0.004403,0
10,0.028437,0
11,0.110006,0
12,0.094503,0
13,0.104235,0
14,0.030413,0
15,0.009404,0
16,0.009033,0
17,0.049832,0
18,0.080856,0
19,0.01072,0
20,0.042825,0
21,0.004043,0
22,0.006087,0
23,0.010444,0
24,0.002131,0
25,0.013533,0
26,0.028215,0
27,0.014626,0
28,0.005103,0
29,0.002528,0
30,0.079067,0
31,0.115879,0
32,0.054716,0
33,0.0647,0
34,0.009251,0
35,0.053106,0
36,0.043473,0
37,0.005415,0
38,0.004406,0
39,0.007358,0
40,0.021962,0
41,0.046438,0
42,0.001483,0
43,0.006185,0
44,0.003055,0
45,0.055683,0
46,0.002005,0
47,0.013432,0
48,0.015718,0
49,0.003817,0
50,0.091706,0
51,0.0219,0
52,0.004534,0
53,0.006414,0
54,0.111988,0
55,0.029087,0
56,0.094424,0
57,0.039971,0
58,0.003127,0
59,0.013812,0
60,0.028165,0
61,0.007947,0
62,0.022828,0
63,0.109618,0
64,0.001149,0
65,0.000725,0
66,0.041498,0
67,0.114511,0
68,0.033279,0
69,0.005085,0
70,0.087164,0
71,0.011186,0
72,0.005852,0
73,0.015145,0
74,0.002021,0
75,0.002803,0
76,0.014768,0
77,0.013642,0
78,0.005328,0
79,0.046797,0
80,0.033655,0
81,0.011137,0
82,0.026165,0
83,0.075287,0
84,0.004029,0
85,0.020205,0
86,0.003742,0
87,0.019372,0
88,0.001609,0
89,0.017247,0
90,0.013419,0
91,0.016326,0
92,0.105897,0
93,0.042464,0
94,0.007008,0
95,0.006979,0
96,0.002193,0
97,0.003461,0
98,0.000948,0
99,0.039038,0
100,0.005436,0
101,0.025281,0
102,0.003425,0
103,0.00951,0
104,0.001348,0
105,0.01395,0
106,0.013365,0
107,0.006182,0
108,0.061093,0
109,0.005786,0
110,0.01677,0
111,0.002966,0
112,0.003148,0
113,0.010687,0
114,0.036756,0
115,0.031581,0
116,0.018296,0
117,0.01406,0
118,0.109996,0
119,0.000844,0
120,0.003893,0
121,0.030298,0
122,0.062949,0
123,0.110383,0
124,0.060877,0
125,0.079188,0
126,0.012098,0
127,0.003887,0
128,0.00091,0
129,0.004485,0
130,0.013642,0
131,0.010279,0
132,0.047355,0
133,0.05433,0
134,0.016577,0
135,0.038462,0
136,0.075804,0
137,0.016391,0
138,0.000671,0
139,0.000651,0
140,0.022317,0
141,0.063612,0
142,0.109734,0
143,0.073499,0
144,0.012919,0
145,0.00238,0
146,0.032074,0
147,0.069749,0
148,0.070573,0
149,0.010454,0
150,0.10979,0
151,0.014955,0
152,0.013549,0
153,0.053372,0
154,0.014786,0
155,0.022855,0
156,0.020866,0
157,0.058157,0
158,0.01629,0
159,0.106172,0
160,0.025066,0
161,0.015892,0
162,0.007008,0
163,0.011821,0
164,0.089477,0
165,0.019805,0
166,0.055516,0
167,0.007754,0
168,0.070278,0
169,0.000676,0
170,0.00115,0
171,0.054683,0
172,0.015821,0
173,0.046039,0
174,0.030719,0
175,0.07396,0
176,0.017628,0
177,0.029217,0
178,0.007227,0
179,0.000651,0
180,0.000661,0
181,0.06991,0
182,0.004208,0
183,0.000704,0
184,0.021774,0
185,0.003641,0
186,0.00241,0
187,0.010093,0
188,0.091672,0
189,0.060281,0
190,0.008635,0
191,0.018254,0
192,0.004604,0
193,0.011148,0
194,0.045646,0
195,0.005178,0
196,0.11388,0
197,0.063719,0
198,0.031683,0
199,0.046682,0
200,0.010137,0
201,0.065128,0
202,0.0371,0
203,0.006264,0
204,0.060908,0
205,0.004436,0
206,0.097225,0
207,0.036835,0
208,0.045779,0
209,0.045184,0
210,0.007155,0
211,0.026964,0
212,0.010081,0
213,0.002302,0
214,0.017818,0
215,0.007593,0
216,0.082909,0
217,0.002934,0
218,0.002596,0
219,0.021836,0
220,0.002927,0
221,0.021261,0
222,0.065722,0
223,0.014945,0
224,0.02683,0
225,0.003947,0
226,0.005695,0
227,0.004122,0
228,0.048727,0
229,0.042702,0
230,0.027706,0
231,0.056679,0
232,0.008199,0
233,0.036008,0
