Node,SIR,Infected_sum
1,9.9e-05,0
2,0.000107,0
3,0.001654,0
4,0.019984,0
5,0.001509,0
6,0.00511,0
7,0.002233,0
8,0.000105,0
9,0.000109,0
10,0.000117,0
11,0.000215,0
12,0.002154,0
13,0.000176,0
14,0.00015,0
15,0.000121,0
16,0.000146,0
17,0.000201,0
18,0.000204,0
19,0.0001,0
20,0.000208,0
21,9.9e-05,0
22,0.000103,0
23,0.008816,0
24,0.009217,0
25,0.012251,0
26,0.02213,0
27,0.010283,0
28,0.01082,0
29,0.010177,0
30,0.016159,0
31,0.01754,0
32,0.011801,0
33,0.007474,0
34,0.011421,0
35,0.016328,0
36,0.008127,0
37,0.010947,0
38,0.012366,0
39,0.017098,0
40,0.000131,0
41,0.001251,0
42,0.000201,0
43,0.000727,0
44,0.000103,0
45,0.000146,0
46,0.000147,0
47,0.000135,0
48,0.000132,0
49,0.000137,0
50,0.000138,0
51,0.000102,0
52,0.000114,0
53,0.000135,0
54,9.9e-05,0
55,0.000105,0
56,0.001119,0
57,0.006153,0
58,0.000763,0
59,0.006084,0
60,0.000166,0
61,0.00265,0
62,0.000178,0
63,0.005059,0
64,0.000111,0
65,0.000183,0
66,0.000101,0
67,9.9e-05,0
68,0.000114,0
69,0.000318,0
70,0.000124,0
71,0.000108,0
72,0.000107,0
73,0.000143,0
74,0.00011,0
75,0.000186,0
76,0.0001,0
77,0.0001,0
78,0.000171,0
79,0.001208,0
80,0.000153,0
81,0.000201,0
82,0.000152,0
83,0.000128,0
84,0.000122,0
85,0.000109,0
86,0.0001,0
87,0.000105,0
88,0.000143,0
89,0.00017,0
90,0.002314,0
91,0.000148,0
92,0.000167,0
93,0.000217,0
94,0.000144,0
95,0.000141,0
96,0.000142,0
97,0.00015,0
98,0.000101,0
99,0.000116,0
100,0.000786,0
101,0.010258,0
102,0.000147,0
103,0.000667,0
104,0.000728,0
105,0.000663,0
106,0.000601,0
107,0.000681,0
108,0.000701,0
109,0.000552,0
110,0.000604,0
111,0.000629,0
112,0.000602,0
113,0.000704,0
114,0.000621,0
115,0.000567,0
116,0.000608,0
117,0.000616,0
118,0.00063,0
119,0.000719,0
120,0.000582,0
121,0.000584,0
122,0.000718,0
123,0.000743,0
124,0.00132,0
125,0.000395,0
126,0.003437,0
127,0.001872,0
128,0.000407,0
129,0.000374,0
130,0.000203,0
131,0.000526,0
132,0.000572,0
133,0.000287,0
134,0.000119,0
135,0.000119,0
136,0.000107,0
137,0.000155,0
138,0.00018,0
139,0.000121,0
140,0.000106,0
141,0.000118,0
142,0.000116,0
143,0.000116,0
144,0.000113,0
145,0.000299,0
146,0.000101,0
147,0.00011,0
148,0.000103,0
149,0.000168,0
150,0.000176,0
151,0.000983,0
152,0.000178,0
153,0.000105,0
154,0.000105,0
155,0.001165,0
156,0.000107,0
157,0.000133,0
158,0.000102,0
159,0.000131,0
160,9.9e-05,0
161,0.000119,0
162,0.000101,0
163,0.00019,0
164,0.000316,0
165,0.000733,0
166,0.000475,0
167,0.00033,0
168,0.000241,0
169,0.000203,0
170,0.000211,0
171,0.00056,0
172,0.000507,0
173,0.000229,0
174,0.002219,0
175,0.000102,0
176,0.000142,0
177,0.000117,0
178,0.000106,0
179,0.000119,0
180,0.00011,0
181,9.9e-05,0
182,0.000197,0
183,0.000104,0
184,0.000161,0
185,9.9e-05,0
186,0.000107,0
187,0.000103,0
188,0.000105,0
189,9.9e-05,0
190,0.0001,0
191,0.000106,0
192,0.000131,0
193,0.0001,0
194,0.000607,0
195,0.000105,0
196,0.000112,0
197,0.000118,0
198,0.000113,0
199,0.000866,0
200,0.000113,0
201,9.9e-05,0
202,0.000348,0
203,0.000364,0
204,0.00034,0
205,0.000361,0
206,0.000323,0
207,0.000336,0
208,0.000347,0
209,0.000333,0
210,0.000334,0
211,0.000356,0
212,0.000374,0
213,0.000368,0
214,0.000329,0
215,0.000345,0
216,0.000324,0
217,0.000355,0
218,0.000108,0
219,0.000153,0
220,0.000163,0
221,0.004558,0
222,0.01058,0
223,0.006403,0
224,0.0048,0
225,0.016744,0
226,0.005003,0
227,0.006497,0
228,0.006295,0
229,0.012011,0
230,0.000274,0
231,0.00015,0
232,0.000128,0
233,0.000127,0
234,0.000113,0
235,0.002242,0
236,0.000122,0
237,0.000127,0
238,0.000118,0
239,0.000204,0
240,0.000677,0
241,0.000107,0
242,0.000432,0
243,0.000111,0
244,0.000101,0
245,0.000142,0
246,0.00012,0
247,0.0001,0
248,0.000131,0
249,0.000869,0
250,0.008453,0
251,0.000477,0
252,0.000123,0
253,0.003346,0
254,0.000242,0
255,0.000662,0
256,0.000102,0
257,0.000462,0
258,0.000155,0
259,0.000662,0
260,0.000122,0
261,0.000153,0
262,0.000103,0
263,0.000101,0
264,0.000101,0
265,0.000109,0
266,9.9e-05,0
267,0.00012,0
268,0.000128,0
269,0.0001,0
270,0.000118,0
271,0.00011,0
272,0.000101,0
273,0.000113,0
274,0.000108,0
275,0.0001,0
276,0.000106,0
277,0.000111,0
278,0.000258,0
279,0.0001,0
280,0.000106,0
281,0.000146,0
282,0.000102,0
283,0.000107,0
284,0.000102,0
285,0.000107,0
286,0.000108,0
287,0.000107,0
288,0.000106,0
289,0.000102,0
290,0.000113,0
291,0.0001,0
292,0.000144,0
293,0.0001,0
294,0.000494,0
295,0.000113,0
296,0.000553,0
297,9.9e-05,0
298,0.000113,0
299,0.000108,0
300,0.000111,0
301,0.000106,0
302,0.0001,0
303,0.000112,0
304,0.000108,0
305,0.0001,0
306,0.00011,0
307,0.000108,0
308,0.00016,0
309,0.000105,0
310,0.001212,0
311,0.000799,0
312,0.000336,0
313,0.000221,0
314,0.000558,0
315,0.001202,0
316,0.000647,0
317,0.001118,0
318,0.003376,0
319,0.000222,0
320,0.003963,0
321,0.000638,0
322,0.001869,0
323,0.000423,0
324,0.000231,0
325,0.000101,0
326,0.00014,0
327,0.000101,0
328,0.000121,0
329,0.0001,0
330,0.000219,0
331,0.000132,0
332,0.000167,0
333,0.000106,0
334,0.0001,0
335,0.001937,0
336,0.001834,0
337,0.001862,0
338,0.021897,0
339,0.001375,0
340,9.9e-05,0
341,0.000103,0
342,0.0001,0
343,0.000107,0
344,0.000112,0
345,9.9e-05,0
346,9.9e-05,0
347,0.000176,0
348,0.00013,0
349,0.0001,0
350,0.000159,0
351,0.000134,0
352,0.000159,0
353,0.000163,0
354,0.000105,0
355,0.000332,0
356,0.000158,0
357,0.000161,0
358,0.00019,0
359,0.001926,0
360,0.000137,0
361,0.000199,0
362,0.0001,0
363,0.000101,0
364,0.000106,0
365,0.000103,0
366,0.000157,0
367,0.000109,0
368,0.000112,0
369,0.000216,0
370,0.00012,0
371,0.000101,0
372,0.000395,0
373,0.000129,0
374,9.9e-05,0
375,0.000114,0
376,0.000115,0
377,0.000453,0
378,0.000103,0
379,0.000105,0
380,0.000199,0
381,0.000176,0
382,9.9e-05,0
383,0.000205,0
384,0.000101,0
385,0.000186,0
386,0.000135,0
387,0.000126,0
388,0.000252,0
389,9.8e-05,0
390,0.000767,0
391,0.003723,0
392,0.000392,0
393,0.000215,0
394,0.000354,0
