Node,SIR
0,0.393
1,0.221
2,0.363
3,0.335
4,0.389
5,0.383
6,0.385
7,0.382
8,0.389
9,0.373
10,0.372
11,0.387
12,0.361
13,0.356
14,0.394
15,0.361
16,0.305
17,0.382
18,0.317
19,0.314
20,0.371
21,0.344
22,0.283
23,0.348
24,0.288
25,0.304
26,0.267
27,0.222
28,0.326
29,0.363
30,0.29
31,0.291
32,0.235
33,0.236
34,0.236
35,0.32
36,0.324
37,0.291
38,0.313
39,0.29
40,0.312
41,0.34
42,0.346
43,0.305
44,0.319
45,0.291
46,0.288
47,0.292
48,0.24
49,0.297
50,0.259
51,0.31
52,0.336
53,0.333
54,0.241
55,0.353
56,0.281
57,0.309
58,0.278
59,0.251
60,0.287
61,0.319
62,0.183
63,0.364
64,0.276
65,0.28
66,0.211
67,0.341
68,0.273
69,0.303
70,0.266
71,0.229
72,0.29
73,0.229
74,0.197
75,0.269
76,0.234
77,0.361
78,0.19
79,0.259
80,0.312
81,0.198
82,0.28
83,0.242
84,0.245
85,0.179
86,0.167
87,0.253
88,0.263
89,0.185
90,0.233
91,0.252
92,0.202
93,0.341
94,0.217
95,0.243
96,0.177
97,0.286
98,0.15
99,0.257
100,0.262
101,0.299
102,0.215
103,0.255
104,0.222
105,0.225
106,0.192
107,0.269
108,0.248
109,0.229
110,0.219
111,0.275
112,0.2
113,0.271
114,0.255
115,0.206
116,0.221
117,0.173
118,0.194
119,0.177
120,0.277
121,0.235
122,0.169
123,0.278
124,0.253
125,0.173
126,0.203
127,0.208
128,0.173
129,0.184
130,0.169
131,0.218
132,0.226
133,0.178
134,0.222
135,0.26
136,0.299
137,0.211
138,0.223
139,0.226
140,0.256
141,0.23
142,0.186
143,0.216
144,0.223
145,0.232
146,0.215
147,0.215
148,0.219
149,0.176
150,0.17
151,0.182
152,0.179
153,0.268
154,0.219
155,0.221
156,0.165
157,0.179
158,0.203
159,0.223
160,0.253
161,0.184
162,0.284
163,0.222
164,0.169
165,0.243
166,0.244
167,0.173
168,0.255
169,0.215
170,0.169
171,0.249
172,0.238
173,0.161
174,0.178
175,0.201
176,0.201
177,0.204
178,0.296
179,0.208
180,0.194
181,0.194
182,0.235
183,0.152
184,0.225
185,0.192
186,0.219
187,0.185
188,0.152
189,0.198
190,0.232
191,0.16
192,0.133
193,0.215
194,0.183
195,0.185
196,0.144
197,0.132
198,0.145
199,0.206
200,0.174
201,0.215
202,0.153
203,0.186
204,0.204
205,0.182
206,0.221
207,0.19
208,0.169
209,0.201
210,0.135
211,0.118
212,0.218
213,0.221
214,0.263
215,0.213
216,0.241
217,0.202
218,0.173
219,0.143
220,0.181
221,0.232
222,0.187
223,0.211
224,0.165
225,0.236
226,0.205
227,0.17
228,0.134
229,0.172
230,0.128
231,0.157
232,0.183
233,0.223
234,0.137
235,0.146
236,0.193
237,0.205
238,0.173
239,0.113
240,0.18
241,0.236
242,0.178
243,0.155
244,0.176
245,0.137
246,0.162
247,0.139
248,0.22
249,0.171
250,0.176
251,0.161
252,0.156
253,0.117
254,0.183
255,0.178
256,0.223
257,0.229
258,0.121
259,0.133
260,0.224
261,0.209
262,0.171
263,0.121
264,0.175
265,0.137
266,0.155
267,0.17
268,0.186
269,0.176
270,0.144
271,0.174
272,0.18
273,0.188
274,0.131
275,0.158
276,0.135
277,0.192
278,0.175
279,0.161
280,0.113
281,0.144
282,0.202
283,0.173
284,0.263
285,0.188
286,0.191
287,0.142
288,0.117
289,0.14
290,0.188
291,0.155
292,0.157
293,0.191
294,0.14
295,0.184
296,0.186
297,0.161
298,0.116
299,0.167
300,0.151
301,0.156
302,0.149
303,0.154
304,0.124
305,0.18
306,0.11
307,0.135
308,0.158
309,0.177
310,0.164
311,0.143
312,0.25
313,0.151
314,0.163
315,0.178
316,0.157
317,0.191
318,0.173
319,0.103
320,0.145
321,0.123
322,0.198
323,0.158
324,0.112
325,0.15
326,0.153
327,0.149
328,0.162
329,0.182
330,0.22
331,0.212
332,0.158
333,0.143
334,0.202
335,0.174
336,0.197
337,0.11
338,0.144
339,0.137
340,0.124
341,0.133
342,0.125
343,0.144
344,0.121
345,0.19
346,0.129
347,0.192
348,0.197
349,0.143
350,0.187
351,0.162
352,0.144
353,0.125
354,0.181
355,0.141
356,0.165
357,0.108
358,0.177
359,0.108
360,0.19
361,0.172
362,0.144
363,0.148
364,0.144
365,0.11
366,0.13
367,0.174
368,0.16
369,0.136
370,0.148
371,0.099
372,0.169
373,0.104
374,0.154
375,0.121
376,0.168
377,0.146
378,0.129
379,0.146
380,0.188
381,0.181
382,0.118
383,0.158
384,0.136
385,0.16
386,0.145
387,0.143
388,0.127
389,0.16
390,0.16
391,0.128
392,0.131
393,0.152
394,0.144
395,0.139
396,0.166
397,0.176
398,0.147
399,0.143
400,0.096
401,0.102
402,0.155
403,0.174
404,0.12
405,0.162
406,0.162
407,0.08
408,0.198
409,0.145
410,0.155
411,0.134
412,0.153
413,0.118
414,0.181
415,0.19
416,0.151
417,0.122
418,0.094
419,0.143
420,0.108
421,0.138
422,0.173
423,0.173
424,0.198
425,0.166
426,0.155
427,0.156
428,0.131
429,0.121
430,0.191
431,0.152
432,0.113
433,0.145
434,0.144
435,0.147
436,0.139
437,0.17
438,0.165
439,0.194
440,0.083
441,0.179
442,0.134
443,0.132
444,0.108
445,0.144
446,0.181
447,0.098
448,0.171
449,0.135
450,0.2
451,0.18
452,0.119
453,0.12
454,0.131
455,0.155
456,0.125
457,0.167
458,0.154
459,0.141
460,0.138
461,0.13
462,0.112
463,0.147
464,0.145
465,0.187
466,0.142
467,0.209
468,0.149
469,0.096
470,0.114
471,0.171
472,0.146
473,0.155
474,0.132
475,0.077
476,0.111
477,0.15
478,0.108
479,0.073
480,0.13
481,0.117
482,0.137
483,0.138
484,0.19
485,0.182
486,0.147
487,0.088
