Node,SIR
0,0.757
1,0.658
2,0.757
3,0.756
4,0.754
5,0.759
6,0.756
7,0.758
8,0.757
9,0.742
10,0.759
11,0.759
12,0.759
13,0.757
14,0.743
15,0.757
16,0.757
17,0.751
18,0.759
19,0.74
20,0.758
21,0.758
22,0.737
23,0.756
24,0.759
25,0.756
26,0.757
27,0.757
28,0.531
29,0.757
30,0.758
31,0.734
32,0.75
33,0.758
34,0.756
35,0.758
36,0.605
37,0.755
38,0.75
39,0.727
40,0.756
41,0.754
42,0.755
43,0.74
44,0.728
45,0.756
46,0.759
47,0.758
48,0.757
49,0.723
50,0.757
51,0.734
52,0.743
53,0.585
54,0.749
55,0.743
56,0.719
57,0.742
58,0.754
59,0.758
60,0.728
61,0.612
62,0.743
63,0.742
64,0.757
65,0.758
66,0.756
67,0.623
68,0.756
69,0.726
70,0.628
71,0.614
72,0.757
73,0.758
74,0.758
75,0.757
76,0.728
77,0.737
78,0.72
79,0.758
80,0.675
81,0.758
82,0.698
83,0.733
84,0.758
85,0.76
86,0.583
87,0.742
88,0.704
89,0.727
90,0.757
91,0.756
92,0.56
93,0.758
94,0.755
95,0.757
96,0.712
97,0.741
98,0.751
99,0.75
100,0.727
101,0.713
102,0.758
103,0.72
104,0.756
105,0.713
106,0.599
107,0.666
108,0.733
109,0.758
110,0.75
111,0.757
112,0.728
113,0.758
114,0.749
115,0.758
116,0.757
117,0.757
118,0.681
119,0.682
120,0.756
121,0.759
122,0.751
123,0.712
124,0.75
125,0.757
126,0.759
127,0.756
128,0.734
129,0.759
130,0.667
131,0.734
132,0.75
133,0.741
134,0.635
135,0.666
136,0.743
137,0.627
138,0.613
139,0.749
140,0.672
141,0.757
142,0.749
143,0.756
144,0.758
145,0.727
146,0.745
147,0.499
148,0.756
149,0.757
150,0.758
151,0.719
152,0.743
153,0.592
154,0.722
155,0.759
156,0.643
157,0.758
158,0.743
159,0.704
160,0.74
161,0.682
162,0.585
163,0.697
164,0.622
165,0.553
166,0.758
167,0.672
168,0.63
169,0.675
170,0.697
171,0.713
172,0.728
173,0.755
174,0.744
175,0.704
176,0.667
177,0.719
178,0.735
179,0.612
180,0.727
181,0.704
182,0.56
183,0.683
184,0.69
185,0.742
186,0.696
187,0.681
188,0.74
189,0.734
190,0.695
191,0.69
192,0.696
193,0.56
194,0.75
195,0.729
196,0.757
197,0.689
198,0.576
199,0.696
200,0.756
201,0.721
202,0.673
203,0.545
204,0.659
205,0.735
206,0.713
207,0.667
208,0.682
209,0.734
210,0.727
211,0.705
212,0.705
213,0.646
214,0.751
215,0.704
216,0.726
217,0.703
218,0.737
219,0.75
220,0.758
221,0.53
222,0.59
223,0.757
224,0.749
225,0.749
226,0.683
227,0.68
228,0.756
229,0.552
230,0.547
231,0.744
232,0.584
233,0.758
234,0.712
235,0.659
236,0.756
237,0.722
238,0.749
239,0.718
240,0.736
241,0.666
242,0.758
243,0.757
244,0.621
245,0.628
246,0.682
247,0.726
248,0.72
249,0.72
250,0.682
251,0.646
252,0.749
253,0.734
254,0.728
255,0.76
256,0.674
257,0.674
258,0.643
259,0.756
260,0.668
261,0.665
262,0.727
263,0.718
264,0.727
265,0.718
266,0.629
267,0.748
268,0.635
269,0.758
270,0.661
271,0.666
272,0.615
273,0.749
274,0.636
275,0.617
276,0.705
277,0.713
278,0.659
279,0.757
280,0.707
281,0.599
282,0.658
283,0.704
284,0.712
285,0.742
286,0.554
287,0.734
288,0.734
289,0.606
290,0.687
291,0.736
292,0.69
293,0.575
294,0.546
295,0.606
296,0.735
297,0.757
298,0.741
299,0.704
300,0.721
301,0.714
302,0.628
303,0.697
304,0.662
305,0.742
306,0.703
307,0.583
308,0.644
309,0.544
310,0.659
311,0.741
312,0.742
313,0.628
314,0.682
315,0.681
316,0.718
317,0.736
318,0.664
319,0.735
