Node,SIR
1,0.561
2,0.542
3,0.567
4,0.55
5,0.412
6,0.547
7,0.557
8,0.38
9,0.53
10,0.558
11,0.549
12,0.53
13,0.556
14,0.567
15,0.523
16,0.568
17,0.352
18,0.519
19,0.556
20,0.527
21,0.568
22,0.533
23,0.553
24,0.565
25,0.493
26,0.239
27,0.55
28,0.491
29,0.399
30,0.554
31,0.554
32,0.263
33,0.403
34,0.547
35,0.097
36,0.113
37,0.119
38,0.542
39,0.569
40,0.564
41,0.569
42,0.567
43,0.448
44,0.539
45,0.569
46,0.568
47,0.396
48,0.419
49,0.566
50,0.56
51,0.526
52,0.564
53,0.251
54,0.561
55,0.53
56,0.558
57,0.553
58,0.563
59,0.515
60,0.231
61,0.434
62,0.55
63,0.469
64,0.54
65,0.523
66,0.477
67,0.464
68,0.494
69,0.565
70,0.559
71,0.47
72,0.561
73,0.52
74,0.544
75,0.396
76,0.567
77,0.397
78,0.462
79,0.462
80,0.55
81,0.541
82,0.545
83,0.324
84,0.524
85,0.562
86,0.471
87,0.376
88,0.46
89,0.352
90,0.527
91,0.431
92,0.434
93,0.466
94,0.554
95,0.295
96,0.356
97,0.201
98,0.166
99,0.266
100,0.177
101,0.481
102,0.17
103,0.317
104,0.502
105,0.564
106,0.565
107,0.511
108,0.397
109,0.199
110,0.453
111,0.063
112,0.52
113,0.519
114,0.296
115,0.478
116,0.568
117,0.514
118,0.359
119,0.42
120,0.555
121,0.454
122,0.489
123,0.193
124,0.523
125,0.482
126,0.211
127,0.511
128,0.559
129,0.401
130,0.453
131,0.504
132,0.404
133,0.51
134,0.56
135,0.562
136,0.402
137,0.555
138,0.292
139,0.192
140,0.567
141,0.467
142,0.559
143,0.561
144,0.279
145,0.526
146,0.553
147,0.549
148,0.491
149,0.506
150,0.557
151,0.199
152,0.543
153,0.488
154,0.277
155,0.511
156,0.354
157,0.524
158,0.405
159,0.227
160,0.131
161,0.457
162,0.472
163,0.432
164,0.445
165,0.471
166,0.436
167,0.443
168,0.497
169,0.369
170,0.313
171,0.211
172,0.306
173,0.136
174,0.334
175,0.085
176,0.53
177,0.234
178,0.319
179,0.272
180,0.126
181,0.419
182,0.559
183,0.56
184,0.483
185,0.564
186,0.46
187,0.381
188,0.474
189,0.507
190,0.388
191,0.482
192,0.487
193,0.538
194,0.56
195,0.346
196,0.566
197,0.523
198,0.568
199,0.507
200,0.542
201,0.564
202,0.504
203,0.515
204,0.566
205,0.563
206,0.565
207,0.548
208,0.498
209,0.383
210,0.545
211,0.476
212,0.556
213,0.513
214,0.543
215,0.564
216,0.536
217,0.492
218,0.56
219,0.567
220,0.314
221,0.477
222,0.49
223,0.29
224,0.314
225,0.154
226,0.132
227,0.526
228,0.442
229,0.233
230,0.502
231,0.487
232,0.149
233,0.569
234,0.325
235,0.49
236,0.154
237,0.54
238,0.521
239,0.548
240,0.488
241,0.567
242,0.204
243,0.543
244,0.364
245,0.465
246,0.471
247,0.177
248,0.504
249,0.113
250,0.487
251,0.476
252,0.408
253,0.08
254,0.526
255,0.531
256,0.449
257,0.448
258,0.278
259,0.537
260,0.391
261,0.063
262,0.267
263,0.487
264,0.341
265,0.377
266,0.262
267,0.534
268,0.534
269,0.538
270,0.48
271,0.533
272,0.198
273,0.239
274,0.561
275,0.42
276,0.48
277,0.33
278,0.45
279,0.464
280,0.434
281,0.229
282,0.545
283,0.255
284,0.526
285,0.38
286,0.323
287,0.543
288,0.225
289,0.547
290,0.402
291,0.517
292,0.137
293,0.556
294,0.092
295,0.233
296,0.334
297,0.387
298,0.33
299,0.558
300,0.483
301,0.288
302,0.132
303,0.551
304,0.149
305,0.515
306,0.417
307,0.385
308,0.512
309,0.197
310,0.222
311,0.395
312,0.377
313,0.534
314,0.505
315,0.341
316,0.557
317,0.46
318,0.073
319,0.126
320,0.318
321,0.519
322,0.567
323,0.38
324,0.409
325,0.486
326,0.209
327,0.56
328,0.373
329,0.543
330,0.454
331,0.568
332,0.568
333,0.562
334,0.471
335,0.542
336,0.449
337,0.482
338,0.491
339,0.529
340,0.524
341,0.554
342,0.114
343,0.327
344,0.532
345,0.109
346,0.449
347,0.428
348,0.335
349,0.419
350,0.284
351,0.543
352,0.521
353,0.494
354,0.568
355,0.566
356,0.561
357,0.387
358,0.52
359,0.348
360,0.301
361,0.52
362,0.481
363,0.487
364,0.475
365,0.392
366,0.268
367,0.544
368,0.546
369,0.476
370,0.255
371,0.486
372,0.477
373,0.467
374,0.108
375,0.336
376,0.536
377,0.423
378,0.559
379,0.319
380,0.396
381,0.554
382,0.532
383,0.505
384,0.564
385,0.526
386,0.475
387,0.493
388,0.421
389,0.549
390,0.549
391,0.421
392,0.505
393,0.556
394,0.211
395,0.387
396,0.566
397,0.357
398,0.376
399,0.497
400,0.508
401,0.549
402,0.347
403,0.364
404,0.518
405,0.33
406,0.158
407,0.444
408,0.409
409,0.508
410,0.539
411,0.368
412,0.477
413,0.526
414,0.475
415,0.562
416,0.465
417,0.377
418,0.454
419,0.341
420,0.547
421,0.239
422,0.459
423,0.334
424,0.12
425,0.419
426,0.446
427,0.502
428,0.194
429,0.564
430,0.491
431,0.476
432,0.387
433,0.386
434,0.557
435,0.381
436,0.239
437,0.484
438,0.496
439,0.549
440,0.245
441,0.448
442,0.234
443,0.493
444,0.454
445,0.436
446,0.561
447,0.438
448,0.262
449,0.158
450,0.166
451,0.466
452,0.558
453,0.335
454,0.549
455,0.435
456,0.374
457,0.494
458,0.522
459,0.29
460,0.526
461,0.199
462,0.199
463,0.102
464,0.432
465,0.29
466,0.538
467,0.526
468,0.542
469,0.238
470,0.532
471,0.377
472,0.458
473,0.226
474,0.249
475,0.481
476,0.406
477,0.436
478,0.158
479,0.412
480,0.409
481,0.515
482,0.266
483,0.511
484,0.469
485,0.493
486,0.475
487,0.426
488,0.115
489,0.518
490,0.158
491,0.342
492,0.251
493,0.062
494,0.07
495,0.46
496,0.103
497,0.352
498,0.263
499,0.347
500,0.5
501,0.47
502,0.109
503,0.512
504,0.56
505,0.421
506,0.345
507,0.498
508,0.409
509,0.371
510,0.381
511,0.279
512,0.501
513,0.451
514,0.086
515,0.34
516,0.091
517,0.376
518,0.454
519,0.074
520,0.295
521,0.318
522,0.256
523,0.436
524,0.25
525,0.109
526,0.074
527,0.274
528,0.295
529,0.29
530,0.115
531,0.115
532,0.543
533,0.255
534,0.228
535,0.159
536,0.172
537,0.157
538,0.403
539,0.223
540,0.372
541,0.302
542,0.526
543,0.538
544,0.185
545,0.536
546,0.274
547,0.205
548,0.223
549,0.548
550,0.091
551,0.352
552,0.563
553,0.346
554,0.551
555,0.427
556,0.255
557,0.329
558,0.387
559,0.249
560,0.16
561,0.245
562,0.473
563,0.397
564,0.566
565,0.46
566,0.245
567,0.344
568,0.498
569,0.406
570,0.126
571,0.499
572,0.352
573,0.554
574,0.311
575,0.046
576,0.183
577,0.149
578,0.567
579,0.311
580,0.188
581,0.305
582,0.165
583,0.086
584,0.5
585,0.545
586,0.394
587,0.178
588,0.564
589,0.24
590,0.55
591,0.527
592,0.506
593,0.379
594,0.517
595,0.357
596,0.375
597,0.148
598,0.486
599,0.48
600,0.354
601,0.318
602,0.358
603,0.504
604,0.364
605,0.182
606,0.307
607,0.457
608,0.291
609,0.213
610,0.337
611,0.257
612,0.403
613,0.148
614,0.336
615,0.075
