Node,SIR,Infected_sum
1,0.37217,0
2,0.33554,0
3,0.38654,0
4,0.33876,0
5,0.20555,0
6,0.33169,0
7,0.3264,0
8,0.14597,0
9,0.31904,0
10,0.33838,0
11,0.33299,0
12,0.315,0
13,0.35824,0
14,0.34462,0
15,0.30526,0
16,0.39082,0
17,0.16162,0
18,0.33139,0
19,0.33903,0
20,0.29872,0
21,0.38958,0
22,0.31088,0
23,0.40021,0
24,0.37322,0
25,0.27496,0
26,0.11393,0
27,0.3386,0
28,0.24253,0
29,0.18694,0
30,0.35624,0
31,0.35153,0
32,0.1107,0
33,0.20296,0
34,0.30675,0
35,0.03147,0
36,0.03372,0
37,0.03622,0
38,0.33601,0
39,0.36531,0
40,0.36076,0
41,0.38975,0
42,0.38947,0
43,0.25562,0
44,0.33015,0
45,0.36609,0
46,0.38574,0
47,0.19081,0
48,0.2088,0
49,0.38436,0
50,0.34913,0
51,0.32743,0
52,0.38519,0
53,0.08893,0
54,0.38835,0
55,0.2822,0
56,0.37615,0
57,0.32206,0
58,0.37809,0
59,0.28902,0
60,0.06942,0
61,0.18793,0
62,0.36272,0
63,0.19065,0
64,0.31404,0
65,0.28745,0
66,0.30845,0
67,0.20763,0
68,0.29032,0
69,0.30756,0
70,0.31119,0
71,0.2551,0
72,0.36745,0
73,0.30679,0
74,0.32478,0
75,0.21766,0
76,0.3799,0
77,0.20427,0
78,0.19992,0
79,0.2283,0
80,0.32247,0
81,0.33814,0
82,0.29132,0
83,0.15372,0
84,0.3202,0
85,0.32811,0
86,0.23104,0
87,0.13913,0
88,0.25782,0
89,0.18344,0
90,0.27348,0
91,0.19907,0
92,0.22858,0
93,0.20013,0
94,0.30068,0
95,0.14379,0
96,0.10108,0
97,0.05981,0
98,0.05009,0
99,0.0927,0
100,0.07718,0
101,0.25337,0
102,0.07234,0
103,0.16111,0
104,0.28238,0
105,0.39328,0
106,0.33929,0
107,0.30071,0
108,0.19383,0
109,0.06741,0
110,0.22924,0
111,0.04006,0
112,0.2444,0
113,0.25101,0
114,0.09251,0
115,0.20894,0
116,0.3833,0
117,0.29218,0
118,0.16113,0
119,0.1853,0
120,0.32542,0
121,0.1838,0
122,0.26445,0
123,0.10396,0
124,0.30345,0
125,0.23373,0
126,0.08163,0
127,0.28435,0
128,0.38523,0
129,0.13764,0
130,0.26926,0
131,0.27573,0
132,0.18466,0
133,0.26541,0
134,0.37763,0
135,0.36906,0
136,0.19065,0
137,0.37424,0
138,0.12347,0
139,0.1172,0
140,0.32388,0
141,0.16669,0
142,0.32241,0
143,0.36303,0
144,0.11772,0
145,0.32273,0
146,0.34589,0
147,0.30688,0
148,0.28168,0
149,0.24698,0
150,0.33019,0
151,0.08309,0
152,0.32249,0
153,0.22894,0
154,0.11177,0
155,0.32121,0
156,0.15344,0
157,0.27853,0
158,0.14507,0
159,0.11738,0
160,0.0687,0
161,0.22214,0
162,0.23617,0
163,0.22009,0
164,0.15551,0
165,0.22281,0
166,0.18247,0
167,0.17725,0
168,0.2643,0
169,0.15569,0
170,0.13239,0
171,0.10045,0
172,0.15175,0
173,0.06803,0
174,0.14634,0
175,0.06898,0
176,0.33296,0
177,0.10229,0
178,0.14854,0
179,0.18207,0
180,0.04922,0
181,0.20796,0
182,0.35491,0
183,0.3418,0
184,0.17165,0
185,0.34337,0
186,0.23256,0
187,0.24301,0
188,0.23917,0
189,0.24369,0
190,0.16817,0
191,0.27683,0
192,0.26068,0
193,0.3235,0
194,0.32898,0
195,0.13574,0
196,0.38644,0
197,0.2832,0
198,0.35734,0
199,0.26303,0
200,0.32588,0
201,0.36311,0
202,0.29063,0
203,0.28015,0
204,0.36668,0
205,0.33907,0
206,0.36502,0
207,0.31793,0
208,0.23756,0
209,0.15936,0
210,0.35212,0
211,0.26734,0
212,0.32624,0
213,0.33071,0
214,0.35741,0
215,0.34514,0
216,0.32613,0
217,0.28598,0
218,0.33207,0
219,0.36087,0
220,0.14162,0
221,0.23485,0
222,0.25082,0
223,0.09146,0
224,0.12861,0
225,0.04793,0
226,0.05584,0
227,0.30793,0
228,0.26764,0
229,0.10712,0
230,0.22978,0
231,0.29396,0
232,0.06695,0
233,0.39445,0
234,0.13207,0
235,0.24492,0
236,0.09622,0
237,0.34546,0
238,0.31567,0
239,0.32266,0
240,0.26573,0
241,0.35182,0
242,0.09192,0
243,0.35227,0
244,0.1614,0
245,0.26784,0
246,0.25008,0
247,0.06863,0
248,0.25952,0
249,0.0393,0
250,0.25141,0
251,0.27389,0
252,0.18064,0
253,0.05165,0
254,0.26437,0
255,0.24668,0
256,0.20552,0
257,0.20898,0
258,0.1522,0
259,0.33876,0
260,0.17328,0
261,0.03135,0
262,0.12578,0
263,0.32421,0
264,0.12583,0
265,0.15858,0
266,0.11979,0
267,0.3315,0
268,0.33584,0
269,0.33711,0
270,0.20136,0
271,0.31027,0
272,0.07192,0
273,0.16823,0
274,0.37113,0
275,0.20778,0
276,0.30168,0
277,0.1512,0
278,0.18003,0
279,0.19491,0
280,0.22839,0
281,0.06842,0
282,0.30669,0
283,0.139,0
284,0.29114,0
285,0.19139,0
286,0.19699,0
287,0.28864,0
288,0.09926,0
289,0.32788,0
290,0.17206,0
291,0.2827,0
292,0.08407,0
293,0.26169,0
294,0.0532,0
295,0.12943,0
296,0.14295,0
297,0.18063,0
298,0.1404,0
299,0.37372,0
300,0.19535,0
301,0.12631,0
302,0.07319,0
303,0.33638,0
304,0.09284,0
305,0.29569,0
306,0.23491,0
307,0.16906,0
308,0.25865,0
309,0.07147,0
310,0.06124,0
311,0.14066,0
312,0.12636,0
313,0.23277,0
314,0.30311,0
315,0.15816,0
316,0.35414,0
317,0.23136,0
318,0.03388,0
319,0.04012,0
320,0.11521,0
321,0.29342,0
322,0.29826,0
323,0.15658,0
324,0.18625,0
325,0.24134,0
326,0.07959,0
327,0.35966,0
328,0.18115,0
329,0.3266,0
330,0.20221,0
331,0.31985,0
332,0.3726,0
333,0.39553,0
334,0.21342,0
335,0.341,0
336,0.20838,0
337,0.23155,0
338,0.26222,0
339,0.29068,0
340,0.30683,0
341,0.37613,0
342,0.02156,0
343,0.12177,0
344,0.29198,0
345,0.0452,0
346,0.23623,0
347,0.21479,0
348,0.1385,0
349,0.1899,0
350,0.10688,0
351,0.29347,0
352,0.23653,0
353,0.24844,0
354,0.37113,0
355,0.34753,0
356,0.35568,0
357,0.18162,0
358,0.26127,0
359,0.1559,0
360,0.16161,0
361,0.28477,0
362,0.27397,0
363,0.25556,0
364,0.26918,0
365,0.17532,0
366,0.10169,0
367,0.36567,0
368,0.32363,0
369,0.22547,0
370,0.09811,0
371,0.28384,0
372,0.2712,0
373,0.2367,0
374,0.0601,0
375,0.14433,0
376,0.27635,0
377,0.1935,0
378,0.37173,0
379,0.1004,0
380,0.22648,0
381,0.34503,0
382,0.31193,0
383,0.27207,0
384,0.35039,0
385,0.28058,0
386,0.2523,0
387,0.26318,0
388,0.21353,0
389,0.36024,0
390,0.37021,0
391,0.1959,0
392,0.26155,0
393,0.31815,0
394,0.06915,0
395,0.15873,0
396,0.37137,0
397,0.18044,0
398,0.18038,0
399,0.21637,0
400,0.29219,0
401,0.32395,0
402,0.17108,0
403,0.17738,0
404,0.30868,0
405,0.12844,0
406,0.08042,0
407,0.23974,0
408,0.2089,0
409,0.28422,0
410,0.33876,0
411,0.15799,0
412,0.21743,0
413,0.30474,0
414,0.27205,0
415,0.36172,0
416,0.22574,0
417,0.10112,0
418,0.17641,0
419,0.1778,0
420,0.31006,0
421,0.09022,0
422,0.16641,0
423,0.14291,0
424,0.048,0
425,0.25001,0
426,0.21364,0
427,0.24701,0
428,0.11691,0
429,0.3789,0
430,0.23587,0
431,0.28348,0
432,0.15961,0
433,0.17712,0
434,0.35297,0
435,0.16903,0
436,0.12435,0
437,0.19072,0
438,0.244,0
439,0.31909,0
440,0.10433,0
441,0.20557,0
442,0.0928,0
443,0.24216,0
444,0.21549,0
445,0.25724,0
446,0.31947,0
447,0.2303,0
448,0.10722,0
449,0.03673,0
450,0.05178,0
451,0.23061,0
452,0.33305,0
453,0.16482,0
454,0.31517,0
455,0.24711,0
456,0.18106,0
457,0.27342,0
458,0.27557,0
459,0.10574,0
460,0.32808,0
461,0.07883,0
462,0.06168,0
463,0.06027,0
464,0.19527,0
465,0.07766,0
466,0.28307,0
467,0.32199,0
468,0.35834,0
469,0.08663,0
470,0.31226,0
471,0.13981,0
472,0.25856,0
473,0.13596,0
474,0.15061,0
475,0.23628,0
476,0.20452,0
477,0.17838,0
478,0.09544,0
479,0.13531,0
480,0.15984,0
481,0.29458,0
482,0.12008,0
483,0.27151,0
484,0.2593,0
485,0.23048,0
486,0.16167,0
487,0.23571,0
488,0.06761,0
489,0.26973,0
490,0.06146,0
491,0.12838,0
492,0.08783,0
493,0.03633,0
494,0.02423,0
495,0.2146,0
496,0.03725,0
497,0.0839,0
498,0.08334,0
499,0.11815,0
500,0.2592,0
501,0.23604,0
502,0.02093,0
503,0.29568,0
504,0.35999,0
505,0.21868,0
506,0.1176,0
507,0.23781,0
508,0.18905,0
509,0.12736,0
510,0.19187,0
511,0.11267,0
512,0.24133,0
513,0.17891,0
514,0.02175,0
515,0.12989,0
516,0.02075,0
517,0.13766,0
518,0.25838,0
519,0.03318,0
520,0.1532,0
521,0.16772,0
522,0.14901,0
523,0.19113,0
524,0.10605,0
525,0.05171,0
526,0.02409,0
527,0.05337,0
528,0.10793,0
529,0.04642,0
530,0.05115,0
531,0.05604,0
532,0.32866,0
533,0.08492,0
534,0.1056,0
535,0.05866,0
536,0.05999,0
537,0.05765,0
538,0.16229,0
539,0.06867,0
540,0.13164,0
541,0.17929,0
542,0.30213,0
543,0.31852,0
544,0.0397,0
545,0.27471,0
546,0.07681,0
547,0.07456,0
548,0.09121,0
549,0.28891,0
550,0.00893,0
551,0.13312,0
552,0.35373,0
553,0.10909,0
554,0.2982,0
555,0.19335,0
556,0.09206,0
557,0.12109,0
558,0.14621,0
559,0.08359,0
560,0.08494,0
561,0.05227,0
562,0.24237,0
563,0.1613,0
564,0.33303,0
565,0.2029,0
566,0.11799,0
567,0.12681,0
568,0.29286,0
569,0.20439,0
570,0.07362,0
571,0.29189,0
572,0.12432,0
573,0.35019,0
574,0.1191,0
575,0.02864,0
576,0.08456,0
577,0.06746,0
578,0.35531,0
579,0.07605,0
580,0.06067,0
581,0.1432,0
582,0.07294,0
583,0.02433,0
584,0.26439,0
585,0.30944,0
586,0.23101,0
587,0.04106,0
588,0.33335,0
589,0.08026,0
590,0.3274,0
591,0.34825,0
592,0.24868,0
593,0.15313,0
594,0.3178,0
595,0.18542,0
596,0.15824,0
597,0.07521,0
598,0.27225,0
599,0.24198,0
600,0.17996,0
601,0.1335,0
602,0.13572,0
603,0.20093,0
604,0.14391,0
605,0.03779,0
606,0.12398,0
607,0.1891,0
608,0.12121,0
609,0.04513,0
610,0.12205,0
611,0.14413,0
612,0.16927,0
613,0.0486,0
