Node,SIR,Infected_sum
1,0.162918,0
2,0.142933,0
3,0.133501,0
4,0.138805,0
5,0.043406,0
6,0.170639,0
7,0.108043,0
8,0.07717,0
9,0.095512,0
10,0.171026,0
11,0.056153,0
12,0.059288,0
13,0.06603,0
14,0.131873,0
15,0.085942,0
16,0.141001,0
17,0.093114,0
18,0.110034,0
19,0.054815,0
20,0.152396,0
21,0.08885,0
22,0.090983,0
23,0.07856,0
24,0.167393,0
25,0.075711,0
26,0.103378,0
27,0.140219,0
28,0.076596,0
29,0.097039,0
30,0.068985,0
31,0.041759,0
32,0.027445,0
33,0.061652,0
34,0.191723,0
35,0.087981,0
36,0.102633,0
37,0.091457,0
38,0.088976,0
39,0.030523,0
40,0.03447,0
41,0.07194,0
42,0.015601,0
43,0.171846,0
44,0.193015,0
45,0.069221,0
