Node,SIR,Infected_sum
1,0.09514,0
2,0.24103,0
3,0.05653,0
4,0.10795,0
5,0.09932,0
6,0.12193,0
7,0.07109,0
8,0.13624,0
9,0.0965,0
10,0.15995,0
11,0.1175,0
12,0.15725,0
13,0.0886,0
14,0.18556,0
15,0.13609,0
16,0.11355,0
17,0.1738,0
18,0.094,0
19,0.15339,0
20,0.15263,0
21,0.1263,0
22,0.16644,0
23,0.16838,0
24,0.21537,0
25,0.129,0
26,0.11048,0
27,0.09344,0
28,0.15244,0
29,0.10224,0
30,0.11153,0
31,0.10706,0
32,0.10502,0
33,0.13267,0
34,0.12327,0
35,0.12331,0
36,0.1522,0
37,0.17352,0
38,0.09049,0
39,0.20764,0
40,0.11124,0
41,0.10794,0
42,0.10885,0
43,0.21756,0
44,0.11986,0
45,0.12331,0
46,0.18421,0
47,0.19345,0
48,0.13937,0
49,0.12831,0
50,0.09559,0
51,0.17133,0
52,0.08241,0
53,0.07738,0
54,0.17924,0
55,0.13339,0
56,0.1997,0
57,0.14174,0
58,0.11349,0
59,0.1824,0
60,0.13362,0
61,0.14524,0
62,0.18733,0
63,0.07491,0
64,0.11714,0
65,0.12942,0
66,0.0729,0
67,0.17034,0
68,0.12384,0
69,0.06496,0
70,0.09464,0
71,0.10409,0
72,0.15404,0
73,0.1389,0
74,0.19457,0
75,0.08864,0
76,0.07274,0
77,0.12162,0
78,0.11222,0
79,0.18972,0
80,0.14273,0
81,0.15832,0
82,0.14803,0
83,0.08955,0
84,0.07788,0
85,0.09322,0
86,0.09203,0
87,0.11995,0
88,0.18735,0
89,0.10634,0
90,0.1508,0
91,0.12773,0
92,0.08462,0
93,0.0723,0
94,0.139,0
95,0.19759,0
96,0.09795,0
97,0.17714,0
98,0.10717,0
99,0.09251,0
100,0.11388,0
101,0.12654,0
102,0.12448,0
103,0.07861,0
104,0.15049,0
105,0.09027,0
106,0.13227,0
107,0.14069,0
108,0.17029,0
109,0.09121,0
110,0.22715,0
111,0.14552,0
112,0.13416,0
113,0.08182,0
114,0.16949,0
115,0.1658,0
116,0.12452,0
117,0.10648,0
118,0.08604,0
119,0.17684,0
120,0.08543,0
121,0.12087,0
122,0.09528,0
123,0.06615,0
124,0.08581,0
125,0.09919,0
126,0.11382,0
127,0.05182,0
128,0.16006,0
129,0.11093,0
130,0.0953,0
131,0.14013,0
132,0.07642,0
133,0.11481,0
134,0.11811,0
135,0.07998,0
136,0.05614,0
137,0.08104,0
138,0.09036,0
139,0.09417,0
140,0.13981,0
141,0.09966,0
142,0.06806,0
143,0.07454,0
144,0.06264,0
145,0.14013,0
146,0.20218,0
147,0.0917,0
148,0.09841,0
149,0.10152,0
150,0.07486,0
151,0.07273,0
152,0.2024,0
153,0.14004,0
154,0.10996,0
155,0.13244,0
156,0.11483,0
157,0.10889,0
158,0.10952,0
159,0.11267,0
160,0.12391,0
161,0.11566,0
162,0.14954,0
163,0.05929,0
164,0.0575,0
165,0.11709,0
166,0.10878,0
167,0.10821,0
168,0.06147,0
169,0.20016,0
170,0.07495,0
171,0.06841,0
172,0.08976,0
173,0.1211,0
174,0.10052,0
175,0.04364,0
176,0.05448,0
177,0.10994,0
178,0.10765,0
179,0.07828,0
180,0.07665,0
181,0.09509,0
182,0.0728,0
183,0.09955,0
184,0.11115,0
185,0.12001,0
186,0.08324,0
187,0.12777,0
188,0.09995,0
189,0.18103,0
190,0.13012,0
191,0.06797,0
192,0.01821,0
193,0.06602,0
194,0.11631,0
195,0.11622,0
196,0.13978,0
197,0.12337,0
198,0.10146,0
199,0.07801,0
200,0.11094,0
201,0.07232,0
202,0.12854,0
203,0.03676,0
204,0.10495,0
205,0.06485,0
206,0.13758,0
207,0.09901,0
208,0.08312,0
209,0.04086,0
210,0.11092,0
211,0.11221,0
212,0.13532,0
213,0.05807,0
214,0.15554,0
215,0.09071,0
216,0.13797,0
217,0.0892,0
218,0.14999,0
219,0.10697,0
220,0.2025,0
221,0.12122,0
222,0.08164,0
223,0.0991,0
224,0.10917,0
225,0.17934,0
226,0.04742,0
227,0.05937,0
228,0.05704,0
229,0.07416,0
230,0.06497,0
231,0.05881,0
232,0.08179,0
233,0.07614,0
234,0.10092,0
235,0.16811,0
236,0.06148,0
237,0.03971,0
238,0.11291,0
239,0.05598,0
240,0.07966,0
241,0.08438,0
242,0.14677,0
243,0.09573,0
244,0.09205,0
245,0.12824,0
246,0.06426,0
247,0.08156,0
248,0.06351,0
249,0.09028,0
250,0.08786,0
251,0.06421,0
252,0.10666,0
253,0.10464,0
254,0.07823,0
255,0.062,0
256,0.10495,0
257,0.06053,0
258,0.06016,0
259,0.08378,0
260,0.08994,0
261,0.06821,0
262,0.11396,0
263,0.10902,0
264,0.11741,0
265,0.04285,0
266,0.09911,0
267,0.10311,0
268,0.08996,0
269,0.14615,0
270,0.08321,0
271,0.05287,0
272,0.07589,0
273,0.08097,0
274,0.14606,0
275,0.10615,0
276,0.11554,0
277,0.17462,0
278,0.10338,0
279,0.12314,0
280,0.10106,0
281,0.09364,0
282,0.12533,0
283,0.08653,0
284,0.14212,0
285,0.09894,0
286,0.10505,0
287,0.14883,0
