Node,SIR
1,0.117
2,0.03
3,0.019
4,0.048
5,0.149
6,0.006
7,0.212
8,0.091
9,0.114
10,0.124
11,0.103
12,0.067
13,0.074
14,0.109
15,0.046
16,0.044
17,0.015
18,0.185
19,0.125
20,0.072
21,0.011
22,0.096
23,0.05
24,0.151
25,0.02
26,0.082
27,0.057
28,0.097
29,0.105
30,0.005
31,0.086
32,0.169
33,0.155
34,0.034
35,0.171
36,0.121
37,0.021
38,0.083
39,0.018
40,0.149
41,0.032
42,0.043
43,0.117
44,0.162
45,0.042
46,0.119
47,0.01
48,0.039
49,0.147
50,0.111
51,0.043
52,0.053
53,0.193
54,0.186
55,0.132
56,0.146
57,0.154
58,0.156
59,0.074
60,0.294
61,0.178
62,0.112
63,0.161
64,0.17
65,0.149
66,0.189
67,0.141
68,0.07
69,0.195
70,0.212
71,0.127
72,0.067
73,0.112
74,0.078
75,0.051
76,0.066
77,0.104
78,0.107
79,0.075
80,0.087
81,0.171
82,0.049
83,0.214
84,0.099
85,0.06
86,0.127
87,0.112
88,0.125
89,0.116
90,0.087
91,0.073
92,0.018
93,0.126
94,0.14
95,0.174
96,0.183
97,0.058
98,0.179
99,0.234
100,0.216
101,0.195
102,0.041
103,0.134
104,0.091
105,0.193
106,0.179
107,0.144
108,0.205
109,0.128
110,0.138
111,0.173
112,0.102
113,0.072
114,0.184
115,0.013
116,0.095
117,0.065
118,0.14
119,0.033
120,0.005
121,0.156
122,0.205
123,0.159
124,0.056
125,0.156
126,0.053
127,0.112
128,0.086
129,0.107
130,0.136
131,0.202
132,0.241
133,0.018
134,0.06
135,0.168
136,0.213
137,0.062
138,0.069
139,0.103
140,0.098
141,0.127
142,0.143
143,0.1
144,0.085
145,0.011
146,0.146
147,0.079
148,0.01
149,0.133
150,0.166
151,0.118
152,0.006
153,0.118
154,0.192
155,0.066
156,0.053
157,0.01
158,0.199
159,0.051
160,0.013
161,0.109
162,0.084
163,0.047
164,0.194
165,0.01
166,0.094
167,0.087
168,0.228
169,0.054
170,0.186
171,0.187
172,0.085
173,0.071
174,0.19
175,0.08
176,0.064
177,0.115
178,0.124
179,0.188
180,0.015
181,0.027
182,0.14
183,0.182
184,0.09
185,0.086
186,0.087
187,0.096
188,0.062
189,0.091
190,0.117
191,0.084
192,0.216
193,0.149
194,0.164
195,0.15
196,0.168
197,0.156
198,0.038
