Node,SIR,Infected_sum
1,0.00049,0
2,0.00059,0
3,0.00062,0
4,0.00064,0
5,0.00069,0
6,0.0006,0
7,0.00057,0
8,0.00056,0
9,0.0006,0
10,0.00061,0
11,0.00054,0
12,0.00048,0
13,0.00065,0
14,0.00064,0
15,0.00065,0
16,0.00066,0
17,0.00065,0
18,0.00062,0
19,0.00059,0
20,0.0006,0
21,0.00057,0
22,0.00062,0
23,0.00056,0
24,0.00068,0
25,0.00062,0
26,0.00062,0
27,0.00058,0
28,0.00056,0
29,0.00064,0
30,0.00062,0
31,0.00061,0
32,0.00063,0
33,0.00053,0
34,0.0006,0
35,0.00064,0
36,0.00065,0
37,0.0006,0
38,0.00063,0
39,0.00066,0
40,0.00064,0
41,0.00058,0
42,0.00059,0
43,0.00021,0
44,0.00024,0
45,0.00025,0
46,0.00027,0
47,0.00021,0
48,0.00027,0
49,0.00031,0
50,0.00032,0
51,0.00029,0
52,0.00031,0
53,0.00028,0
54,0.00027,0
55,0.00028,0
56,0.00022,0
57,0.00028,0
58,0.0003,0
59,0.00024,0
60,0.00027,0
61,0.00029,0
62,0.00028,0
63,0.00024,0
64,0.00026,0
65,0.00025,0
66,0.00028,0
67,0.00025,0
68,0.00028,0
69,0.00024,0
70,0.00015,0
71,0.00015,0
72,0.00016,0
73,0.00017,0
74,0.00018,0
75,0.00018,0
76,0.00017,0
77,0.00017,0
78,0.00016,0
79,0.00015,0
80,0.00048,0
81,0.00045,0
82,0.00049,0
83,0.00049,0
84,0.00046,0
85,0.00044,0
86,0.00048,0
87,0.00047,0
88,0.00044,0
89,0.00049,0
90,0.00048,0
91,0.00047,0
92,0.00043,0
93,0.00042,0
94,0.00048,0
95,0.00044,0
96,0.00039,0
97,0.00044,0
98,0.00044,0
99,0.00047,0
100,0.00039,0
101,0.00043,0
102,0.00044,0
103,0.00046,0
104,0.00021,0
105,0.00023,0
106,0.00022,0
107,0.0002,0
108,0.00022,0
109,0.0002,0
110,0.00021,0
111,0.00021,0
112,0.00022,0
113,0.00023,0
114,0.00022,0
115,0.00068,0
116,0.00077,0
117,0.00068,0
118,0.00071,0
119,0.00077,0
120,0.00074,0
121,0.00076,0
122,0.00081,0
123,0.00076,0
124,0.00081,0
125,0.0008,0
126,0.00083,0
127,0.00078,0
128,0.00083,0
129,0.00077,0
130,0.00082,0
131,0.00081,0
132,0.00082,0
133,0.00074,0
134,0.00075,0
135,0.00077,0
136,0.00073,0
137,0.00074,0
138,0.00076,0
139,0.00085,0
140,0.00086,0
141,0.00084,0
142,0.00088,0
143,0.00083,0
144,0.00088,0
145,0.00091,0
146,0.0009,0
147,0.00093,0
148,0.00093,0
149,0.0009,0
150,0.00088,0
151,0.00093,0
152,0.00092,0
153,0.00089,0
154,0.0009,0
155,0.00086,0
156,0.00087,0
157,0.00085,0
158,0.00089,0
159,0.0009,0
160,0.00085,0
161,0.00084,0
162,0.00084,0
163,0.00078,0
164,0.00088,0
165,0.00086,0
166,0.00085,0
167,0.00089,0
168,0.00092,0
169,0.00092,0
170,0.00091,0
171,0.0009,0
172,0.00092,0
173,0.0009,0
174,0.00091,0
175,0.0009,0
176,0.00089,0
177,0.00084,0
178,0.00086,0
179,0.00084,0
180,0.00087,0
181,0.00083,0
182,0.00079,0
183,0.00081,0
184,0.00085,0
185,0.00085,0
186,0.0009,0
