Node,SIR,Infected_sum
0,0.1507,0
1,0.12137,0
2,0.09116,0
3,0.13274,0
4,0.159,0
5,0.09212,0
6,0.10123,0
7,0.08025,0
8,0.09135,0
9,0.15261,0
10,0.14226,0
11,0.1326,0
12,0.08461,0
13,0.12294,0
14,0.15328,0
15,0.04054,0
16,0.1205,0
17,0.15635,0
18,0.13151,0
19,0.11735,0
20,0.1334,0
21,0.10057,0
22,0.05474,0
23,0.13559,0
24,0.01899,0
25,0.17063,0
26,0.15153,0
27,0.06237,0
28,0.0222,0
29,0.03507,0
30,0.13443,0
31,0.13508,0
32,0.01105,0
33,0.10584,0
34,0.08918,0
35,0.09485,0
36,0.05641,0
37,0.07049,0
38,0.15012,0
39,0.13822,0
40,0.05419,0
41,0.06778,0
42,0.03244,0
43,0.01336,0
44,0.15474,0
45,0.06845,0
46,0.20745,0
47,0.02677,0
48,0.10887,0
49,0.00281,0
50,0.02446,0
51,0.03531,0
52,0.1405,0
53,0.07312,0
54,0.18861,0
55,0.04341,0
56,0.0108,0
57,0.10371,0
58,0.20172,0
59,0.01907,0
60,0.01096,0
61,0.09208,0
62,0.11462,0
63,0.06169,0
64,0.01396,0
65,0.16156,0
66,0.1362,0
67,0.07733,0
68,0.03256,0
69,0.10053,0
70,0.04626,0
71,0.15043,0
72,0.02941,0
73,0.13961,0
74,0.10938,0
75,0.18292,0
76,0.13109,0
77,0.11794,0
78,0.0814,0
79,0.11673,0
80,0.12583,0
81,0.14048,0
82,0.0112,0
83,0.195,0
84,0.15893,0
85,0.08722,0
86,0.09378,0
87,0.141,0
88,0.14449,0
89,0.20016,0
90,0.22655,0
91,0.15939,0
92,0.20357,0
93,0.21045,0
94,0.2154,0
95,0.03412,0
96,0.10686,0
97,0.16968,0
98,0.09494,0
99,0.25404,0
100,0.05378,0
101,0.15122,0
102,0.11286,0
103,0.08203,0
104,0.02959,0
105,0.05972,0
106,0.23472,0
107,0.15211,0
108,0.07346,0
109,0.12458,0
110,0.13898,0
111,0.01098,0
112,0.09896,0
113,0.05589,0
114,0.12626,0
115,0.14272,0
116,0.02728,0
117,0.09652,0
118,0.18491,0
119,0.08414,0
120,0.21066,0
121,0.15502,0
122,0.07294,0
123,0.15256,0
124,0.13092,0
125,0.15953,0
126,0.07259,0
127,0.25928,0
128,0.23127,0
129,0.24187,0
130,0.21219,0
131,0.25593,0
132,0.22925,0
133,0.24647,0
134,0.11582,0
135,0.02961,0
136,0.17099,0
137,0.19796,0
138,0.10013,0
139,0.02125,0
140,0.10828,0
141,0.15235,0
142,0.04629,0
143,0.07065,0
144,0.12161,0
145,0.06219,0
146,0.18108,0
147,0.25711,0
148,0.23564,0
149,0.18204,0
150,0.14631,0
151,0.01901,0
152,0.07067,0
153,0.08915,0
