Node,SIR,Infected_sum
1,0.10048,0
2,0.08396,0
3,0.00285,0
4,0.00266,0
5,0.03053,0
6,0.12043,0
7,0.06897,0
8,0.03636,0
9,0.07808,0
10,0.02914,0
11,0.13133,0
12,0.11503,0
13,0.01707,0
14,0.04881,0
15,0.01852,0
16,0.0469,0
17,0.10806,0
18,0.08845,0
19,0.03625,0
20,0.0305,0
21,0.02697,0
22,0.11247,0
23,0.11503,0
24,0.05527,0
25,0.01861,0
26,0.00822,0
27,0.01854,0
28,0.02294,0
29,0.1257,0
30,0.03872,0
31,0.1039,0
32,0.05253,0
33,0.03333,0
34,0.06925,0
35,0.07669,0
36,0.01214,0
37,0.0533,0
38,0.02756,0
39,0.0081,0
40,0.06783,0
41,0.1325,0
42,0.03421,0
43,0.01611,0
44,0.06557,0
45,0.03149,0
46,0.03683,0
47,0.0143,0
48,0.01113,0
49,0.06457,0
50,0.02404,0
51,0.01234,0
52,0.12619,0
53,0.02532,0
54,0.00412,0
55,0.02789,0
56,0.00818,0
57,0.02329,0
58,0.04785,0
59,0.06721,0
60,0.01966,0
61,0.03433,0
62,0.01204,0
63,0.03005,0
64,0.04252,0
65,0.10349,0
66,0.06075,0
67,0.05312,0
68,0.00954,0
69,0.04635,0
70,0.0055,0
71,0.08215,0
72,0.08344,0
73,0.01353,0
74,0.01147,0
75,0.03743,0
76,0.08934,0
77,0.01443,0
78,0.00292,0
79,0.00396,0
80,0.00946,0
81,0.00902,0
82,0.02013,0
83,0.03405,0
84,0.06888,0
85,0.03793,0
86,0.03185,0
87,0.02871,0
88,0.03884,0
89,0.04392,0
90,0.02396,0
91,0.08422,0
92,0.06117,0
93,0.00411,0
94,0.05021,0
95,0.00559,0
96,0.03547,0
97,0.05966,0
98,0.08615,0
99,0.01567,0
100,0.03543,0
101,0.03772,0
102,0.03845,0
103,0.07407,0
104,0.07032,0
105,0.06547,0
106,0.03285,0
107,0.04565,0
108,0.01945,0
109,0.05589,0
110,0.0323,0
111,0.02085,0
112,0.02373,0
113,0.04437,0
114,0.00823,0
115,0.03876,0
116,0.0877,0
117,0.03881,0
118,0.0066,0
119,0.06026,0
120,0.0679,0
121,0.02446,0
122,0.02806,0
123,0.07517,0
124,0.04197,0
125,0.04991,0
126,0.00396,0
127,0.06774,0
128,0.03638,0
129,0.01452,0
130,0.05717,0
131,0.01485,0
132,0.00934,0
133,0.07863,0
134,0.10546,0
135,0.0863,0
136,0.10208,0
137,0.07194,0
138,0.01215,0
139,0.03459,0
140,0.0092,0
141,0.01056,0
142,0.01195,0
143,0.01037,0
144,0.09152,0
145,0.01783,0
146,0.02605,0
147,0.01051,0
148,0.02787,0
149,0.0565,0
150,0.03512,0
151,0.00696,0
152,0.01756,0
153,0.02266,0
154,0.03116,0
155,0.00936,0
156,0.0635,0
157,0.0168,0
158,0.02928,0
159,0.04892,0
160,0.01831,0
161,0.01688,0
162,0.04202,0
163,0.02442,0
164,0.02833,0
165,0.05563,0
166,0.02809,0
167,0.11278,0
168,0.00951,0
169,0.00677,0
170,0.00659,0
171,0.01463,0
172,0.02735,0
173,0.02445,0
174,0.01568,0
175,0.01068,0
176,0.00399,0
177,0.07929,0
178,0.04591,0
179,0.00823,0
180,0.04918,0
181,0.02553,0
182,0.03154,0
183,0.01979,0
184,0.04186,0
185,0.01706,0
186,0.02224,0
187,0.08922,0
188,0.1247,0
189,0.04977,0
190,0.02,0
191,0.02386,0
192,0.00649,0
193,0.08998,0
194,0.00901,0
195,0.03133,0
196,0.04334,0
197,0.01474,0
198,0.01621,0
199,0.02904,0
200,0.03327,0
201,0.00543,0
202,0.01769,0
203,0.03597,0
204,0.01716,0
205,0.03579,0
206,0.01996,0
207,0.05834,0
208,0.00827,0
209,0.01605,0
210,0.06575,0
211,0.01086,0
212,0.02608,0
213,0.03962,0
214,0.05826,0
215,0.01556,0
216,0.02893,0
217,0.01884,0
218,0.01889,0
219,0.0254,0
220,0.06553,0
221,0.01852,0
222,0.03563,0
223,0.04191,0
224,0.01474,0
225,0.06074,0
226,0.03306,0
227,0.05262,0
228,0.07264,0
229,0.08612,0
230,0.03322,0
231,0.08359,0
232,0.03401,0
233,0.03286,0
234,0.03434,0
235,0.08407,0
236,0.00908,0
237,0.04575,0
238,0.02386,0
239,0.05283,0
240,0.00765,0
241,0.03872,0
242,0.00668,0
243,0.00539,0
244,0.12868,0
245,0.10048,0
246,0.01064,0
247,0.06856,0
248,0.00771,0
249,0.04079,0
250,0.00548,0
251,0.00835,0
252,0.00276,0
253,0.0069,0
254,0.00294,0
255,0.01204,0
256,0.01833,0
257,0.05066,0
258,0.01842,0
259,0.02751,0
260,0.0064,0
261,0.07611,0
262,0.01889,0
263,0.01448,0
264,0.00697,0
265,0.01412,0
266,0.06886,0
267,0.01061,0
268,0.05153,0
269,0.05131,0
270,0.0053,0
271,0.02406,0
272,0.08511,0
273,0.00672,0
274,0.04395,0
275,0.0491,0
276,0.02878,0
277,0.07331,0
278,0.02263,0
279,0.06795,0
280,0.04106,0
281,0.0027,0
282,0.03131,0
283,0.12392,0
284,0.02221,0
285,0.0334,0
286,0.03931,0
287,0.02485,0
288,0.00013,0
289,0.01051,0
290,0.01447,0
291,0.04513,0
292,0.11734,0
293,0.10422,0
294,0.05423,0
295,0.03325,0
296,0.00152,0
297,0.01851,0
298,0.01114,0
299,0.01104,0
300,0.00533,0
301,0.00831,0
302,0.02907,0
303,0.02129,0
304,0.02464,0
305,0.09449,0
306,0.00676,0
307,0.00144,0
308,0.01887,0
309,0.01624,0
310,0.10851,0
311,0.1005,0
312,0.03946,0
313,0.0292,0
314,0.03642,0
315,0.09496,0
316,0.02014,0
317,0.02075,0
318,0.02385,0
319,0.00661,0
320,0.00908,0
321,0.02924,0
322,0.04784,0
323,0.01842,0
324,0.038,0
325,0.0274,0
326,0.04087,0
327,0.00401,0
328,0.11333,0
329,0.0155,0
330,0.0079,0
331,0.10672,0
332,0.10028,0
333,0.03846,0
334,0.09613,0
335,0.0082,0
336,0.01748,0
337,0.0294,0
338,0.01202,0
339,0.00684,0
340,0.01331,0
341,0.0241,0
342,0.00968,0
343,0.00811,0
344,0.01755,0
345,0.04603,0
346,0.02759,0
347,0.05718,0
348,0.02273,0
349,0.03958,0
350,0.00786,0
351,0.01375,0
352,0.05811,0
353,0.01314,0
354,0.01945,0
355,0.00539,0
356,0.10549,0
357,0.00418,0
358,0.01351,0
359,0.01892,0
360,0.01184,0
361,0.01176,0
362,0.0805,0
