Node,SIR,Infected_sum
1,0.003416,0
2,0.002084,0
3,0.000708,0
4,0.000364,0
5,0.000558,0
6,0.000928,0
7,0.001366,0
8,0.000523,0
9,0.002278,0
10,0.001103,0
11,0.000399,0
12,0.000678,0
13,0.000572,0
14,0.000886,0
15,0.010668,0
16,0.002635,0
17,0.000365,0
18,0.000566,0
19,0.000343,0
20,0.000818,0
21,0.000464,0
22,0.000508,0
23,0.001158,0
24,0.004877,0
25,0.000406,0
26,0.000366,0
27,0.000338,0
28,0.00034,0
29,0.000545,0
30,0.000553,0
31,0.000411,0
32,0.000387,0
33,0.000634,0
34,0.00629,0
35,0.004439,0
36,0.00389,0
37,0.00277,0
38,0.004079,0
39,0.001092,0
40,0.003179,0
41,0.000644,0
42,0.004852,0
43,0.00088,0
44,0.002195,0
45,0.000521,0
46,0.000466,0
47,0.002603,0
48,0.00463,0
49,0.002253,0
50,0.000869,0
51,0.001456,0
52,0.002884,0
53,0.002601,0
54,0.000973,0
55,0.001458,0
56,0.001055,0
57,0.004284,0
58,0.001086,0
59,0.002221,0
60,0.0015,0
61,0.001184,0
62,0.000542,0
63,0.000425,0
64,0.000349,0
65,0.001843,0
66,0.001072,0
67,0.000698,0
68,0.000639,0
69,0.0009,0
70,0.001097,0
71,0.000445,0
72,0.000757,0
73,0.000668,0
74,0.000396,0
75,0.000479,0
76,0.001065,0
77,0.000413,0
78,0.000673,0
79,0.00068,0
80,0.000759,0
81,0.00039,0
82,0.0009,0
83,0.000385,0
84,0.001449,0
85,0.000319,0
86,0.001699,0
87,0.004368,0
88,0.001257,0
89,0.003316,0
90,0.001535,0
91,0.000555,0
92,0.000968,0
93,0.000361,0
94,0.001119,0
95,0.000419,0
96,0.003215,0
97,0.001781,0
98,0.000539,0
99,0.00325,0
100,0.001772,0
101,0.000431,0
102,0.000599,0
103,0.000592,0
104,0.002075,0
105,0.00085,0
106,0.001337,0
107,0.003911,0
108,0.000424,0
109,0.000663,0
110,0.00196,0
111,0.000406,0
112,0.000343,0
113,0.000771,0
114,0.002194,0
115,0.001683,0
116,0.000613,0
117,0.000978,0
118,0.000382,0
119,0.001362,0
120,0.00061,0
121,0.001638,0
122,0.007287,0
123,0.000917,0
124,0.007665,0
125,0.000981,0
126,0.003014,0
127,0.003026,0
128,0.000617,0
129,0.000927,0
130,0.004442,0
131,0.001012,0
132,0.000668,0
133,0.004642,0
134,0.000623,0
135,0.00055,0
136,0.000799,0
137,0.000707,0
138,0.000383,0
139,0.001848,0
140,0.005077,0
141,0.003401,0
142,0.004769,0
143,0.000614,0
144,0.001042,0
145,0.001181,0
146,0.00043,0
147,0.001896,0
148,0.000361,0
149,0.00059,0
150,0.001249,0
151,0.003346,0
152,0.001691,0
153,0.002972,0
154,0.002345,0
155,0.004578,0
156,0.007462,0
157,0.000953,0
158,0.001661,0
159,0.001175,0
160,0.000935,0
161,0.004977,0
162,0.001887,0
163,0.002417,0
164,0.001803,0
165,0.0034,0
166,0.00336,0
167,0.000603,0
168,0.004693,0
169,0.000673,0
170,0.001722,0
171,0.003174,0
172,0.000367,0
173,0.001287,0
174,0.000959,0
175,0.009024,0
176,0.003005,0
177,0.001918,0
178,0.001655,0
179,0.001353,0
180,0.00087,0
181,0.002641,0
182,0.007344,0
183,0.000685,0
184,0.000524,0
185,0.000386,0
186,0.000351,0
187,0.000599,0
188,0.001637,0
189,0.0007,0
190,0.000686,0
191,0.000386,0
192,0.002111,0
193,0.000641,0
194,0.00047,0
195,0.000342,0
196,0.005014,0
197,0.00139,0
198,0.000821,0
199,0.001456,0
200,0.000567,0
201,0.000954,0
202,0.000465,0
203,0.001849,0
204,0.000638,0
205,0.000378,0
206,0.000876,0
207,0.000903,0
208,0.000452,0
209,0.001169,0
210,0.00059,0
211,0.002377,0
212,0.001207,0
213,0.001363,0
214,0.001871,0
215,0.001403,0
216,0.000447,0
217,0.000409,0
218,0.001101,0
219,0.000357,0
220,0.000349,0
221,0.000373,0
222,0.000384,0
223,0.003668,0
224,0.001036,0
225,0.000602,0
226,0.000867,0
227,0.000412,0
228,0.000526,0
229,0.000992,0
230,0.00202,0
231,0.00333,0
232,0.001708,0
233,0.000616,0
234,0.000936,0
235,0.001169,0
236,0.000395,0
237,0.001548,0
238,0.001088,0
239,0.000372,0
240,0.00034,0
241,0.001972,0
242,0.000771,0
243,0.000851,0
244,0.002193,0
245,0.001149,0
246,0.000408,0
247,0.00569,0
248,0.003734,0
249,0.000822,0
250,0.003175,0
251,0.000831,0
252,0.001199,0
253,0.001429,0
254,0.000882,0
255,0.001279,0
256,0.001628,0
257,0.001723,0
258,0.001287,0
259,0.00065,0
260,0.000801,0
261,0.001074,0
262,0.000897,0
263,0.00034,0
264,0.000341,0
265,0.004311,0
266,0.001018,0
267,0.000444,0
268,0.001035,0
269,0.000446,0
270,0.001059,0
271,0.006432,0
272,0.000799,0
273,0.000446,0
274,0.000435,0
275,0.000546,0
276,0.003074,0
277,0.002036,0
278,0.002851,0
279,0.000803,0
280,0.002733,0
281,0.001711,0
282,0.001699,0
283,0.000569,0
284,0.00047,0
285,0.000365,0
286,0.000688,0
287,0.000727,0
288,0.000826,0
289,0.000425,0
290,0.00188,0
291,0.001264,0
292,0.001084,0
293,0.000339,0
294,0.000889,0
295,0.001737,0
296,0.001229,0
297,0.000843,0
298,0.000319,0
299,0.000585,0
300,0.000773,0
301,0.001289,0
302,0.001896,0
303,0.002736,0
304,0.00688,0
305,0.001914,0
306,0.003139,0
307,0.00099,0
308,0.003061,0
309,0.001061,0
310,0.00166,0
311,0.000447,0
312,0.002504,0
313,0.000358,0
314,0.001709,0
315,0.000385,0
316,0.00077,0
317,0.001691,0
318,0.000515,0
319,0.004216,0
