Node,SIR,Infected_sum
1,0.004512,0
2,0.000252,0
3,0.003066,0
4,0.001449,0
5,0.001029,0
6,0.001254,0
7,0.005663,0
8,0.000671,0
9,0.004741,0
10,0.000485,0
11,0.005026,0
12,0.009008,0
13,0.00159,0
14,0.002458,0
15,0.004121,0
16,0.000512,0
17,0.001304,0
18,0.000558,0
19,0.002416,0
20,0.008807,0
21,0.002195,0
22,0.003187,0
23,0.000892,0
25,0.000563,0
26,0.001229,0
27,0.001168,0
28,0.000448,0
29,0.003295,0
30,0.001698,0
31,0.001441,0
32,0.003176,0
33,0.001053,0
34,0.005692,0
35,0.004771,0
36,0.007456,0
37,0.001115,0
38,0.007726,0
39,0.000529,0
40,0.001324,0
41,0.00367,0
42,0.001604,0
44,0.000981,0
45,0.001053,0
46,0.001382,0
48,0.000479,0
49,0.003795,0
50,0.000879,0
51,0.001753,0
52,0.004534,0
53,0.011904,0
54,0.002718,0
55,0.001526,0
56,0.000442,0
57,0.001268,0
58,0.001379,0
59,0.00155,0
61,0.007748,0
62,0.001271,0
63,0.000763,0
64,0.001163,0
65,0.004515,0
66,0.005085,0
67,0.003578,0
68,0.003607,0
69,0.004789,0
70,0.003225,0
71,0.007509,0
72,0.00172,0
73,0.000949,0
75,0.007147,0
76,0.00145,0
77,0.0101,0
78,0.001259,0
79,0.004152,0
80,0.001471,0
81,0.000269,0
82,0.004543,0
83,0.00142,0
84,0.00037,0
86,0.004009,0
87,0.002118,0
88,0.00311,0
89,0.001433,0
90,0.000255,0
91,0.000494,0
92,0.001613,0
93,0.000306,0
94,0.002144,0
95,0.000705,0
96,0.003218,0
97,0.003962,0
98,0.001356,0
99,0.002097,0
100,0.000498,0
101,0.002527,0
102,0.005562,0
103,0.002086,0
104,0.000723,0
106,0.001117,0
107,0.001371,0
108,0.002637,0
109,0.00302,0
110,0.000253,0
111,0.005961,0
112,0.002498,0
113,0.003988,0
114,0.000765,0
116,0.002399,0
117,0.000311,0
119,0.007703,0
120,0.009132,0
121,0.002571,0
122,0.000461,0
123,0.002156,0
124,0.003284,0
125,0.00293,0
126,0.002903,0
128,0.000251,0
129,0.00228,0
130,0.003913,0
131,0.004585,0
132,0.00141,0
133,0.002286,0
134,0.000713,0
135,0.0034,0
136,0.000804,0
137,0.001282,0
138,0.003395,0
139,0.001559,0
142,0.001785,0
146,0.00122,0
147,0.002273,0
149,0.003048,0
150,0.002526,0
151,0.001667,0
153,0.002981,0
155,0.002184,0
156,0.00211,0
157,0.003519,0
158,0.003668,0
159,0.001442,0
160,0.003646,0
161,0.003843,0
162,0.002605,0
164,0.0023,0
165,0.000655,0
166,0.00375,0
167,0.001384,0
168,0.002105,0
170,0.005058,0
171,0.005546,0
172,0.00028,0
173,0.002501,0
174,0.002598,0
175,0.001441,0
176,0.00263,0
177,0.001621,0
178,0.001686,0
179,0.000309,0
180,0.000279,0
181,0.005016,0
182,0.00308,0
184,0.00115,0
185,0.000723,0
186,0.001132,0
187,0.008077,0
188,0.00479,0
190,0.003013,0
191,0.000281,0
192,0.000519,0
193,0.00081,0
194,0.001736,0
197,0.002798,0
206,0.000558,0
211,0.001893,0
213,0.000452,0
214,0.000337,0
216,0.00038,0
217,0.000334,0
218,0.000373,0
219,0.000317,0
220,0.000341,0
221,0.010394,0
222,0.000313,0
223,0.000335,0
224,0.000756,0
225,0.0005,0
226,0.000388,0
227,0.000621,0
228,0.001913,0
229,0.002249,0
230,0.001264,0
231,0.000349,0
232,0.001443,0
233,0.001412,0
234,0.000942,0
240,0.00026,0
243,0.000349,0
250,0.000295,0
251,0.004267,0
252,0.004377,0
253,0.002333,0
254,0.003378,0
255,0.004605,0
256,0.000978,0
257,0.000446,0
258,0.00067,0
259,0.000508,0
260,0.002123,0
261,0.000487,0
262,0.000808,0
263,0.000474,0
264,0.000659,0
265,0.001473,0
266,0.000722,0
267,0.000974,0
268,0.000653,0
269,0.000597,0
270,0.000508,0
271,0.000665,0
272,0.000579,0
273,0.000799,0
274,0.000503,0
275,0.004803,0
276,0.000707,0
277,0.000771,0
278,0.001061,0
279,0.000646,0
280,0.001554,0
281,0.000545,0
282,0.003217,0
283,0.006548,0
284,0.001225,0
285,0.004448,0
286,0.001196,0
287,0.005424,0
289,0.000874,0
290,0.000253,0
291,0.000493,0
292,0.00042,0
294,0.002493,0
296,0.000839,0
297,0.004796,0
298,0.001368,0
299,0.003205,0
301,0.005536,0
302,0.000553,0
303,0.001391,0
304,0.000542,0
305,0.000771,0
306,0.0052,0
308,0.002274,0
309,0.000707,0
310,0.000578,0
311,0.000634,0
312,0.001231,0
313,0.000878,0
314,0.001318,0
316,0.001124,0
317,0.001345,0
318,0.001446,0
319,0.001489,0
320,0.000771,0
321,0.005132,0
322,0.001485,0
324,0.001331,0
326,0.00345,0
327,0.001155,0
328,0.000967,0
329,0.00031,0
330,0.001537,0
331,0.000839,0
334,0.001449,0
335,0.000852,0
338,0.00057,0
339,0.000387,0
341,0.001252,0
342,0.001401,0
348,0.000809,0
351,0.000574,0
352,0.000492,0
357,0.000503,0
358,0.000451,0
360,0.000352,0
361,0.00029,0
365,0.001328,0
369,0.000573,0
372,0.000408,0
376,0.001191,0
378,0.000272,0
380,0.00378,0
381,0.003668,0
382,0.003996,0
383,0.000944,0
384,0.001095,0
385,0.001269,0
386,0.000438,0
387,0.001949,0
388,0.000716,0
389,0.001879,0
390,0.002969,0
392,0.000351,0
393,0.00058,0
395,0.000878,0
397,0.001302,0
398,0.001339,0
399,0.002749,0
402,0.001145,0
404,0.001008,0
405,0.001446,0
408,0.001302,0
412,0.000543,0
420,0.000329,0
421,0.000489,0
422,0.000364,0
424,0.000262,0
426,0.000715,0
427,0.000502,0
428,0.000893,0
430,0.001598,0
434,0.000875,0
435,0.002531,0
436,0.000802,0
437,0.000684,0
438,0.00032,0
439,0.000263,0
440,0.001357,0
442,0.00202,0
443,0.001076,0
444,0.000753,0
445,0.001247,0
447,0.000351,0
448,0.000408,0
451,0.000512,0
455,0.000336,0
456,0.000291,0
457,0.001047,0
458,0.000373,0
459,0.000756,0
460,0.000398,0
461,0.000428,0
462,0.000309,0
463,0.001788,0
464,0.000299,0
465,0.000281,0
466,0.00029,0
467,0.000712,0
468,0.000324,0
469,0.000452,0
470,0.001006,0
471,0.001166,0
472,0.000657,0
473,0.000674,0
474,0.000667,0
475,0.000567,0
476,0.00067,0
477,0.000602,0
478,0.000598,0
479,0.000678,0
480,0.000682,0
481,0.000773,0
482,0.000633,0
483,0.000745,0
484,0.00064,0
485,0.000622,0
486,0.000719,0
487,0.001832,0
488,0.000736,0
489,0.000623,0
490,0.000648,0
491,0.000673,0
492,0.000814,0
493,0.00065,0
494,0.000722,0
495,0.001318,0
496,0.000653,0
497,0.000625,0
498,0.00124,0
499,0.000776,0
500,0.000612,0
501,0.00067,0
502,0.000634,0
503,0.000651,0
504,0.000526,0
505,0.000776,0
506,0.000626,0
507,0.000675,0
508,0.00073,0
509,0.000657,0
510,0.000695,0
511,0.000759,0
512,0.000503,0
513,0.000701,0
514,0.001507,0
515,0.000767,0
516,0.000638,0
517,0.000725,0
518,0.000986,0
519,0.000719,0
520,0.00108,0
521,0.000888,0
522,0.00083,0
523,0.000514,0
524,0.002926,0
525,0.000549,0
526,0.000645,0
527,0.000529,0
528,0.00299,0
529,0.00192,0
530,0.00072,0
531,0.000595,0
532,0.000671,0
533,0.000552,0
534,0.00091,0
535,0.000797,0
536,0.000547,0
537,0.000791,0
538,0.000619,0
539,0.00061,0
540,0.00058,0
541,0.000644,0
542,0.000589,0
543,0.001026,0
544,0.000502,0
545,0.000574,0
546,0.000857,0
547,0.001215,0
548,0.000603,0
549,0.000716,0
550,0.000964,0
551,0.000607,0
552,0.001158,0
553,0.000631,0
554,0.000609,0
555,0.000575,0
556,0.000725,0
557,0.000685,0
558,0.000634,0
559,0.000658,0
560,0.000871,0
561,0.000604,0
562,0.000775,0
563,0.000664,0
564,0.000602,0
565,0.000499,0
566,0.000808,0
567,0.00064,0
568,0.00058,0
569,0.000664,0
570,0.000645,0
571,0.000764,0
572,0.000656,0
573,0.000655,0
574,0.000745,0
575,0.000538,0
576,0.000799,0
577,0.000735,0
578,0.000601,0
579,0.000743,0
580,0.000539,0
581,0.000699,0
582,0.000581,0
583,0.000718,0
584,0.000852,0
585,0.000638,0
586,0.000523,0
587,0.000596,0
588,0.000601,0
589,0.000725,0
590,0.001169,0
591,0.000663,0
592,0.001936,0
593,0.000684,0
594,0.000774,0
595,0.004615,0
596,0.000978,0
597,0.003852,0
598,0.001397,0
599,0.00742,0
600,0.001878,0
601,0.000673,0
602,0.000537,0
603,0.000478,0
604,0.000689,0
605,0.000541,0
606,0.000862,0
607,0.000711,0
608,0.000854,0
609,0.000728,0
610,0.000696,0
611,0.000718,0
612,0.000712,0
613,0.000604,0
614,0.00034,0
615,0.000261,0
616,0.000416,0
618,0.000271,0
620,0.000376,0
621,0.000351,0
623,0.000602,0
629,0.000265,0
632,0.000315,0
633,0.00254,0
634,0.000323,0
635,0.000351,0
638,0.000616,0
639,0.000289,0
640,0.000359,0
642,0.000391,0
644,0.001713,0
650,0.000796,0
651,0.000319,0
652,0.00055,0
654,0.000988,0
655,0.000296,0
658,0.002584,0
659,0.000307,0
660,0.001252,0
661,0.001395,0
663,0.003083,0
664,0.000357,0
667,0.000428,0
668,0.000582,0
670,0.00041,0
671,0.001937,0
672,0.000719,0
673,0.000887,0
674,0.001853,0
675,0.005887,0
676,0.000327,0
677,0.005152,0
679,0.000658,0
681,0.00121,0
682,0.00585,0
683,0.000375,0
684,0.001139,0
686,0.004561,0
689,0.000903,0
690,0.001523,0
691,0.000396,0
692,0.00041,0
693,0.000592,0
694,0.00047,0
695,0.000325,0
696,0.002181,0
697,0.000331,0
699,0.004734,0
700,0.000568,0
701,0.002675,0
702,0.00075,0
703,0.000319,0
704,0.000626,0
705,0.002177,0
706,0.001164,0
707,0.001973,0
708,0.00308,0
709,0.000674,0
710,0.016527,0
711,0.001537,0
712,0.001304,0
713,0.000761,0
714,0.000677,0
715,0.000707,0
716,0.002942,0
719,0.000263,0
720,0.001069,0
722,0.000855,0
724,0.000335,0
727,0.000374,0
728,0.001687,0
729,0.000699,0
730,0.000264,0
731,0.001083,0
732,0.000481,0
733,0.000421,0
734,0.000441,0
735,0.000756,0
736,0.001129,0
738,0.002849,0
739,0.001116,0
741,0.001024,0
742,0.000504,0
743,0.000765,0
748,0.000668,0
749,0.001627,0
750,0.002967,0
754,0.000258,0
759,0.000768,0
760,0.000566,0
761,0.000337,0
763,0.001096,0
764,0.00049,0
777,0.00056,0
778,0.000584,0
779,0.001334,0
780,0.000646,0
781,0.000758,0
782,0.000662,0
783,0.000592,0
784,0.000717,0
785,0.000575,0
786,0.000637,0
787,0.000558,0
788,0.000756,0
789,0.000716,0
790,0.008029,0
791,0.001549,0
792,0.001846,0
793,0.000899,0
794,0.000546,0
795,0.000839,0
796,0.000651,0
797,0.001662,0
798,0.000681,0
799,0.000538,0
800,0.000604,0
801,0.000638,0
802,0.000686,0
803,0.00149,0
804,0.002039,0
805,0.000832,0
806,0.000795,0
807,0.000802,0
808,0.000617,0
809,0.000531,0
810,0.000468,0
811,0.000539,0
812,0.000714,0
813,0.000612,0
814,0.000767,0
815,0.001326,0
816,0.000517,0
817,0.000747,0
818,0.001607,0
819,0.000628,0
820,0.000637,0
821,0.000775,0
822,0.000624,0
823,0.000662,0
824,0.000625,0
825,0.000544,0
826,0.000614,0
827,0.000724,0
828,0.000506,0
829,0.003443,0
830,0.004074,0
831,0.000556,0
832,0.000747,0
833,0.002784,0
834,0.000776,0
835,0.003817,0
836,0.000666,0
837,0.002767,0
838,0.000746,0
839,0.009794,0
840,0.002079,0
841,0.00048,0
842,0.001448,0
843,0.000577,0
844,0.000687,0
845,0.000646,0
846,0.000599,0
847,0.000816,0
848,0.000837,0
849,0.000625,0
850,0.000959,0
852,0.002577,0
853,0.002752,0
855,0.001733,0
857,0.001624,0
858,0.001524,0
859,0.001904,0
861,0.002424,0
862,0.002181,0
863,0.00138,0
864,0.001154,0
865,0.000866,0
866,0.000254,0
870,0.000636,0
871,0.005129,0
873,0.002501,0
874,0.003969,0
875,0.00028,0
880,0.005136,0
881,0.000916,0
882,0.000959,0
883,0.000737,0
884,0.001104,0
885,0.001431,0
886,0.000916,0
887,0.001278,0
888,0.001187,0
889,0.000729,0
890,0.000802,0
891,0.000934,0
892,0.000844,0
893,0.000676,0
894,0.001287,0
895,0.000947,0
896,0.000614,0
897,0.00105,0
898,0.000983,0
899,0.000883,0
900,0.001246,0
901,0.001411,0
902,0.000949,0
903,0.000754,0
904,0.001419,0
905,0.001095,0
906,0.001012,0
907,0.000763,0
908,0.001131,0
909,0.001323,0
910,0.000978,0
911,0.000861,0
912,0.000745,0
913,0.000794,0
914,0.000797,0
915,0.000891,0
916,0.001255,0
917,0.001097,0
918,0.001197,0
919,0.000827,0
920,0.000925,0
921,0.000819,0
922,0.000832,0
923,0.000972,0
924,0.000885,0
925,0.0011,0
926,0.001074,0
927,0.002054,0
928,0.001092,0
929,0.000743,0
930,0.00256,0
931,0.001334,0
932,0.001181,0
933,0.002416,0
934,0.003141,0
935,0.003574,0
936,0.00198,0
937,0.00077,0
938,0.000987,0
939,0.005445,0
940,0.010912,0
941,0.001228,0
942,0.009894,0
943,0.00337,0
944,0.002133,0
945,0.005639,0
946,0.000943,0
947,0.001238,0
948,0.001945,0
949,0.001531,0
