Node,SIR,Infected_sum
1,0.00149,0
2,0.00143,0
3,0.00128,0
4,0.00109,0
5,0.0022,0
6,0.00223,0
7,0.0022,0
8,0.00222,0
9,0.00227,0
10,0.00245,0
11,0.00146,0
12,0.00269,0
13,0.00207,0
14,0.00217,0
15,0.00166,0
16,0.00162,0
17,0.00154,0
18,0.00364,0
19,0.00267,0
20,0.00262,0
21,0.00237,0
22,0.00307,0
23,0.00305,0
24,0.00305,0
25,0.00277,0
26,0.00118,0
27,0.00128,0
28,0.00128,0
29,0.00124,0
30,0.00125,0
31,0.00126,0
32,0.00232,0
33,0.00238,0
34,0.00283,0
35,0.0027,0
36,0.00291,0
37,0.00214,0
38,0.00116,0
39,0.00129,0
40,0.00126,0
41,0.06201,0
42,0.02434,0
43,0.03142,0
44,0.06878,0
45,0.06799,0
46,0.06951,0
47,0.05174,0
48,0.04606,0
49,0.04347,0
50,0.05801,0
51,0.03466,0
52,0.06005,0
53,0.05046,0
54,0.06875,0
55,0.06396,0
56,0.06816,0
57,0.06957,0
58,0.045,0
59,0.04536,0
60,0.05005,0
61,0.04356,0
62,0.02198,0
63,0.02036,0
64,0.04316,0
65,0.04945,0
66,0.04064,0
67,0.04215,0
68,0.04182,0
69,0.06547,0
70,0.06507,0
71,0.04982,0
72,0.03852,0
73,0.05783,0
74,0.05907,0
75,0.05239,0
76,0.05388,0
77,0.04612,0
78,0.04608,0
79,0.05374,0
80,0.04437,0
81,0.0603,0
82,0.05912,0
83,0.05917,0
84,0.05476,0
85,0.06488,0
86,0.04444,0
87,0.0655,0
88,0.05795,0
89,0.05329,0
90,0.0311,0
91,0.04891,0
92,0.00281,0
93,0.00303,0
94,0.00313,0
95,0.00321,0
96,0.00291,0
97,0.00294,0
98,0.00089,0
99,0.00079,0
100,0.01372,0
101,0.01273,0
102,0.02791,0
103,0.00747,0
104,0.01106,0
105,0.01272,0
106,0.00775,0
107,0.05828,0
108,0.02115,0
109,0.01905,0
110,0.01203,0
111,0.01639,0
112,0.01961,0
113,0.03448,0
114,0.01216,0
115,0.01589,0
116,0.01045,0
117,0.0162,0
118,0.03185,0
119,0.02213,0
120,0.01149,0
121,0.03887,0
122,0.03506,0
123,0.0436,0
124,0.0496,0
125,0.05882,0
126,0.02634,0
127,0.02384,0
128,0.02906,0
129,0.02572,0
130,0.04717,0
131,0.04706,0
132,0.04855,0
133,0.04084,0
134,0.01313,0
135,0.03064,0
136,0.04393,0
137,0.06064,0
138,0.02812,0
139,0.03281,0
140,0.00827,0
141,0.00128,0
142,0.00137,0
143,0.00123,0
144,0.01419,0
145,0.01392,0
146,0.01152,0
147,0.00861,0
148,0.01379,0
149,0.01456,0
150,0.01405,0
151,0.01444,0
152,0.01257,0
153,0.01116,0
154,0.01436,0
155,0.01424,0
156,0.01363,0
157,0.01374,0
158,0.01329,0
159,0.01389,0
160,0.0141,0
161,0.01286,0
162,0.01374,0
163,0.01407,0
164,0.00705,0
165,0.00589,0
166,0.00618,0
167,0.00838,0
168,0.00118,0
169,0.00119,0
170,0.00117,0
171,0.05198,0
172,0.04347,0
173,0.04984,0
174,0.04912,0
175,0.05598,0
176,0.02858,0
177,0.04162,0
178,0.03693,0
179,0.0518,0
180,0.05163,0
181,0.03556,0
182,0.02761,0
183,0.0247,0
184,0.04401,0
185,0.05349,0
186,0.05362,0
187,0.01238,0
188,0.02155,0
189,0.02612,0
190,0.02038,0
191,0.02168,0
192,0.02587,0
193,0.02307,0
194,0.00313,0
195,0.00407,0
196,0.00547,0
197,0.00819,0
198,0.00944,0
199,0.00524,0
200,0.00459,0
201,0.02716,0
202,0.0252,0
203,0.03474,0
204,0.05451,0
205,0.04679,0
206,0.04125,0
207,0.04166,0
208,0.04086,0
209,0.04111,0
210,0.04785,0
211,0.02804,0
212,0.03841,0
213,0.02817,0
214,0.02385,0
215,0.02344,0
216,0.04052,0
217,0.02815,0
218,0.02014,0
219,0.01854,0
220,0.02749,0
221,0.03109,0
222,0.02318,0
223,0.02824,0
224,0.02318,0
225,0.03175,0
226,0.00179,0
227,0.00209,0
228,0.00166,0
229,0.00225,0
230,0.00129,0
231,0.00122,0
232,0.00118,0
233,0.00126,0
234,0.00169,0
235,0.00194,0
236,0.00168,0
237,0.0019,0
238,0.00127,0
239,0.00125,0
240,0.00127,0
241,0.00129,0
242,0.04812,0
243,0.04163,0
244,0.05215,0
245,0.037,0
246,0.0439,0
247,0.03291,0
248,0.05509,0
249,0.04732,0
250,0.0235,0
251,0.02936,0
252,0.02767,0
253,0.0332,0
254,0.02862,0
255,0.02488,0
256,0.00132,0
257,0.00125,0
258,0.00125,0
259,0.00133,0
260,0.0015,0
261,0.00121,0
262,0.00105,0
263,0.00094,0
264,0.00086,0
265,0.00099,0
266,0.0009,0
267,0.00164,0
268,0.00489,0
269,0.01447,0
270,0.00504,0
271,0.00166,0
272,0.00244,0
273,0.00241,0
274,0.00252,0
275,0.00255,0
276,0.00238,0
277,0.00169,0
278,0.00123,0
279,0.00153,0
280,0.00142,0
281,0.01249,0
282,0.0222,0
283,0.02407,0
284,0.03298,0
285,0.05481,0
286,0.06016,0
287,0.02084,0
288,0.03869,0
289,0.0013,0
290,0.00115,0
291,0.00127,0
292,0.02595,0
293,0.04527,0
294,0.02294,0
295,0.03201,0
296,0.02875,0
297,0.03167,0
298,0.02939,0
299,0.05742,0
300,0.02926,0
301,0.0252,0
302,0.01813,0
303,0.03339,0
304,0.00087,0
305,0.00094,0
306,0.03495,0
307,0.00996,0
308,0.01569,0
309,0.02079,0
310,0.01097,0
311,0.00993,0
312,0.01217,0
313,0.01155,0
314,0.00089,0
315,0.00083,0
316,0.00656,0
317,0.00654,0
318,0.00639,0
319,0.00644,0
320,0.00655,0
321,0.00665,0
322,0.00656,0
323,0.00643,0
324,0.00658,0
325,0.00651,0
326,0.03535,0
327,0.04841,0
328,0.02811,0
329,0.05594,0
330,0.03396,0
331,0.02634,0
332,0.03444,0
333,0.02943,0
334,0.02133,0
335,0.04546,0
336,0.03287,0
337,0.03749,0
338,0.00177,0
339,0.00178,0
340,0.00181,0
341,0.00166,0
342,0.00092,0
343,0.00086,0
344,0.03082,0
345,0.01391,0
346,0.04006,0
347,0.0368,0
348,0.02123,0
349,0.00086,0
350,0.00094,0
351,0.00124,0
352,0.00098,0
353,0.00091,0
354,0.00142,0
355,0.00133,0
356,0.00153,0
357,0.00107,0
358,0.00122,0
359,0.00135,0
360,0.00121,0
361,0.0013,0
362,0.00136,0
363,0.0015,0
364,0.00116,0
365,0.00125,0
366,0.00129,0
367,0.00132,0
368,0.00092,0
369,0.00097,0
370,0.01067,0
371,0.01232,0
372,0.01304,0
373,0.00755,0
374,0.00638,0
375,0.00147,0
376,0.00174,0
377,0.00227,0
378,0.00192,0
379,0.00207,0
380,0.00222,0
381,0.0077,0
382,0.0127,0
383,0.00971,0
384,0.01123,0
385,0.01068,0
386,0.00872,0
387,0.00461,0
388,0.00617,0
389,0.00233,0
390,0.00243,0
391,0.00262,0
392,0.0022,0
393,0.00244,0
394,0.00193,0
395,0.03045,0
396,0.03151,0
397,0.02176,0
398,0.00096,0
399,0.00091,0
400,0.00188,0
401,0.0014,0
402,0.00142,0
403,0.00155,0
404,0.00155,0
405,0.00129,0
406,0.00127,0
407,0.00136,0
408,0.00125,0
409,0.00116,0
410,0.00127,0
411,0.03746,0
412,0.03858,0
413,0.04005,0
414,0.0314,0
415,0.03899,0
416,0.03601,0
417,0.0415,0
418,0.02789,0
419,0.03481,0
420,0.03671,0
421,0.02895,0
422,0.02684,0
423,0.0213,0
424,0.03653,0
425,0.02073,0
426,0.04158,0
427,0.04229,0
428,0.03012,0
429,0.02149,0
430,0.03408,0
431,0.03229,0
432,0.04085,0
433,0.03818,0
434,0.02455,0
435,0.03053,0
436,0.00103,0
437,0.00124,0
438,0.00107,0
439,0.00178,0
440,0.00188,0
441,0.0018,0
442,0.00164,0
443,0.01396,0
444,0.00629,0
445,0.00086,0
446,0.00092,0
447,0.00282,0
448,0.00149,0
449,0.0015,0
450,0.00248,0
451,0.00285,0
452,0.00243,0
453,0.00268,0
454,0.00138,0
455,0.00272,0
456,0.00235,0
457,0.00257,0
458,0.00264,0
459,0.00231,0
460,0.00281,0
461,0.00251,0
462,0.00158,0
463,0.00278,0
464,0.00189,0
465,0.00201,0
466,0.00161,0
467,0.00318,0
468,0.00266,0
469,0.00251,0
470,0.00128,0
471,0.00118,0
472,0.00137,0
473,0.00659,0
474,0.00625,0
475,0.00463,0
476,0.01233,0
477,0.00171,0
478,0.00167,0
479,0.0017,0
480,0.00165,0
481,0.00091,0
482,0.00093,0
483,0.03569,0
484,0.03679,0
485,0.033,0
486,0.03285,0
487,0.03302,0
488,0.02932,0
489,0.03728,0
490,0.0276,0
491,0.02788,0
492,0.03012,0
493,0.02748,0
494,0.00088,0
495,0.00089,0
496,0.00162,0
497,0.00175,0
498,0.0022,0
499,0.00205,0
500,0.00188,0
501,0.0019,0
502,0.02012,0
503,0.02904,0
504,0.03886,0
505,0.03278,0
506,0.03821,0
507,0.03536,0
508,0.03802,0
509,0.03092,0
510,0.03489,0
511,0.04151,0
512,0.0347,0
513,0.04225,0
514,0.03486,0
515,0.03574,0
516,0.03677,0
517,0.01546,0
518,0.02253,0
519,0.01786,0
520,0.01632,0
521,0.02058,0
522,0.02481,0
523,0.01541,0
524,0.00166,0
525,0.00146,0
526,0.00155,0
527,0.00145,0
528,0.00129,0
529,0.00117,0
530,0.00129,0
531,0.01665,0
532,0.01738,0
533,0.01706,0
534,0.01514,0
535,0.01452,0
536,0.01681,0
537,0.01628,0
538,0.01426,0
539,0.01454,0
540,0.01509,0
541,0.01533,0
542,0.01316,0
543,0.01222,0
544,0.01082,0
545,0.01351,0
546,0.01357,0
547,0.0127,0
548,0.01291,0
549,0.00652,0
550,0.00897,0
551,0.00902,0
552,0.0025,0
553,0.00144,0
554,0.00229,0
555,0.00222,0
556,0.0031,0
557,0.00311,0
558,0.00155,0
559,0.01718,0
560,0.02074,0
561,0.01105,0
562,0.01721,0
563,0.01326,0
564,0.01903,0
565,0.01897,0
566,0.01974,0
567,0.01682,0
568,0.01738,0
569,0.0112,0
570,0.01925,0
571,0.02483,0
572,0.00092,0
573,0.00089,0
574,0.0014,0
575,0.00158,0
576,0.00122,0
577,0.00101,0
578,0.00097,0
579,0.00123,0
580,0.00094,0
581,0.00297,0
582,0.00266,0
583,0.00238,0
584,0.00278,0
585,0.00247,0
586,0.00245,0
587,0.0025,0
588,0.03254,0
589,0.04092,0
590,0.03002,0
591,0.04656,0
592,0.03393,0
593,0.02585,0
594,0.04127,0
595,0.038,0
596,0.03765,0
597,0.03774,0
598,0.03995,0
599,0.02249,0
600,0.01784,0
601,0.01539,0
602,0.017,0
603,0.01709,0
604,0.00185,0
605,0.00155,0
606,0.00166,0
607,0.00179,0
608,0.00223,0
609,0.00454,0
610,0.00486,0
611,0.00432,0
612,0.00487,0
613,0.0047,0
614,0.00474,0
615,0.00176,0
616,0.00174,0
617,0.00183,0
618,0.00164,0
619,0.02613,0
620,0.01638,0
621,0.00665,0
622,0.00333,0
623,0.00336,0
624,0.00343,0
625,0.00313,0
626,0.00311,0
627,0.00334,0
628,0.00202,0
629,0.00117,0
630,0.00127,0
631,0.00133,0
632,0.00207,0
633,0.00193,0
634,0.00154,0
635,0.00212,0
636,0.00211,0
637,0.00619,0
638,0.00595,0
639,0.00684,0
640,0.00879,0
641,0.00952,0
642,0.00927,0
643,0.0089,0
644,0.00125,0
645,0.00122,0
646,0.00127,0
647,0.01499,0
648,0.01519,0
649,0.00123,0
650,0.0013,0
651,0.00126,0
652,0.04341,0
653,0.03251,0
654,0.01368,0
655,0.02116,0
656,0.00122,0
657,0.00124,0
658,0.00112,0
659,0.00124,0
660,0.00132,0
661,0.00123,0
662,0.00462,0
663,0.00446,0
664,0.00483,0
665,0.00478,0
666,0.00493,0
667,0.00473,0
668,0.0047,0
669,0.00482,0
670,0.00165,0
671,0.00185,0
672,0.00173,0
