Node,SIR,Infected_sum
0,0.0027,0
1,0.01499,0
2,0.01788,0
3,0.00432,0
4,0.01168,0
5,0.00101,0
6,0.00123,0
7,0.01622,0
8,0.01108,0
9,0.01099,0
10,0.00336,0
11,0.00059,0
12,0.00049,0
13,0.00059,0
14,0.00631,0
15,0.00498,0
16,0.00278,0
17,0.0012,0
18,0.00153,0
19,0.00114,0
20,0.00254,0
21,0.00247,0
22,0.01629,0
23,0.00151,0
24,0.00484,0
25,0.00988,0
26,0.00259,0
27,0.00078,0
28,0.00141,0
29,0.00325,0
30,0.00262,0
31,0.00113,0
32,0.00221,0
33,0.00161,0
34,0.00216,0
35,0.00093,0
36,0.00167,0
37,0.00143,0
38,0.00068,0
39,0.00335,0
40,0.00043,0
41,0.00125,0
42,0.00121,0
43,0.02237,0
44,0.01764,0
45,0.02023,0
46,0.01691,0
47,0.0174,0
48,0.00062,0
49,0.00208,0
50,0.00252,0
51,0.00575,0
52,0.01038,0
53,0.00728,0
54,0.00261,0
55,0.00548,0
56,0.00329,0
57,0.01783,0
58,0.01008,0
59,0.00044,0
60,0.00542,0
61,0.00905,0
62,0.01004,0
63,0.00765,0
64,0.00674,0
65,0.00447,0
66,0.0041,0
67,0.00422,0
68,0.00652,0
69,0.00933,0
70,0.0066,0
71,0.0058,0
72,0.00111,0
73,0.0005,0
74,0.00216,0
75,0.00866,0
76,0.00709,0
77,0.0028,0
78,0.00503,0
79,0.00368,0
80,0.00221,0
81,0.00169,0
82,0.00114,0
83,0.00056,0
84,0.00879,0
85,0.00084,0
86,0.00501,0
87,0.00163,0
88,0.00609,0
89,0.00192,0
90,0.0061,0
91,0.00507,0
92,0.00351,0
93,0.00362,0
94,0.00465,0
95,0.00418,0
96,0.00472,0
97,0.00976,0
98,0.00554,0
99,0.00319,0
100,0.00245,0
101,0.01654,0
102,0.01094,0
103,0.0105,0
104,0.00106,0
105,0.00293,0
106,0.00754,0
107,0.00554,0
108,0.00755,0
109,0.00985,0
110,0.01386,0
111,0.0017,0
112,0.00276,0
113,0.0035,0
114,0.0034,0
115,0.00084,0
116,0.01566,0
117,0.00952,0
118,0.00943,0
119,0.00234,0
120,0.0051,0
121,0.01075,0
122,0.00883,0
123,0.01026,0
124,0.00434,0
125,0.01167,0
126,0.01153,0
127,0.01226,0
128,0.00781,0
129,0.0089,0
130,0.00859,0
131,0.00864,0
132,0.01042,0
133,0.00825,0
134,0.00258,0
135,0.00936,0
136,0.01962,0
137,0.00115,0
138,0.00162,0
139,0.00636,0
140,0.0017,0
141,0.00329,0
142,0.00676,0
143,0.00322,0
144,0.00934,0
145,0.0011,0
146,0.00195,0
147,0.00239,0
148,0.00995,0
149,0.00437,0
150,0.00165,0
151,0.0034,0
152,0.00508,0
153,0.01004,0
154,0.00195,0
155,0.00269,0
156,0.01626,0
157,0.01217,0
158,0.00528,0
159,0.00851,0
160,0.01038,0
161,0.00322,0
162,0.0057,0
163,0.0087,0
164,0.00658,0
165,0.006,0
166,0.00657,0
167,0.02218,0
168,0.01056,0
169,0.00857,0
170,0.0051,0
171,0.00071,0
172,0.00173,0
173,0.00068,0
174,0.00148,0
175,0.01824,0
176,0.02188,0
177,0.01482,0
178,0.01382,0
179,0.00096,0
180,0.00178,0
181,0.00193,0
182,0.0015,0
183,0.00061,0
184,0.00184,0
185,0.0017,0
186,0.00583,0
187,0.00689,0
188,0.00228,0
189,0.00368,0
190,0.00202,0
191,0.00046,0
192,0.01443,0
193,0.00121,0
194,0.01199,0
195,0.00275,0
196,0.00395,0
197,0.00107,0
198,0.00242,0
199,0.00135,0
200,0.00424,0
201,0.00059,0
202,0.0112,0
203,0.00652,0
204,0.00256,0
205,0.00052,0
206,0.00123,0
207,0.00089,0
208,0.00104,0
209,0.00228,0
210,0.00979,0
211,0.00058,0
212,0.00065,0
213,0.00092,0
214,0.00067,0
215,0.00089,0
216,0.00708,0
217,0.0005,0
218,0.00162,0
219,0.00149,0
220,0.00281,0
221,0.00172,0
222,0.00095,0
223,0.00134,0
224,0.00104,0
225,0.00085,0
226,0.00106,0
227,0.00199,0
228,0.00182,0
229,0.00241,0
230,0.00065,0
231,0.0014,0
232,0.00469,0
233,0.00369,0
234,0.00111,0
235,0.00302,0
236,0.02559,0
237,0.02307,0
238,0.00771,0
239,0.00317,0
240,0.00587,0
241,0.00477,0
242,0.00138,0
243,0.01725,0
244,0.01628,0
245,0.00935,0
246,0.0075,0
247,0.00162,0
248,0.00249,0
