Node,SIR,Infected_sum
1,0.0008,0
2,0.00121,0
3,0.0009,0
4,0.00111,0
5,0.00131,0
6,0.00063,0
7,0.003,0
8,0.00185,0
9,0.00076,0
10,0.00162,0
11,0.01103,0
12,0.00715,0
13,0.00916,0
14,0.00266,0
15,0.00076,0
16,0.00122,0
17,0.00205,0
18,0.00623,0
19,0.00074,0
20,0.0025,0
21,0.00101,0
22,0.00104,0
23,0.00097,0
24,0.00062,0
25,0.00123,0
26,0.00181,0
27,0.00139,0
28,0.00097,0
29,0.00081,0
30,0.00527,0
31,0.01349,0
32,0.00411,0
33,0.00479,0
34,0.00082,0
35,0.0021,0
36,0.00233,0
37,0.00106,0
38,0.00074,0
39,0.00091,0
40,0.00082,0
41,0.00321,0
42,0.00063,0
43,0.00083,0
44,0.00065,0
45,0.0038,0
46,0.00086,0
47,0.00138,0
48,0.00171,0
49,0.00071,0
50,0.00655,0
51,0.00139,0
52,0.00116,0
53,0.00087,0
54,0.01054,0
55,0.00211,0
56,0.007,0
57,0.00193,0
58,0.00079,0
59,0.00102,0
60,0.0013,0
61,0.00081,0
62,0.00183,0
63,0.00791,0
64,0.00083,0
65,0.00064,0
66,0.00192,0
67,0.01474,0
68,0.0023,0
69,0.0007,0
70,0.00834,0
71,0.00099,0
72,0.0007,0
73,0.00181,0
74,0.00072,0
75,0.00082,0
76,0.00114,0
77,0.00123,0
78,0.00108,0
79,0.0046,0
80,0.00182,0
81,0.00076,0
82,0.00144,0
83,0.00441,0
84,0.00073,0
85,0.00161,0
86,0.00067,0
87,0.00169,0
88,0.00072,0
89,0.0014,0
90,0.00082,0
91,0.00118,0
92,0.00754,0
93,0.00247,0
94,0.00066,0
95,0.00106,0
96,0.00071,0
97,0.00069,0
98,0.00066,0
99,0.00275,0
100,0.00095,0
101,0.00161,0
102,0.00064,0
103,0.00079,0
104,0.00063,0
105,0.00145,0
106,0.00108,0
107,0.00082,0
108,0.00378,0
109,0.00097,0
110,0.00135,0
111,0.00075,0
112,0.00066,0
113,0.00088,0
114,0.00145,0
115,0.00326,0
116,0.00161,0
117,0.00093,0
118,0.01076,0
119,0.00074,0
120,0.00064,0
121,0.0025,0
122,0.00417,0
123,0.01094,0
124,0.0043,0
125,0.0057,0
126,0.00095,0
127,0.00062,0
128,0.00063,0
129,0.00067,0
130,0.00093,0
131,0.00094,0
132,0.00274,0
133,0.00285,0
134,0.00136,0
135,0.00184,0
136,0.00535,0
137,0.00124,0
138,0.0006,0
139,0.00062,0
140,0.00174,0
141,0.00581,0
142,0.00919,0
143,0.00413,0
144,0.00102,0
145,0.00072,0
146,0.00175,0
147,0.00535,0
148,0.00352,0
149,0.00081,0
150,0.01243,0
151,0.00172,0
152,0.00149,0
153,0.00403,0
154,0.00181,0
155,0.00159,0
156,0.00126,0
157,0.00403,0
158,0.00213,0
159,0.00842,0
160,0.00134,0
161,0.0009,0
162,0.00066,0
163,0.00093,0
164,0.00739,0
165,0.00141,0
166,0.00256,0
167,0.00079,0
168,0.00569,0
169,0.00063,0
170,0.00069,0
171,0.00213,0
172,0.00084,0
173,0.00324,0
174,0.00211,0
175,0.00486,0
176,0.00079,0
177,0.0022,0
178,0.0009,0
179,0.00063,0
180,0.00062,0
181,0.00566,0
182,0.00076,0
183,0.00064,0
184,0.00107,0
185,0.00074,0
186,0.00073,0
187,0.00093,0
188,0.00783,0
189,0.00209,0
190,0.00093,0
191,0.00132,0
192,0.00076,0
193,0.00082,0
194,0.00172,0
195,0.00072,0
196,0.00996,0
197,0.00283,0
198,0.00181,0
199,0.00355,0
200,0.00076,0
201,0.00447,0
202,0.00169,0
203,0.00083,0
204,0.00446,0
205,0.00066,0
206,0.00757,0
207,0.00253,0
208,0.00405,0
209,0.00277,0
210,0.00072,0
211,0.00187,0
212,0.00073,0
213,0.00067,0
214,0.00096,0
215,0.00078,0
216,0.00662,0
217,0.00096,0
218,0.00111,0
219,0.00132,0
220,0.00062,0
221,0.00106,0
222,0.00458,0
223,0.00086,0
224,0.00164,0
225,0.00064,0
226,0.00105,0
227,0.00072,0
228,0.00233,0
229,0.00277,0
230,0.00158,0
231,0.00338,0
232,0.00084,0
233,0.00244,0
234,0.00231,0
235,0.00212,0
236,0.00066,0
237,0.0006,0
238,0.00065,0
239,0.00264,0
240,0.00316,0
241,0.0009,0
242,0.00062,0
243,0.00077,0
244,0.01146,0
245,0.00751,0
246,0.00497,0
247,0.00489,0
248,0.00063,0
249,0.00067,0
250,0.00073,0
251,0.00089,0
252,0.00615,0
253,0.00322,0
254,0.00077,0
255,0.00379,0
256,0.0047,0
257,0.00295,0
258,0.00066,0
259,0.00062,0
260,0.00122,0
261,0.0013,0
262,0.00286,0
263,0.00336,0
264,0.0011,0
265,0.00145,0
266,0.00119,0
267,0.00182,0
268,0.00221,0
269,0.00928,0
270,0.00162,0
271,0.00187,0
272,0.00261,0
273,0.00066,0
274,0.00068,0
275,0.00122,0
276,0.00076,0
277,0.00136,0
278,0.00088,0
279,0.00159,0
280,0.00792,0
281,0.00109,0
282,0.00127,0
283,0.00097,0
284,0.00098,0
285,0.00454,0
286,0.00157,0
287,0.00063,0
288,0.00352,0
289,0.00391,0
290,0.00355,0
291,0.00062,0
292,0.00137,0
293,0.00115,0
294,0.00094,0
295,0.00069,0
296,0.00097,0
297,0.00064,0
298,0.00062,0
299,0.00098,0
300,0.0048,0
301,0.00079,0
302,0.00103,0
303,0.00273,0
304,0.00336,0
305,0.00062,0
306,0.00089,0
307,0.00163,0
308,0.00156,0
309,0.00158,0
310,0.00073,0
311,0.0009,0
312,0.00238,0
313,0.00246,0
314,0.00829,0
315,0.00375,0
316,0.00106,0
317,0.00448,0
318,0.00203,0
319,0.0097,0
320,0.00192,0
321,0.0014,0
322,0.00336,0
323,0.00105,0
324,0.00065,0
325,0.00173,0
326,0.00072,0
327,0.00183,0
328,0.00457,0
329,0.00073,0
330,0.00111,0
331,0.00159,0
332,0.00132,0
333,0.003,0
334,0.00116,0
335,0.00325,0
336,0.00132,0
337,0.00077,0
338,0.00274,0
339,0.00197,0
340,0.00062,0
341,0.00369,0
342,0.00929,0
343,0.00073,0
344,0.00337,0
345,0.00089,0
346,0.003,0
347,0.00821,0
348,0.00063,0
349,0.00685,0
350,0.00126,0
351,0.00063,0
352,0.00263,0
353,0.00265,0
354,0.00118,0
355,0.00489,0
356,0.0009,0
357,0.0032,0
358,0.0008,0
359,0.0006,0
360,0.0007,0
361,0.001,0
362,0.00137,0
363,0.00124,0
364,0.00065,0
365,0.0006,0
366,0.00093,0
367,0.00192,0
368,0.00063,0
369,0.00063,0
370,0.00079,0
371,0.00111,0
372,0.00135,0
373,0.00453,0
374,0.00139,0
375,0.00143,0
376,0.00096,0
377,0.0024,0
378,0.00357,0
379,0.00159,0
380,0.00097,0
381,0.00063,0
382,0.00065,0
