Node,SIR,Infected_sum
0,0.32084,0
1,0.18125,0
2,0.28534,0
3,0.27655,0
4,0.34137,0
5,0.33116,0
6,0.32398,0
7,0.32173,0
8,0.33684,0
9,0.31051,0
10,0.31756,0
11,0.34048,0
12,0.32017,0
13,0.30222,0
14,0.30408,0
15,0.29218,0
16,0.24955,0
17,0.3058,0
18,0.26115,0
19,0.24141,0
20,0.29312,0
21,0.25536,0
22,0.19264,0
23,0.31064,0
24,0.25095,0
25,0.26254,0
26,0.19513,0
27,0.19612,0
28,0.26317,0
29,0.31868,0
30,0.22829,0
31,0.18559,0
32,0.21594,0
33,0.21644,0
34,0.22236,0
35,0.28017,0
36,0.24643,0
37,0.23391,0
38,0.23589,0
39,0.19884,0
40,0.25287,0
41,0.25927,0
42,0.215,0
43,0.25368,0
44,0.28396,0
45,0.2099,0
46,0.20592,0
47,0.23065,0
48,0.19201,0
49,0.2327,0
50,0.1872,0
51,0.24514,0
52,0.28665,0
53,0.25097,0
54,0.19124,0
55,0.2808,0
56,0.18695,0
57,0.25095,0
58,0.20069,0
59,0.20684,0
60,0.21904,0
61,0.26844,0
62,0.14985,0
63,0.27456,0
64,0.23383,0
65,0.21283,0
66,0.16583,0
67,0.24769,0
68,0.18834,0
69,0.21331,0
70,0.22065,0
71,0.17395,0
72,0.22936,0
73,0.20504,0
74,0.16292,0
75,0.23036,0
76,0.18592,0
77,0.26438,0
78,0.16397,0
79,0.21353,0
80,0.19868,0
81,0.14326,0
82,0.22629,0
83,0.18061,0
84,0.18862,0
85,0.17339,0
86,0.14028,0
87,0.23422,0
88,0.1869,0
89,0.12888,0
90,0.22571,0
91,0.19411,0
92,0.1603,0
93,0.24493,0
94,0.15136,0
95,0.19035,0
96,0.15037,0
97,0.24732,0
98,0.12246,0
99,0.19379,0
100,0.20506,0
101,0.20747,0
102,0.18053,0
103,0.22185,0
104,0.22087,0
105,0.19926,0
106,0.15092,0
107,0.16275,0
108,0.18754,0
109,0.19999,0
110,0.15354,0
111,0.16465,0
112,0.16031,0
113,0.19135,0
114,0.14732,0
115,0.16316,0
116,0.14398,0
117,0.06855,0
118,0.15002,0
119,0.14115,0
120,0.16967,0
121,0.1777,0
122,0.13815,0
123,0.21149,0
124,0.17174,0
125,0.14843,0
126,0.16685,0
127,0.13828,0
128,0.14988,0
129,0.17226,0
130,0.12593,0
131,0.1805,0
132,0.1744,0
133,0.13094,0
134,0.21862,0
135,0.1886,0
136,0.23745,0
137,0.15711,0
138,0.18054,0
139,0.19798,0
140,0.18208,0
141,0.16573,0
142,0.16112,0
143,0.18589,0
144,0.14547,0
145,0.1302,0
146,0.14709,0
147,0.16235,0
148,0.1301,0
149,0.14677,0
150,0.13245,0
151,0.1532,0
152,0.15955,0
153,0.20148,0
154,0.16629,0
155,0.18185,0
156,0.14114,0
157,0.15307,0
158,0.1575,0
159,0.086,0
160,0.21588,0
161,0.16487,0
162,0.18643,0
163,0.1446,0
164,0.12816,0
165,0.17238,0
166,0.1775,0
167,0.11075,0
168,0.21076,0
169,0.19193,0
170,0.10256,0
171,0.17055,0
172,0.17,0
173,0.12041,0
174,0.11188,0
175,0.14456,0
176,0.15661,0
177,0.13761,0
178,0.18907,0
179,0.11952,0
180,0.13089,0
181,0.19091,0
182,0.16112,0
183,0.11109,0
184,0.17995,0
185,0.13257,0
186,0.16085,0
187,0.1151,0
188,0.10826,0
189,0.14813,0
190,0.19709,0
191,0.16789,0
192,0.15385,0
193,0.1483,0
194,0.15023,0
195,0.10417,0
196,0.15055,0
197,0.09082,0
198,0.10656,0
199,0.16445,0
200,0.1514,0
201,0.16544,0
202,0.09764,0
203,0.15047,0
204,0.13203,0
205,0.12531,0
206,0.18255,0
207,0.15728,0
208,0.08366,0
209,0.17392,0
210,0.13072,0
211,0.1125,0
212,0.09024,0
213,0.12867,0
214,0.19979,0
215,0.13213,0
216,0.13752,0
217,0.13922,0
218,0.17509,0
219,0.10197,0
220,0.1286,0
221,0.1675,0
222,0.13232,0
223,0.13837,0
224,0.16985,0
225,0.16477,0
226,0.12639,0
227,0.11095,0
228,0.0964,0
229,0.16153,0
230,0.1386,0
231,0.1222,0
232,0.13552,0
233,0.14055,0
234,0.09249,0
235,0.1181,0
236,0.1654,0
237,0.14207,0
238,0.11754,0
239,0.12338,0
240,0.08989,0
241,0.18388,0
242,0.1108,0
243,0.08726,0
244,0.11879,0
245,0.09589,0
246,0.13985,0
247,0.10844,0
248,0.14405,0
249,0.15401,0
250,0.13555,0
251,0.11105,0
252,0.11214,0
253,0.10229,0
254,0.14932,0
255,0.13276,0
256,0.17135,0
257,0.11828,0
258,0.11119,0
259,0.09342,0
260,0.1396,0
261,0.1255,0
262,0.10499,0
263,0.09227,0
264,0.1264,0
265,0.07427,0
266,0.09863,0
267,0.13218,0
268,0.15277,0
269,0.12236,0
270,0.11096,0
271,0.10639,0
272,0.13064,0
273,0.1149,0
274,0.11257,0
275,0.11814,0
276,0.07265,0
277,0.11154,0
278,0.10085,0
279,0.13527,0
280,0.09153,0
281,0.1066,0
282,0.143,0
283,0.12611,0
284,0.17774,0
285,0.13647,0
286,0.13803,0
287,0.09204,0
288,0.11872,0
289,0.10922,0
290,0.12862,0
291,0.1505,0
292,0.12091,0
293,0.11937,0
294,0.10366,0
295,0.14141,0
296,0.15273,0
297,0.12795,0
298,0.10119,0
299,0.09633,0
300,0.13235,0
301,0.12299,0
302,0.1408,0
303,0.09654,0
304,0.14525,0
305,0.14711,0
306,0.10889,0
307,0.09185,0
308,0.13366,0
309,0.12619,0
310,0.12561,0
311,0.15445,0
312,0.17031,0
313,0.12512,0
314,0.11824,0
315,0.13576,0
316,0.11164,0
317,0.16779,0
318,0.13926,0
319,0.10025,0
320,0.1526,0
321,0.11654,0
