Node,SIR,Infected_sum
0,0.1172,0
1,0.02877,0
2,0.10685,0
3,0.07283,0
4,0.10562,0
5,0.07708,0
6,0.10457,0
7,0.07597,0
8,0.09909,0
9,0.03428,0
10,0.07961,0
11,0.09272,0
12,0.04868,0
13,0.06877,0
14,0.04209,0
15,0.07548,0
16,0.06325,0
17,0.04922,0
18,0.09545,0
19,0.03034,0
20,0.05358,0
21,0.0701,0
22,0.0515,0
23,0.06716,0
24,0.07734,0
25,0.05038,0
26,0.05827,0
27,0.08225,0
28,0.02155,0
29,0.08198,0
30,0.0478,0
31,0.04059,0
32,0.03024,0
33,0.05,0
34,0.04029,0
35,0.07061,0
36,0.03545,0
37,0.06486,0
38,0.04232,0
39,0.02074,0
40,0.05645,0
41,0.06111,0
42,0.05251,0
43,0.04282,0
44,0.03619,0
45,0.05967,0
46,0.05135,0
47,0.03778,0
48,0.06122,0
49,0.02271,0
50,0.06887,0
51,0.04091,0
52,0.03487,0
53,0.02064,0
54,0.03803,0
55,0.02619,0
56,0.03966,0
57,0.03996,0
58,0.055,0
59,0.05121,0
60,0.04049,0
61,0.01918,0
62,0.05695,0
63,0.0419,0
64,0.07167,0
65,0.04732,0
66,0.03374,0
67,0.03865,0
68,0.0369,0
69,0.03159,0
70,0.02176,0
71,0.0249,0
72,0.03397,0
73,0.06313,0
74,0.04052,0
75,0.04267,0
76,0.03172,0
77,0.04963,0
78,0.02528,0
79,0.03387,0
80,0.02943,0
81,0.04442,0
82,0.02819,0
83,0.02806,0
84,0.04637,0
85,0.04168,0
86,0.02393,0
87,0.0435,0
88,0.03291,0
89,0.01894,0
90,0.03234,0
91,0.05759,0
92,0.01477,0
93,0.05861,0
94,0.03965,0
95,0.03905,0
96,0.02829,0
97,0.04805,0
98,0.04082,0
99,0.05752,0
100,0.02851,0
101,0.02945,0
102,0.05623,0
103,0.0404,0
104,0.05066,0
105,0.03118,0
106,0.02213,0
107,0.02842,0
108,0.02426,0
109,0.03745,0
110,0.02686,0
111,0.04554,0
112,0.03021,0
113,0.04652,0
114,0.02676,0
115,0.04189,0
116,0.05216,0
117,0.03967,0
118,0.02198,0
119,0.03033,0
120,0.03827,0
121,0.02846,0
122,0.03101,0
123,0.02876,0
124,0.03572,0
125,0.046,0
126,0.03272,0
127,0.03774,0
128,0.03055,0
129,0.02334,0
130,0.02939,0
131,0.01185,0
132,0.03248,0
133,0.02699,0
134,0.02308,0
135,0.03412,0
136,0.02906,0
137,0.02632,0
138,0.01736,0
139,0.02587,0
140,0.0271,0
141,0.029,0
142,0.03041,0
143,0.06468,0
144,0.04658,0
145,0.0185,0
146,0.02939,0
147,0.03449,0
148,0.03958,0
149,0.04254,0
150,0.03849,0
151,0.01678,0
152,0.02183,0
153,0.00577,0
154,0.02522,0
155,0.04841,0
156,0.01662,0
157,0.04706,0
158,0.03457,0
159,0.02513,0
160,0.02721,0
161,0.0223,0
162,0.02199,0
163,0.01766,0
164,0.0214,0
165,0.03196,0
166,0.0273,0
167,0.02664,0
168,0.02829,0
169,0.02049,0
170,0.0156,0
171,0.02907,0
172,0.03678,0
173,0.02891,0
174,0.03062,0
175,0.01776,0
176,0.03327,0
177,0.02144,0
178,0.02254,0
179,0.02556,0
180,0.0291,0
181,0.02653,0
182,0.0241,0
183,0.01822,0
184,0.02048,0
185,0.035,0
186,0.02465,0
187,0.02049,0
188,0.01864,0
189,0.0333,0
190,0.03007,0
191,0.01872,0
192,0.01524,0
193,0.02393,0
194,0.04924,0
195,0.02689,0
196,0.03558,0
197,0.03087,0
198,0.02078,0
199,0.03441,0
200,0.02962,0
201,0.0333,0
202,0.02293,0
203,0.03737,0
204,0.02117,0
205,0.03088,0
206,0.02532,0
207,0.02261,0
208,0.00743,0
209,0.0354,0
210,0.03536,0
211,0.02691,0
212,0.01357,0
213,0.00983,0
214,0.03216,0
215,0.04697,0
216,0.02402,0
217,0.01853,0
218,0.03533,0
219,0.02537,0
220,0.01396,0
221,0.01387,0
222,0.02698,0
223,0.03992,0
224,0.03093,0
225,0.03867,0
226,0.01324,0
227,0.02258,0
228,0.04438,0
229,0.01061,0
230,0.0181,0
231,0.01737,0
232,0.01242,0
233,0.04411,0
234,0.02907,0
235,0.02172,0
236,0.03544,0
237,0.03468,0
238,0.029,0
239,0.03112,0
240,0.01726,0
241,0.0243,0
242,0.01699,0
243,0.04426,0
244,0.00795,0
245,0.0138,0
246,0.01436,0
247,0.02071,0
248,0.04986,0
249,0.02927,0
250,0.01467,0
251,0.0263,0
252,0.02019,0
253,0.01621,0
254,0.02331,0
255,0.03006,0
256,0.03791,0
257,0.01384,0
258,0.00744,0
259,0.03798,0
260,0.02333,0
261,0.02435,0
262,0.04155,0
263,0.02313,0
264,0.01084,0
265,0.02769,0
266,0.01563,0
267,0.01913,0
268,0.02445,0
269,0.0323,0
270,0.02218,0
271,0.02855,0
272,0.01741,0
273,0.02183,0
274,0.02043,0
275,0.01913,0
276,0.03228,0
277,0.02724,0
278,0.02999,0
279,0.03799,0
280,0.01991,0
281,0.01011,0
282,0.03315,0
283,0.01368,0
284,0.03236,0
285,0.01573,0
286,0.01198,0
287,0.0271,0
288,0.03083,0
289,0.02113,0
290,0.00945,0
291,0.02247,0
292,0.02426,0
293,0.01762,0
294,0.01056,0
295,0.01347,0
296,0.02416,0
297,0.03676,0
298,0.01246,0
299,0.02124,0
300,0.01939,0
301,0.01733,0
302,0.01844,0
303,0.02444,0
304,0.01208,0
305,0.03797,0
306,0.01783,0
307,0.01389,0
308,0.02089,0
309,0.00782,0
310,0.01345,0
311,0.04987,0
312,0.02403,0
313,0.01159,0
314,0.02248,0
315,0.01396,0
316,0.01514,0
317,0.02281,0
318,0.01712,0
319,0.01989,0
320,0.03232,0
321,0.01886,0
322,0.00765,0
323,0.01065,0
324,0.01742,0
325,0.03006,0
326,0.02831,0
327,0.0201,0
328,0.01778,0
329,0.00534,0
330,0.02466,0
331,0.02625,0
332,0.02475,0
333,0.01429,0
334,0.04883,0
335,0.03258,0
336,0.03433,0
337,0.00963,0
338,0.03348,0
339,0.02095,0
340,0.01425,0
341,0.01439,0
342,0.0296,0
343,0.02122,0
344,0.02274,0
345,0.03718,0
346,0.01703,0
347,0.03223,0
348,0.02334,0
349,0.01082,0
350,0.01776,0
351,0.02493,0
352,0.02451,0
353,0.02337,0
354,0.02059,0
355,0.03008,0
356,0.01935,0
357,0.02588,0
358,0.0342,0
359,0.00954,0
360,0.00931,0
361,0.02168,0
362,0.03388,0
363,0.01406,0
364,0.01463,0
365,0.03071,0
366,0.01228,0
367,0.03032,0
368,0.02935,0
369,0.0285,0
370,0.0243,0
371,0.02042,0
372,0.03368,0
373,0.01726,0
374,0.0252,0
375,0.03192,0
376,0.02525,0
377,0.01203,0
378,0.02065,0
379,0.03075,0
380,0.01799,0
381,0.02827,0
382,0.03369,0
383,0.03462,0
384,0.01947,0
385,0.02902,0
386,0.02704,0
387,0.02075,0
388,0.02547,0
389,0.02468,0
390,0.03174,0
391,0.03437,0
392,0.00876,0
393,0.02021,0
394,0.00568,0
395,0.02314,0
396,0.01922,0
397,0.03181,0
398,0.02431,0
399,0.02085,0
400,0.0212,0
401,0.02339,0
402,0.02011,0
403,0.01519,0
404,0.02294,0
405,0.01805,0
406,0.0214,0
407,0.01556,0
408,0.02391,0
409,0.00994,0
410,0.01685,0
411,0.02402,0
412,0.02483,0
413,0.02794,0
414,0.01833,0
415,0.01197,0
416,0.03959,0
417,0.01327,0
418,0.00534,0
419,0.02094,0
420,0.02438,0
421,0.01666,0
422,0.02027,0
423,0.02409,0
424,0.02558,0
425,0.02104,0
426,0.0246,0
427,0.01965,0
428,0.03142,0
429,0.03018,0
430,0.02248,0
431,0.03041,0
432,0.02908,0
433,0.00755,0
434,0.01528,0
435,0.02926,0
436,0.01819,0
437,0.0282,0
438,0.02068,0
439,0.0252,0
440,0.02242,0
441,0.02219,0
442,0.01692,0
443,0.01188,0
444,0.024,0
445,0.02591,0
446,0.02281,0
447,0.02054,0
448,0.01686,0
449,0.01685,0
450,0.01087,0
451,0.02537,0
452,0.01342,0
453,0.0109,0
454,0.02686,0
455,0.01706,0
456,0.02288,0
457,0.02919,0
458,0.01366,0
459,0.01741,0
460,0.00293,0
461,0.01884,0
462,0.02572,0
463,0.0226,0
464,0.02167,0
465,0.00807,0
466,0.02437,0
467,0.00855,0
468,0.01836,0
469,0.03024,0
470,0.01353,0
471,0.03505,0
472,0.01796,0
473,0.02432,0
474,0.02344,0
475,0.01609,0
476,0.01267,0
477,0.0285,0
478,0.01883,0
479,0.01287,0
480,0.02206,0
481,0.02375,0
482,0.02081,0
483,0.01686,0
484,0.02045,0
485,0.02995,0
486,0.01881,0
487,0.03051,0
488,0.00516,0
489,0.01456,0
490,0.0279,0
491,0.02338,0
492,0.0081,0
493,0.0062,0
494,0.01394,0
495,0.04047,0
496,0.01857,0
497,0.01886,0
498,0.01123,0
499,0.01038,0
500,0.01117,0
501,0.02427,0
502,0.01362,0
503,0.02102,0
504,0.02224,0
505,0.01176,0
506,0.02508,0
507,0.02122,0
508,0.0169,0
509,0.00915,0
510,0.00522,0
511,0.01506,0
512,0.01073,0
513,0.0135,0
514,0.02189,0
515,0.01421,0
516,0.00858,0
517,0.01449,0
518,0.00372,0
519,0.01521,0
520,0.02508,0
521,0.00323,0
522,0.01668,0
523,0.01825,0
524,0.01247,0
525,0.01667,0
526,0.00841,0
527,0.01559,0
528,0.01574,0
529,0.02197,0
530,0.02104,0
531,0.01856,0
532,0.02009,0
533,0.00858,0
534,0.01993,0
535,0.01837,0
536,0.01619,0
537,0.0241,0
538,0.01773,0
539,0.01712,0
540,0.01695,0
541,0.03067,0
542,0.01174,0
543,0.01555,0
544,0.00553,0
545,0.02658,0
546,0.03059,0
547,0.02759,0
548,0.01159,0
549,0.01623,0
550,0.02174,0
551,0.021,0
552,0.02575,0
553,0.02139,0
554,0.02963,0
555,0.0115,0
556,0.01797,0
557,0.01766,0
558,0.01894,0
559,0.0271,0
560,0.00879,0
561,0.00378,0
562,0.00873,0
563,0.02364,0
564,0.00949,0
565,0.02251,0
566,0.01618,0
567,0.01943,0
568,0.00786,0
569,0.01791,0
570,0.0338,0
571,0.01056,0
572,0.02173,0
573,0.03033,0
574,0.01336,0
575,0.0108,0
576,0.01198,0
577,0.03285,0
578,0.02331,0
579,0.02959,0
580,0.00858,0
581,0.02294,0
582,0.01864,0
583,0.00672,0
584,0.00356,0
585,0.01536,0
586,0.02717,0
587,0.01352,0
588,0.01204,0
589,0.01397,0
590,0.01765,0
591,0.01213,0
592,0.02367,0
593,0.02743,0
594,0.03236,0
595,0.02892,0
596,0.01543,0
597,0.01085,0
598,0.00366,0
599,0.01654,0
600,0.00606,0
601,0.00837,0
602,0.00649,0
603,0.01555,0
604,0.01991,0
605,0.02298,0
606,0.00963,0
607,0.01657,0
608,0.01719,0
609,0.02464,0
610,0.00968,0
611,0.00577,0
612,0.01387,0
613,0.01393,0
614,0.01245,0
615,0.0063,0
616,0.02145,0
617,0.0159,0
618,0.02858,0
619,0.00492,0
620,0.01763,0
621,0.00979,0
622,0.01206,0
623,0.00995,0
624,0.0177,0
625,0.02066,0
626,0.02033,0
627,0.02547,0
628,0.01187,0
629,0.00323,0
630,0.02884,0
631,0.01631,0
632,0.01316,0
633,0.012,0
634,0.03534,0
635,0.0049,0
636,0.01973,0
637,0.01221,0
638,0.02337,0
639,0.01777,0
640,0.02069,0
641,0.02121,0
642,0.01068,0
643,0.01761,0
644,0.02032,0
645,0.01183,0
646,0.01043,0
647,0.0105,0
648,0.0138,0
649,0.01558,0
650,0.02221,0
651,0.01914,0
652,0.01352,0
653,0.00887,0
654,0.01784,0
655,0.03114,0
656,0.00593,0
657,0.01232,0
658,0.02468,0
659,0.01584,0
660,0.03868,0
661,0.04025,0
662,0.02909,0
663,0.01728,0
664,0.00929,0
665,0.0133,0
666,0.02247,0
667,0.02875,0
668,0.02306,0
669,0.02321,0
670,0.01422,0
671,0.01608,0
672,0.00979,0
673,0.01469,0
674,0.00978,0
675,0.01925,0
676,0.0055,0
677,0.01282,0
678,0.02931,0
679,0.00957,0
680,0.00703,0
681,0.01137,0
682,0.01164,0
683,0.0106,0
684,0.01669,0
685,0.04087,0
686,0.00886,0
687,0.01124,0
688,0.00772,0
689,0.00779,0
690,0.00382,0
691,0.02146,0
692,0.0147,0
693,0.01506,0
694,0.01674,0
695,0.00617,0
696,0.01327,0
697,0.01401,0
698,0.0171,0
699,0.02438,0
700,0.00899,0
701,0.01261,0
702,0.01144,0
703,0.00977,0
704,0.00511,0
705,0.01768,0
706,0.02287,0
707,0.01962,0
708,0.01215,0
709,0.01937,0
710,0.01267,0
711,0.01142,0
712,0.0073,0
713,0.02092,0
714,0.01392,0
715,0.02366,0
716,0.03188,0
717,0.01038,0
718,0.0134,0
719,0.02182,0
720,0.00674,0
721,0.02351,0
722,0.00986,0
723,0.00707,0
724,0.01148,0
725,0.02434,0
726,0.01631,0
727,0.02247,0
728,0.01357,0
729,0.01657,0
730,0.00935,0
731,0.0125,0
732,0.01503,0
733,0.03201,0
734,0.01382,0
735,0.01612,0
736,0.01296,0
737,0.00918,0
738,0.01802,0
739,0.01637,0
740,0.01415,0
741,0.02184,0
742,0.02795,0
743,0.02717,0
744,0.01106,0
745,0.01815,0
746,0.0139,0
747,0.01519,0
748,0.0367,0
749,0.01283,0
750,0.00795,0
751,0.01243,0
752,0.02828,0
753,0.0113,0
754,0.01673,0
755,0.01169,0
756,0.01551,0
757,0.03332,0
758,0.02048,0
759,0.02196,0
760,0.02781,0
761,0.01372,0
762,0.01849,0
763,0.01729,0
764,0.00524,0
765,0.00579,0
766,0.03536,0
767,0.03654,0
768,0.01105,0
769,0.01045,0
770,0.01343,0
771,0.00212,0
772,0.01061,0
773,0.01721,0
774,0.00865,0
775,0.02374,0
776,0.01356,0
777,0.00818,0
778,0.03077,0
779,0.01454,0
780,0.02141,0
781,0.02201,0
782,0.01319,0
783,0.00696,0
784,0.01018,0
785,0.01067,0
786,0.01387,0
787,0.02619,0
788,0.01433,0
789,0.00775,0
790,0.00796,0
791,0.02442,0
792,0.01552,0
793,0.01963,0
794,0.02324,0
795,0.00995,0
796,0.0168,0
797,0.01078,0
798,0.00284,0
799,0.03091,0
800,0.00598,0
801,0.01832,0
802,0.02997,0
803,0.00952,0
804,0.03239,0
805,0.01243,0
806,0.00714,0
807,0.00719,0
808,0.03203,0
809,0.01509,0
810,0.01945,0
811,0.01963,0
812,0.0104,0
813,0.01463,0
814,0.00803,0
