Node,SIR,Infected_sum
1,0.16748,0
2,0.15804,0
3,0.13655,0
4,0.13041,0
5,0.04236,0
6,0.17058,0
7,0.09205,0
8,0.06606,0
9,0.10914,0
10,0.16636,0
11,0.04896,0
12,0.06043,0
13,0.06025,0
14,0.11464,0
15,0.08297,0
16,0.16492,0
17,0.10454,0
18,0.12049,0
19,0.07195,0
20,0.15561,0
21,0.08462,0
22,0.10888,0
23,0.08654,0
24,0.16272,0
25,0.08383,0
26,0.09431,0
27,0.14356,0
28,0.08924,0
29,0.12199,0
30,0.08429,0
31,0.03699,0
32,0.02369,0
33,0.0487,0
34,0.19335,0
35,0.09678,0
36,0.10911,0
37,0.10795,0
38,0.0799,0
39,0.02928,0
40,0.03851,0
41,0.05106,0
42,0.01709,0
43,0.16834,0
44,0.19597,0
45,0.06161,0
46,0.18975,0
47,0.19785,0
48,0.06696,0
49,0.16166,0
50,0.14951,0
51,0.18032,0
52,0.20235,0
53,0.12111,0
54,0.15923,0
55,0.00827,0
56,0.01385,0
57,0.01945,0
58,0.00314,0
59,0.00223,0
60,0.00427,0
61,0.01082,0
62,0.13817,0
63,0.1662,0
64,0.13497,0
65,0.11861,0
66,0.17949,0
67,0.17681,0
68,0.19673,0
69,0.04925,0
70,0.08028,0
71,0.12954,0
72,0.18538,0
73,0.16199,0
74,0.08658,0
75,0.12674,0
76,0.12145,0
77,0.14038,0
78,0.09761,0
79,0.14925,0
80,0.02863,0
81,0.14589,0
82,0.1855,0
83,0.15044,0
84,0.07514,0
85,0.04401,0
86,0.10321,0
87,0.0695,0
88,0.08557,0
89,0.17432,0
90,0.13864,0
91,0.14508,0
92,0.0979,0
93,0.09894,0
94,0.14328,0
95,0.09842,0
96,0.11188,0
97,0.05454,0
98,0.1137,0
99,0.04754,0
100,0.16891,0
101,0.12432,0
102,0.1952,0
103,0.13576,0
104,0.14429,0
105,0.13715,0
106,0.11148,0
107,0.06822,0
108,0.15588,0
109,0.1787,0
110,0.18663,0
111,0.08664,0
112,0.05644,0
113,0.20004,0
114,0.14445,0
115,0.0816,0
116,0.19367,0
117,0.06423,0
118,0.1218,0
119,0.15253,0
120,0.17081,0
121,0.13403,0
122,0.13367,0
123,0.07297,0
124,0.17223,0
125,0.17208,0
126,0.14759,0
127,0.147,0
128,0.09422,0
129,0.08027,0
130,0.03109,0
131,0.0526,0
132,0.13325,0
133,0.09116,0
134,0.17268,0
135,0.161,0
136,0.14555,0
137,0.12681,0
138,0.06473,0
139,0.08099,0
140,0.04671,0
141,0.13087,0
142,0.07026,0
143,0.07706,0
144,0.12171,0
145,0.15539,0
146,0.14394,0
147,0.04555,0
148,0.19408,0
149,0.08967,0
150,0.07598,0
151,0.10813,0
152,0.07492,0
153,0.05642,0
154,0.08793,0
155,0.07986,0
156,0.08085,0
157,0.15806,0
158,0.16009,0
159,0.03812,0
160,0.02679,0
161,0.15219,0
162,0.08783,0
163,0.08989,0
164,0.04233,0
165,0.10165,0
166,0.04435,0
167,0.06605,0
168,0.10903,0
169,0.05316,0
170,0.07739,0
171,0.10943,0
172,0.13527,0
173,0.13051,0
174,0.08046,0
175,0.08159,0
176,0.13806,0
177,0.04219,0
178,0.0333,0
179,0.10428,0
180,0.05181,0
181,0.0307,0
182,0.03892,0
183,0.05047,0
184,0.04256,0
185,0.09157,0
186,0.09768,0
187,0.173,0
188,0.1335,0
189,0.07164,0
190,0.12479,0
191,0.16387,0
192,0.06936,0
193,0.06569,0
194,0.08095,0
195,0.15039,0
196,0.01288,0
197,0.01369,0
198,0.04869,0
199,0.04451,0
200,0.10861,0
201,0.1377,0
202,0.07353,0
203,0.02867,0
204,0.0127,0
205,0.04777,0
206,0.09063,0
207,0.07804,0
208,0.14323,0
209,0.07316,0
210,0.07624,0
211,0.01816,0
212,0.09027,0
213,0.07,0
214,0.03653,0
215,0.0052,0
216,0.04715,0
217,0.0417,0
218,0.04834,0
219,0.01923,0
220,0.07812,0
221,0.07503,0
222,0.01443,0
223,0.02278,0
224,0.01903,0
225,0.03032,0
226,0.02268,0
227,0.00384,0
228,0.0067,0
229,0.01687,0
230,0.01097,0
231,0.00675,0
232,0.00164,0
233,0.00508,0
234,0.02529,0
235,0.02093,0
236,0.00315,0
237,0.00124,0
238,0.02679,0
239,0.01118,0
240,0.02209,0
241,0.0292,0
242,0.00396,0
243,0.00418,0
244,0.01794,0
245,0.00669,0
246,0.0094,0
247,0.00692,0
248,0.0036,0
249,0.01728,0
250,0.06525,0
251,0.01789,0
252,0.02546,0
253,0.02197,0
254,0.04403,0
255,0.02433,0
256,0.01819,0
257,0.00939,0
258,0.01883,0
259,0.03062,0
260,0.02461,0
261,0.03484,0
262,0.01559,0
263,0.13796,0
264,0.0578,0
265,0.03929,0
266,0.15733,0
267,0.08089,0
268,0.06146,0
269,0.02011,0
270,0.10143,0
271,0.04272,0
272,0.14275,0
273,0.12494,0
274,0.06409,0
275,0.03195,0
276,0.06428,0
277,0.02241,0
278,0.04675,0
279,0.02352,0
280,0.01998,0
281,0.09787,0
282,0.02345,0
283,0.01591,0
284,0.09067,0
285,0.06128,0
286,0.08987,0
287,0.10665,0
288,0.03343,0
289,0.10065,0
290,0.0271,0
291,0.10472,0
292,0.10051,0
293,0.07902,0
294,0.03556,0
295,0.11981,0
296,0.10243,0
297,0.09095,0
298,0.04613,0
299,0.10077,0
300,0.07865,0
301,0.03637,0
302,0.04365,0
303,0.03451,0
304,0.01661,0
305,0.01361,0
306,0.04815,0
307,0.04237,0
308,0.10942,0
309,0.00799,0
310,0.04206,0
311,0.06387,0
312,0.10647,0
313,0.03784,0
314,0.0802,0
315,0.06218,0
316,0.01978,0
317,0.00361,0
318,0.05427,0
319,0.05166,0
320,0.07276,0
321,0.06259,0
322,0.06257,0
323,0.09723,0
324,0.06132,0
325,0.04873,0
326,0.05223,0
327,0.02236,0
328,0.01144,0
329,0.05699,0
330,0.01851,0
331,0.00692,0
332,0.03144,0
333,0.03524,0
334,0.01659,0
335,0.03175,0
336,0.0273,0
