Node,SIR,Infected_sum
1,0.33714,0
2,0.5306,0
3,0.30321,0
4,0.33033,0
5,0.2934,0
6,0.37544,0
7,0.26659,0
8,0.34024,0
9,0.32189,0
10,0.49671,0
11,0.31396,0
12,0.44659,0
13,0.28199,0
14,0.49667,0
15,0.41973,0
16,0.38784,0
17,0.487,0
18,0.31332,0
19,0.41496,0
20,0.43046,0
21,0.38813,0
22,0.45241,0
23,0.50246,0
24,0.50472,0
25,0.38305,0
26,0.36982,0
27,0.32539,0
28,0.46846,0
29,0.39072,0
30,0.38369,0
31,0.3592,0
32,0.3548,0
33,0.4287,0
34,0.36638,0
35,0.40222,0
36,0.48707,0
37,0.51831,0
38,0.34425,0
39,0.53165,0
40,0.4623,0
41,0.27776,0
42,0.39957,0
43,0.53095,0
44,0.34764,0
45,0.43557,0
46,0.51262,0
47,0.48315,0
48,0.42206,0
49,0.39969,0
50,0.41479,0
51,0.52809,0
52,0.35954,0
53,0.31994,0
54,0.49454,0
55,0.44531,0
56,0.53121,0
57,0.48656,0
58,0.43031,0
59,0.49513,0
60,0.47592,0
61,0.43487,0
62,0.48376,0
63,0.36668,0
64,0.34802,0
65,0.39756,0
66,0.27823,0
67,0.51835,0
68,0.37969,0
69,0.25727,0
70,0.35731,0
71,0.38071,0
72,0.45901,0
73,0.43747,0
74,0.48723,0
75,0.3985,0
76,0.30175,0
77,0.44323,0
78,0.51031,0
79,0.49941,0
80,0.39294,0
81,0.49639,0
82,0.41949,0
83,0.34704,0
84,0.27018,0
85,0.31226,0
86,0.40163,0
87,0.44444,0
88,0.51125,0
89,0.41876,0
90,0.47186,0
91,0.42253,0
92,0.36876,0
93,0.29871,0
94,0.42415,0
95,0.51999,0
96,0.38813,0
97,0.41799,0
98,0.43055,0
99,0.28805,0
100,0.27269,0
101,0.47398,0
102,0.40027,0
103,0.36616,0
104,0.47893,0
105,0.30261,0
106,0.4561,0
107,0.41683,0
108,0.48717,0
109,0.3552,0
110,0.53786,0
111,0.43368,0
112,0.49627,0
113,0.29242,0
114,0.44644,0
115,0.52148,0
116,0.42999,0
117,0.4501,0
118,0.34075,0
119,0.47831,0
120,0.31058,0
121,0.35339,0
122,0.37497,0
123,0.29119,0
124,0.36934,0
125,0.35478,0
126,0.37876,0
127,0.20967,0
128,0.48575,0
129,0.42168,0
130,0.43116,0
131,0.41275,0
132,0.3247,0
133,0.40932,0
134,0.32263,0
135,0.36698,0
136,0.32618,0
137,0.30739,0
138,0.39925,0
139,0.34463,0
140,0.41765,0
141,0.29959,0
142,0.33606,0
143,0.319,0
144,0.3087,0
145,0.39045,0
146,0.51793,0
147,0.36333,0
148,0.33304,0
149,0.30659,0
150,0.26707,0
151,0.37445,0
152,0.50573,0
153,0.50151,0
154,0.35083,0
155,0.46785,0
156,0.38607,0
157,0.34224,0
158,0.41076,0
159,0.4318,0
160,0.36337,0
161,0.46066,0
162,0.43907,0
163,0.27414,0
164,0.32391,0
165,0.37425,0
166,0.34934,0
167,0.40628,0
168,0.23466,0
169,0.47607,0
170,0.30134,0
171,0.32428,0
172,0.37018,0
173,0.33901,0
174,0.38513,0
175,0.27298,0
176,0.26768,0
177,0.3587,0
178,0.34322,0
179,0.26626,0
180,0.30116,0
181,0.40486,0
182,0.30907,0
183,0.33583,0
184,0.38255,0
185,0.41083,0
186,0.37861,0
187,0.38665,0
188,0.33293,0
189,0.50372,0
190,0.41352,0
191,0.30182,0
192,0.13862,0
193,0.36884,0
194,0.34557,0
195,0.38783,0
196,0.44847,0
197,0.37017,0
198,0.36068,0
199,0.36403,0
200,0.39853,0
201,0.23632,0
202,0.42223,0
203,0.21796,0
204,0.4069,0
205,0.23593,0
206,0.41296,0
207,0.31986,0
208,0.37339,0
209,0.19632,0
210,0.37267,0
211,0.33028,0
212,0.40957,0
213,0.28811,0
214,0.48402,0
215,0.30499,0
216,0.42105,0
217,0.34286,0
218,0.45744,0
219,0.4137,0
220,0.52715,0
221,0.46491,0
222,0.3773,0
223,0.32559,0
224,0.26877,0
225,0.48659,0
226,0.23492,0
227,0.26379,0
228,0.23017,0
229,0.31188,0
230,0.28267,0
231,0.23075,0
232,0.33586,0
233,0.24507,0
234,0.33825,0
235,0.42755,0
236,0.2369,0
237,0.24328,0
238,0.42706,0
239,0.2863,0
240,0.30578,0
241,0.31666,0
242,0.48539,0
243,0.38499,0
244,0.39153,0
245,0.44166,0
246,0.32608,0
247,0.29433,0
248,0.31581,0
249,0.33526,0
250,0.27177,0
251,0.29686,0
252,0.38719,0
253,0.32168,0
254,0.31641,0
255,0.29446,0
256,0.36023,0
257,0.27296,0
258,0.29252,0
259,0.35747,0
260,0.32177,0
261,0.26419,0
262,0.40596,0
263,0.4713,0
264,0.32713,0
265,0.25632,0
266,0.39428,0
267,0.34125,0
268,0.25952,0
269,0.42358,0
270,0.31718,0
271,0.23556,0
272,0.3749,0
273,0.31042,0
274,0.42261,0
275,0.30916,0
276,0.34386,0
277,0.49314,0
278,0.35177,0
279,0.34279,0
280,0.37013,0
281,0.27539,0
282,0.35171,0
283,0.37532,0
284,0.4335,0
285,0.30755,0
286,0.33333,0
287,0.43268,0
288,0.20082,0
289,0.31122,0
290,0.3453,0
291,0.4892,0
292,0.27969,0
293,0.34704,0
294,0.3335,0
295,0.19813,0
296,0.31508,0
297,0.41683,0
298,0.26961,0
299,0.36946,0
300,0.30468,0
301,0.29034,0
302,0.34171,0
303,0.46035,0
304,0.4403,0
305,0.36119,0
306,0.25741,0
307,0.25427,0
308,0.40891,0
309,0.43472,0
310,0.291,0
311,0.30587,0
312,0.22013,0
313,0.3547,0
314,0.35457,0
315,0.3427,0
316,0.34517,0
317,0.29666,0
318,0.28486,0
319,0.37583,0
320,0.38409,0
321,0.34739,0
322,0.38046,0
323,0.27144,0
324,0.25912,0
