Node,SIR,Infected_sum
1,0.32066,0
2,0.06641,0
3,0.07237,0
4,0.19753,0
5,0.4351,0
6,0.0054,0
7,0.47763,0
8,0.35111,0
9,0.27788,0
10,0.37061,0
11,0.3296,0
12,0.35551,0
13,0.33237,0
14,0.37313,0
15,0.12556,0
16,0.17146,0
17,0.03843,0
18,0.40742,0
19,0.35838,0
20,0.1801,0
21,0.03843,0
22,0.39828,0
23,0.21596,0
24,0.34889,0
25,0.0496,0
26,0.32247,0
27,0.19015,0
28,0.30172,0
29,0.32313,0
30,0.0104,0
31,0.32066,0
32,0.45904,0
33,0.42596,0
34,0.04864,0
35,0.49111,0
36,0.34384,0
37,0.02773,0
38,0.24884,0
39,0.10515,0
40,0.41818,0
41,0.09672,0
42,0.21909,0
43,0.41621,0
44,0.44348,0
45,0.13717,0
46,0.28697,0
47,0.04232,0
48,0.10096,0
49,0.49212,0
50,0.34455,0
51,0.24717,0
52,0.1551,0
53,0.46439,0
54,0.47141,0
55,0.36131,0
56,0.40576,0
57,0.41909,0
58,0.41328,0
59,0.21879,0
60,0.54581,0
61,0.42571,0
62,0.35005,0
63,0.45788,0
64,0.42677,0
65,0.40626,0
66,0.40581,0
67,0.39404,0
68,0.2802,0
69,0.48813,0
70,0.50995,0
71,0.36227,0
72,0.19258,0
73,0.35141,0
74,0.32136,0
75,0.18273,0
76,0.24101,0
77,0.34,0
78,0.38429,0
79,0.31914,0
80,0.19268,0
81,0.4447,0
82,0.16586,0
83,0.50631,0
84,0.19369,0
85,0.22162,0
86,0.39056,0
87,0.37177,0
88,0.39434,0
89,0.28005,0
90,0.4053,0
91,0.2851,0
92,0.08495,0
93,0.35944,0
94,0.39505,0
95,0.45434,0
96,0.41485,0
97,0.28606,0
98,0.52101,0
99,0.50141,0
100,0.51763,0
101,0.47732,0
102,0.23278,0
103,0.34545,0
104,0.24576,0
105,0.45369,0
106,0.46056,0
107,0.45106,0
108,0.50424,0
109,0.38409,0
110,0.5003,0
111,0.45298,0
112,0.41086,0
113,0.28722,0
114,0.47177,0
115,0.05056,0
116,0.27621,0
117,0.24152,0
118,0.43207,0
119,0.10707,0
120,0.00535,0
121,0.44091,0
122,0.46192,0
123,0.44591,0
124,0.24157,0
125,0.4252,0
126,0.29056,0
127,0.385,0
128,0.39626,0
129,0.28338,0
130,0.36631,0
131,0.51116,0
132,0.51369,0
133,0.06919,0
134,0.24131,0
135,0.52227,0
136,0.53025,0
137,0.23854,0
138,0.29035,0
139,0.29682,0
140,0.33692,0
141,0.30323,0
142,0.38843,0
143,0.29828,0
144,0.2502,0
145,0.05449,0
146,0.40298,0
147,0.36939,0
148,0.05268,0
149,0.46313,0
150,0.40662,0
151,0.36056,0
152,0.00601,0
153,0.37606,0
154,0.43111,0
155,0.22394,0
156,0.25985,0
157,0.01227,0
158,0.505,0
159,0.19298,0
160,0.04611,0
161,0.41212,0
162,0.2401,0
163,0.21222,0
164,0.47803,0
165,0.0199,0
166,0.35662,0
167,0.36197,0
168,0.5196,0
169,0.26025,0
170,0.49722,0
171,0.46126,0
172,0.37308,0
173,0.29591,0
174,0.48424,0
175,0.34051,0
176,0.29611,0
177,0.28268,0
178,0.475,0
179,0.46646,0
180,0.02429,0
181,0.09646,0
182,0.36601,0
183,0.47667,0
184,0.28874,0
185,0.21106,0
186,0.23217,0
187,0.28172,0
188,0.21328,0
189,0.29697,0
190,0.36702,0
191,0.31727,0
192,0.5153,0
193,0.36985,0
194,0.51278,0
195,0.45081,0
196,0.47237,0
197,0.41773,0
198,0.19596,0
